{'dataset_name': 'QM9', 'target': 0, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'EB1', 'variants': {'BN': 'N', 'aggr_mlp': 1, 'fea_activation': 'ReLU'}}, 'commit_id': '6f6e8946f0ea3ec197191d5a4e488c6e50056d2b', 'time_stamp': '1595006180', 'directory': '../../../nlg_results/dc2-Ymq2/QM9_1.5.0/board/'}
Downloading https://pytorch-geometric.com/datasets/qm9_v1.pt
Processing...
Using a pre-processed version of the dataset. Please install `rdkit` to alternatively process the raw data.
Done!
--------
QM9_0, 1595006180_6f6e894_EB1_1_ReLU_4_256_N_0.0001_30_0.85_B64, ID=6f6e8946f0ea3ec197191d5a4e488c6e50056d2b
Epoch: 001, LR: 0.000100, Loss: 0.5754576, Validation MAE: 0.7721184, Test MAE: 0.7822935
Epoch: 002, LR: 0.000100, Loss: 0.4645370, Validation MAE: 0.7043164, Test MAE: 0.7149385
Epoch: 003, 0.000100,0.4170729,0.7373518,0.7503695
Epoch: 004, LR: 0.000100, Loss: 0.3765201, Validation MAE: 0.6566337, Test MAE: 0.6599610
Epoch: 005, LR: 0.000100, Loss: 0.3559091, Validation MAE: 0.6370024, Test MAE: 0.6376185
Epoch: 006, 0.000100,0.3436992,0.6543197,0.6610190
Epoch: 007, LR: 0.000100, Loss: 0.3350010, Validation MAE: 0.6303614, Test MAE: 0.6302457
Epoch: 008, LR: 0.000100, Loss: 0.3237532, Validation MAE: 0.6079159, Test MAE: 0.6128585
Epoch: 009, LR: 0.000100, Loss: 0.3122490, Validation MAE: 0.5963099, Test MAE: 0.6005847
Epoch: 010, 0.000100,0.3032579,0.6045693,0.6093837
Epoch: 011, 0.000100,0.2969150,0.5972278,0.5982625
Epoch: 012, 0.000100,0.2892070,0.6263441,0.6326805
Epoch: 013, LR: 0.000100, Loss: 0.2809541, Validation MAE: 0.5668769, Test MAE: 0.5719137
Epoch: 014, 0.000100,0.2730359,0.5917133,0.5953116
Epoch: 015, 0.000100,0.2673402,0.5719940,0.5749296
Epoch: 016, 0.000100,0.2630966,0.5676040,0.5700461
Epoch: 017, LR: 0.000100, Loss: 0.2568276, Validation MAE: 0.5534561, Test MAE: 0.5549401
Epoch: 018, LR: 0.000100, Loss: 0.2521544, Validation MAE: 0.5473969, Test MAE: 0.5538407
Epoch: 019, LR: 0.000100, Loss: 0.2475010, Validation MAE: 0.5421382, Test MAE: 0.5445818
Epoch: 020, LR: 0.000100, Loss: 0.2432054, Validation MAE: 0.5355853, Test MAE: 0.5382191
Epoch: 021, 0.000100,0.2375031,0.5439551,0.5451097
Epoch: 022, LR: 0.000100, Loss: 0.2335595, Validation MAE: 0.5304402, Test MAE: 0.5317138
Epoch: 023, 0.000100,0.2288670,0.5423149,0.5471640
Epoch: 024, 0.000100,0.2250667,0.5368663,0.5422330
Epoch: 025, LR: 0.000100, Loss: 0.2206948, Validation MAE: 0.5160543, Test MAE: 0.5164222
Epoch: 026, 0.000100,0.2164183,0.5239581,0.5255936
Epoch: 027, LR: 0.000100, Loss: 0.2129534, Validation MAE: 0.5143073, Test MAE: 0.5175793
Epoch: 028, LR: 0.000100, Loss: 0.2094678, Validation MAE: 0.5134307, Test MAE: 0.5158323
Epoch: 029, LR: 0.000100, Loss: 0.2054200, Validation MAE: 0.5060766, Test MAE: 0.5125442
Epoch: 030, 0.000100,0.2019725,0.5093037,0.5074673
Epoch: 031, LR: 0.000085, Loss: 0.1930906, Validation MAE: 0.5033622, Test MAE: 0.5039183
Epoch: 032, LR: 0.000085, Loss: 0.1897005, Validation MAE: 0.4952405, Test MAE: 0.4962566
Epoch: 033, 0.000085,0.1870622,0.4991710,0.4996142
Epoch: 034, 0.000085,0.1828713,0.5032847,0.5016134
Epoch: 035, LR: 0.000085, Loss: 0.1800196, Validation MAE: 0.4890450, Test MAE: 0.4939533
Epoch: 036, LR: 0.000085, Loss: 0.1777907, Validation MAE: 0.4854512, Test MAE: 0.4865490
Epoch: 037, 0.000085,0.1749955,0.4905963,0.4910091
Epoch: 038, LR: 0.000085, Loss: 0.1709331, Validation MAE: 0.4838541, Test MAE: 0.4839799
Epoch: 039, LR: 0.000085, Loss: 0.1683296, Validation MAE: 0.4818277, Test MAE: 0.4831411
Epoch: 040, 0.000085,0.1660026,0.4943718,0.4954627
Epoch: 041, LR: 0.000085, Loss: 0.1633393, Validation MAE: 0.4744683, Test MAE: 0.4773417
Epoch: 042, 0.000085,0.1599808,0.4806859,0.4827068
Epoch: 043, 0.000085,0.1580711,0.4763149,0.4757601
Epoch: 044, LR: 0.000085, Loss: 0.1538422, Validation MAE: 0.4733656, Test MAE: 0.4792091
Epoch: 045, 0.000085,0.1522290,0.4831722,0.4879837
Epoch: 046, LR: 0.000085, Loss: 0.1485423, Validation MAE: 0.4680091, Test MAE: 0.4708354
Epoch: 047, 0.000085,0.1465833,0.4743571,0.4768889
Epoch: 048, LR: 0.000085, Loss: 0.1432661, Validation MAE: 0.4643059, Test MAE: 0.4694168
Epoch: 049, 0.000085,0.1407122,0.4714818,0.4729845
Epoch: 050, LR: 0.000085, Loss: 0.1379158, Validation MAE: 0.4595028, Test MAE: 0.4630126
Epoch: 051, 0.000085,0.1352488,0.4718239,0.4810923
Epoch: 052, 0.000085,0.1323334,0.4616778,0.4658132
Epoch: 053, LR: 0.000085, Loss: 0.1302406, Validation MAE: 0.4586648, Test MAE: 0.4633908
Epoch: 054, 0.000085,0.1280094,0.4677341,0.4693705
Epoch: 055, 0.000085,0.1255112,0.4589834,0.4645377
Epoch: 056, 0.000085,0.1237372,0.4654840,0.4671529
Epoch: 057, LR: 0.000085, Loss: 0.1200949, Validation MAE: 0.4586508, Test MAE: 0.4652344
Epoch: 058, 0.000085,0.1174046,0.4645475,0.4670270
Epoch: 059, LR: 0.000085, Loss: 0.1154470, Validation MAE: 0.4577754, Test MAE: 0.4606034
Epoch: 060, LR: 0.000085, Loss: 0.1129753, Validation MAE: 0.4575890, Test MAE: 0.4635313
Epoch: 061, LR: 0.000072, Loss: 0.1062512, Validation MAE: 0.4535604, Test MAE: 0.4599127
Epoch: 062, 0.000072,0.1041682,0.4538327,0.4592455
Epoch: 063, 0.000072,0.1020775,0.4540075,0.4598146
Epoch: 064, 0.000072,0.0994227,0.4608729,0.4658691
Epoch: 065, LR: 0.000072, Loss: 0.0975990, Validation MAE: 0.4516319, Test MAE: 0.4577069
Epoch: 066, 0.000072,0.0954629,0.4524029,0.4591862
Epoch: 067, 0.000072,0.0934507,0.4567988,0.4589717
Epoch: 068, 0.000072,0.0919964,0.4531922,0.4564407
Epoch: 069, 0.000072,0.0898117,0.4590952,0.4624053
Epoch: 070, 0.000072,0.0875013,0.4551431,0.4647580
Epoch: 071, 0.000072,0.0855811,0.4606429,0.4676928
Epoch: 072, 0.000072,0.0842950,0.4556745,0.4613792
Epoch: 073, LR: 0.000072, Loss: 0.0824948, Validation MAE: 0.4507240, Test MAE: 0.4579843
Epoch: 074, 0.000072,0.0808249,0.4592414,0.4654548
Epoch: 075, 0.000072,0.0784999,0.4562920,0.4623107
Epoch: 076, 0.000072,0.0773675,0.4559258,0.4589649
Epoch: 077, 0.000072,0.0757648,0.4535920,0.4591798
Epoch: 078, 0.000072,0.0740393,0.4564290,0.4594451
Epoch: 079, 0.000072,0.0724294,0.4562718,0.4608500
Epoch: 080, 0.000072,0.0710833,0.4562790,0.4602993
Epoch: 081, 0.000072,0.0694692,0.4525386,0.4579235
Epoch: 082, 0.000072,0.0682021,0.4538865,0.4618842
Epoch: 083, 0.000072,0.0660590,0.4536467,0.4613244
Epoch: 084, 0.000072,0.0650250,0.4581804,0.4673834
Epoch: 085, 0.000072,0.0637028,0.4561847,0.4664298
Epoch: 086, 0.000072,0.0621764,0.4552382,0.4647647
Epoch: 087, 0.000072,0.0610408,0.4571638,0.4655314
Epoch: 088, 0.000072,0.0597880,0.4529774,0.4596117
Epoch: 089, 0.000072,0.0581670,0.4595275,0.4652164
Epoch: 090, 0.000072,0.0570607,0.4569490,0.4637665
Epoch: 091, LR: 0.000061, Loss: 0.0527842, Validation MAE: 0.4507131, Test MAE: 0.4593109
Epoch: 092, 0.000061,0.0510587,0.4582628,0.4621775
Epoch: 093, 0.000061,0.0497785,0.4560728,0.4641117
Epoch: 094, 0.000061,0.0487987,0.4568317,0.4677380
Epoch: 095, 0.000061,0.0476029,0.4573446,0.4645244
Epoch: 096, 0.000061,0.0467628,0.4548411,0.4631158
Epoch: 097, 0.000061,0.0456359,0.4572906,0.4681856
Epoch: 098, 0.000061,0.0442834,0.4572881,0.4652919
Epoch: 099, 0.000061,0.0437669,0.4584420,0.4648331
Epoch: 100, 0.000061,0.0421930,0.4590126,0.4698489
Epoch: 101, 0.000061,0.0419629,0.4564553,0.4645097
Epoch: 102, 0.000061,0.0408562,0.4587295,0.4667311
Epoch: 103, 0.000061,0.0402319,0.4543361,0.4624379
Epoch: 104, 0.000061,0.0391833,0.4607477,0.4695940
Epoch: 105, 0.000061,0.0381921,0.4574835,0.4644671
Epoch: 106, 0.000061,0.0379086,0.4568023,0.4648673
Epoch: 107, 0.000061,0.0369275,0.4617768,0.4706950
Epoch: 108, 0.000061,0.0362159,0.4608532,0.4668706
Epoch: 109, 0.000061,0.0354844,0.4603139,0.4701348
Epoch: 110, 0.000061,0.0342916,0.4585957,0.4687267
Epoch: 111, 0.000061,0.0337006,0.4615288,0.4710563
Epoch: 112, 0.000061,0.0333978,0.4610224,0.4677720
Epoch: 113, 0.000061,0.0322961,0.4612014,0.4725178
Epoch: 114, 0.000061,0.0316811,0.4655459,0.4713426
Epoch: 115, 0.000061,0.0313227,0.4621783,0.4694644
Epoch: 116, 0.000061,0.0306285,0.4597266,0.4673343
Epoch: 117, 0.000061,0.0299635,0.4654721,0.4729406
Epoch: 118, 0.000061,0.0296002,0.4596202,0.4697103
