{'dataset_name': 'QM9', 'target': 3, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'EB1', 'variants': {'BN': 'N', 'aggr_mlp': 1, 'fea_activation': 'ReLU'}}, 'commit_id': '6f6e8946f0ea3ec197191d5a4e488c6e50056d2b', 'time_stamp': '1595040917', 'directory': '../../../nlg_results/dc2-Ymq2/QM9_1.5.0/board/'}
--------
QM9_3, 1595040917_6f6e894_EB1_1_ReLU_4_256_N_0.0001_30_0.85_B64, ID=6f6e8946f0ea3ec197191d5a4e488c6e50056d2b
Epoch: 001, LR: 0.000100, Loss: 0.1745531, Validation MAE: 0.4297910, Test MAE: 0.4287368
Epoch: 002, LR: 0.000100, Loss: 0.0880839, Validation MAE: 0.2318784, Test MAE: 0.2276873
Epoch: 003, LR: 0.000100, Loss: 0.0702856, Validation MAE: 0.2213521, Test MAE: 0.2184241
Epoch: 004, LR: 0.000100, Loss: 0.0589394, Validation MAE: 0.2020927, Test MAE: 0.1994922
Epoch: 005, LR: 0.000100, Loss: 0.0509263, Validation MAE: 0.1999266, Test MAE: 0.2013652
Epoch: 006, LR: 0.000100, Loss: 0.0413903, Validation MAE: 0.1684211, Test MAE: 0.1672731
Epoch: 007, 0.000100,0.0373259,0.1836968,0.1824898
Epoch: 008, LR: 0.000100, Loss: 0.0342410, Validation MAE: 0.1680345, Test MAE: 0.1681484
Epoch: 009, LR: 0.000100, Loss: 0.0326315, Validation MAE: 0.1607248, Test MAE: 0.1603079
Epoch: 010, 0.000100,0.0307806,0.1953452,0.1931856
Epoch: 011, LR: 0.000100, Loss: 0.0347648, Validation MAE: 0.1465112, Test MAE: 0.1475361
Epoch: 012, 0.000100,0.0279882,0.1507318,0.1516328
Epoch: 013, 0.000100,0.0257323,0.1515546,0.1536438
Epoch: 014, LR: 0.000100, Loss: 0.0250550, Validation MAE: 0.1415181, Test MAE: 0.1418437
Epoch: 015, 0.000100,0.0236961,0.1461669,0.1455240
Epoch: 016, LR: 0.000100, Loss: 0.0224963, Validation MAE: 0.1332158, Test MAE: 0.1345426
Epoch: 017, LR: 0.000100, Loss: 0.0226284, Validation MAE: 0.1323358, Test MAE: 0.1338076
Epoch: 018, 0.000100,0.0210275,0.1340846,0.1344008
Epoch: 019, LR: 0.000100, Loss: 0.0198909, Validation MAE: 0.1293319, Test MAE: 0.1289103
Epoch: 020, LR: 0.000100, Loss: 0.0198808, Validation MAE: 0.1277963, Test MAE: 0.1277806
Epoch: 021, 0.000100,0.0192421,0.1335586,0.1329372
Epoch: 022, 0.000100,0.0186995,0.1278633,0.1279943
Epoch: 023, 0.000100,0.0177719,0.1343369,0.1352835
Epoch: 024, LR: 0.000100, Loss: 0.0172843, Validation MAE: 0.1264780, Test MAE: 0.1281044
Epoch: 025, LR: 0.000100, Loss: 0.0168932, Validation MAE: 0.1227102, Test MAE: 0.1227997
Epoch: 026, LR: 0.000100, Loss: 0.0165374, Validation MAE: 0.1179298, Test MAE: 0.1175183
Epoch: 027, 0.000100,0.0161324,0.1255889,0.1268586
Epoch: 028, LR: 0.000100, Loss: 0.0155527, Validation MAE: 0.1166590, Test MAE: 0.1161526
Epoch: 029, 0.000100,0.0152662,0.1176839,0.1176562
Epoch: 030, LR: 0.000100, Loss: 0.0146908, Validation MAE: 0.1120835, Test MAE: 0.1127484
Epoch: 031, 0.000085,0.0135628,0.1195873,0.1206805
Epoch: 032, LR: 0.000085, Loss: 0.0133858, Validation MAE: 0.1113437, Test MAE: 0.1100503
Epoch: 033, 0.000085,0.0130733,0.1123161,0.1118278
