{'dataset_name': 'QM9', 'target': 9, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'CB', 'variants': {'BN': 'N', 'aggr_mlp': 1, 'fea_activation': 'ELU'}}, 'commit_id': 'cab672852d2d21166fbfeaf0dfe3cd4182c48c31', 'time_stamp': '1594431125', 'directory': '../../nlg_results/dc2-Ymq2/QM9_old/board/'}
Processing...
Done!
--------
QM9_9, 1594431125_cab6728_CB_1_ELU_4_256_N_0.0001_30_0.85_B64, ID=cab672852d2d21166fbfeaf0dfe3cd4182c48c31
Epoch: 001, LR: 0.000100, Loss: 0.1423516, Validation MAE: 4.2339792, Test MAE: 4.2306767
Epoch: 002, LR: 0.000100, Loss: 0.0076769, Validation MAE: 3.9357842, Test MAE: 3.9453581
Epoch: 003, LR: 0.000100, Loss: 0.0057847, Validation MAE: 2.5654219, Test MAE: 2.5619862
Epoch: 004, LR: 0.000100, Loss: 0.0046863, Validation MAE: 2.4234598, Test MAE: 2.4141336
Epoch: 005, LR: 0.000100, Loss: 0.0038985, Validation MAE: 0.4040124, Test MAE: 0.4014664
Epoch: 006, 0.000100,0.0031236,0.6668094,0.6695592
Epoch: 007, 0.000100,0.0025693,1.1530505,1.1456323
Epoch: 008, 0.000100,0.0025880,1.4732348,1.4541478
Epoch: 009, LR: 0.000100, Loss: 0.0022077, Validation MAE: 0.2971718, Test MAE: 0.2944191
Epoch: 010, 0.000100,0.0020762,0.4625425,0.4512205
Epoch: 011, 0.000100,0.0018850,0.3163444,0.3178265
Epoch: 012, 0.000100,0.0018326,1.3197486,1.3139537
Epoch: 013, 0.000100,0.0015190,0.4179746,0.4143332
Epoch: 014, 0.000100,0.0014310,0.8265063,0.8131270
Epoch: 015, LR: 0.000100, Loss: 0.0014207, Validation MAE: 0.2668270, Test MAE: 0.2595818
Epoch: 016, 0.000100,0.0012081,0.5960983,0.5853196
Epoch: 017, 0.000100,0.0014142,0.4056077,0.3956837
