{'dataset_name': 'QM9', 'target': 8, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'CB', 'variants': {'BN': 'N', 'aggr_mlp': 1, 'fea_activation': 'ELU'}}, 'commit_id': 'cab672852d2d21166fbfeaf0dfe3cd4182c48c31', 'time_stamp': '1594432667', 'directory': '../../nlg_results/dc2-Ymq2/QM9_old/board/'}
--------
QM9_8, 1594432667_cab6728_CB_1_ELU_4_256_N_0.0001_30_0.85_B64, ID=cab672852d2d21166fbfeaf0dfe3cd4182c48c31
Epoch: 001, LR: 0.000100, Loss: 0.1415524, Validation MAE: 2.7806823, Test MAE: 2.7850225
Epoch: 002, LR: 0.000100, Loss: 0.0077540, Validation MAE: 1.8962340, Test MAE: 1.9064685
Epoch: 003, LR: 0.000100, Loss: 0.0055808, Validation MAE: 0.5950014, Test MAE: 0.5868644
Epoch: 004, 0.000100,0.0045924,0.9233174,0.9121328
Epoch: 005, 0.000100,0.0037446,2.4021503,2.4062515
Epoch: 006, 0.000100,0.0033236,0.9208291,0.9237255
Epoch: 007, 0.000100,0.0026335,1.0525130,1.0418118
Epoch: 008, 0.000100,0.0023953,0.8506862,0.8493506
Epoch: 009, LR: 0.000100, Loss: 0.0024562, Validation MAE: 0.3493474, Test MAE: 0.3454174
Epoch: 010, 0.000100,0.0020433,1.6817217,1.6827672
Epoch: 011, 0.000100,0.0020524,0.5898536,0.5907724
Epoch: 012, 0.000100,0.0016639,2.5528065,2.5532133
Epoch: 013, 0.000100,0.0015640,1.3137343,1.3134299
Epoch: 014, LR: 0.000100, Loss: 0.0014325, Validation MAE: 0.2979804, Test MAE: 0.2982690
Epoch: 015, LR: 0.000100, Loss: 0.0017790, Validation MAE: 0.1604209, Test MAE: 0.1612508
Epoch: 016, 0.000100,0.0010556,0.4583860,0.4599381
Epoch: 017, 0.000100,0.0012572,0.2048073,0.2045265
Epoch: 018, 0.000100,0.0015965,2.2247478,2.2164763
Epoch: 019, 0.000100,0.0007074,1.1178875,1.1095103
Epoch: 020, 0.000100,0.0009239,0.2035940,0.2017135
Epoch: 021, 0.000100,0.0011478,1.1885912,1.1811720
Epoch: 022, 0.000100,0.0046283,0.7493396,0.7532464
Epoch: 023, 0.000100,0.0010391,0.3067366,0.3000159
Epoch: 024, 0.000100,0.0010924,2.5358094,2.5428050
Epoch: 025, 0.000100,0.0010430,0.2434626,0.2424962
Epoch: 026, 0.000100,0.0010578,0.2548490,0.2564940
Epoch: 027, 0.000100,0.0009119,0.8749887,0.8657127
Epoch: 028, 0.000100,0.0008261,0.1818562,0.1799535
Epoch: 029, 0.000100,0.0008067,0.7881382,0.7823698
Epoch: 030, 0.000100,0.0008524,0.5751870,0.5700916
Epoch: 031, 0.000085,0.0005470,2.5849009,2.5792993
Epoch: 032, 0.000085,0.0005250,0.2969003,0.2950840
Epoch: 033, 0.000085,0.0004557,0.3128263,0.3150466
Epoch: 034, LR: 0.000085, Loss: 0.0005615, Validation MAE: 0.1461929, Test MAE: 0.1474583
Epoch: 035, 0.000085,0.0004538,0.5289458,0.5305538
Epoch: 036, 0.000085,0.0004641,0.5816440,0.5820547
Epoch: 037, 0.000085,0.0004887,0.5169819,0.5143802
Epoch: 038, 0.000085,0.0004576,0.3921730,0.3909703
Epoch: 039, 0.000085,0.0004884,0.1810749,0.1793642
Epoch: 040, 0.000085,0.0004402,2.1220132,2.1169609
Epoch: 041, 0.000085,0.0004290,0.4153944,0.4148960
Epoch: 042, LR: 0.000085, Loss: 0.0004511, Validation MAE: 0.1323639, Test MAE: 0.1329851
Epoch: 043, 0.000085,0.0004061,0.4429995,0.4387009
Epoch: 044, 0.000085,0.0004409,0.6318470,0.6221118
Epoch: 045, 0.000085,0.0003932,0.1755580,0.1768931
Epoch: 046, 0.000085,0.0006430,0.3228911,0.3195482
Epoch: 047, 0.000085,0.0002240,0.8517487,0.8532093
Epoch: 048, 0.000085,0.0004320,0.4109809,0.4039017
Epoch: 049, 0.000085,0.0003426,0.4103630,0.4146337
Epoch: 050, 0.000085,0.0004185,0.3057684,0.3119730
Epoch: 051, 0.000085,0.0003589,0.1660927,0.1642366
Epoch: 052, 0.000085,0.0003285,0.2792097,0.2809990
Epoch: 053, 0.000085,0.0003322,0.1486414,0.1493513
Epoch: 054, 0.000085,0.0003835,0.4584657,0.4580717
Epoch: 055, 0.000085,0.0003232,0.6035635,0.6055053
Epoch: 056, LR: 0.000085, Loss: 0.0004167, Validation MAE: 0.1006269, Test MAE: 0.0990685
Epoch: 057, 0.000085,0.0003264,0.7185733,0.7157507
Epoch: 058, 0.000085,0.0004556,0.8198194,0.8053184
Epoch: 059, 0.000085,0.0001894,0.4192140,0.4189808
Epoch: 060, 0.000085,0.0003562,0.5888126,0.5869268
Epoch: 061, 0.000072,0.0001600,0.6570016,0.6573549
Epoch: 062, 0.000072,0.0002492,0.1240742,0.1228334
Epoch: 063, LR: 0.000072, Loss: 0.0002341, Validation MAE: 0.0889079, Test MAE: 0.0901432
Epoch: 064, 0.000072,0.0002490,0.1433441,0.1422817
Epoch: 065, 0.000072,0.0002066,0.3032335,0.3045797
Epoch: 066, 0.000072,0.0002194,0.1859281,0.1847912
Epoch: 067, 0.000072,0.0002261,1.0967334,1.0969965
Epoch: 068, LR: 0.000072, Loss: 0.0002239, Validation MAE: 0.0847205, Test MAE: 0.0855477
Epoch: 069, 0.000072,0.0002045,0.4020155,0.3998573
Epoch: 070, 0.000072,0.0001985,0.0906989,0.0901663
Epoch: 071, LR: 0.000072, Loss: 0.0002047, Validation MAE: 0.0774226, Test MAE: 0.0773971
Epoch: 072, 0.000072,0.0002283,0.1662868,0.1672473
Epoch: 073, 0.000072,0.0001972,0.5844810,0.5778169
Epoch: 074, 0.000072,0.0002139,0.1319787,0.1318198
Epoch: 075, 0.000072,0.0001934,0.2899934,0.2898780
Epoch: 076, 0.000072,0.0002184,0.7163173,0.7119233
Epoch: 077, 0.000072,0.0002095,1.1309456,1.1301280
Epoch: 078, 0.000072,0.0002053,0.3522601,0.3499181
Epoch: 079, 0.000072,0.0001923,0.1129400,0.1130628
Epoch: 080, 0.000072,0.0001881,0.3151068,0.3144260
Epoch: 081, 0.000072,0.0002608,0.1122842,0.1111889
Epoch: 082, 0.000072,0.0001435,0.1542557,0.1539443
Epoch: 083, 0.000072,0.0001848,0.1968820,0.1953982
Epoch: 084, 0.000072,0.0002099,0.1987333,0.1982031
Epoch: 085, 0.000072,0.0002180,0.8445206,0.8414079
Epoch: 086, 0.000072,0.0001506,0.0897886,0.0892146
Epoch: 087, 0.000072,0.0001619,0.2209913,0.2180514
Epoch: 088, 0.000072,0.0001882,0.1032906,0.1026242
Epoch: 089, 0.000072,0.0001683,0.1405008,0.1393721
Epoch: 090, 0.000072,0.0001973,0.6268059,0.6227269
Epoch: 091, 0.000061,0.0001073,0.1736543,0.1730300
Epoch: 092, 0.000061,0.0001412,0.4076287,0.3946909
Epoch: 093, 0.000061,0.0001080,0.1011205,0.1015722
Epoch: 094, 0.000061,0.0001578,0.1546311,0.1560298
Epoch: 095, 0.000061,0.0001222,0.2073293,0.2063725
Epoch: 096, 0.000061,0.0001316,0.1646975,0.1636496
Epoch: 097, 0.000061,0.0001399,0.1280693,0.1285272
Epoch: 098, LR: 0.000061, Loss: 0.0001491, Validation MAE: 0.0646327, Test MAE: 0.0641609
Epoch: 099, 0.000061,0.0000996,0.1606199,0.1607875
Epoch: 100, 0.000061,0.0001214,0.3530001,0.3539430
Epoch: 101, 0.000061,0.0001176,0.2171988,0.2160684
Epoch: 102, 0.000061,0.0001338,0.1120690,0.1117232
Epoch: 103, 0.000061,0.0001199,0.2443422,0.2434207
Epoch: 104, 0.000061,0.0001362,0.3268128,0.3271606
Epoch: 105, 0.000061,0.0001192,0.2529197,0.2537574
Epoch: 106, 0.000061,0.0001118,0.0770187,0.0764653
Epoch: 107, 0.000061,0.0001181,0.4448582,0.4466408
Epoch: 108, 0.000061,0.0001243,0.0782917,0.0766972
Epoch: 109, 0.000061,0.0001337,0.1111515,0.1104834
Epoch: 110, 0.000061,0.0001132,0.0792181,0.0796047
Epoch: 111, 0.000061,0.0001123,0.3555985,0.3558000
Epoch: 112, 0.000061,0.0001230,0.1401541,0.1394511
Epoch: 113, 0.000061,0.0001076,0.4735107,0.4719327
Epoch: 114, 0.000061,0.0001241,0.1244754,0.1242573
Epoch: 115, 0.000061,0.0001348,0.2625951,0.2621472
Epoch: 116, 0.000061,0.0000957,0.1519457,0.1517428
Epoch: 117, 0.000061,0.0001392,0.2549882,0.2545077
Epoch: 118, 0.000061,0.0000996,0.3252042,0.3241389
Epoch: 119, 0.000061,0.0001140,0.1227917,0.1232921
Epoch: 120, 0.000061,0.0001093,1.0928349,1.0955561
Epoch: 121, 0.000052,0.0000701,0.3095250,0.3099191
Epoch: 122, 0.000052,0.0000843,0.1280426,0.1260776
Epoch: 123, 0.000052,0.0000793,0.2930983,0.2927141
Epoch: 124, 0.000052,0.0000827,0.0966648,0.0959266
Epoch: 125, 0.000052,0.0000817,0.5061303,0.5075828
Epoch: 126, 0.000052,0.0000887,0.0994242,0.0993877
Epoch: 127, 0.000052,0.0000787,0.1509399,0.1501486
Epoch: 128, 0.000052,0.0000787,0.1822528,0.1807705
Epoch: 129, 0.000052,0.0000813,0.4822094,0.4829939
Epoch: 130, 0.000052,0.0000819,0.1218780,0.1218225
Epoch: 131, LR: 0.000052, Loss: 0.0000722, Validation MAE: 0.0635808, Test MAE: 0.0631165
Epoch: 132, 0.000052,0.0000800,0.2967276,0.2979159
Epoch: 133, 0.000052,0.0000751,0.0748447,0.0752570
Epoch: 134, 0.000052,0.0000868,0.1166398,0.1173940
Epoch: 135, 0.000052,0.0000773,0.1826156,0.1816877
Epoch: 136, 0.000052,0.0000801,0.1279072,0.1282945
Epoch: 137, 0.000052,0.0000795,0.3854695,0.3843045
Epoch: 138, 0.000052,0.0000799,0.1110861,0.1102111
Epoch: 139, 0.000052,0.0000739,0.1340676,0.1328615
Epoch: 140, 0.000052,0.0000770,0.4945018,0.4952845
Epoch: 141, 0.000052,0.0000799,0.4807198,0.4774778
Epoch: 142, 0.000052,0.0000743,0.1443672,0.1441807
Epoch: 143, 0.000052,0.0000882,0.0955157,0.0950291
Epoch: 144, 0.000052,0.0000696,0.1163048,0.1162290
Epoch: 145, 0.000052,0.0000728,0.6213698,0.6231090
Epoch: 146, 0.000052,0.0000726,0.0974715,0.0977727
Epoch: 147, 0.000052,0.0000803,0.1300079,0.1305300
Epoch: 148, 0.000052,0.0000706,0.2378721,0.2378945
Epoch: 149, LR: 0.000052, Loss: 0.0000880, Validation MAE: 0.0537623, Test MAE: 0.0530213
Epoch: 150, 0.000052,0.0000658,0.1057455,0.1066672
Epoch: 151, 0.000044,0.0000452,0.1139119,0.1130105
Epoch: 152, 0.000044,0.0000549,0.1629792,0.1633515
Epoch: 153, 0.000044,0.0000544,0.3217638,0.3195248
Epoch: 154, 0.000044,0.0000607,0.2679533,0.2685184
Epoch: 155, 0.000044,0.0000548,0.1931236,0.1935214
Epoch: 156, 0.000044,0.0000550,0.3328077,0.3328983
Epoch: 157, 0.000044,0.0000627,0.0776583,0.0769616
Epoch: 158, 0.000044,0.0000486,0.1140579,0.1141590
Epoch: 159, 0.000044,0.0000577,0.1894981,0.1895664
Epoch: 160, 0.000044,0.0000522,0.5179357,0.5149945
Epoch: 161, 0.000044,0.0000542,0.0848554,0.0851165
Epoch: 162, 0.000044,0.0000540,0.4535504,0.4513735
Epoch: 163, 0.000044,0.0000576,0.1673112,0.1660749
Epoch: 164, 0.000044,0.0000525,0.2550965,0.2573022
Epoch: 165, 0.000044,0.0000554,1.0652679,1.0648010
Epoch: 166, 0.000044,0.0000496,0.1084470,0.1081924
Epoch: 167, 0.000044,0.0000509,0.3238185,0.3214803
Epoch: 168, 0.000044,0.0000576,0.1180069,0.1170297
Epoch: 169, 0.000044,0.0000568,0.0937350,0.0944920
Epoch: 170, 0.000044,0.0000495,0.1222322,0.1224868
Epoch: 171, 0.000044,0.0000544,0.0650276,0.0643117
Epoch: 172, 0.000044,0.0000500,0.1494064,0.1485693
Epoch: 173, 0.000044,0.0000530,0.0986546,0.0988135
Epoch: 174, 0.000044,0.0000513,0.3062233,0.3074974
Epoch: 175, 0.000044,0.0000541,0.2643142,0.2649104
Epoch: 176, 0.000044,0.0000494,0.1992855,0.1993897
Epoch: 177, 0.000044,0.0000560,0.0712341,0.0707894
Epoch: 178, 0.000044,0.0000492,0.0748633,0.0737712
Epoch: 179, 0.000044,0.0000554,0.1251147,0.1245731
Epoch: 180, 0.000044,0.0000471,0.0856300,0.0843431
Epoch: 181, 0.000038,0.0000367,0.1365850,0.1360528
Epoch: 182, 0.000038,0.0000388,0.1022256,0.1025857
Epoch: 183, 0.000038,0.0000324,0.1197746,0.1194091
Epoch: 184, 0.000038,0.0000403,0.0691547,0.0687789
Epoch: 185, 0.000038,0.0000358,0.1669335,0.1662857
Epoch: 186, 0.000038,0.0000404,0.1726443,0.1716674
Epoch: 187, 0.000038,0.0000379,0.1723509,0.1721610
Epoch: 188, 0.000038,0.0000345,0.0931955,0.0924505
Epoch: 189, 0.000038,0.0000373,0.1623211,0.1606646
Epoch: 190, 0.000038,0.0000369,0.1363431,0.1363444
Epoch: 191, 0.000038,0.0000363,0.1367230,0.1369966
Epoch: 192, 0.000038,0.0000388,0.1667583,0.1659348
Epoch: 193, 0.000038,0.0000332,0.0895186,0.0896168
