{'dataset_name': 'QM9', 'target': 4, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'CB', 'variants': {'BN': 'N', 'aggr_mlp': 1, 'fea_activation': 'ReLU'}}, 'commit_id': '4be31d67403d061af877d0ffc1a1e7960d55f83e', 'time_stamp': '1593962372', 'directory': '../nlg_results/QM9/board/'}
Using exist file qm9.zip
Extracting /space/github_private/data/QM9/raw/qm9.zip
Downloading https://ndownloader.figshare.com/files/3195404
Processing...
Done!
--------
QM9_4, 1593962372_4be31d6_CB_1_ReLU_4_256_N_0.0001_30_0.85_B64, ID=4be31d67403d061af877d0ffc1a1e7960d55f83e
Epoch: 001, LR: 0.000100, Loss: 0.1942540, Validation MAE: 0.3045185, Test MAE: 0.3050562
Epoch: 002, LR: 0.000100, Loss: 0.1004601, Validation MAE: 0.2789322, Test MAE: 0.2803225
Epoch: 003, LR: 0.000100, Loss: 0.0786543, Validation MAE: 0.2524900, Test MAE: 0.2540338
Epoch: 004, LR: 0.000100, Loss: 0.0713599, Validation MAE: 0.2387336, Test MAE: 0.2386214
Epoch: 005, LR: 0.000100, Loss: 0.0635273, Validation MAE: 0.2220385, Test MAE: 0.2219554
Epoch: 006, 0.000100,0.0587504,0.2331247,0.2338989
Epoch: 007, LR: 0.000100, Loss: 0.0539219, Validation MAE: 0.2219890, Test MAE: 0.2213784
Epoch: 008, LR: 0.000100, Loss: 0.0511417, Validation MAE: 0.2041106, Test MAE: 0.2040680
Epoch: 009, 0.000100,0.0472286,0.2178264,0.2175084
Epoch: 010, LR: 0.000100, Loss: 0.0455161, Validation MAE: 0.2004362, Test MAE: 0.2001893
Epoch: 011, LR: 0.000100, Loss: 0.0435136, Validation MAE: 0.1947049, Test MAE: 0.1916392
Epoch: 012, LR: 0.000100, Loss: 0.0409161, Validation MAE: 0.1846946, Test MAE: 0.1857436
Epoch: 013, 0.000100,0.0393881,0.2058083,0.2050948
Epoch: 014, LR: 0.000100, Loss: 0.0377026, Validation MAE: 0.1786359, Test MAE: 0.1772370
Epoch: 015, LR: 0.000100, Loss: 0.0357588, Validation MAE: 0.1705346, Test MAE: 0.1705093
Epoch: 016, LR: 0.000100, Loss: 0.0351031, Validation MAE: 0.1674052, Test MAE: 0.1689595
Epoch: 017, 0.000100,0.0333700,0.1674404,0.1686779
Epoch: 018, 0.000100,0.0319059,0.1688801,0.1694388
Epoch: 019, LR: 0.000100, Loss: 0.0309711, Validation MAE: 0.1584962, Test MAE: 0.1593151
Epoch: 020, LR: 0.000100, Loss: 0.0295804, Validation MAE: 0.1551962, Test MAE: 0.1548489
Epoch: 021, 0.000100,0.0287385,0.1569886,0.1554453
Epoch: 022, 0.000100,0.0281432,0.1581483,0.1585919
Epoch: 023, 0.000100,0.0276991,0.1720375,0.1729258
Epoch: 024, 0.000100,0.0269567,0.1609226,0.1614637
Epoch: 025, LR: 0.000100, Loss: 0.0256283, Validation MAE: 0.1486506, Test MAE: 0.1491236
Epoch: 026, LR: 0.000100, Loss: 0.0250455, Validation MAE: 0.1478703, Test MAE: 0.1474305
Epoch: 027, 0.000100,0.0239575,0.1497492,0.1507683
Epoch: 028, 0.000100,0.0235415,0.1552366,0.1540585
Epoch: 029, LR: 0.000100, Loss: 0.0228544, Validation MAE: 0.1425837, Test MAE: 0.1425230
Epoch: 030, LR: 0.000100, Loss: 0.0220131, Validation MAE: 0.1424723, Test MAE: 0.1433994
Epoch: 031, LR: 0.000085, Loss: 0.0206775, Validation MAE: 0.1391397, Test MAE: 0.1384969
Epoch: 032, LR: 0.000085, Loss: 0.0200195, Validation MAE: 0.1390247, Test MAE: 0.1398055
Epoch: 033, LR: 0.000085, Loss: 0.0192979, Validation MAE: 0.1368174, Test MAE: 0.1361845
Epoch: 034, 0.000085,0.0188711,0.1491171,0.1491871
Epoch: 035, LR: 0.000085, Loss: 0.0183038, Validation MAE: 0.1327002, Test MAE: 0.1321978
Epoch: 036, 0.000085,0.0176636,0.1372196,0.1362254
Epoch: 037, LR: 0.000085, Loss: 0.0174582, Validation MAE: 0.1320285, Test MAE: 0.1310519
Epoch: 038, LR: 0.000085, Loss: 0.0169841, Validation MAE: 0.1305857, Test MAE: 0.1294231
Epoch: 039, LR: 0.000085, Loss: 0.0165865, Validation MAE: 0.1302879, Test MAE: 0.1293999
Epoch: 040, LR: 0.000085, Loss: 0.0160688, Validation MAE: 0.1266991, Test MAE: 0.1260215
Epoch: 041, 0.000085,0.0156172,0.1278967,0.1274908
