{'dataset_name': 'COLLAB', 'num_workers': 4, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 2, 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': '0bb16684179168ffeda005d30b682e2aa720ba4e', 'time_stamp': '1614734311', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=0bb16684179168ffeda005d30b682e2aa720ba4e
Epoch: 001, Train Loss: 1.9638757, Train Acc: 0.6422222, Test Acc: 0.6500000, Train Cov: 115.2712631
Epoch: 002, Train Loss: 1.1317074, Train Acc: 0.7197778, Test Acc: 0.7080000, Train Cov: 38.4184113
Epoch: 003, Train Loss: 1.1526219, Train Acc: 0.6953333, Test Acc: 0.6400000, Train Cov: 43.9505692
Epoch: 004, Train Loss: 1.1440252, Train Acc: 0.6862222, Test Acc: 0.6420000, Train Cov: 44.4917564
Epoch: 005, Train Loss: 1.0301756, Train Acc: 0.6622222, Test Acc: 0.6200000, Train Cov: 35.5598488
Epoch: 006, Train Loss: 0.8561107, Train Acc: 0.6884444, Test Acc: 0.6780000, Train Cov: 20.2382164
Epoch: 007, Train Loss: 0.7396238, Train Acc: 0.7333333, Test Acc: 0.6940000, Train Cov: 10.9509401
Epoch: 008, Train Loss: 0.6964909, Train Acc: 0.7451111, Test Acc: 0.7240000, Train Cov: 7.3811965
Epoch: 009, Train Loss: 0.7183088, Train Acc: 0.7288889, Test Acc: 0.7080000, Train Cov: 6.6121955
Epoch: 010, Train Loss: 0.7177093, Train Acc: 0.6997778, Test Acc: 0.6780000, Train Cov: 10.0210581
Epoch: 011, Train Loss: 0.6623561, Train Acc: 0.7464444, Test Acc: 0.7340000, Train Cov: 5.3801546
Epoch: 012, Train Loss: 0.6487095, Train Acc: 0.7486667, Test Acc: 0.7280000, Train Cov: 3.4472752
Epoch: 013, Train Loss: 0.6531110, Train Acc: 0.7511111, Test Acc: 0.7360000, Train Cov: 3.9962523
Epoch: 014, Train Loss: 0.6235828, Train Acc: 0.7444444, Test Acc: 0.7480000, Train Cov: 3.2260032
Epoch: 015, Train Loss: 0.6115214, Train Acc: 0.7264444, Test Acc: 0.7020000, Train Cov: 3.0054288
Epoch: 016, Train Loss: 0.6471679, Train Acc: 0.7406667, Test Acc: 0.7220000, Train Cov: 5.2132401
Epoch: 017, Train Loss: 0.6212602, Train Acc: 0.7397778, Test Acc: 0.7340000, Train Cov: 2.8908434
Epoch: 018, Train Loss: 0.6201674, Train Acc: 0.7320000, Test Acc: 0.7160000, Train Cov: 2.4945757
Epoch: 019, Train Loss: 0.5937887, Train Acc: 0.7677778, Test Acc: 0.7600000, Train Cov: 2.2253158
Epoch: 020, Train Loss: 0.5794813, Train Acc: 0.7426667, Test Acc: 0.7260000, Train Cov: 1.3495920
Epoch: 021, Train Loss: 0.6310183, Train Acc: 0.7537778, Test Acc: 0.7540000, Train Cov: 4.7792149
Epoch: 022, Train Loss: 0.6120145, Train Acc: 0.7591111, Test Acc: 0.7500000, Train Cov: 3.3627181
Epoch: 023, Train Loss: 0.6037389, Train Acc: 0.7486667, Test Acc: 0.7440000, Train Cov: 2.3300886
Epoch: 024, Train Loss: 0.6084192, Train Acc: 0.7586667, Test Acc: 0.7480000, Train Cov: 3.2764349
Epoch: 025, Train Loss: 0.5755347, Train Acc: 0.7584444, Test Acc: 0.7620000, Train Cov: 1.2076895
