{'dataset_name': 'COLLAB', 'num_workers': 4, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 256, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': '0bb16684179168ffeda005d30b682e2aa720ba4e', 'time_stamp': '1614741546', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=0bb16684179168ffeda005d30b682e2aa720ba4e
Epoch: 001, Train Loss: 2.7410744, Train Acc: 0.3744444, Test Acc: 0.3720000, Train Cov: 184.1532593
Epoch: 002, Train Loss: 1.6070007, Train Acc: 0.1568889, Test Acc: 0.1520000, Train Cov: 73.9747391
Epoch: 003, Train Loss: 1.3531197, Train Acc: 0.2882222, Test Acc: 0.2900000, Train Cov: 51.0304298
Epoch: 004, Train Loss: 1.2526511, Train Acc: 0.1657778, Test Acc: 0.1760000, Train Cov: 41.7343597
Epoch: 005, Train Loss: 1.0911865, Train Acc: 0.1742222, Test Acc: 0.1800000, Train Cov: 25.3847275
Epoch: 006, Train Loss: 1.0694730, Train Acc: 0.1624444, Test Acc: 0.1740000, Train Cov: 22.3763638
Epoch: 007, Train Loss: 1.1039501, Train Acc: 0.5424444, Test Acc: 0.5340000, Train Cov: 25.8179493
Epoch: 008, Train Loss: 1.1254570, Train Acc: 0.1555556, Test Acc: 0.1540000, Train Cov: 27.5287781
Epoch: 009, Train Loss: 1.1812743, Train Acc: 0.4533333, Test Acc: 0.4500000, Train Cov: 30.1511078
Epoch: 010, Train Loss: 1.1671779, Train Acc: 0.4140000, Test Acc: 0.4240000, Train Cov: 27.2699890
Epoch: 011, Train Loss: 1.0812418, Train Acc: 0.2124444, Test Acc: 0.2120000, Train Cov: 20.8811607
Epoch: 012, Train Loss: 1.0838442, Train Acc: 0.1448889, Test Acc: 0.1560000, Train Cov: 21.3041859
Epoch: 013, Train Loss: 1.8506479, Train Acc: 0.5884444, Test Acc: 0.6020000, Train Cov: 90.2286072
Epoch: 014, Train Loss: 1.1784998, Train Acc: 0.5602222, Test Acc: 0.5920000, Train Cov: 28.9605064
Epoch: 015, Train Loss: 0.9899498, Train Acc: 0.5977778, Test Acc: 0.6000000, Train Cov: 12.5996323
Epoch: 016, Train Loss: 0.9702071, Train Acc: 0.6117778, Test Acc: 0.6140000, Train Cov: 13.4486628
Epoch: 017, Train Loss: 0.8997917, Train Acc: 0.6017778, Test Acc: 0.6000000, Train Cov: 7.6478558
Epoch: 018, Train Loss: 0.8738841, Train Acc: 0.6031111, Test Acc: 0.6280000, Train Cov: 6.2658668
Epoch: 019, Train Loss: 0.8755924, Train Acc: 0.5917778, Test Acc: 0.5840000, Train Cov: 5.1886635
Epoch: 020, Train Loss: 0.8628188, Train Acc: 0.6066667, Test Acc: 0.6040000, Train Cov: 4.8651752
Epoch: 021, Train Loss: 0.8594346, Train Acc: 0.6266667, Test Acc: 0.6440000, Train Cov: 5.1426568
Epoch: 022, Train Loss: 0.8584537, Train Acc: 0.6026667, Test Acc: 0.6140000, Train Cov: 4.2496376
Epoch: 023, Train Loss: 0.8664503, Train Acc: 0.6440000, Test Acc: 0.6600000, Train Cov: 5.6997199
Epoch: 024, Train Loss: 0.8209139, Train Acc: 0.6424444, Test Acc: 0.6440000, Train Cov: 3.0805583
Epoch: 025, Train Loss: 0.8036242, Train Acc: 0.6315556, Test Acc: 0.6360000, Train Cov: 3.0469387
Epoch: 026, Train Loss: 0.8026186, Train Acc: 0.6126667, Test Acc: 0.6400000, Train Cov: 3.6769245
Epoch: 027, Train Loss: 0.8376529, Train Acc: 0.6391111, Test Acc: 0.6560000, Train Cov: 5.8318882
Epoch: 028, Train Loss: 0.7918305, Train Acc: 0.6368889, Test Acc: 0.6300000, Train Cov: 3.1580224
Epoch: 029, Train Loss: 0.8138399, Train Acc: 0.6260000, Test Acc: 0.6520000, Train Cov: 3.9804866
Epoch: 030, Train Loss: 0.8234232, Train Acc: 0.6126667, Test Acc: 0.6100000, Train Cov: 4.4946394
Epoch: 031, Train Loss: 0.8068545, Train Acc: 0.6471111, Test Acc: 0.6520000, Train Cov: 3.5315244
Epoch: 032, Train Loss: 0.8250264, Train Acc: 0.5880000, Test Acc: 0.6180000, Train Cov: 5.5328240
Epoch: 033, Train Loss: 0.8092216, Train Acc: 0.6226667, Test Acc: 0.6740000, Train Cov: 4.8002410
Epoch: 034, Train Loss: 0.8282386, Train Acc: 0.6280000, Test Acc: 0.6360000, Train Cov: 5.2935123
Epoch: 035, Train Loss: 0.7992075, Train Acc: 0.6564444, Test Acc: 0.6680000, Train Cov: 4.7690363
Epoch: 036, Train Loss: 0.7796743, Train Acc: 0.6473333, Test Acc: 0.6440000, Train Cov: 4.5731254
Epoch: 037, Train Loss: 0.7824265, Train Acc: 0.6702222, Test Acc: 0.6820000, Train Cov: 5.0575342
Epoch: 038, Train Loss: 0.8017115, Train Acc: 0.6680000, Test Acc: 0.6800000, Train Cov: 7.3192005
Epoch: 039, Train Loss: 0.7720877, Train Acc: 0.6688889, Test Acc: 0.6740000, Train Cov: 4.1746736
Epoch: 040, Train Loss: 0.7422863, Train Acc: 0.6855556, Test Acc: 0.7140000, Train Cov: 2.1743197
Epoch: 041, Train Loss: 0.7683951, Train Acc: 0.5784444, Test Acc: 0.5660000, Train Cov: 5.4713202
Epoch: 042, Train Loss: 1.0389669, Train Acc: 0.6275556, Test Acc: 0.6300000, Train Cov: 30.0665627
Epoch: 043, Train Loss: 0.8133005, Train Acc: 0.6697778, Test Acc: 0.6740000, Train Cov: 8.3747950
Epoch: 044, Train Loss: 0.8364753, Train Acc: 0.6717778, Test Acc: 0.6660000, Train Cov: 11.9179239
Epoch: 045, Train Loss: 0.7230419, Train Acc: 0.6735556, Test Acc: 0.6880000, Train Cov: 2.8314064
Epoch: 046, Train Loss: 0.7167822, Train Acc: 0.6546667, Test Acc: 0.6820000, Train Cov: 3.2475171
Epoch: 047, Train Loss: 0.7122620, Train Acc: 0.6906667, Test Acc: 0.7060000, Train Cov: 3.8754539
Epoch: 048, Train Loss: 0.7055782, Train Acc: 0.6833333, Test Acc: 0.7100000, Train Cov: 4.4663105
Epoch: 049, Train Loss: 0.7288373, Train Acc: 0.6733333, Test Acc: 0.6680000, Train Cov: 4.5849652
Epoch: 050, Train Loss: 0.7218073, Train Acc: 0.6833333, Test Acc: 0.6920000, Train Cov: 3.6075373
Epoch: 051, Train Loss: 0.8138377, Train Acc: 0.6677778, Test Acc: 0.7020000, Train Cov: 15.1461515
Epoch: 052, Train Loss: 0.7735281, Train Acc: 0.7006667, Test Acc: 0.7020000, Train Cov: 10.8836002
Epoch: 053, Train Loss: 0.7661380, Train Acc: 0.7084444, Test Acc: 0.7200000, Train Cov: 12.9815636
Epoch: 054, Train Loss: 0.9069378, Train Acc: 0.7191111, Test Acc: 0.7140000, Train Cov: 26.9750710
Epoch: 055, Train Loss: 0.8372327, Train Acc: 0.6948889, Test Acc: 0.7260000, Train Cov: 19.5664291
Epoch: 056, Train Loss: 0.7197067, Train Acc: 0.7344444, Test Acc: 0.7180000, Train Cov: 9.7117310
