{'dataset_name': 'KKI', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613448024', 'directory': '../../nlg_results/pca/board/'}
Downloading http://ls11-www.cs.tu-dortmund.de/people/morris/graphkerneldatasets/KKI.zip
Extracting /space/github_private/gnnzoo/tu/data/KKI/KKI/KKI.zip
Processing...
Done!
-------- FOLD0 DATASET=KKI, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 2.1103005, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 4.4068770
Epoch: 002, Train Loss: 1.8828099, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 7.5348735
Epoch: 003, Train Loss: 1.6806310, Train Acc: 0.5810811, Test Acc: 0.4444444, Train Cov: 7.7509604
Epoch: 004, Train Loss: 1.9892526, Train Acc: 0.5675676, Test Acc: 0.5555556, Train Cov: 7.0383568
Epoch: 005, Train Loss: 1.7577860, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 7.8915706
Epoch: 006, Train Loss: 2.7152329, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 8.8516445
Epoch: 007, Train Loss: 1.1362890, Train Acc: 0.6621622, Test Acc: 0.3333333, Train Cov: 6.9397578
Epoch: 008, Train Loss: 1.4909737, Train Acc: 0.5540541, Test Acc: 0.3333333, Train Cov: 9.5815907
Epoch: 009, Train Loss: 2.0106274, Train Acc: 0.5810811, Test Acc: 0.6666667, Train Cov: 11.0160303
Epoch: 010, Train Loss: 1.1114137, Train Acc: 0.6486486, Test Acc: 0.4444444, Train Cov: 11.0538445
Epoch: 011, Train Loss: 1.3780422, Train Acc: 0.7162162, Test Acc: 0.4444444, Train Cov: 12.1296682
Epoch: 012, Train Loss: 1.7547867, Train Acc: 0.6891892, Test Acc: 0.4444444, Train Cov: 9.0648499
Epoch: 013, Train Loss: 0.6883124, Train Acc: 0.7027027, Test Acc: 0.3333333, Train Cov: 8.9256964
Epoch: 014, Train Loss: 2.1476798, Train Acc: 0.7297297, Test Acc: 0.4444444, Train Cov: 12.1048317
Epoch: 015, Train Loss: 0.4869343, Train Acc: 0.6891892, Test Acc: 0.5555556, Train Cov: 10.9213266
Epoch: 016, Train Loss: 1.3804546, Train Acc: 0.7972973, Test Acc: 0.5555556, Train Cov: 10.4719162
Epoch: 017, Train Loss: 0.4970285, Train Acc: 0.8108108, Test Acc: 0.5555556, Train Cov: 11.3775015
Epoch: 018, Train Loss: 0.5408779, Train Acc: 0.8243243, Test Acc: 0.5555556, Train Cov: 11.5151062
Epoch: 019, Train Loss: 0.3212539, Train Acc: 0.7567568, Test Acc: 0.5555556, Train Cov: 7.0740027
Epoch: 020, Train Loss: 0.9656654, Train Acc: 0.8243243, Test Acc: 0.4444444, Train Cov: 10.3777704
Epoch: 021, Train Loss: 0.6713991, Train Acc: 0.8513514, Test Acc: 0.5555556, Train Cov: 9.4970818
Epoch: 022, Train Loss: 1.0940840, Train Acc: 0.6756757, Test Acc: 0.4444444, Train Cov: 9.4666824
Epoch: 023, Train Loss: 0.1578087, Train Acc: 0.6621622, Test Acc: 0.4444444, Train Cov: 9.9701004
Epoch: 024, Train Loss: 0.4008500, Train Acc: 0.7297297, Test Acc: 0.4444444, Train Cov: 10.0655441
Epoch: 025, Train Loss: 0.3208303, Train Acc: 0.9189189, Test Acc: 0.5555556, Train Cov: 9.9914961
Epoch: 026, Train Loss: 0.5587943, Train Acc: 0.5675676, Test Acc: 0.4444444, Train Cov: 10.1425667
Epoch: 027, Train Loss: 0.5549951, Train Acc: 0.5945946, Test Acc: 0.4444444, Train Cov: 9.6811628
Epoch: 028, Train Loss: 0.1532604, Train Acc: 0.5810811, Test Acc: 0.4444444, Train Cov: 10.7876272
Epoch: 029, Train Loss: 0.0813469, Train Acc: 0.5405405, Test Acc: 0.4444444, Train Cov: 11.9904079
Epoch: 030, Train Loss: 0.5680157, Train Acc: 0.6486486, Test Acc: 0.5555556, Train Cov: 10.7214184
Epoch: 031, Train Loss: 0.1332262, Train Acc: 0.8513514, Test Acc: 0.5555556, Train Cov: 9.9994822
Epoch: 032, Train Loss: 0.1783466, Train Acc: 0.9324324, Test Acc: 0.6666667, Train Cov: 10.0750456
Epoch: 033, Train Loss: 0.1605982, Train Acc: 0.9324324, Test Acc: 0.4444444, Train Cov: 7.0628309
Epoch: 034, Train Loss: 0.4653554, Train Acc: 0.9594595, Test Acc: 0.6666667, Train Cov: 10.0964031
Epoch: 035, Train Loss: 0.1301695, Train Acc: 0.9054054, Test Acc: 0.5555556, Train Cov: 9.8508291
Epoch: 036, Train Loss: 0.4927969, Train Acc: 0.8378378, Test Acc: 0.5555556, Train Cov: 8.8947334
Epoch: 037, Train Loss: 0.3488189, Train Acc: 0.9729730, Test Acc: 0.4444444, Train Cov: 8.7849503
Epoch: 038, Train Loss: 0.3321010, Train Acc: 0.7702703, Test Acc: 0.5555556, Train Cov: 9.9241991
Epoch: 039, Train Loss: 0.2457226, Train Acc: 0.8513514, Test Acc: 0.5555556, Train Cov: 10.9852839
Epoch: 040, Train Loss: 0.5197713, Train Acc: 0.9054054, Test Acc: 0.6666667, Train Cov: 10.2824583
Epoch: 041, Train Loss: 0.1629483, Train Acc: 0.9459459, Test Acc: 0.6666667, Train Cov: 9.4035816
Epoch: 042, Train Loss: 0.1196185, Train Acc: 0.9729730, Test Acc: 0.5555556, Train Cov: 9.5997829
Epoch: 043, Train Loss: 0.1708290, Train Acc: 0.9054054, Test Acc: 0.7777778, Train Cov: 9.1605215
Epoch: 044, Train Loss: 0.3719864, Train Acc: 0.9594595, Test Acc: 0.5555556, Train Cov: 8.1542339
Epoch: 045, Train Loss: 0.1271210, Train Acc: 0.7567568, Test Acc: 0.4444444, Train Cov: 8.7879562
Epoch: 046, Train Loss: 0.3956715, Train Acc: 0.9189189, Test Acc: 0.7777778, Train Cov: 6.5399933
Epoch: 047, Train Loss: 0.1600899, Train Acc: 0.9324324, Test Acc: 0.7777778, Train Cov: 8.3523636
Epoch: 048, Train Loss: 0.3426966, Train Acc: 0.9324324, Test Acc: 0.6666667, Train Cov: 7.6828928
Epoch: 049, Train Loss: 0.1749275, Train Acc: 0.9189189, Test Acc: 0.4444444, Train Cov: 7.6997824
Epoch: 050, Train Loss: 0.0579097, Train Acc: 0.7837838, Test Acc: 0.4444444, Train Cov: 8.7309856
