{'dataset_name': 'KKI', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.1, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613448048', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=KKI, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 2.6915509, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 4.4308505
Epoch: 002, Train Loss: 2.3778719, Train Acc: 0.5540541, Test Acc: 0.4444444, Train Cov: 6.0496373
Epoch: 003, Train Loss: 2.3882852, Train Acc: 0.4459459, Test Acc: 0.4444444, Train Cov: 6.1060052
Epoch: 004, Train Loss: 1.9716857, Train Acc: 0.4459459, Test Acc: 0.4444444, Train Cov: 5.7400312
Epoch: 005, Train Loss: 2.1537451, Train Acc: 0.4459459, Test Acc: 0.4444444, Train Cov: 5.7784996
Epoch: 006, Train Loss: 2.9386647, Train Acc: 0.4459459, Test Acc: 0.4444444, Train Cov: 6.6200085
Epoch: 007, Train Loss: 1.7651902, Train Acc: 0.5270270, Test Acc: 0.3333333, Train Cov: 5.3920026
Epoch: 008, Train Loss: 1.5146831, Train Acc: 0.5000000, Test Acc: 0.3333333, Train Cov: 6.3953505
Epoch: 009, Train Loss: 2.6349508, Train Acc: 0.4864865, Test Acc: 0.3333333, Train Cov: 6.6767478
Epoch: 010, Train Loss: 1.7036143, Train Acc: 0.4459459, Test Acc: 0.4444444, Train Cov: 6.1163144
Epoch: 011, Train Loss: 1.8242816, Train Acc: 0.4864865, Test Acc: 0.4444444, Train Cov: 6.3416824
Epoch: 012, Train Loss: 1.0490378, Train Acc: 0.7567568, Test Acc: 0.6666667, Train Cov: 5.0893965
Epoch: 013, Train Loss: 1.2207086, Train Acc: 0.7432432, Test Acc: 0.4444444, Train Cov: 4.8678370
Epoch: 014, Train Loss: 2.8783414, Train Acc: 0.5945946, Test Acc: 0.7777778, Train Cov: 5.4344382
Epoch: 015, Train Loss: 1.2755946, Train Acc: 0.5540541, Test Acc: 0.8888889, Train Cov: 5.1585293
Epoch: 016, Train Loss: 1.2784906, Train Acc: 0.5945946, Test Acc: 0.7777778, Train Cov: 5.1758523
Epoch: 017, Train Loss: 1.4506809, Train Acc: 0.6756757, Test Acc: 0.6666667, Train Cov: 5.0675864
Epoch: 018, Train Loss: 1.1590369, Train Acc: 0.6621622, Test Acc: 0.5555556, Train Cov: 4.9666924
Epoch: 019, Train Loss: 0.8663315, Train Acc: 0.5675676, Test Acc: 0.5555556, Train Cov: 4.4720516
Epoch: 020, Train Loss: 1.5367965, Train Acc: 0.5945946, Test Acc: 0.5555556, Train Cov: 4.8373075
Epoch: 021, Train Loss: 1.3178776, Train Acc: 0.6216216, Test Acc: 0.5555556, Train Cov: 4.8536320
Epoch: 022, Train Loss: 0.7079681, Train Acc: 0.5405405, Test Acc: 0.5555556, Train Cov: 4.8328180
Epoch: 023, Train Loss: 0.9403093, Train Acc: 0.6756757, Test Acc: 0.5555556, Train Cov: 4.8284173
Epoch: 024, Train Loss: 0.8110952, Train Acc: 0.9324324, Test Acc: 0.7777778, Train Cov: 4.6594424
Epoch: 025, Train Loss: 0.6991948, Train Acc: 0.8783784, Test Acc: 0.7777778, Train Cov: 4.5634522
Epoch: 026, Train Loss: 0.8464874, Train Acc: 0.7162162, Test Acc: 0.5555556, Train Cov: 4.3453608
Epoch: 027, Train Loss: 0.6132095, Train Acc: 0.6486486, Test Acc: 0.4444444, Train Cov: 4.3216414
Epoch: 028, Train Loss: 0.7732155, Train Acc: 0.6621622, Test Acc: 0.4444444, Train Cov: 4.1747103
Epoch: 029, Train Loss: 0.8372840, Train Acc: 0.8108108, Test Acc: 0.6666667, Train Cov: 4.5763297
Epoch: 030, Train Loss: 0.6100160, Train Acc: 0.7297297, Test Acc: 0.5555556, Train Cov: 4.4466200
Epoch: 031, Train Loss: 0.8378377, Train Acc: 0.6621622, Test Acc: 0.5555556, Train Cov: 4.2528057
Epoch: 032, Train Loss: 1.2162302, Train Acc: 0.7702703, Test Acc: 0.6666667, Train Cov: 4.2728605
Epoch: 033, Train Loss: 0.7259361, Train Acc: 0.6621622, Test Acc: 0.6666667, Train Cov: 4.1207886
Epoch: 034, Train Loss: 2.5609970, Train Acc: 0.7027027, Test Acc: 0.5555556, Train Cov: 4.5432105
Epoch: 035, Train Loss: 0.8405773, Train Acc: 0.7567568, Test Acc: 0.5555556, Train Cov: 4.2417645
Epoch: 036, Train Loss: 0.8531185, Train Acc: 0.8513514, Test Acc: 0.5555556, Train Cov: 4.3484473
Epoch: 037, Train Loss: 1.0663160, Train Acc: 0.8378378, Test Acc: 0.6666667, Train Cov: 4.2579679
Epoch: 038, Train Loss: 1.0563463, Train Acc: 0.7837838, Test Acc: 0.6666667, Train Cov: 4.4606938
Epoch: 039, Train Loss: 1.1049680, Train Acc: 0.7432432, Test Acc: 0.6666667, Train Cov: 4.4640660
Epoch: 040, Train Loss: 0.8868651, Train Acc: 0.7432432, Test Acc: 0.7777778, Train Cov: 4.4225760
Epoch: 041, Train Loss: 1.1134734, Train Acc: 0.7837838, Test Acc: 0.6666667, Train Cov: 4.3621917
Epoch: 042, Train Loss: 0.7692731, Train Acc: 0.8648649, Test Acc: 0.8888889, Train Cov: 4.3293123
Epoch: 043, Train Loss: 0.8139846, Train Acc: 0.9189189, Test Acc: 0.5555556, Train Cov: 4.2111959
Epoch: 044, Train Loss: 0.6201052, Train Acc: 0.8108108, Test Acc: 0.5555556, Train Cov: 4.1071572
Epoch: 045, Train Loss: 0.6644747, Train Acc: 0.8513514, Test Acc: 0.5555556, Train Cov: 4.1174760
Epoch: 046, Train Loss: 0.5555102, Train Acc: 0.8648649, Test Acc: 0.6666667, Train Cov: 4.0265131
Epoch: 047, Train Loss: 0.5005073, Train Acc: 0.8108108, Test Acc: 0.6666667, Train Cov: 3.9494407
Epoch: 048, Train Loss: 0.4819748, Train Acc: 0.7162162, Test Acc: 0.5555556, Train Cov: 3.8953578
Epoch: 049, Train Loss: 0.7656227, Train Acc: 0.9324324, Test Acc: 0.7777778, Train Cov: 3.8878307
Epoch: 050, Train Loss: 0.6809621, Train Acc: 0.6891892, Test Acc: 0.4444444, Train Cov: 3.8561947
Epoch: 051, Train Loss: 0.7420031, Train Acc: 0.5945946, Test Acc: 0.4444444, Train Cov: 3.9047630
Epoch: 052, Train Loss: 0.6087978, Train Acc: 0.5945946, Test Acc: 0.4444444, Train Cov: 4.0246315
Epoch: 053, Train Loss: 0.7919999, Train Acc: 0.6891892, Test Acc: 0.5555556, Train Cov: 4.0941453
Epoch: 054, Train Loss: 0.7680634, Train Acc: 0.8243243, Test Acc: 0.5555556, Train Cov: 4.0031090
Epoch: 055, Train Loss: 0.5852504, Train Acc: 0.9189189, Test Acc: 0.6666667, Train Cov: 4.1075311
Epoch: 056, Train Loss: 0.6291034, Train Acc: 0.9594595, Test Acc: 0.5555556, Train Cov: 4.0696616
Epoch: 057, Train Loss: 0.5644409, Train Acc: 1.0000000, Test Acc: 0.5555556, Train Cov: 4.1931682
Epoch: 058, Train Loss: 0.6086735, Train Acc: 0.9864865, Test Acc: 0.4444444, Train Cov: 4.0953846
Epoch: 059, Train Loss: 0.5592866, Train Acc: 0.9729730, Test Acc: 0.5555556, Train Cov: 4.0019889
Epoch: 060, Train Loss: 0.6200680, Train Acc: 0.9594595, Test Acc: 0.5555556, Train Cov: 3.9308274
Epoch: 061, Train Loss: 0.4488268, Train Acc: 0.9594595, Test Acc: 0.5555556, Train Cov: 3.9132650
Epoch: 062, Train Loss: 0.4495655, Train Acc: 0.9729730, Test Acc: 0.6666667, Train Cov: 3.8808258
Epoch: 063, Train Loss: 0.4668777, Train Acc: 0.9864865, Test Acc: 0.6666667, Train Cov: 3.8765676
Epoch: 064, Train Loss: 0.4975234, Train Acc: 0.9864865, Test Acc: 0.7777778, Train Cov: 3.8474984
Epoch: 065, Train Loss: 0.4324364, Train Acc: 0.9864865, Test Acc: 0.6666667, Train Cov: 3.8062499
Epoch: 066, Train Loss: 0.4199409, Train Acc: 1.0000000, Test Acc: 0.5555556, Train Cov: 3.7646878
Epoch: 067, Train Loss: 0.4601332, Train Acc: 1.0000000, Test Acc: 0.5555556, Train Cov: 3.7850816
Epoch: 068, Train Loss: 0.4232106, Train Acc: 1.0000000, Test Acc: 0.5555556, Train Cov: 3.7419686
Epoch: 069, Train Loss: 0.5060463, Train Acc: 1.0000000, Test Acc: 0.5555556, Train Cov: 3.6967745
Epoch: 070, Train Loss: 0.4142065, Train Acc: 0.9459459, Test Acc: 0.5555556, Train Cov: 3.7665472
Epoch: 071, Train Loss: 0.5011418, Train Acc: 0.9864865, Test Acc: 0.4444444, Train Cov: 3.7082822
Epoch: 072, Train Loss: 0.4020091, Train Acc: 0.9864865, Test Acc: 0.5555556, Train Cov: 3.6756668
Epoch: 073, Train Loss: 0.4464325, Train Acc: 0.9594595, Test Acc: 0.6666667, Train Cov: 3.6417027
Epoch: 074, Train Loss: 0.4188694, Train Acc: 0.8783784, Test Acc: 0.6666667, Train Cov: 3.7887206
Epoch: 075, Train Loss: 0.4366731, Train Acc: 0.8783784, Test Acc: 0.5555556, Train Cov: 3.6661861
Epoch: 076, Train Loss: 0.4685510, Train Acc: 0.9324324, Test Acc: 0.6666667, Train Cov: 3.7379930
Epoch: 077, Train Loss: 0.5243043, Train Acc: 0.9729730, Test Acc: 0.5555556, Train Cov: 3.7449980
Epoch: 078, Train Loss: 0.4123925, Train Acc: 1.0000000, Test Acc: 0.4444444, Train Cov: 3.8071005
Epoch: 079, Train Loss: 0.3992092, Train Acc: 0.9864865, Test Acc: 0.5555556, Train Cov: 3.7855539
Epoch: 080, Train Loss: 0.4456053, Train Acc: 0.9864865, Test Acc: 0.5555556, Train Cov: 3.7214999
Epoch: 081, Train Loss: 0.4688042, Train Acc: 0.9864865, Test Acc: 0.5555556, Train Cov: 3.6794291
Epoch: 082, Train Loss: 0.3887099, Train Acc: 0.9864865, Test Acc: 0.6666667, Train Cov: 3.6236193
Epoch: 083, Train Loss: 0.4293726, Train Acc: 0.9864865, Test Acc: 0.6666667, Train Cov: 3.6455462
Epoch: 084, Train Loss: 0.4247970, Train Acc: 1.0000000, Test Acc: 0.5555556, Train Cov: 3.6737409
Epoch: 085, Train Loss: 0.4086508, Train Acc: 0.9189189, Test Acc: 0.5555556, Train Cov: 3.6079712
Epoch: 086, Train Loss: 0.4429551, Train Acc: 0.9324324, Test Acc: 0.5555556, Train Cov: 3.5928130
Epoch: 087, Train Loss: 0.4623402, Train Acc: 0.9729730, Test Acc: 0.5555556, Train Cov: 3.5664241
Epoch: 088, Train Loss: 0.3929974, Train Acc: 1.0000000, Test Acc: 0.6666667, Train Cov: 3.5463398
Epoch: 089, Train Loss: 0.3817662, Train Acc: 1.0000000, Test Acc: 0.7777778, Train Cov: 3.5888071
Epoch: 090, Train Loss: 0.4220955, Train Acc: 1.0000000, Test Acc: 0.7777778, Train Cov: 3.5400164
Epoch: 091, Train Loss: 0.3983480, Train Acc: 1.0000000, Test Acc: 0.7777778, Train Cov: 3.5042295
Epoch: 092, Train Loss: 0.3801599, Train Acc: 0.9864865, Test Acc: 0.7777778, Train Cov: 3.5540311
Epoch: 093, Train Loss: 0.3785872, Train Acc: 0.9864865, Test Acc: 0.7777778, Train Cov: 3.5742230
Epoch: 094, Train Loss: 0.4276836, Train Acc: 1.0000000, Test Acc: 0.7777778, Train Cov: 3.5212204
Epoch: 095, Train Loss: 0.4331897, Train Acc: 1.0000000, Test Acc: 0.6666667, Train Cov: 3.4639909
Epoch: 096, Train Loss: 0.3629513, Train Acc: 1.0000000, Test Acc: 0.7777778, Train Cov: 3.4276092
Epoch: 097, Train Loss: 0.3954201, Train Acc: 0.9864865, Test Acc: 0.6666667, Train Cov: 3.5533357
Epoch: 098, Train Loss: 0.3923050, Train Acc: 0.9864865, Test Acc: 0.6666667, Train Cov: 3.6019330
Epoch: 099, Train Loss: 0.3803998, Train Acc: 1.0000000, Test Acc: 0.5555556, Train Cov: 3.4673517
Epoch: 100, Train Loss: 0.3604353, Train Acc: 0.9594595, Test Acc: 0.6666667, Train Cov: 3.4700713
Epoch: 101, Train Loss: 0.3493356, Train Acc: 0.9594595, Test Acc: 0.6666667, Train Cov: 3.3731163
Epoch: 102, Train Loss: 0.4516728, Train Acc: 0.9594595, Test Acc: 0.6666667, Train Cov: 3.4156630
Epoch: 103, Train Loss: 0.3820430, Train Acc: 0.9594595, Test Acc: 0.5555556, Train Cov: 3.4632685
Epoch: 104, Train Loss: 0.3808899, Train Acc: 0.9729730, Test Acc: 0.4444444, Train Cov: 3.4508963
Epoch: 105, Train Loss: 0.3865651, Train Acc: 1.0000000, Test Acc: 0.4444444, Train Cov: 3.4238472
Epoch: 106, Train Loss: 0.3567272, Train Acc: 1.0000000, Test Acc: 0.5555556, Train Cov: 3.3755188
Epoch: 107, Train Loss: 0.3485363, Train Acc: 1.0000000, Test Acc: 0.5555556, Train Cov: 3.3215268
Epoch: 108, Train Loss: 0.3515774, Train Acc: 1.0000000, Test Acc: 0.5555556, Train Cov: 3.3632386
Epoch: 109, Train Loss: 0.3385077, Train Acc: 1.0000000, Test Acc: 0.5555556, Train Cov: 3.3185146
