{'dataset_name': 'KKI', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.1, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 20, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613448374', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=KKI, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 2.4588916, Train Acc: 0.5675676, Test Acc: 0.4444444, Train Cov: 0.6268542
Epoch: 002, Train Loss: 1.3886523, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 0.5814173
Epoch: 003, Train Loss: 1.6632915, Train Acc: 0.5405405, Test Acc: 0.5555556, Train Cov: 0.5948892
Epoch: 004, Train Loss: 1.8824481, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 0.4669475
Epoch: 005, Train Loss: 2.3423438, Train Acc: 0.4594595, Test Acc: 0.4444444, Train Cov: 0.5479992
Epoch: 006, Train Loss: 1.6300367, Train Acc: 0.4459459, Test Acc: 0.4444444, Train Cov: 0.4636074
Epoch: 007, Train Loss: 1.6228898, Train Acc: 0.4594595, Test Acc: 0.4444444, Train Cov: 0.5840604
Epoch: 008, Train Loss: 1.5488814, Train Acc: 0.4729730, Test Acc: 0.2222222, Train Cov: 0.5539706
Epoch: 009, Train Loss: 1.3352688, Train Acc: 0.4864865, Test Acc: 0.3333333, Train Cov: 0.4846036
Epoch: 010, Train Loss: 1.4434959, Train Acc: 0.5270270, Test Acc: 0.5555556, Train Cov: 0.4837136
Epoch: 011, Train Loss: 1.0057675, Train Acc: 0.5135135, Test Acc: 0.6666667, Train Cov: 0.4629442
Epoch: 012, Train Loss: 1.0725197, Train Acc: 0.5405405, Test Acc: 0.5555556, Train Cov: 0.5530719
Epoch: 013, Train Loss: 1.5549517, Train Acc: 0.5810811, Test Acc: 0.5555556, Train Cov: 0.5388170
Epoch: 014, Train Loss: 1.3200886, Train Acc: 0.5270270, Test Acc: 0.2222222, Train Cov: 0.4469678
Epoch: 015, Train Loss: 1.8156360, Train Acc: 0.5405405, Test Acc: 0.4444444, Train Cov: 0.4808148
Epoch: 016, Train Loss: 1.3378735, Train Acc: 0.5810811, Test Acc: 0.2222222, Train Cov: 0.5171192
Epoch: 017, Train Loss: 1.2287928, Train Acc: 0.5540541, Test Acc: 0.3333333, Train Cov: 0.5369368
Epoch: 018, Train Loss: 1.7910200, Train Acc: 0.6351351, Test Acc: 0.4444444, Train Cov: 0.5035966
Epoch: 019, Train Loss: 1.4631295, Train Acc: 0.5405405, Test Acc: 0.5555556, Train Cov: 0.5360966
Epoch: 020, Train Loss: 1.0251442, Train Acc: 0.4864865, Test Acc: 0.5555556, Train Cov: 0.5272895
Epoch: 021, Train Loss: 0.9130495, Train Acc: 0.4729730, Test Acc: 0.4444444, Train Cov: 0.5056974
Epoch: 022, Train Loss: 0.9717786, Train Acc: 0.5135135, Test Acc: 0.4444444, Train Cov: 0.5154437
Epoch: 023, Train Loss: 1.2247954, Train Acc: 0.5810811, Test Acc: 0.5555556, Train Cov: 0.5080021
Epoch: 024, Train Loss: 1.1031632, Train Acc: 0.5000000, Test Acc: 0.5555556, Train Cov: 0.4964788
Epoch: 025, Train Loss: 1.2564441, Train Acc: 0.5270270, Test Acc: 0.5555556, Train Cov: 0.5606773
Epoch: 026, Train Loss: 1.0256376, Train Acc: 0.5000000, Test Acc: 0.5555556, Train Cov: 0.4778406
Epoch: 027, Train Loss: 1.0419343, Train Acc: 0.5135135, Test Acc: 0.6666667, Train Cov: 0.5225723
Epoch: 028, Train Loss: 1.1320254, Train Acc: 0.5675676, Test Acc: 0.5555556, Train Cov: 0.4788316
Epoch: 029, Train Loss: 0.7729426, Train Acc: 0.5270270, Test Acc: 0.4444444, Train Cov: 0.4730278
Epoch: 030, Train Loss: 0.8596235, Train Acc: 0.4594595, Test Acc: 0.2222222, Train Cov: 0.4472651
Epoch: 031, Train Loss: 1.0152240, Train Acc: 0.5405405, Test Acc: 0.5555556, Train Cov: 0.5373102
Epoch: 032, Train Loss: 0.8161497, Train Acc: 0.5810811, Test Acc: 0.4444444, Train Cov: 0.4618358
Epoch: 033, Train Loss: 0.9943978, Train Acc: 0.5270270, Test Acc: 0.5555556, Train Cov: 0.5179232
Epoch: 034, Train Loss: 0.9643324, Train Acc: 0.4729730, Test Acc: 0.3333333, Train Cov: 0.4623925
Epoch: 035, Train Loss: 0.8788155, Train Acc: 0.5270270, Test Acc: 0.1111111, Train Cov: 0.4971124
Epoch: 036, Train Loss: 1.1367887, Train Acc: 0.5135135, Test Acc: 0.5555556, Train Cov: 0.4738973
Epoch: 037, Train Loss: 0.8010188, Train Acc: 0.5270270, Test Acc: 0.3333333, Train Cov: 0.5420348
Epoch: 038, Train Loss: 0.8787480, Train Acc: 0.6351351, Test Acc: 0.3333333, Train Cov: 0.4372010
Epoch: 039, Train Loss: 0.7142687, Train Acc: 0.5945946, Test Acc: 0.6666667, Train Cov: 0.4375953
Epoch: 040, Train Loss: 0.9414618, Train Acc: 0.5675676, Test Acc: 0.4444444, Train Cov: 0.4667517
Epoch: 041, Train Loss: 0.7727625, Train Acc: 0.5540541, Test Acc: 0.7777778, Train Cov: 0.4322368
