{'dataset_name': 'KKI', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 20, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613448390', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=KKI, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 2.4525300, Train Acc: 0.5405405, Test Acc: 0.4444444, Train Cov: 0.6443469
Epoch: 002, Train Loss: 1.8445991, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 0.5536628
Epoch: 003, Train Loss: 1.4627641, Train Acc: 0.5405405, Test Acc: 0.5555556, Train Cov: 0.6376302
Epoch: 004, Train Loss: 2.4493366, Train Acc: 0.5405405, Test Acc: 0.5555556, Train Cov: 0.6096507
Epoch: 005, Train Loss: 2.1344679, Train Acc: 0.5405405, Test Acc: 0.5555556, Train Cov: 0.6090722
Epoch: 006, Train Loss: 1.8268320, Train Acc: 0.5405405, Test Acc: 0.5555556, Train Cov: 0.5402130
Epoch: 007, Train Loss: 2.0350947, Train Acc: 0.5000000, Test Acc: 0.3333333, Train Cov: 0.6247137
Epoch: 008, Train Loss: 1.6628291, Train Acc: 0.4594595, Test Acc: 0.3333333, Train Cov: 0.6178320
Epoch: 009, Train Loss: 1.8849475, Train Acc: 0.5540541, Test Acc: 0.2222222, Train Cov: 0.6024021
Epoch: 010, Train Loss: 1.3967188, Train Acc: 0.5405405, Test Acc: 0.3333333, Train Cov: 0.6966880
Epoch: 011, Train Loss: 1.3688080, Train Acc: 0.5540541, Test Acc: 0.2222222, Train Cov: 0.6668719
Epoch: 012, Train Loss: 1.3132889, Train Acc: 0.5270270, Test Acc: 0.5555556, Train Cov: 0.7439455
Epoch: 013, Train Loss: 1.2334620, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 0.7437134
Epoch: 014, Train Loss: 1.4132604, Train Acc: 0.5675676, Test Acc: 0.5555556, Train Cov: 0.7155084
Epoch: 015, Train Loss: 2.1146288, Train Acc: 0.5405405, Test Acc: 0.6666667, Train Cov: 0.7078565
Epoch: 016, Train Loss: 1.2522595, Train Acc: 0.4729730, Test Acc: 0.6666667, Train Cov: 0.7379449
Epoch: 017, Train Loss: 1.2140289, Train Acc: 0.4459459, Test Acc: 0.5555556, Train Cov: 0.6821636
Epoch: 018, Train Loss: 1.1821325, Train Acc: 0.5405405, Test Acc: 0.2222222, Train Cov: 0.8181013
Epoch: 019, Train Loss: 1.2308796, Train Acc: 0.5405405, Test Acc: 0.1111111, Train Cov: 0.8874473
Epoch: 020, Train Loss: 1.0704979, Train Acc: 0.5135135, Test Acc: 0.2222222, Train Cov: 0.9134605
Epoch: 021, Train Loss: 1.1142935, Train Acc: 0.5405405, Test Acc: 0.3333333, Train Cov: 0.8727579
Epoch: 022, Train Loss: 1.4093239, Train Acc: 0.5675676, Test Acc: 0.5555556, Train Cov: 0.8844222
Epoch: 023, Train Loss: 1.0588451, Train Acc: 0.5270270, Test Acc: 0.4444444, Train Cov: 0.8662360
Epoch: 024, Train Loss: 1.0763148, Train Acc: 0.5135135, Test Acc: 0.4444444, Train Cov: 0.8192707
Epoch: 025, Train Loss: 1.2281914, Train Acc: 0.6216216, Test Acc: 0.6666667, Train Cov: 0.6893867
Epoch: 026, Train Loss: 1.0089360, Train Acc: 0.6081081, Test Acc: 0.4444444, Train Cov: 0.8312305
Epoch: 027, Train Loss: 1.0964280, Train Acc: 0.5135135, Test Acc: 0.5555556, Train Cov: 0.8762367
Epoch: 028, Train Loss: 0.8490106, Train Acc: 0.5000000, Test Acc: 0.6666667, Train Cov: 0.8523279
Epoch: 029, Train Loss: 0.7354408, Train Acc: 0.6351351, Test Acc: 0.5555556, Train Cov: 0.8992558
Epoch: 030, Train Loss: 0.7943138, Train Acc: 0.5675676, Test Acc: 0.5555556, Train Cov: 0.8807213
Epoch: 031, Train Loss: 0.8282608, Train Acc: 0.5270270, Test Acc: 0.4444444, Train Cov: 0.9181566
Epoch: 032, Train Loss: 0.7002795, Train Acc: 0.5270270, Test Acc: 0.6666667, Train Cov: 0.8614156
Epoch: 033, Train Loss: 0.9549051, Train Acc: 0.5810811, Test Acc: 0.5555556, Train Cov: 0.8432809
Epoch: 034, Train Loss: 0.9506591, Train Acc: 0.5000000, Test Acc: 0.1111111, Train Cov: 0.8453040
Epoch: 035, Train Loss: 1.0094814, Train Acc: 0.5675676, Test Acc: 0.3333333, Train Cov: 0.8344751
Epoch: 036, Train Loss: 1.0013215, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 0.6531036
Epoch: 037, Train Loss: 0.7798430, Train Acc: 0.5135135, Test Acc: 0.5555556, Train Cov: 0.7270671
Epoch: 038, Train Loss: 0.9405982, Train Acc: 0.5000000, Test Acc: 0.5555556, Train Cov: 0.8115298
Epoch: 039, Train Loss: 0.7583639, Train Acc: 0.5135135, Test Acc: 0.5555556, Train Cov: 0.9020805
Epoch: 040, Train Loss: 1.1418785, Train Acc: 0.4729730, Test Acc: 0.3333333, Train Cov: 0.8370613
Epoch: 041, Train Loss: 0.7315057, Train Acc: 0.5540541, Test Acc: 0.3333333, Train Cov: 0.8894807
Epoch: 042, Train Loss: 0.7992560, Train Acc: 0.5540541, Test Acc: 0.1111111, Train Cov: 0.9345895
Epoch: 043, Train Loss: 0.8422218, Train Acc: 0.4864865, Test Acc: 0.4444444, Train Cov: 0.9313694
Epoch: 044, Train Loss: 0.6376904, Train Acc: 0.5000000, Test Acc: 0.3333333, Train Cov: 0.8897560
Epoch: 045, Train Loss: 0.7253654, Train Acc: 0.6216216, Test Acc: 0.4444444, Train Cov: 0.9835715
Epoch: 046, Train Loss: 0.8580018, Train Acc: 0.5810811, Test Acc: 0.4444444, Train Cov: 0.9379566
Epoch: 047, Train Loss: 0.7364482, Train Acc: 0.5675676, Test Acc: 0.3333333, Train Cov: 0.8764816
Epoch: 048, Train Loss: 0.7504603, Train Acc: 0.6756757, Test Acc: 0.4444444, Train Cov: 0.9332634
Epoch: 049, Train Loss: 0.7553687, Train Acc: 0.5540541, Test Acc: 0.3333333, Train Cov: 0.9028729
Epoch: 050, Train Loss: 0.7307598, Train Acc: 0.5540541, Test Acc: 0.2222222, Train Cov: 0.8213783
Epoch: 051, Train Loss: 0.9164701, Train Acc: 0.5675676, Test Acc: 0.2222222, Train Cov: 0.8097392
Epoch: 052, Train Loss: 0.8973775, Train Acc: 0.5810811, Test Acc: 0.4444444, Train Cov: 0.8531777
Epoch: 053, Train Loss: 0.7526014, Train Acc: 0.5000000, Test Acc: 0.4444444, Train Cov: 0.9514771
Epoch: 054, Train Loss: 0.8018906, Train Acc: 0.5810811, Test Acc: 0.3333333, Train Cov: 0.8907021
Epoch: 055, Train Loss: 0.8496748, Train Acc: 0.5405405, Test Acc: 0.4444444, Train Cov: 0.9390999
Epoch: 056, Train Loss: 0.6734716, Train Acc: 0.5000000, Test Acc: 0.5555556, Train Cov: 0.8125839
Epoch: 057, Train Loss: 0.7805915, Train Acc: 0.5405405, Test Acc: 0.4444444, Train Cov: 0.8288566
Epoch: 058, Train Loss: 0.7622503, Train Acc: 0.5675676, Test Acc: 0.3333333, Train Cov: 0.9074978
Epoch: 059, Train Loss: 0.6957044, Train Acc: 0.5675676, Test Acc: 0.3333333, Train Cov: 0.7123645
Epoch: 060, Train Loss: 0.7350838, Train Acc: 0.5540541, Test Acc: 0.4444444, Train Cov: 0.9723955
Epoch: 061, Train Loss: 0.7172820, Train Acc: 0.5135135, Test Acc: 0.1111111, Train Cov: 0.9502993
Epoch: 062, Train Loss: 0.8304085, Train Acc: 0.5270270, Test Acc: 0.4444444, Train Cov: 0.7069119
Epoch: 063, Train Loss: 0.7292111, Train Acc: 0.6081081, Test Acc: 0.3333333, Train Cov: 0.8816193
Epoch: 064, Train Loss: 0.6821678, Train Acc: 0.5810811, Test Acc: 0.5555556, Train Cov: 0.8372139
Epoch: 065, Train Loss: 0.6555178, Train Acc: 0.5945946, Test Acc: 0.5555556, Train Cov: 0.8394343
Epoch: 066, Train Loss: 0.6708560, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 0.8868535
Epoch: 067, Train Loss: 0.6538908, Train Acc: 0.5540541, Test Acc: 0.5555556, Train Cov: 0.7103261
Epoch: 068, Train Loss: 0.6716496, Train Acc: 0.5540541, Test Acc: 0.3333333, Train Cov: 0.6789755
Epoch: 069, Train Loss: 0.6452944, Train Acc: 0.6351351, Test Acc: 0.5555556, Train Cov: 0.8309605
Epoch: 070, Train Loss: 0.7989196, Train Acc: 0.5810811, Test Acc: 0.5555556, Train Cov: 0.8866443
Epoch: 071, Train Loss: 0.7962629, Train Acc: 0.6081081, Test Acc: 0.4444444, Train Cov: 0.8915104
