{'dataset_name': 'MUTAG', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.1, 'hyperparams': {'batch_size': 64, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613446261', 'directory': '../../nlg_results/pca/board/'}
Downloading http://ls11-www.cs.tu-dortmund.de/people/morris/graphkerneldatasets/MUTAG.zip
Extracting /space/github_private/gnnzoo/tu/data/MUTAG/MUTAG/MUTAG.zip
Processing...
Done!
-------- FOLD0 DATASET=MUTAG, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 1.3647265, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5958638
Epoch: 002, Train Loss: 1.1179669, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5645571
Epoch: 003, Train Loss: 0.9625529, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5699368
Epoch: 004, Train Loss: 0.8447712, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5617657
Epoch: 005, Train Loss: 0.8294571, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5610213
Epoch: 006, Train Loss: 0.8353071, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5423493
Epoch: 007, Train Loss: 0.7131512, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5245113
Epoch: 008, Train Loss: 0.6889296, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5112987
Epoch: 009, Train Loss: 0.7008090, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5020266
Epoch: 010, Train Loss: 0.6673185, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.4930034
Epoch: 011, Train Loss: 0.6527350, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.4841304
Epoch: 012, Train Loss: 0.6203240, Train Acc: 0.6982249, Test Acc: 0.5263158, Train Cov: 4.4755373
Epoch: 013, Train Loss: 0.7035626, Train Acc: 0.7278107, Test Acc: 0.5789474, Train Cov: 4.4663172
Epoch: 014, Train Loss: 0.6396850, Train Acc: 0.7100592, Test Acc: 0.5789474, Train Cov: 4.4544997
Epoch: 015, Train Loss: 0.6517315, Train Acc: 0.6982249, Test Acc: 0.5263158, Train Cov: 4.4440084
Epoch: 016, Train Loss: 0.6581183, Train Acc: 0.6923077, Test Acc: 0.5263158, Train Cov: 4.4331684
Epoch: 017, Train Loss: 0.6249156, Train Acc: 0.6982249, Test Acc: 0.5789474, Train Cov: 4.4226613
Epoch: 018, Train Loss: 0.6984022, Train Acc: 0.7159763, Test Acc: 0.5789474, Train Cov: 4.4130158
Epoch: 019, Train Loss: 0.6709002, Train Acc: 0.7633136, Test Acc: 0.5789474, Train Cov: 4.4042993
Epoch: 020, Train Loss: 0.6539073, Train Acc: 0.7869822, Test Acc: 0.6315789, Train Cov: 4.3916249
Epoch: 021, Train Loss: 0.6527326, Train Acc: 0.7928994, Test Acc: 0.6842105, Train Cov: 4.3851790
Epoch: 022, Train Loss: 0.6397045, Train Acc: 0.8047337, Test Acc: 0.6842105, Train Cov: 4.3776422
Epoch: 023, Train Loss: 0.6070003, Train Acc: 0.8224852, Test Acc: 0.6842105, Train Cov: 4.3609881
