{'dataset_name': 'MUTAG', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613446281', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=MUTAG, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 0.9037200, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5965061
Epoch: 002, Train Loss: 0.7137528, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5764184
Epoch: 003, Train Loss: 0.4839713, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5575471
Epoch: 004, Train Loss: 0.4336135, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5419278
Epoch: 005, Train Loss: 0.3747071, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5403156
Epoch: 006, Train Loss: 0.4287006, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5336633
Epoch: 007, Train Loss: 0.2418126, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5231643
Epoch: 008, Train Loss: 0.2893666, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5121479
Epoch: 009, Train Loss: 0.2315314, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5116348
Epoch: 010, Train Loss: 0.2055804, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5073724
Epoch: 011, Train Loss: 0.1620338, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5053525
Epoch: 012, Train Loss: 0.2034163, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5035386
Epoch: 013, Train Loss: 0.1857710, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5060077
Epoch: 014, Train Loss: 0.1822697, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5063252
Epoch: 015, Train Loss: 0.1794817, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5048547
Epoch: 016, Train Loss: 0.1586075, Train Acc: 0.6804734, Test Acc: 0.5263158, Train Cov: 4.5035954
Epoch: 017, Train Loss: 0.1857595, Train Acc: 0.6863905, Test Acc: 0.5263158, Train Cov: 4.5038462
Epoch: 018, Train Loss: 0.2371547, Train Acc: 0.7159763, Test Acc: 0.5789474, Train Cov: 4.5068350
Epoch: 019, Train Loss: 0.1584962, Train Acc: 0.7692308, Test Acc: 0.5789474, Train Cov: 4.5081086
Epoch: 020, Train Loss: 0.1796273, Train Acc: 0.8047337, Test Acc: 0.6842105, Train Cov: 4.5071654
Epoch: 021, Train Loss: 0.2126314, Train Acc: 0.8284024, Test Acc: 0.7368421, Train Cov: 4.5060129
Epoch: 022, Train Loss: 0.1330072, Train Acc: 0.8165680, Test Acc: 0.6315789, Train Cov: 4.5042858
Epoch: 023, Train Loss: 0.1425143, Train Acc: 0.7988166, Test Acc: 0.6315789, Train Cov: 4.5016618
Epoch: 024, Train Loss: 0.1523444, Train Acc: 0.7988166, Test Acc: 0.6315789, Train Cov: 4.5008149
Epoch: 025, Train Loss: 0.1616003, Train Acc: 0.8106509, Test Acc: 0.6315789, Train Cov: 4.4990807
Epoch: 026, Train Loss: 0.1425500, Train Acc: 0.8520710, Test Acc: 0.6842105, Train Cov: 4.4965234
Epoch: 027, Train Loss: 0.1402259, Train Acc: 0.7988166, Test Acc: 0.6842105, Train Cov: 4.4972916
Epoch: 028, Train Loss: 0.1455517, Train Acc: 0.8284024, Test Acc: 0.6842105, Train Cov: 4.5002937
Epoch: 029, Train Loss: 0.1894312, Train Acc: 0.7869822, Test Acc: 0.6315789, Train Cov: 4.5002832
Epoch: 030, Train Loss: 0.1366309, Train Acc: 0.7751479, Test Acc: 0.6315789, Train Cov: 4.5018010
