{'dataset_name': 'NCI1', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 64, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 50, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'Tanh', 'aggr': 'add', 'BN': 'Y'}, 'commit_id': 'fe658b2e3cd2ce58e21d252ab15a16540c263406', 'time_stamp': '1613733514', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=fe658b2e3cd2ce58e21d252ab15a16540c263406
Epoch: 001, Train Loss: 1.6520788, Train Acc: 0.6147607, Test Acc: 0.5693431, Train Cov: 4.6705289
Epoch: 002, Train Loss: 0.9348936, Train Acc: 0.6531495, Test Acc: 0.6107056, Train Cov: 4.7500539
Epoch: 003, Train Loss: 0.7889809, Train Acc: 0.5823195, Test Acc: 0.5620438, Train Cov: 4.8457007
Epoch: 004, Train Loss: 0.7271029, Train Acc: 0.6964044, Test Acc: 0.6301703, Train Cov: 4.8766222
Epoch: 005, Train Loss: 0.6892668, Train Acc: 0.5669100, Test Acc: 0.5231144, Train Cov: 4.8570523
Epoch: 006, Train Loss: 0.6399216, Train Acc: 0.6474723, Test Acc: 0.6009732, Train Cov: 4.8142114
Epoch: 007, Train Loss: 0.6308796, Train Acc: 0.7093809, Test Acc: 0.6520681, Train Cov: 4.7958946
Epoch: 008, Train Loss: 0.6129130, Train Acc: 0.5068938, Test Acc: 0.5450122, Train Cov: 4.7777286
Epoch: 009, Train Loss: 0.6243488, Train Acc: 0.5185185, Test Acc: 0.5450122, Train Cov: 4.7441649
Epoch: 010, Train Loss: 0.6153067, Train Acc: 0.6988375, Test Acc: 0.6350365, Train Cov: 4.7328296
Epoch: 011, Train Loss: 0.5996564, Train Acc: 0.6782914, Test Acc: 0.6545012, Train Cov: 4.6948247
Epoch: 012, Train Loss: 0.5981370, Train Acc: 0.6399027, Test Acc: 0.5961071, Train Cov: 4.6940699
Epoch: 013, Train Loss: 0.5912567, Train Acc: 0.6307110, Test Acc: 0.6131387, Train Cov: 4.6545653
Epoch: 014, Train Loss: 0.5856041, Train Acc: 0.5347391, Test Acc: 0.5596107, Train Cov: 4.6274552
Epoch: 015, Train Loss: 0.5703523, Train Acc: 0.5820492, Test Acc: 0.5863747, Train Cov: 4.6118822
Epoch: 016, Train Loss: 0.5560297, Train Acc: 0.7215464, Test Acc: 0.6715328, Train Cov: 4.5808339
Epoch: 017, Train Loss: 0.5684390, Train Acc: 0.7196540, Test Acc: 0.6958637, Train Cov: 4.5926170
Epoch: 018, Train Loss: 0.5597489, Train Acc: 0.7539876, Test Acc: 0.6885645, Train Cov: 4.5611978
Epoch: 019, Train Loss: 0.5585445, Train Acc: 0.7661530, Test Acc: 0.7104623, Train Cov: 4.5400171
Epoch: 020, Train Loss: 0.5573370, Train Acc: 0.7007299, Test Acc: 0.6763990, Train Cov: 4.5197077
Epoch: 021, Train Loss: 0.5422541, Train Acc: 0.5341984, Test Acc: 0.5717762, Train Cov: 4.5209107
Epoch: 022, Train Loss: 0.5340637, Train Acc: 0.6528792, Test Acc: 0.5888078, Train Cov: 4.4865832
Epoch: 023, Train Loss: 0.5391032, Train Acc: 0.7099216, Test Acc: 0.6861314, Train Cov: 4.4710631
Epoch: 024, Train Loss: 0.5219206, Train Acc: 0.6780211, Test Acc: 0.6399027, Train Cov: 4.4505882
Epoch: 025, Train Loss: 0.5383045, Train Acc: 0.7023520, Test Acc: 0.6666667, Train Cov: 4.4359555
Epoch: 026, Train Loss: 0.5287489, Train Acc: 0.6731549, Test Acc: 0.6545012, Train Cov: 4.4270196
Epoch: 027, Train Loss: 0.5171307, Train Acc: 0.7374966, Test Acc: 0.6909976, Train Cov: 4.4150057
Epoch: 028, Train Loss: 0.5148390, Train Acc: 0.7661530, Test Acc: 0.7080292, Train Cov: 4.3900771
Epoch: 029, Train Loss: 0.5084033, Train Acc: 0.5439308, Test Acc: 0.5717762, Train Cov: 4.3869143
Epoch: 030, Train Loss: 0.5087339, Train Acc: 0.7547986, Test Acc: 0.6982968, Train Cov: 4.3542447
Epoch: 031, Train Loss: 0.4954744, Train Acc: 0.5815085, Test Acc: 0.5985401, Train Cov: 4.3467555
Epoch: 032, Train Loss: 0.5111081, Train Acc: 0.6304407, Test Acc: 0.6253041, Train Cov: 4.3285856
Epoch: 033, Train Loss: 0.4978754, Train Acc: 0.7664234, Test Acc: 0.7445255, Train Cov: 4.3115625
Epoch: 034, Train Loss: 0.4858280, Train Acc: 0.7848067, Test Acc: 0.7031630, Train Cov: 4.3032470
Epoch: 035, Train Loss: 0.4923633, Train Acc: 0.8196810, Test Acc: 0.7201946, Train Cov: 4.2892399
Epoch: 036, Train Loss: 0.4743371, Train Acc: 0.7447959, Test Acc: 0.6788321, Train Cov: 4.2663450
Epoch: 037, Train Loss: 0.4875160, Train Acc: 0.8215734, Test Acc: 0.7299270, Train Cov: 4.2624393
Epoch: 038, Train Loss: 0.4647950, Train Acc: 0.8118410, Test Acc: 0.7250608, Train Cov: 4.2342529
Epoch: 039, Train Loss: 0.4700341, Train Acc: 0.6047580, Test Acc: 0.6131387, Train Cov: 4.2172341
Epoch: 040, Train Loss: 0.4719419, Train Acc: 0.8267099, Test Acc: 0.7566910, Train Cov: 4.2105289
Epoch: 041, Train Loss: 0.4540815, Train Acc: 0.7004596, Test Acc: 0.6666667, Train Cov: 4.1981249
Epoch: 042, Train Loss: 0.4654030, Train Acc: 0.7658827, Test Acc: 0.7250608, Train Cov: 4.1772275
Epoch: 043, Train Loss: 0.4488288, Train Acc: 0.5785347, Test Acc: 0.5790754, Train Cov: 4.1630101
Epoch: 044, Train Loss: 0.4443191, Train Acc: 0.7658827, Test Acc: 0.7153285, Train Cov: 4.1420498
Epoch: 045, Train Loss: 0.4577136, Train Acc: 0.6080022, Test Acc: 0.6155718, Train Cov: 4.1380124
Epoch: 046, Train Loss: 0.4629631, Train Acc: 0.7531765, Test Acc: 0.6982968, Train Cov: 4.1222901
Epoch: 047, Train Loss: 0.4538295, Train Acc: 0.8294134, Test Acc: 0.7396594, Train Cov: 4.1013284
Epoch: 048, Train Loss: 0.4307183, Train Acc: 0.6171938, Test Acc: 0.6180049, Train Cov: 4.1022782
Epoch: 049, Train Loss: 0.4450054, Train Acc: 0.7458773, Test Acc: 0.7080292, Train Cov: 4.1004319
Epoch: 050, Train Loss: 0.4334204, Train Acc: 0.7366856, Test Acc: 0.7080292, Train Cov: 4.0917430
Epoch: 051, Train Loss: 0.4223673, Train Acc: 0.7250608, Test Acc: 0.7153285, Train Cov: 4.0650482
Epoch: 052, Train Loss: 0.4175544, Train Acc: 0.7061368, Test Acc: 0.6690998, Train Cov: 4.0349407
Epoch: 053, Train Loss: 0.3886257, Train Acc: 0.8391457, Test Acc: 0.7518248, Train Cov: 4.0283022
Epoch: 054, Train Loss: 0.3909053, Train Acc: 0.5052717, Test Acc: 0.5401460, Train Cov: 4.0302286
Epoch: 055, Train Loss: 0.3967923, Train Acc: 0.8215734, Test Acc: 0.7299270, Train Cov: 4.0158572
Epoch: 056, Train Loss: 0.3760539, Train Acc: 0.8821303, Test Acc: 0.7883212, Train Cov: 4.0018406
Epoch: 057, Train Loss: 0.3957773, Train Acc: 0.8775345, Test Acc: 0.7761557, Train Cov: 3.9908044
Epoch: 058, Train Loss: 0.3915791, Train Acc: 0.7491214, Test Acc: 0.6885645, Train Cov: 3.9911611
Epoch: 059, Train Loss: 0.3835034, Train Acc: 0.6847797, Test Acc: 0.6009732, Train Cov: 3.9788775
Epoch: 060, Train Loss: 0.3847756, Train Acc: 0.8829413, Test Acc: 0.7834550, Train Cov: 3.9656932
Epoch: 061, Train Loss: 0.3500523, Train Acc: 0.7402001, Test Acc: 0.6593674, Train Cov: 3.9410934
Epoch: 062, Train Loss: 0.3745613, Train Acc: 0.6853204, Test Acc: 0.6593674, Train Cov: 3.9447064
Epoch: 063, Train Loss: 0.3774168, Train Acc: 0.5769127, Test Acc: 0.5742092, Train Cov: 3.9403634
Epoch: 064, Train Loss: 0.3404062, Train Acc: 0.7880508, Test Acc: 0.7177616, Train Cov: 3.9132242
Epoch: 065, Train Loss: 0.3314230, Train Acc: 0.8375237, Test Acc: 0.7493917, Train Cov: 3.9064815
Epoch: 066, Train Loss: 0.3401896, Train Acc: 0.8269803, Test Acc: 0.7542579, Train Cov: 3.9043097
Epoch: 067, Train Loss: 0.3473358, Train Acc: 0.8204920, Test Acc: 0.7542579, Train Cov: 3.8912308
Epoch: 068, Train Loss: 0.3482603, Train Acc: 0.7069478, Test Acc: 0.6715328, Train Cov: 3.8927300
Epoch: 069, Train Loss: 0.3371774, Train Acc: 0.7312787, Test Acc: 0.6982968, Train Cov: 3.8764133
Epoch: 070, Train Loss: 0.3307344, Train Acc: 0.8707759, Test Acc: 0.7639903, Train Cov: 3.8721535
Epoch: 071, Train Loss: 0.3319959, Train Acc: 0.7802109, Test Acc: 0.7347932, Train Cov: 3.8567851
Epoch: 072, Train Loss: 0.3441318, Train Acc: 0.8423898, Test Acc: 0.7274939, Train Cov: 3.8596535
Epoch: 073, Train Loss: 0.3313850, Train Acc: 0.7926467, Test Acc: 0.6788321, Train Cov: 3.8391528
Epoch: 074, Train Loss: 0.3156358, Train Acc: 0.8937551, Test Acc: 0.7712895, Train Cov: 3.8173726
Epoch: 075, Train Loss: 0.3224833, Train Acc: 0.8118410, Test Acc: 0.7055961, Train Cov: 3.8163033
Epoch: 076, Train Loss: 0.3125299, Train Acc: 0.8469857, Test Acc: 0.7153285, Train Cov: 3.8122020
Epoch: 077, Train Loss: 0.3166239, Train Acc: 0.8577994, Test Acc: 0.7542579, Train Cov: 3.8090606
Epoch: 078, Train Loss: 0.3024322, Train Acc: 0.6715328, Test Acc: 0.6569343, Train Cov: 3.8022304
Epoch: 079, Train Loss: 0.3148595, Train Acc: 0.7274939, Test Acc: 0.6690998, Train Cov: 3.7767956
Epoch: 080, Train Loss: 0.3051027, Train Acc: 0.8569884, Test Acc: 0.7591241, Train Cov: 3.7791350
Epoch: 081, Train Loss: 0.3176300, Train Acc: 0.8326575, Test Acc: 0.7299270, Train Cov: 3.7742462
Epoch: 082, Train Loss: 0.2915728, Train Acc: 0.8464450, Test Acc: 0.7420925, Train Cov: 3.7547634
Epoch: 083, Train Loss: 0.2952812, Train Acc: 0.8842931, Test Acc: 0.7566910, Train Cov: 3.7668707
Epoch: 084, Train Loss: 0.3053598, Train Acc: 0.7785888, Test Acc: 0.7153285, Train Cov: 3.7613418
Epoch: 085, Train Loss: 0.2753887, Train Acc: 0.8437416, Test Acc: 0.7250608, Train Cov: 3.7466295
Epoch: 086, Train Loss: 0.2704603, Train Acc: 0.9134901, Test Acc: 0.7712895, Train Cov: 3.7349057
Epoch: 087, Train Loss: 0.2805380, Train Acc: 0.8945661, Test Acc: 0.7712895, Train Cov: 3.7357125
Epoch: 088, Train Loss: 0.3181780, Train Acc: 0.7334415, Test Acc: 0.6034063, Train Cov: 3.7305150
Epoch: 089, Train Loss: 0.2931487, Train Acc: 0.8650987, Test Acc: 0.7688564, Train Cov: 3.7298522
Epoch: 090, Train Loss: 0.2871634, Train Acc: 0.8961882, Test Acc: 0.7761557, Train Cov: 3.7089579
Epoch: 091, Train Loss: 0.2602055, Train Acc: 0.7642606, Test Acc: 0.6520681, Train Cov: 3.7033639
Epoch: 092, Train Loss: 0.2712275, Train Acc: 0.8499594, Test Acc: 0.7712895, Train Cov: 3.7025373
Epoch: 093, Train Loss: 0.2606294, Train Acc: 0.8196810, Test Acc: 0.6958637, Train Cov: 3.6949971
Epoch: 094, Train Loss: 0.2526521, Train Acc: 0.8010273, Test Acc: 0.7104623, Train Cov: 3.6885395
Epoch: 095, Train Loss: 0.2930735, Train Acc: 0.7831846, Test Acc: 0.6982968, Train Cov: 3.6970527
Epoch: 096, Train Loss: 0.3051112, Train Acc: 0.8110300, Test Acc: 0.7396594, Train Cov: 3.6921537
Epoch: 097, Train Loss: 0.2558976, Train Acc: 0.9164639, Test Acc: 0.7712895, Train Cov: 3.6635678
Epoch: 098, Train Loss: 0.2687595, Train Acc: 0.9237632, Test Acc: 0.7737226, Train Cov: 3.6653674
Epoch: 099, Train Loss: 0.2512234, Train Acc: 0.7358746, Test Acc: 0.6447689, Train Cov: 3.6537981
Epoch: 100, Train Loss: 0.2370510, Train Acc: 0.9337659, Test Acc: 0.7834550, Train Cov: 3.6603103
Epoch: 101, Train Loss: 0.2416177, Train Acc: 0.8364423, Test Acc: 0.6861314, Train Cov: 3.6517301
Epoch: 102, Train Loss: 0.2163947, Train Acc: 0.9216004, Test Acc: 0.7591241, Train Cov: 3.6298220
Epoch: 103, Train Loss: 0.1998986, Train Acc: 0.8945661, Test Acc: 0.7445255, Train Cov: 3.6298053
Epoch: 104, Train Loss: 0.1992692, Train Acc: 0.9559340, Test Acc: 0.8077859, Train Cov: 3.6196170
Epoch: 105, Train Loss: 0.1963564, Train Acc: 0.9667478, Test Acc: 0.7712895, Train Cov: 3.6235743
Epoch: 106, Train Loss: 0.2143180, Train Acc: 0.8840227, Test Acc: 0.7566910, Train Cov: 3.6291912
