{'dataset_name': 'NCI1', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 50, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'Sigmoid', 'aggr': 'add', 'BN': 'Y'}, 'commit_id': 'fe658b2e3cd2ce58e21d252ab15a16540c263406', 'time_stamp': '1613734777', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=fe658b2e3cd2ce58e21d252ab15a16540c263406
Epoch: 001, Train Loss: 0.9181995, Train Acc: 0.5466342, Test Acc: 0.4866180, Train Cov: 4.7641287
Epoch: 002, Train Loss: 0.7144119, Train Acc: 0.5385239, Test Acc: 0.5012165, Train Cov: 4.7572608
Epoch: 003, Train Loss: 0.6743972, Train Acc: 0.5577183, Test Acc: 0.5060827, Train Cov: 4.7566409
Epoch: 004, Train Loss: 0.6490018, Train Acc: 0.5058124, Test Acc: 0.4647202, Train Cov: 4.7561550
Epoch: 005, Train Loss: 0.6400770, Train Acc: 0.4966207, Test Acc: 0.5377129, Train Cov: 4.7536221
Epoch: 006, Train Loss: 0.6463989, Train Acc: 0.4963504, Test Acc: 0.5328467, Train Cov: 4.7491894
Epoch: 007, Train Loss: 0.6332366, Train Acc: 0.5401460, Test Acc: 0.5717762, Train Cov: 4.7464318
Epoch: 008, Train Loss: 0.6203907, Train Acc: 0.4955393, Test Acc: 0.5352798, Train Cov: 4.7456832
Epoch: 009, Train Loss: 0.6197355, Train Acc: 0.5290619, Test Acc: 0.4914842, Train Cov: 4.7458372
Epoch: 010, Train Loss: 0.6031133, Train Acc: 0.5141930, Test Acc: 0.4695864, Train Cov: 4.7411857
Epoch: 011, Train Loss: 0.6092123, Train Acc: 0.4955393, Test Acc: 0.5352798, Train Cov: 4.7359424
Epoch: 012, Train Loss: 0.6058390, Train Acc: 0.5223033, Test Acc: 0.5596107, Train Cov: 4.7340631
Epoch: 013, Train Loss: 0.5908619, Train Acc: 0.5012165, Test Acc: 0.5450122, Train Cov: 4.7307544
Epoch: 014, Train Loss: 0.5914907, Train Acc: 0.6558529, Test Acc: 0.6034063, Train Cov: 4.7279224
Epoch: 015, Train Loss: 0.5852828, Train Acc: 0.4955393, Test Acc: 0.5352798, Train Cov: 4.7232227
Epoch: 016, Train Loss: 0.5691671, Train Acc: 0.5066234, Test Acc: 0.5401460, Train Cov: 4.7198491
Epoch: 017, Train Loss: 0.5813594, Train Acc: 0.4952690, Test Acc: 0.5352798, Train Cov: 4.7205935
Epoch: 018, Train Loss: 0.5651191, Train Acc: 0.6918086, Test Acc: 0.6180049, Train Cov: 4.7180080
Epoch: 019, Train Loss: 0.5606086, Train Acc: 0.5428494, Test Acc: 0.5596107, Train Cov: 4.7169900
Epoch: 020, Train Loss: 0.5558311, Train Acc: 0.6188159, Test Acc: 0.5498783, Train Cov: 4.7126689
Epoch: 021, Train Loss: 0.5506017, Train Acc: 0.5128413, Test Acc: 0.4720195, Train Cov: 4.7088189
Epoch: 022, Train Loss: 0.5641094, Train Acc: 0.5963774, Test Acc: 0.5596107, Train Cov: 4.7072482
Epoch: 023, Train Loss: 0.5564847, Train Acc: 0.6947824, Test Acc: 0.6228710, Train Cov: 4.7094646
Epoch: 024, Train Loss: 0.5442837, Train Acc: 0.6058394, Test Acc: 0.5985401, Train Cov: 4.7046566
Epoch: 025, Train Loss: 0.5449266, Train Acc: 0.6312517, Test Acc: 0.6180049, Train Cov: 4.7008290
Epoch: 026, Train Loss: 0.5375767, Train Acc: 0.6704515, Test Acc: 0.6155718, Train Cov: 4.6992073
Epoch: 027, Train Loss: 0.5318151, Train Acc: 0.5068938, Test Acc: 0.5571776, Train Cov: 4.6949196
Epoch: 028, Train Loss: 0.5240435, Train Acc: 0.6701811, Test Acc: 0.6326034, Train Cov: 4.6937866
Epoch: 029, Train Loss: 0.5180165, Train Acc: 0.5063531, Test Acc: 0.5620438, Train Cov: 4.6910577
Epoch: 030, Train Loss: 0.5244774, Train Acc: 0.5177075, Test Acc: 0.4744526, Train Cov: 4.6895804
Epoch: 031, Train Loss: 0.5132886, Train Acc: 0.7034334, Test Acc: 0.6301703, Train Cov: 4.6859622
Epoch: 032, Train Loss: 0.5060740, Train Acc: 0.5198702, Test Acc: 0.5742092, Train Cov: 4.6872892
Epoch: 033, Train Loss: 0.4909935, Train Acc: 0.6347662, Test Acc: 0.5742092, Train Cov: 4.6823897
Epoch: 034, Train Loss: 0.4990188, Train Acc: 0.6204380, Test Acc: 0.5790754, Train Cov: 4.6744103
Epoch: 035, Train Loss: 0.4944329, Train Acc: 0.5531225, Test Acc: 0.5888078, Train Cov: 4.6771159
Epoch: 036, Train Loss: 0.4819842, Train Acc: 0.6601784, Test Acc: 0.6155718, Train Cov: 4.6755791
Epoch: 037, Train Loss: 0.4847018, Train Acc: 0.6864017, Test Acc: 0.6180049, Train Cov: 4.6716790
Epoch: 038, Train Loss: 0.4743211, Train Acc: 0.6080022, Test Acc: 0.5401460, Train Cov: 4.6716266
Epoch: 039, Train Loss: 0.4707743, Train Acc: 0.6958637, Test Acc: 0.6180049, Train Cov: 4.6674485
Epoch: 040, Train Loss: 0.4691525, Train Acc: 0.6393620, Test Acc: 0.6082725, Train Cov: 4.6643448
Epoch: 041, Train Loss: 0.4622421, Train Acc: 0.6312517, Test Acc: 0.6204380, Train Cov: 4.6610727
Epoch: 042, Train Loss: 0.4679303, Train Acc: 0.5947553, Test Acc: 0.6107056, Train Cov: 4.6566687
Epoch: 043, Train Loss: 0.4420132, Train Acc: 0.6618005, Test Acc: 0.6204380, Train Cov: 4.6554031
Epoch: 044, Train Loss: 0.4564642, Train Acc: 0.6455799, Test Acc: 0.6009732, Train Cov: 4.6548543
Epoch: 045, Train Loss: 0.4400947, Train Acc: 0.6490943, Test Acc: 0.6399027, Train Cov: 4.6530786
Epoch: 046, Train Loss: 0.4297592, Train Acc: 0.6677480, Test Acc: 0.6374696, Train Cov: 4.6487298
Epoch: 047, Train Loss: 0.4444744, Train Acc: 0.5014869, Test Acc: 0.5401460, Train Cov: 4.6449890
Epoch: 048, Train Loss: 0.4290963, Train Acc: 0.7850770, Test Acc: 0.7250608, Train Cov: 4.6438527
Epoch: 049, Train Loss: 0.4297557, Train Acc: 0.6377399, Test Acc: 0.6739659, Train Cov: 4.6426716
Epoch: 050, Train Loss: 0.4234570, Train Acc: 0.6009732, Test Acc: 0.5961071, Train Cov: 4.6438222
Epoch: 051, Train Loss: 0.4185021, Train Acc: 0.8031901, Test Acc: 0.7274939, Train Cov: 4.6397204
Epoch: 052, Train Loss: 0.4051850, Train Acc: 0.6580157, Test Acc: 0.6326034, Train Cov: 4.6392493
Epoch: 053, Train Loss: 0.4001156, Train Acc: 0.6647743, Test Acc: 0.6155718, Train Cov: 4.6361885
Epoch: 054, Train Loss: 0.3803360, Train Acc: 0.6958637, Test Acc: 0.6496350, Train Cov: 4.6371346
Epoch: 055, Train Loss: 0.3907223, Train Acc: 0.8107597, Test Acc: 0.7347932, Train Cov: 4.6349020
Epoch: 056, Train Loss: 0.3762897, Train Acc: 0.5106786, Test Acc: 0.5644769, Train Cov: 4.6317592
Epoch: 057, Train Loss: 0.3693726, Train Acc: 0.7753447, Test Acc: 0.7201946, Train Cov: 4.6329527
Epoch: 058, Train Loss: 0.3705926, Train Acc: 0.7612868, Test Acc: 0.6861314, Train Cov: 4.6315708
