{'dataset_name': 'NCI1', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 50, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.3', 'aggr': 'add', 'BN': 'Y'}, 'commit_id': 'fe658b2e3cd2ce58e21d252ab15a16540c263406', 'time_stamp': '1613736193', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=fe658b2e3cd2ce58e21d252ab15a16540c263406
Epoch: 001, Train Loss: 1.0762669, Train Acc: 0.6582860, Test Acc: 0.6447689, Train Cov: 4.0488987
Epoch: 002, Train Loss: 0.7312450, Train Acc: 0.6263855, Test Acc: 0.5888078, Train Cov: 3.9464943
Epoch: 003, Train Loss: 0.6531182, Train Acc: 0.5412274, Test Acc: 0.5060827, Train Cov: 3.9220834
Epoch: 004, Train Loss: 0.6000779, Train Acc: 0.6858610, Test Acc: 0.6545012, Train Cov: 3.8878982
Epoch: 005, Train Loss: 0.5806095, Train Acc: 0.7137064, Test Acc: 0.6496350, Train Cov: 3.8776956
Epoch: 006, Train Loss: 0.5802493, Train Acc: 0.7466883, Test Acc: 0.7031630, Train Cov: 3.8688347
Epoch: 007, Train Loss: 0.5578599, Train Acc: 0.7361449, Test Acc: 0.6788321, Train Cov: 3.8494117
Epoch: 008, Train Loss: 0.5488554, Train Acc: 0.7402001, Test Acc: 0.6763990, Train Cov: 3.8254921
Epoch: 009, Train Loss: 0.5390369, Train Acc: 0.6209786, Test Acc: 0.5766423, Train Cov: 3.7840564
Epoch: 010, Train Loss: 0.5263490, Train Acc: 0.7531765, Test Acc: 0.7128954, Train Cov: 3.7634606
Epoch: 011, Train Loss: 0.5168652, Train Acc: 0.6904569, Test Acc: 0.6180049, Train Cov: 3.7417676
Epoch: 012, Train Loss: 0.5227793, Train Acc: 0.6436875, Test Acc: 0.5863747, Train Cov: 3.7150338
Epoch: 013, Train Loss: 0.5137706, Train Acc: 0.7985942, Test Acc: 0.7639903, Train Cov: 3.6588950
Epoch: 014, Train Loss: 0.5008832, Train Acc: 0.5212220, Test Acc: 0.5596107, Train Cov: 3.6435466
Epoch: 015, Train Loss: 0.4969626, Train Acc: 0.7777778, Test Acc: 0.7177616, Train Cov: 3.6336975
Epoch: 016, Train Loss: 0.4912373, Train Acc: 0.7739930, Test Acc: 0.7153285, Train Cov: 3.6162395
Epoch: 017, Train Loss: 0.4953814, Train Acc: 0.7815626, Test Acc: 0.7055961, Train Cov: 3.5876703
Epoch: 018, Train Loss: 0.4859955, Train Acc: 0.7399297, Test Acc: 0.6885645, Train Cov: 3.5478215
Epoch: 019, Train Loss: 0.4819984, Train Acc: 0.7180319, Test Acc: 0.7007299, Train Cov: 3.5218463
