{'dataset_name': 'NCI1', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 1501, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'Tanh', 'aggr': 'add', 'BN': 'Y'}, 'commit_id': 'fe658b2e3cd2ce58e21d252ab15a16540c263406', 'time_stamp': '1613737907', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=fe658b2e3cd2ce58e21d252ab15a16540c263406
Epoch: 001, Train Loss: 1.2196790, Train Acc: 0.6088132, Test Acc: 0.5596107, Train Cov: 4.0447254
Epoch: 002, Train Loss: 0.7383526, Train Acc: 0.6363882, Test Acc: 0.5839416, Train Cov: 4.0134120
Epoch: 003, Train Loss: 0.6411942, Train Acc: 0.6366586, Test Acc: 0.5790754, Train Cov: 4.0103321
Epoch: 004, Train Loss: 0.6202774, Train Acc: 0.6839686, Test Acc: 0.6350365, Train Cov: 3.9878027
Epoch: 005, Train Loss: 0.6055128, Train Acc: 0.7164098, Test Acc: 0.6569343, Train Cov: 3.9656105
Epoch: 006, Train Loss: 0.5938784, Train Acc: 0.7074885, Test Acc: 0.6593674, Train Cov: 3.9470818
Epoch: 007, Train Loss: 0.5759009, Train Acc: 0.7231684, Test Acc: 0.6836983, Train Cov: 3.9453776
Epoch: 008, Train Loss: 0.5762464, Train Acc: 0.7153285, Test Acc: 0.6715328, Train Cov: 3.9464118
Epoch: 009, Train Loss: 0.5597068, Train Acc: 0.6128683, Test Acc: 0.5717762, Train Cov: 3.8958857
Epoch: 010, Train Loss: 0.5534427, Train Acc: 0.6818059, Test Acc: 0.6569343, Train Cov: 3.9111485
Epoch: 011, Train Loss: 0.5503389, Train Acc: 0.5863747, Test Acc: 0.5790754, Train Cov: 3.8943605
Epoch: 012, Train Loss: 0.5596474, Train Acc: 0.6601784, Test Acc: 0.6034063, Train Cov: 3.8719189
Epoch: 013, Train Loss: 0.5400835, Train Acc: 0.6818059, Test Acc: 0.6472019, Train Cov: 3.8814762
Epoch: 014, Train Loss: 0.5368368, Train Acc: 0.6250338, Test Acc: 0.5888078, Train Cov: 3.8490663
Epoch: 015, Train Loss: 0.5354373, Train Acc: 0.5082455, Test Acc: 0.5498783, Train Cov: 3.8396146
Epoch: 016, Train Loss: 0.5235028, Train Acc: 0.7107326, Test Acc: 0.6520681, Train Cov: 3.8057849
Epoch: 017, Train Loss: 0.5252116, Train Acc: 0.7331711, Test Acc: 0.6885645, Train Cov: 3.7815087
Epoch: 018, Train Loss: 0.5290926, Train Acc: 0.5590700, Test Acc: 0.5863747, Train Cov: 3.7631853
Epoch: 019, Train Loss: 0.5130218, Train Acc: 0.5547445, Test Acc: 0.5644769, Train Cov: 3.7418330
Epoch: 020, Train Loss: 0.5086849, Train Acc: 0.6947824, Test Acc: 0.7007299, Train Cov: 3.7588599
Epoch: 021, Train Loss: 0.5030028, Train Acc: 0.6791025, Test Acc: 0.6545012, Train Cov: 3.7382829
Epoch: 022, Train Loss: 0.5102158, Train Acc: 0.6339551, Test Acc: 0.6131387, Train Cov: 3.7286706
Epoch: 023, Train Loss: 0.5009332, Train Acc: 0.7688564, Test Acc: 0.7055961, Train Cov: 3.7320991
Epoch: 024, Train Loss: 0.4870114, Train Acc: 0.8010273, Test Acc: 0.7493917, Train Cov: 3.7043896
Epoch: 025, Train Loss: 0.4907730, Train Acc: 0.5466342, Test Acc: 0.5596107, Train Cov: 3.6996741
Epoch: 026, Train Loss: 0.4930822, Train Acc: 0.7939984, Test Acc: 0.7226277, Train Cov: 3.6890612
Epoch: 027, Train Loss: 0.4902091, Train Acc: 0.7064071, Test Acc: 0.6836983, Train Cov: 3.6498263
Epoch: 028, Train Loss: 0.4800478, Train Acc: 0.7550689, Test Acc: 0.7055961, Train Cov: 3.6479113
Epoch: 029, Train Loss: 0.4807172, Train Acc: 0.7158692, Test Acc: 0.6666667, Train Cov: 3.6262689
Epoch: 030, Train Loss: 0.4697008, Train Acc: 0.7545283, Test Acc: 0.7177616, Train Cov: 3.6184227
Epoch: 031, Train Loss: 0.4734686, Train Acc: 0.6585564, Test Acc: 0.6593674, Train Cov: 3.6124537
