{'dataset_name': 'NCI1', 'seed': 999, 'num_workers': 1, 'cov_weight': 100.0, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 2, 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': 'd31103d6042fcfe0c20783c1dd8565372223d04a', 'time_stamp': '1614140866', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=d31103d6042fcfe0c20783c1dd8565372223d04a
Epoch: 001, Train Loss: 448.0396400, Train Acc: 0.5842119, Test Acc: 0.5790754, Train Cov: 4.4735107
Epoch: 002, Train Loss: 389.7595711, Train Acc: 0.6042174, Test Acc: 0.6009732, Train Cov: 3.8913434
Epoch: 003, Train Loss: 367.5188989, Train Acc: 0.6853204, Test Acc: 0.6788321, Train Cov: 3.6690814
Epoch: 004, Train Loss: 355.3436026, Train Acc: 0.6501757, Test Acc: 0.6107056, Train Cov: 3.5474613
Epoch: 005, Train Loss: 348.3863108, Train Acc: 0.6874831, Test Acc: 0.6715328, Train Cov: 3.4780622
Epoch: 006, Train Loss: 344.1615087, Train Acc: 0.7169505, Test Acc: 0.6739659, Train Cov: 3.4359086
Epoch: 007, Train Loss: 340.9068701, Train Acc: 0.7283049, Test Acc: 0.6812652, Train Cov: 3.4033990
Epoch: 008, Train Loss: 337.8515959, Train Acc: 0.7318194, Test Acc: 0.7128954, Train Cov: 3.3729522
Epoch: 009, Train Loss: 333.7520629, Train Acc: 0.7372263, Test Acc: 0.7007299, Train Cov: 3.3320644
Epoch: 010, Train Loss: 328.1030994, Train Acc: 0.7223574, Test Acc: 0.6812652, Train Cov: 3.2757056
Epoch: 011, Train Loss: 327.7628765, Train Acc: 0.6969451, Test Acc: 0.6569343, Train Cov: 3.2721872
Epoch: 012, Train Loss: 320.6711736, Train Acc: 0.6847797, Test Acc: 0.6763990, Train Cov: 3.2012296
Epoch: 013, Train Loss: 315.5479084, Train Acc: 0.7080292, Test Acc: 0.6618005, Train Cov: 3.1501489
Epoch: 014, Train Loss: 312.6072020, Train Acc: 0.7564207, Test Acc: 0.6861314, Train Cov: 3.1208978
Epoch: 015, Train Loss: 310.3548643, Train Acc: 0.7626386, Test Acc: 0.7299270, Train Cov: 3.0984576
Epoch: 016, Train Loss: 308.6235559, Train Acc: 0.7715599, Test Acc: 0.7323601, Train Cov: 3.0810933
Epoch: 017, Train Loss: 307.0258374, Train Acc: 0.7802109, Test Acc: 0.7323601, Train Cov: 3.0652618
Epoch: 018, Train Loss: 305.8326930, Train Acc: 0.7653420, Test Acc: 0.7031630, Train Cov: 3.0533566
Epoch: 019, Train Loss: 304.7832097, Train Acc: 0.7783185, Test Acc: 0.7201946, Train Cov: 3.0429492
Epoch: 020, Train Loss: 303.6043473, Train Acc: 0.7875101, Test Acc: 0.7080292, Train Cov: 3.0311899
Epoch: 021, Train Loss: 302.6360860, Train Acc: 0.7926467, Test Acc: 0.7201946, Train Cov: 3.0215588
Epoch: 022, Train Loss: 302.0172020, Train Acc: 0.7821033, Test Acc: 0.7031630, Train Cov: 3.0153153
Epoch: 023, Train Loss: 301.2338904, Train Acc: 0.7869695, Test Acc: 0.7153285, Train Cov: 3.0076303
Epoch: 024, Train Loss: 300.7169742, Train Acc: 0.8037307, Test Acc: 0.7226277, Train Cov: 3.0025599
Epoch: 025, Train Loss: 300.4875870, Train Acc: 0.7915653, Test Acc: 0.6982968, Train Cov: 3.0003028
Epoch: 026, Train Loss: 300.1855796, Train Acc: 0.8177886, Test Acc: 0.7347932, Train Cov: 2.9973648
Epoch: 027, Train Loss: 299.9322884, Train Acc: 0.8150852, Test Acc: 0.7347932, Train Cov: 2.9949033
Epoch: 028, Train Loss: 299.3834001, Train Acc: 0.8058935, Test Acc: 0.7226277, Train Cov: 2.9893856
Epoch: 029, Train Loss: 299.2181243, Train Acc: 0.8077859, Test Acc: 0.7177616, Train Cov: 2.9877932
Epoch: 030, Train Loss: 298.9869300, Train Acc: 0.8091376, Test Acc: 0.7396594, Train Cov: 2.9854639
Epoch: 031, Train Loss: 298.8441568, Train Acc: 0.8091376, Test Acc: 0.7201946, Train Cov: 2.9841034
Epoch: 032, Train Loss: 298.7490162, Train Acc: 0.8129224, Test Acc: 0.7542579, Train Cov: 2.9831219
Epoch: 033, Train Loss: 298.3732976, Train Acc: 0.8172479, Test Acc: 0.7493917, Train Cov: 2.9794173
Epoch: 034, Train Loss: 298.2508712, Train Acc: 0.8223844, Test Acc: 0.7445255, Train Cov: 2.9782739
Epoch: 035, Train Loss: 298.2445835, Train Acc: 0.8234658, Test Acc: 0.7323601, Train Cov: 2.9781053
Epoch: 036, Train Loss: 297.8769771, Train Acc: 0.8253582, Test Acc: 0.7518248, Train Cov: 2.9745266
Epoch: 037, Train Loss: 297.5814026, Train Acc: 0.8229251, Test Acc: 0.7445255, Train Cov: 2.9716699
