{'dataset_name': 'NCI1', 'seed': 999, 'num_workers': 1, 'cov_weight': 10000.0, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': 'd31103d6042fcfe0c20783c1dd8565372223d04a', 'time_stamp': '1614141050', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=d31103d6042fcfe0c20783c1dd8565372223d04a
Epoch: 001, Train Loss: 44806.9597347, Train Acc: 0.5842119, Test Acc: 0.5644769, Train Cov: 4.4806294
Epoch: 002, Train Loss: 39166.9917514, Train Acc: 0.6639632, Test Acc: 0.6666667, Train Cov: 3.9166365
Epoch: 003, Train Loss: 37040.7435466, Train Acc: 0.6874831, Test Acc: 0.6593674, Train Cov: 3.7040148
Epoch: 004, Train Loss: 35859.4941887, Train Acc: 0.7045147, Test Acc: 0.6690998, Train Cov: 3.5858898
Epoch: 005, Train Loss: 35134.5278485, Train Acc: 0.7104623, Test Acc: 0.6788321, Train Cov: 3.5133953
Epoch: 006, Train Loss: 34652.2371587, Train Acc: 0.6580157, Test Acc: 0.6350365, Train Cov: 3.4651668
Epoch: 007, Train Loss: 34348.3619676, Train Acc: 0.7245201, Test Acc: 0.6666667, Train Cov: 3.4347794
Epoch: 008, Train Loss: 34051.8240614, Train Acc: 0.7474993, Test Acc: 0.6982968, Train Cov: 3.4051268
Epoch: 009, Train Loss: 33748.1886690, Train Acc: 0.7369559, Test Acc: 0.6958637, Train Cov: 3.3747640
Epoch: 010, Train Loss: 33353.9598973, Train Acc: 0.7107326, Test Acc: 0.6423358, Train Cov: 3.3353400
Epoch: 011, Train Loss: 32851.7604742, Train Acc: 0.7339822, Test Acc: 0.6812652, Train Cov: 3.2851210
Epoch: 012, Train Loss: 32327.3888715, Train Acc: 0.7526358, Test Acc: 0.6861314, Train Cov: 3.2326858
Epoch: 013, Train Loss: 31830.3748881, Train Acc: 0.7372263, Test Acc: 0.6788321, Train Cov: 3.1829848
Epoch: 014, Train Loss: 31469.1229920, Train Acc: 0.7558800, Test Acc: 0.7055961, Train Cov: 3.1468611
Epoch: 015, Train Loss: 31227.1167614, Train Acc: 0.5982698, Test Acc: 0.5912409, Train Cov: 3.1226594
Epoch: 016, Train Loss: 31008.8967489, Train Acc: 0.7053258, Test Acc: 0.6569343, Train Cov: 3.1008370
