{'dataset_name': 'NCI1', 'seed': 999, 'num_workers': 1, 'cov_weight': 10000.0, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': 'd31103d6042fcfe0c20783c1dd8565372223d04a', 'time_stamp': '1614141626', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=d31103d6042fcfe0c20783c1dd8565372223d04a
Epoch: 001, Train Loss: 45680.5462878, Train Acc: 0.5817789, Test Acc: 0.5766423, Train Cov: 4.5679889
Epoch: 002, Train Loss: 39587.9564694, Train Acc: 0.6893755, Test Acc: 0.6496350, Train Cov: 3.9587352
Epoch: 003, Train Loss: 37185.9857257, Train Acc: 0.7080292, Test Acc: 0.6545012, Train Cov: 3.7185404
Epoch: 004, Train Loss: 35879.8509648, Train Acc: 0.7199243, Test Acc: 0.7128954, Train Cov: 3.5879283
Epoch: 005, Train Loss: 35137.5083775, Train Acc: 0.7272236, Test Acc: 0.7007299, Train Cov: 3.5136955
Epoch: 006, Train Loss: 34665.4485334, Train Acc: 0.6777507, Test Acc: 0.6569343, Train Cov: 3.4664898
Epoch: 007, Train Loss: 34388.3416929, Train Acc: 0.7483104, Test Acc: 0.7055961, Train Cov: 3.4387791
Epoch: 008, Train Loss: 34113.2372801, Train Acc: 0.7529062, Test Acc: 0.7177616, Train Cov: 3.4112706
Epoch: 009, Train Loss: 33909.9177079, Train Acc: 0.7458773, Test Acc: 0.6715328, Train Cov: 3.3909390
Epoch: 010, Train Loss: 33686.8866649, Train Acc: 0.7483104, Test Acc: 0.7226277, Train Cov: 3.3686354
Epoch: 011, Train Loss: 33412.9278722, Train Acc: 0.7618275, Test Acc: 0.7250608, Train Cov: 3.3412411
Epoch: 012, Train Loss: 32983.6616474, Train Acc: 0.7429035, Test Acc: 0.7372263, Train Cov: 3.2983155
Epoch: 013, Train Loss: 32452.4194889, Train Acc: 0.6869424, Test Acc: 0.6569343, Train Cov: 3.2451918
Epoch: 014, Train Loss: 31981.2015864, Train Acc: 0.7664234, Test Acc: 0.7274939, Train Cov: 3.1980705
Epoch: 015, Train Loss: 31564.0457524, Train Acc: 0.7639903, Test Acc: 0.7347932, Train Cov: 3.1563559
Epoch: 016, Train Loss: 31249.5556363, Train Acc: 0.7807516, Test Acc: 0.7323601, Train Cov: 3.1249058
Epoch: 017, Train Loss: 31042.0901944, Train Acc: 0.7869695, Test Acc: 0.7323601, Train Cov: 3.1041596
Epoch: 018, Train Loss: 30832.1107890, Train Acc: 0.7856177, Test Acc: 0.7323601, Train Cov: 3.0831621
Epoch: 019, Train Loss: 30689.2607002, Train Acc: 0.7748040, Test Acc: 0.7323601, Train Cov: 3.0688772
Epoch: 020, Train Loss: 30553.0978384, Train Acc: 0.7926467, Test Acc: 0.7080292, Train Cov: 3.0552619
Epoch: 021, Train Loss: 30432.5676603, Train Acc: 0.7583131, Test Acc: 0.7153285, Train Cov: 3.0432103
Epoch: 022, Train Loss: 30318.2861378, Train Acc: 0.7750743, Test Acc: 0.6982968, Train Cov: 3.0317829
Epoch: 023, Train Loss: 30231.3776971, Train Acc: 0.8034604, Test Acc: 0.7201946, Train Cov: 3.0230916
Epoch: 024, Train Loss: 30228.2429980, Train Acc: 0.7950798, Test Acc: 0.7250608, Train Cov: 3.0227776
Epoch: 025, Train Loss: 30116.8386098, Train Acc: 0.7939984, Test Acc: 0.7372263, Train Cov: 3.0116386
Epoch: 026, Train Loss: 30069.2206984, Train Acc: 0.8088673, Test Acc: 0.7299270, Train Cov: 3.0068767
Epoch: 027, Train Loss: 30033.2863300, Train Acc: 0.8121114, Test Acc: 0.7445255, Train Cov: 3.0032837
Epoch: 028, Train Loss: 30000.6598944, Train Acc: 0.8169776, Test Acc: 0.7688564, Train Cov: 3.0000222
Epoch: 029, Train Loss: 29947.4969343, Train Acc: 0.8142741, Test Acc: 0.7372263, Train Cov: 2.9947054
Epoch: 030, Train Loss: 29935.7933315, Train Acc: 0.8226548, Test Acc: 0.7420925, Train Cov: 2.9935360
Epoch: 031, Train Loss: 29921.6662886, Train Acc: 0.8215734, Test Acc: 0.7591241, Train Cov: 2.9921236
Epoch: 032, Train Loss: 29886.7596437, Train Acc: 0.8218437, Test Acc: 0.7518248, Train Cov: 2.9886317
Epoch: 033, Train Loss: 29861.9161645, Train Acc: 0.8204920, Test Acc: 0.7566910, Train Cov: 2.9861484
Epoch: 034, Train Loss: 29822.1223256, Train Acc: 0.8131928, Test Acc: 0.7518248, Train Cov: 2.9821687
Epoch: 035, Train Loss: 29797.7745849, Train Acc: 0.8359016, Test Acc: 0.7639903, Train Cov: 2.9797349
Epoch: 036, Train Loss: 29801.6962619, Train Acc: 0.8348202, Test Acc: 0.7639903, Train Cov: 2.9801276
Epoch: 037, Train Loss: 29776.2650759, Train Acc: 0.8218437, Test Acc: 0.7396594, Train Cov: 2.9775848
Epoch: 038, Train Loss: 29774.5690046, Train Acc: 0.8269803, Test Acc: 0.7737226, Train Cov: 2.9774156
Epoch: 039, Train Loss: 29747.3168165, Train Acc: 0.8275210, Test Acc: 0.7493917, Train Cov: 2.9746909
Epoch: 040, Train Loss: 29740.5811547, Train Acc: 0.8218437, Test Acc: 0.7372263, Train Cov: 2.9740169
Epoch: 041, Train Loss: 29728.6183813, Train Acc: 0.8075155, Test Acc: 0.7372263, Train Cov: 2.9728193
Epoch: 042, Train Loss: 29691.5563898, Train Acc: 0.8286023, Test Acc: 0.7518248, Train Cov: 2.9691133
Epoch: 043, Train Loss: 29685.4597315, Train Acc: 0.8353609, Test Acc: 0.7664234, Train Cov: 2.9685042
Epoch: 044, Train Loss: 29687.4269381, Train Acc: 0.7829143, Test Acc: 0.7080292, Train Cov: 2.9687016
Epoch: 045, Train Loss: 29677.7758183, Train Acc: 0.8283320, Test Acc: 0.7372263, Train Cov: 2.9677370
Epoch: 046, Train Loss: 29650.7108060, Train Acc: 0.8348202, Test Acc: 0.7347932, Train Cov: 2.9650311
Epoch: 047, Train Loss: 29635.5916765, Train Acc: 0.8415788, Test Acc: 0.7469586, Train Cov: 2.9635203
Epoch: 048, Train Loss: 29666.4212789, Train Acc: 0.8456340, Test Acc: 0.7274939, Train Cov: 2.9666035
Epoch: 049, Train Loss: 29641.2386234, Train Acc: 0.8564477, Test Acc: 0.7347932, Train Cov: 2.9640844
Epoch: 050, Train Loss: 29623.1798844, Train Acc: 0.8359016, Test Acc: 0.7104623, Train Cov: 2.9622793
Epoch: 051, Train Loss: 29615.0137078, Train Acc: 0.8540146, Test Acc: 0.7396594, Train Cov: 2.9614637
Epoch: 052, Train Loss: 29612.1660040, Train Acc: 0.8534739, Test Acc: 0.7566910, Train Cov: 2.9611797
Epoch: 053, Train Loss: 29609.4005311, Train Acc: 0.8661800, Test Acc: 0.7420925, Train Cov: 2.9609022
Epoch: 054, Train Loss: 29628.7609764, Train Acc: 0.8383347, Test Acc: 0.7323601, Train Cov: 2.9628403
Epoch: 055, Train Loss: 29605.3816931, Train Acc: 0.8580697, Test Acc: 0.7372263, Train Cov: 2.9605021
