{'dataset_name': 'NCI1', 'seed': 789, 'num_workers': 1, 'cov_weight': 10000.0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 50, 'decay_rate': 0.8}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': 'dcf71232dafa0fc91e94aaae768da26403a78e4e', 'time_stamp': '1614175431', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=dcf71232dafa0fc91e94aaae768da26403a78e4e
Epoch: 001, Train Loss: 46933.6639675, Train Acc: 0.6007029, Test Acc: 0.5888078, Train Cov: 4.6933012
Epoch: 002, Train Loss: 41931.6842221, Train Acc: 0.6947824, Test Acc: 0.6788321, Train Cov: 4.1931076
Epoch: 003, Train Loss: 39617.6771161, Train Acc: 0.6753177, Test Acc: 0.6618005, Train Cov: 3.9617078
Epoch: 004, Train Loss: 38151.9167522, Train Acc: 0.7161395, Test Acc: 0.6690998, Train Cov: 3.8151333
Epoch: 005, Train Loss: 37103.7183466, Train Acc: 0.7074885, Test Acc: 0.6909976, Train Cov: 3.7103140
Epoch: 006, Train Loss: 36347.8680482, Train Acc: 0.7261422, Test Acc: 0.6836983, Train Cov: 3.6347303
Epoch: 007, Train Loss: 35767.8982083, Train Acc: 0.7218167, Test Acc: 0.6934307, Train Cov: 3.5767345
Epoch: 008, Train Loss: 35347.7068053, Train Acc: 0.7058665, Test Acc: 0.6666667, Train Cov: 3.5347168
Epoch: 009, Train Loss: 35000.1088554, Train Acc: 0.7450662, Test Acc: 0.7177616, Train Cov: 3.4999576
Epoch: 010, Train Loss: 34741.0836068, Train Acc: 0.7612868, Test Acc: 0.6958637, Train Cov: 3.4740560
Epoch: 011, Train Loss: 34512.3475992, Train Acc: 0.7561503, Test Acc: 0.7080292, Train Cov: 3.4511828
Epoch: 012, Train Loss: 34329.6172730, Train Acc: 0.7547986, Test Acc: 0.6982968, Train Cov: 3.4329109
Epoch: 013, Train Loss: 34142.1034581, Train Acc: 0.7837253, Test Acc: 0.7177616, Train Cov: 3.4141600
Epoch: 014, Train Loss: 34001.0767205, Train Acc: 0.7956204, Test Acc: 0.7469586, Train Cov: 3.4000585
Epoch: 015, Train Loss: 33855.6992219, Train Acc: 0.7723709, Test Acc: 0.7177616, Train Cov: 3.3855219
Epoch: 016, Train Loss: 33702.1174684, Train Acc: 0.7980535, Test Acc: 0.7347932, Train Cov: 3.3701642
Epoch: 017, Train Loss: 33518.6221308, Train Acc: 0.7504731, Test Acc: 0.7226277, Train Cov: 3.3518136
Epoch: 018, Train Loss: 33315.9808542, Train Acc: 0.8058935, Test Acc: 0.7566910, Train Cov: 3.3315499
Epoch: 019, Train Loss: 33055.0904763, Train Acc: 0.7977832, Test Acc: 0.7299270, Train Cov: 3.3054633
Epoch: 020, Train Loss: 32743.5941587, Train Acc: 0.8218437, Test Acc: 0.7712895, Train Cov: 3.2743146
Epoch: 021, Train Loss: 32453.5830904, Train Acc: 0.7715599, Test Acc: 0.7566910, Train Cov: 3.2453139
Epoch: 022, Train Loss: 32142.2088677, Train Acc: 0.8110300, Test Acc: 0.7664234, Train Cov: 3.2141767
Epoch: 023, Train Loss: 31858.0266705, Train Acc: 0.8061638, Test Acc: 0.7445255, Train Cov: 3.1857595
Epoch: 024, Train Loss: 31650.9156428, Train Acc: 0.8231955, Test Acc: 0.7566910, Train Cov: 3.1650500
