{'dataset_name': 'NCI1', 'seed': 789, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 50, 'decay_rate': 0.8}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': 'dcf71232dafa0fc91e94aaae768da26403a78e4e', 'time_stamp': '1614175455', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=dcf71232dafa0fc91e94aaae768da26403a78e4e
Epoch: 001, Train Loss: 0.6734947, Train Acc: 0.5774534, Test Acc: 0.6058394, Train Cov: 5.1538196
Epoch: 002, Train Loss: 0.6135165, Train Acc: 0.6161125, Test Acc: 0.6034063, Train Cov: 5.1198916
Epoch: 003, Train Loss: 0.6030120, Train Acc: 0.5539335, Test Acc: 0.5742092, Train Cov: 5.1024218
Epoch: 004, Train Loss: 0.5893704, Train Acc: 0.6663963, Test Acc: 0.6763990, Train Cov: 5.0867944
Epoch: 005, Train Loss: 0.5682444, Train Acc: 0.5112192, Test Acc: 0.5474453, Train Cov: 5.0693884
Epoch: 006, Train Loss: 0.5512097, Train Acc: 0.5317653, Test Acc: 0.4841849, Train Cov: 5.0541959
Epoch: 007, Train Loss: 0.5288759, Train Acc: 0.7185726, Test Acc: 0.7031630, Train Cov: 5.0379243
Epoch: 008, Train Loss: 0.5278655, Train Acc: 0.7077589, Test Acc: 0.7080292, Train Cov: 5.0377584
Epoch: 009, Train Loss: 0.5017493, Train Acc: 0.7320898, Test Acc: 0.6885645, Train Cov: 5.0184951
Epoch: 010, Train Loss: 0.4931274, Train Acc: 0.5874561, Test Acc: 0.5498783, Train Cov: 5.0150332
Epoch: 011, Train Loss: 0.4820926, Train Acc: 0.7339822, Test Acc: 0.6836983, Train Cov: 5.0045042
Epoch: 012, Train Loss: 0.4692549, Train Acc: 0.6142201, Test Acc: 0.5425791, Train Cov: 4.9976125
Epoch: 013, Train Loss: 0.4670115, Train Acc: 0.6528792, Test Acc: 0.6739659, Train Cov: 4.9868412
Epoch: 014, Train Loss: 0.4566389, Train Acc: 0.7458773, Test Acc: 0.6569343, Train Cov: 4.9758997
Epoch: 015, Train Loss: 0.4401913, Train Acc: 0.7285753, Test Acc: 0.6958637, Train Cov: 4.9644685
Epoch: 016, Train Loss: 0.4323877, Train Acc: 0.6523385, Test Acc: 0.6009732, Train Cov: 4.9544640
Epoch: 017, Train Loss: 0.4232408, Train Acc: 0.7599351, Test Acc: 0.7080292, Train Cov: 4.9456987
Epoch: 018, Train Loss: 0.4157380, Train Acc: 0.7972425, Test Acc: 0.7542579, Train Cov: 4.9358244
Epoch: 019, Train Loss: 0.3971204, Train Acc: 0.8080562, Test Acc: 0.7420925, Train Cov: 4.9375267
Epoch: 020, Train Loss: 0.3946495, Train Acc: 0.6961341, Test Acc: 0.5961071, Train Cov: 4.9260302
Epoch: 021, Train Loss: 0.3877463, Train Acc: 0.6918086, Test Acc: 0.6788321, Train Cov: 4.9208188
Epoch: 022, Train Loss: 0.3838465, Train Acc: 0.7634496, Test Acc: 0.7250608, Train Cov: 4.9076114
Epoch: 023, Train Loss: 0.3751503, Train Acc: 0.8399567, Test Acc: 0.7518248, Train Cov: 4.9077759
Epoch: 024, Train Loss: 0.3553857, Train Acc: 0.7239795, Test Acc: 0.7274939, Train Cov: 4.8940253
Epoch: 025, Train Loss: 0.3470594, Train Acc: 0.7242498, Test Acc: 0.6861314, Train Cov: 4.8918381
Epoch: 026, Train Loss: 0.3430625, Train Acc: 0.8275210, Test Acc: 0.7785888, Train Cov: 4.8823824
Epoch: 027, Train Loss: 0.3340525, Train Acc: 0.8029197, Test Acc: 0.7834550, Train Cov: 4.8788300
Epoch: 028, Train Loss: 0.3232993, Train Acc: 0.7453366, Test Acc: 0.6836983, Train Cov: 4.8728523
Epoch: 029, Train Loss: 0.3177587, Train Acc: 0.8229251, Test Acc: 0.7639903, Train Cov: 4.8698306
Epoch: 030, Train Loss: 0.3100195, Train Acc: 0.7845364, Test Acc: 0.7639903, Train Cov: 4.8660460
Epoch: 031, Train Loss: 0.3064625, Train Acc: 0.7980535, Test Acc: 0.7469586, Train Cov: 4.8603501
Epoch: 032, Train Loss: 0.3013224, Train Acc: 0.7715599, Test Acc: 0.7274939, Train Cov: 4.8536701
Epoch: 033, Train Loss: 0.3020594, Train Acc: 0.6926196, Test Acc: 0.7031630, Train Cov: 4.8439302
Epoch: 034, Train Loss: 0.2843454, Train Acc: 0.5942147, Test Acc: 0.5206813, Train Cov: 4.8369408
Epoch: 035, Train Loss: 0.2816549, Train Acc: 0.7526358, Test Acc: 0.7347932, Train Cov: 4.8324709
