{'dataset_name': 'NCI1', 'seed': 789, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0001, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'LeakyR0.2', 'exp_bn': 'N', 'mlp_n': 2, 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': 'dcf71232dafa0fc91e94aaae768da26403a78e4e', 'time_stamp': '1614219489', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=dcf71232dafa0fc91e94aaae768da26403a78e4e
Epoch: 001, Train Loss: 0.6086907, Train Acc: 0.4968911, Test Acc: 0.5328467, Train Cov: 5.1346006
Epoch: 002, Train Loss: 0.5324578, Train Acc: 0.4979724, Test Acc: 0.5352798, Train Cov: 5.1353822
Epoch: 003, Train Loss: 0.4891089, Train Acc: 0.7250608, Test Acc: 0.7299270, Train Cov: 5.1295800
Epoch: 004, Train Loss: 0.4665708, Train Acc: 0.7631792, Test Acc: 0.7591241, Train Cov: 5.1270871
Epoch: 005, Train Loss: 0.4343455, Train Acc: 0.7591241, Test Acc: 0.7250608, Train Cov: 5.1344771
Epoch: 006, Train Loss: 0.4149992, Train Acc: 0.7883212, Test Acc: 0.7469586, Train Cov: 5.1339369
Epoch: 007, Train Loss: 0.3992860, Train Acc: 0.7850770, Test Acc: 0.7226277, Train Cov: 5.1330585
Epoch: 008, Train Loss: 0.3876520, Train Acc: 0.8167072, Test Acc: 0.7883212, Train Cov: 5.1320705
Epoch: 009, Train Loss: 0.3702209, Train Acc: 0.7937280, Test Acc: 0.7274939, Train Cov: 5.1335864
Epoch: 010, Train Loss: 0.3435207, Train Acc: 0.8161665, Test Acc: 0.7883212, Train Cov: 5.1340442
Epoch: 011, Train Loss: 0.3194806, Train Acc: 0.8469857, Test Acc: 0.8077859, Train Cov: 5.1368790
Epoch: 012, Train Loss: 0.3108874, Train Acc: 0.8256285, Test Acc: 0.7834550, Train Cov: 5.1355300
Epoch: 013, Train Loss: 0.3061542, Train Acc: 0.8369830, Test Acc: 0.7980535, Train Cov: 5.1339669
Epoch: 014, Train Loss: 0.2814078, Train Acc: 0.8340092, Test Acc: 0.8175182, Train Cov: 5.1322880
Epoch: 015, Train Loss: 0.2771040, Train Acc: 0.8218437, Test Acc: 0.7396594, Train Cov: 5.1334386
Epoch: 016, Train Loss: 0.2639933, Train Acc: 0.8515815, Test Acc: 0.8150852, Train Cov: 5.1357956
Epoch: 017, Train Loss: 0.2517901, Train Acc: 0.8837524, Test Acc: 0.8199513, Train Cov: 5.1342082
