{'dataset_name': 'NCI1', 'seed': 789, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0001, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'LeakyR0.2', 'exp_bn': 'N', 'mlp_n': 2, 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': 'dcf71232dafa0fc91e94aaae768da26403a78e4e', 'time_stamp': '1614219698', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=dcf71232dafa0fc91e94aaae768da26403a78e4e
Epoch: 001, Train Loss: 0.6297128, Train Acc: 0.5028386, Test Acc: 0.4671533, Train Cov: 5.1562929
Epoch: 002, Train Loss: 0.5640850, Train Acc: 0.5936740, Test Acc: 0.6034063, Train Cov: 5.1454940
Epoch: 003, Train Loss: 0.5257519, Train Acc: 0.5915112, Test Acc: 0.5839416, Train Cov: 5.1393285
Epoch: 004, Train Loss: 0.5195293, Train Acc: 0.6974858, Test Acc: 0.6861314, Train Cov: 5.1352887
Epoch: 005, Train Loss: 0.4969383, Train Acc: 0.7253312, Test Acc: 0.6934307, Train Cov: 5.1329894
Epoch: 006, Train Loss: 0.4858280, Train Acc: 0.5750203, Test Acc: 0.5158151, Train Cov: 5.1270399
Epoch: 007, Train Loss: 0.4700243, Train Acc: 0.6788321, Test Acc: 0.6326034, Train Cov: 5.1217532
Epoch: 008, Train Loss: 0.4519603, Train Acc: 0.6542309, Test Acc: 0.6131387, Train Cov: 5.1205611
Epoch: 009, Train Loss: 0.4587127, Train Acc: 0.7139768, Test Acc: 0.7007299, Train Cov: 5.1143985
Epoch: 010, Train Loss: 0.4420274, Train Acc: 0.7796702, Test Acc: 0.7566910, Train Cov: 5.1129436
Epoch: 011, Train Loss: 0.4305539, Train Acc: 0.6520681, Test Acc: 0.6545012, Train Cov: 5.1076841
Epoch: 012, Train Loss: 0.4242343, Train Acc: 0.6896459, Test Acc: 0.6788321, Train Cov: 5.1085138
Epoch: 013, Train Loss: 0.4203337, Train Acc: 0.7758854, Test Acc: 0.7153285, Train Cov: 5.1053486
Epoch: 014, Train Loss: 0.3986912, Train Acc: 0.6945120, Test Acc: 0.6690998, Train Cov: 5.0984006
Epoch: 015, Train Loss: 0.4030416, Train Acc: 0.7961611, Test Acc: 0.7469586, Train Cov: 5.0966845
Epoch: 016, Train Loss: 0.3857691, Train Acc: 0.7793998, Test Acc: 0.7201946, Train Cov: 5.0897040
Epoch: 017, Train Loss: 0.3676935, Train Acc: 0.7975128, Test Acc: 0.7664234, Train Cov: 5.0891123
Epoch: 018, Train Loss: 0.3781797, Train Acc: 0.7877805, Test Acc: 0.7299270, Train Cov: 5.0864339
Epoch: 019, Train Loss: 0.3704914, Train Acc: 0.8286023, Test Acc: 0.7688564, Train Cov: 5.0806918
Epoch: 020, Train Loss: 0.3558054, Train Acc: 0.7748040, Test Acc: 0.7323601, Train Cov: 5.0782967
Epoch: 021, Train Loss: 0.3399550, Train Acc: 0.8361719, Test Acc: 0.7566910, Train Cov: 5.0747643
Epoch: 022, Train Loss: 0.3375895, Train Acc: 0.8483374, Test Acc: 0.7883212, Train Cov: 5.0730381
Epoch: 023, Train Loss: 0.3216699, Train Acc: 0.7004596, Test Acc: 0.6350365, Train Cov: 5.0709600
Epoch: 024, Train Loss: 0.3274632, Train Acc: 0.7945391, Test Acc: 0.7664234, Train Cov: 5.0678897
Epoch: 025, Train Loss: 0.3150377, Train Acc: 0.8599622, Test Acc: 0.7712895, Train Cov: 5.0641561
Epoch: 026, Train Loss: 0.3037332, Train Acc: 0.7769667, Test Acc: 0.7177616, Train Cov: 5.0611753
Epoch: 027, Train Loss: 0.3087685, Train Acc: 0.8137334, Test Acc: 0.7591241, Train Cov: 5.0596461
Epoch: 028, Train Loss: 0.3004473, Train Acc: 0.8705055, Test Acc: 0.7834550, Train Cov: 5.0549545
Epoch: 029, Train Loss: 0.2966009, Train Acc: 0.8199513, Test Acc: 0.7761557, Train Cov: 5.0509605
Epoch: 030, Train Loss: 0.2779899, Train Acc: 0.7269532, Test Acc: 0.6836983, Train Cov: 5.0489712
Epoch: 031, Train Loss: 0.2833099, Train Acc: 0.8058935, Test Acc: 0.7615572, Train Cov: 5.0465140
Epoch: 032, Train Loss: 0.2725253, Train Acc: 0.8583401, Test Acc: 0.7737226, Train Cov: 5.0444522
Epoch: 033, Train Loss: 0.2712652, Train Acc: 0.8258989, Test Acc: 0.7761557, Train Cov: 5.0402632
Epoch: 034, Train Loss: 0.2727108, Train Acc: 0.8602325, Test Acc: 0.8223844, Train Cov: 5.0368247
Epoch: 035, Train Loss: 0.2643822, Train Acc: 0.8415788, Test Acc: 0.7639903, Train Cov: 5.0350642
Epoch: 036, Train Loss: 0.2470416, Train Acc: 0.8845634, Test Acc: 0.7980535, Train Cov: 5.0315304
Epoch: 037, Train Loss: 0.2410955, Train Acc: 0.8375237, Test Acc: 0.7615572, Train Cov: 5.0284033
Epoch: 038, Train Loss: 0.2451934, Train Acc: 0.8486077, Test Acc: 0.7785888, Train Cov: 5.0267906
Epoch: 039, Train Loss: 0.2478925, Train Acc: 0.8864558, Test Acc: 0.7883212, Train Cov: 5.0250225
Epoch: 040, Train Loss: 0.2323677, Train Acc: 0.8626656, Test Acc: 0.7858881, Train Cov: 5.0230484
Epoch: 041, Train Loss: 0.2319834, Train Acc: 0.8859151, Test Acc: 0.7956204, Train Cov: 5.0201178
Epoch: 042, Train Loss: 0.2256492, Train Acc: 0.8878075, Test Acc: 0.8077859, Train Cov: 5.0185575
Epoch: 043, Train Loss: 0.2105391, Train Acc: 0.8778048, Test Acc: 0.8223844, Train Cov: 5.0164928
Epoch: 044, Train Loss: 0.2207048, Train Acc: 0.8532036, Test Acc: 0.7420925, Train Cov: 5.0121107
Epoch: 045, Train Loss: 0.2221065, Train Acc: 0.8937551, Test Acc: 0.7737226, Train Cov: 5.0099525
Epoch: 046, Train Loss: 0.2048561, Train Acc: 0.8540146, Test Acc: 0.7883212, Train Cov: 5.0083885
Epoch: 047, Train Loss: 0.1943997, Train Acc: 0.9026764, Test Acc: 0.8272506, Train Cov: 5.0055757
Epoch: 048, Train Loss: 0.2068778, Train Acc: 0.7293863, Test Acc: 0.6690998, Train Cov: 5.0046554
Epoch: 049, Train Loss: 0.2041043, Train Acc: 0.9178156, Test Acc: 0.8150852, Train Cov: 5.0011330
Epoch: 050, Train Loss: 0.1876894, Train Acc: 0.9161936, Test Acc: 0.8029197, Train Cov: 4.9973726
Epoch: 051, Train Loss: 0.1903861, Train Acc: 0.8577994, Test Acc: 0.7396594, Train Cov: 4.9954448
Epoch: 052, Train Loss: 0.1811531, Train Acc: 0.9007840, Test Acc: 0.7834550, Train Cov: 4.9920964
Epoch: 053, Train Loss: 0.1673135, Train Acc: 0.9378210, Test Acc: 0.8102190, Train Cov: 4.9918013
Epoch: 054, Train Loss: 0.1698748, Train Acc: 0.8999730, Test Acc: 0.7931873, Train Cov: 4.9884057
