{'dataset_name': 'NCI1', 'seed': 789, 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'LeakyR0.2', 'exp_bn': 'N', 'mlp_n': 2, 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': '0bb16684179168ffeda005d30b682e2aa720ba4e', 'time_stamp': '1614354114', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=0bb16684179168ffeda005d30b682e2aa720ba4e
Epoch: 001, Train Loss: 5.4189602, Train Acc: 0.4882401, Test Acc: 0.4598540, Train Cov: 4.7495894
Epoch: 002, Train Loss: 3.7154425, Train Acc: 0.5442011, Test Acc: 0.5377129, Train Cov: 3.0932271
Epoch: 003, Train Loss: 1.7357330, Train Acc: 0.6412544, Test Acc: 0.6472019, Train Cov: 1.1410213
Epoch: 004, Train Loss: 0.8358577, Train Acc: 0.6469316, Test Acc: 0.6228710, Train Cov: 0.2581005
Epoch: 005, Train Loss: 0.6597296, Train Acc: 0.6809949, Test Acc: 0.6496350, Train Cov: 0.0891032
Epoch: 006, Train Loss: 0.6156434, Train Acc: 0.5277102, Test Acc: 0.5060827, Train Cov: 0.0456192
Epoch: 007, Train Loss: 0.5783506, Train Acc: 0.6896459, Test Acc: 0.6642336, Train Cov: 0.0290462
Epoch: 008, Train Loss: 0.5703547, Train Acc: 0.7093809, Test Acc: 0.7201946, Train Cov: 0.0247444
Epoch: 009, Train Loss: 0.5478490, Train Acc: 0.5755610, Test Acc: 0.5352798, Train Cov: 0.0203403
Epoch: 010, Train Loss: 0.5444226, Train Acc: 0.7531765, Test Acc: 0.7274939, Train Cov: 0.0182933
Epoch: 011, Train Loss: 0.5299314, Train Acc: 0.6739659, Test Acc: 0.6982968, Train Cov: 0.0145611
Epoch: 012, Train Loss: 0.5292117, Train Acc: 0.7374966, Test Acc: 0.7177616, Train Cov: 0.0148202
Epoch: 013, Train Loss: 0.5117537, Train Acc: 0.6042174, Test Acc: 0.6228710, Train Cov: 0.0114570
Epoch: 014, Train Loss: 0.5183314, Train Acc: 0.5912409, Test Acc: 0.5474453, Train Cov: 0.0125574
Epoch: 015, Train Loss: 0.5071674, Train Acc: 0.6290889, Test Acc: 0.5961071, Train Cov: 0.0093197
Epoch: 016, Train Loss: 0.5011386, Train Acc: 0.7723709, Test Acc: 0.7396594, Train Cov: 0.0081251
Epoch: 017, Train Loss: 0.4827292, Train Acc: 0.7639903, Test Acc: 0.7347932, Train Cov: 0.0074178
Epoch: 018, Train Loss: 0.4955263, Train Acc: 0.7364152, Test Acc: 0.7031630, Train Cov: 0.0082666
Epoch: 019, Train Loss: 0.4911737, Train Acc: 0.6799135, Test Acc: 0.6204380, Train Cov: 0.0078186
Epoch: 020, Train Loss: 0.4879056, Train Acc: 0.6912679, Test Acc: 0.6374696, Train Cov: 0.0065871
Epoch: 021, Train Loss: 0.4732460, Train Acc: 0.6569343, Test Acc: 0.6763990, Train Cov: 0.0052280
Epoch: 022, Train Loss: 0.4856319, Train Acc: 0.7164098, Test Acc: 0.6788321, Train Cov: 0.0061315
Epoch: 023, Train Loss: 0.4604144, Train Acc: 0.7750743, Test Acc: 0.7445255, Train Cov: 0.0042925
Epoch: 024, Train Loss: 0.4552778, Train Acc: 0.7256015, Test Acc: 0.6690998, Train Cov: 0.0049933
Epoch: 025, Train Loss: 0.4483806, Train Acc: 0.7323601, Test Acc: 0.6715328, Train Cov: 0.0039046
Epoch: 026, Train Loss: 0.4309319, Train Acc: 0.7856177, Test Acc: 0.7469586, Train Cov: 0.0042850
Epoch: 027, Train Loss: 0.4316320, Train Acc: 0.7823736, Test Acc: 0.7323601, Train Cov: 0.0039793
Epoch: 028, Train Loss: 0.4232601, Train Acc: 0.7556096, Test Acc: 0.7250608, Train Cov: 0.0036239
Epoch: 029, Train Loss: 0.4328336, Train Acc: 0.7493917, Test Acc: 0.7007299, Train Cov: 0.0037510
Epoch: 030, Train Loss: 0.4245867, Train Acc: 0.7218167, Test Acc: 0.6861314, Train Cov: 0.0037440
Epoch: 031, Train Loss: 0.4223564, Train Acc: 0.7456069, Test Acc: 0.6934307, Train Cov: 0.0031379
Epoch: 032, Train Loss: 0.4105937, Train Acc: 0.7988646, Test Acc: 0.7177616, Train Cov: 0.0035188
Epoch: 033, Train Loss: 0.4221616, Train Acc: 0.7756150, Test Acc: 0.7250608, Train Cov: 0.0033303
Epoch: 034, Train Loss: 0.4185663, Train Acc: 0.8067045, Test Acc: 0.7591241, Train Cov: 0.0031674
Epoch: 035, Train Loss: 0.4161078, Train Acc: 0.7593944, Test Acc: 0.7104623, Train Cov: 0.0031493
Epoch: 036, Train Loss: 0.4167392, Train Acc: 0.8018383, Test Acc: 0.7542579, Train Cov: 0.0033620
Epoch: 037, Train Loss: 0.4136737, Train Acc: 0.7545283, Test Acc: 0.7299270, Train Cov: 0.0029879
Epoch: 038, Train Loss: 0.4200476, Train Acc: 0.7199243, Test Acc: 0.6472019, Train Cov: 0.0035595
Epoch: 039, Train Loss: 0.4307244, Train Acc: 0.7866991, Test Acc: 0.7274939, Train Cov: 0.0035637
Epoch: 040, Train Loss: 0.4142567, Train Acc: 0.7793998, Test Acc: 0.7323601, Train Cov: 0.0027191
Epoch: 041, Train Loss: 0.4048170, Train Acc: 0.7961611, Test Acc: 0.7493917, Train Cov: 0.0024594
Epoch: 042, Train Loss: 0.4054652, Train Acc: 0.7485807, Test Acc: 0.6788321, Train Cov: 0.0029191
Epoch: 043, Train Loss: 0.3940861, Train Acc: 0.8472560, Test Acc: 0.7785888, Train Cov: 0.0023417
Epoch: 044, Train Loss: 0.3991420, Train Acc: 0.7369559, Test Acc: 0.6812652, Train Cov: 0.0022169
Epoch: 045, Train Loss: 0.4042580, Train Acc: 0.7196540, Test Acc: 0.6739659, Train Cov: 0.0027325
Epoch: 046, Train Loss: 0.3830068, Train Acc: 0.7091106, Test Acc: 0.7177616, Train Cov: 0.0019895
