{'dataset_name': 'NCI1', 'seed': 789, 'num_workers': 1, 'cov_weight': 0.1, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'LeakyR0', 'exp_bn': 'N', 'mlp_n': 2, 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': '0bb16684179168ffeda005d30b682e2aa720ba4e', 'time_stamp': '1614513572', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=0bb16684179168ffeda005d30b682e2aa720ba4e
Epoch: 001, Train Loss: 1.0505758, Train Acc: 0.4968911, Test Acc: 0.5328467, Train Cov: 4.4823971
Epoch: 002, Train Loss: 0.9909958, Train Acc: 0.5469046, Test Acc: 0.5036496, Train Cov: 4.4562902
Epoch: 003, Train Loss: 0.9589576, Train Acc: 0.7266829, Test Acc: 0.7177616, Train Cov: 4.4034653
Epoch: 004, Train Loss: 0.9332768, Train Acc: 0.7488510, Test Acc: 0.7080292, Train Cov: 4.3375196
Epoch: 005, Train Loss: 0.9002677, Train Acc: 0.7474993, Test Acc: 0.7153285, Train Cov: 4.2768002
Epoch: 006, Train Loss: 0.8739636, Train Acc: 0.7485807, Test Acc: 0.7274939, Train Cov: 4.2099857
Epoch: 007, Train Loss: 0.8505638, Train Acc: 0.7885915, Test Acc: 0.7396594, Train Cov: 4.1392779
Epoch: 008, Train Loss: 0.8265482, Train Acc: 0.7796702, Test Acc: 0.7031630, Train Cov: 4.0658035
Epoch: 009, Train Loss: 0.8186948, Train Acc: 0.6955934, Test Acc: 0.6399027, Train Cov: 3.9921286
Epoch: 010, Train Loss: 0.7975405, Train Acc: 0.7669640, Test Acc: 0.7347932, Train Cov: 3.9437733
Epoch: 011, Train Loss: 0.7760371, Train Acc: 0.8140038, Test Acc: 0.7566910, Train Cov: 3.8614130
Epoch: 012, Train Loss: 0.7587169, Train Acc: 0.7683158, Test Acc: 0.7080292, Train Cov: 3.7933438
Epoch: 013, Train Loss: 0.7463263, Train Acc: 0.7329008, Test Acc: 0.7031630, Train Cov: 3.7154903
Epoch: 014, Train Loss: 0.7333349, Train Acc: 0.8169776, Test Acc: 0.7639903, Train Cov: 3.6444023
Epoch: 015, Train Loss: 0.7075012, Train Acc: 0.8121114, Test Acc: 0.7810219, Train Cov: 3.5606408
Epoch: 016, Train Loss: 0.6900870, Train Acc: 0.8540146, Test Acc: 0.7712895, Train Cov: 3.4830937
Epoch: 017, Train Loss: 0.6701393, Train Acc: 0.7426331, Test Acc: 0.6836983, Train Cov: 3.3905482
Epoch: 018, Train Loss: 0.6691396, Train Acc: 0.7261422, Test Acc: 0.6885645, Train Cov: 3.3097882
Epoch: 019, Train Loss: 0.6458671, Train Acc: 0.8364423, Test Acc: 0.7712895, Train Cov: 3.2144547
Epoch: 020, Train Loss: 0.6351321, Train Acc: 0.8391457, Test Acc: 0.7664234, Train Cov: 3.1350093
Epoch: 021, Train Loss: 0.6086652, Train Acc: 0.8215734, Test Acc: 0.7493917, Train Cov: 3.0419114
Epoch: 022, Train Loss: 0.5918510, Train Acc: 0.8156258, Test Acc: 0.7396594, Train Cov: 2.9458244
Epoch: 023, Train Loss: 0.5808967, Train Acc: 0.8586104, Test Acc: 0.8126521, Train Cov: 2.8636699
Epoch: 024, Train Loss: 0.5653530, Train Acc: 0.8713166, Test Acc: 0.8223844, Train Cov: 2.7942708
Epoch: 025, Train Loss: 0.5505861, Train Acc: 0.7142471, Test Acc: 0.6423358, Train Cov: 2.6933291
Epoch: 026, Train Loss: 0.5408183, Train Acc: 0.8140038, Test Acc: 0.7299270, Train Cov: 2.6157584
Epoch: 027, Train Loss: 0.5277430, Train Acc: 0.8004866, Test Acc: 0.7445255, Train Cov: 2.5260022
Epoch: 028, Train Loss: 0.5210338, Train Acc: 0.8523925, Test Acc: 0.7956204, Train Cov: 2.4670186
Epoch: 029, Train Loss: 0.4973327, Train Acc: 0.8396864, Test Acc: 0.7396594, Train Cov: 2.3681993
Epoch: 030, Train Loss: 0.4661974, Train Acc: 0.8661800, Test Acc: 0.8126521, Train Cov: 2.2819843
Epoch: 031, Train Loss: 0.4627607, Train Acc: 0.8842931, Test Acc: 0.8102190, Train Cov: 2.2218471
Epoch: 032, Train Loss: 0.4567474, Train Acc: 0.8372533, Test Acc: 0.7664234, Train Cov: 2.1338992
Epoch: 033, Train Loss: 0.4618733, Train Acc: 0.8791565, Test Acc: 0.8077859, Train Cov: 2.0404241
Epoch: 034, Train Loss: 0.4459385, Train Acc: 0.8542849, Test Acc: 0.7956204, Train Cov: 1.9481690
Epoch: 035, Train Loss: 0.4176898, Train Acc: 0.8148148, Test Acc: 0.7372263, Train Cov: 1.8646172
Epoch: 036, Train Loss: 0.4028717, Train Acc: 0.8410381, Test Acc: 0.7712895, Train Cov: 1.7898735
Epoch: 037, Train Loss: 0.3882153, Train Acc: 0.8450933, Test Acc: 0.7834550, Train Cov: 1.7093393
Epoch: 038, Train Loss: 0.3765647, Train Acc: 0.9037578, Test Acc: 0.8345499, Train Cov: 1.6189131
Epoch: 039, Train Loss: 0.3572570, Train Acc: 0.8853744, Test Acc: 0.8272506, Train Cov: 1.5479097
Epoch: 040, Train Loss: 0.3456870, Train Acc: 0.9015950, Test Acc: 0.7980535, Train Cov: 1.5188611
Epoch: 041, Train Loss: 0.3401181, Train Acc: 0.9170046, Test Acc: 0.8467153, Train Cov: 1.4418662
Epoch: 042, Train Loss: 0.3343767, Train Acc: 0.8796972, Test Acc: 0.8150852, Train Cov: 1.3663737
Epoch: 043, Train Loss: 0.3280315, Train Acc: 0.8594215, Test Acc: 0.7785888, Train Cov: 1.3202187
Epoch: 044, Train Loss: 0.3230600, Train Acc: 0.8959178, Test Acc: 0.8053528, Train Cov: 1.2688093
Epoch: 045, Train Loss: 0.3094913, Train Acc: 0.9002433, Test Acc: 0.8199513, Train Cov: 1.2201676
Epoch: 046, Train Loss: 0.2912737, Train Acc: 0.8791565, Test Acc: 0.7737226, Train Cov: 1.1591330
Epoch: 047, Train Loss: 0.2745072, Train Acc: 0.8780752, Test Acc: 0.7810219, Train Cov: 1.1065590
Epoch: 048, Train Loss: 0.2836818, Train Acc: 0.9175453, Test Acc: 0.7907543, Train Cov: 1.0709090
Epoch: 049, Train Loss: 0.2692805, Train Acc: 0.9018654, Test Acc: 0.7931873, Train Cov: 1.0208079
Epoch: 050, Train Loss: 0.2599903, Train Acc: 0.9207894, Test Acc: 0.8053528, Train Cov: 0.9845223
Epoch: 051, Train Loss: 0.2514856, Train Acc: 0.8410381, Test Acc: 0.7518248, Train Cov: 0.9521329
Epoch: 052, Train Loss: 0.2453007, Train Acc: 0.9224115, Test Acc: 0.8321168, Train Cov: 0.9090568
Epoch: 053, Train Loss: 0.2360830, Train Acc: 0.8959178, Test Acc: 0.7931873, Train Cov: 0.8745016
Epoch: 054, Train Loss: 0.2234534, Train Acc: 0.9564747, Test Acc: 0.8126521, Train Cov: 0.8369313
Epoch: 055, Train Loss: 0.2155432, Train Acc: 0.8564477, Test Acc: 0.7834550, Train Cov: 0.8154373
Epoch: 056, Train Loss: 0.2248954, Train Acc: 0.8886185, Test Acc: 0.7858881, Train Cov: 0.7760816
Epoch: 057, Train Loss: 0.2061466, Train Acc: 0.9140308, Test Acc: 0.8029197, Train Cov: 0.7386990
Epoch: 058, Train Loss: 0.1966812, Train Acc: 0.8948364, Test Acc: 0.7883212, Train Cov: 0.7064152
Epoch: 059, Train Loss: 0.2119695, Train Acc: 0.9197080, Test Acc: 0.7883212, Train Cov: 0.6802805
Epoch: 060, Train Loss: 0.2099320, Train Acc: 0.9045688, Test Acc: 0.7834550, Train Cov: 0.6507716
Epoch: 061, Train Loss: 0.1939904, Train Acc: 0.7972425, Test Acc: 0.7080292, Train Cov: 0.6394836
Epoch: 062, Train Loss: 0.1861848, Train Acc: 0.9302514, Test Acc: 0.8296837, Train Cov: 0.6033084
Epoch: 063, Train Loss: 0.1682280, Train Acc: 0.9259259, Test Acc: 0.7931873, Train Cov: 0.5684981
Epoch: 064, Train Loss: 0.1590811, Train Acc: 0.9080833, Test Acc: 0.7980535, Train Cov: 0.5334390
Epoch: 065, Train Loss: 0.1594358, Train Acc: 0.9632333, Test Acc: 0.8223844, Train Cov: 0.5167373
Epoch: 066, Train Loss: 0.1601252, Train Acc: 0.8997026, Test Acc: 0.7834550, Train Cov: 0.5039318
Epoch: 067, Train Loss: 0.1632718, Train Acc: 0.9394431, Test Acc: 0.8126521, Train Cov: 0.4782452
Epoch: 068, Train Loss: 0.1739835, Train Acc: 0.9143012, Test Acc: 0.8296837, Train Cov: 0.4711200
Epoch: 069, Train Loss: 0.1761154, Train Acc: 0.9164639, Test Acc: 0.8077859, Train Cov: 0.4605732
Epoch: 070, Train Loss: 0.1609008, Train Acc: 0.9532306, Test Acc: 0.8491484, Train Cov: 0.4252177
Epoch: 071, Train Loss: 0.1519166, Train Acc: 0.9480941, Test Acc: 0.8077859, Train Cov: 0.4242240
Epoch: 072, Train Loss: 0.1368063, Train Acc: 0.9624223, Test Acc: 0.8199513, Train Cov: 0.3842987
Epoch: 073, Train Loss: 0.1214704, Train Acc: 0.8626656, Test Acc: 0.7177616, Train Cov: 0.3618751
Epoch: 074, Train Loss: 0.1304476, Train Acc: 0.9459313, Test Acc: 0.8321168, Train Cov: 0.3556382
Epoch: 075, Train Loss: 0.1297362, Train Acc: 0.9418762, Test Acc: 0.8394161, Train Cov: 0.3451284
Epoch: 076, Train Loss: 0.1391308, Train Acc: 0.9426872, Test Acc: 0.8248175, Train Cov: 0.3430695
Epoch: 077, Train Loss: 0.1250784, Train Acc: 0.9653961, Test Acc: 0.8418491, Train Cov: 0.3184422
Epoch: 078, Train Loss: 0.1167904, Train Acc: 0.9378210, Test Acc: 0.8394161, Train Cov: 0.3141288
Epoch: 079, Train Loss: 0.1032163, Train Acc: 0.9772912, Test Acc: 0.8540146, Train Cov: 0.3061471
Epoch: 080, Train Loss: 0.1019276, Train Acc: 0.9753988, Test Acc: 0.8491484, Train Cov: 0.3014609
Epoch: 081, Train Loss: 0.0986678, Train Acc: 0.9724250, Test Acc: 0.8588808, Train Cov: 0.2815441
Epoch: 082, Train Loss: 0.1072070, Train Acc: 0.9767505, Test Acc: 0.8491484, Train Cov: 0.2784182
Epoch: 083, Train Loss: 0.1145330, Train Acc: 0.9540416, Test Acc: 0.8272506, Train Cov: 0.2667257
Epoch: 084, Train Loss: 0.1160583, Train Acc: 0.8113004, Test Acc: 0.7153285, Train Cov: 0.2595255
Epoch: 085, Train Loss: 0.1270156, Train Acc: 0.9545823, Test Acc: 0.8564477, Train Cov: 0.2695191
Epoch: 086, Train Loss: 0.1156698, Train Acc: 0.9548527, Test Acc: 0.8442822, Train Cov: 0.2525150
Epoch: 087, Train Loss: 0.0996230, Train Acc: 0.9326845, Test Acc: 0.8175182, Train Cov: 0.2386275
Epoch: 088, Train Loss: 0.0949621, Train Acc: 0.9426872, Test Acc: 0.8199513, Train Cov: 0.2388017
Epoch: 089, Train Loss: 0.1144122, Train Acc: 0.9407948, Test Acc: 0.8442822, Train Cov: 0.2228050
Epoch: 090, Train Loss: 0.1350513, Train Acc: 0.9226818, Test Acc: 0.7980535, Train Cov: 0.2269847
Epoch: 091, Train Loss: 0.1304244, Train Acc: 0.9413355, Test Acc: 0.8394161, Train Cov: 0.2334162
