{'dataset_name': 'NCI1', 'seed': 111, 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': '0bb16684179168ffeda005d30b682e2aa720ba4e', 'time_stamp': '1614667482', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=0bb16684179168ffeda005d30b682e2aa720ba4e
Epoch: 001, Train Loss: 4.9455642, Train Acc: 0.4936469, Test Acc: 0.4671533, Train Cov: 4.3312054
Epoch: 002, Train Loss: 4.7616592, Train Acc: 0.6447689, Test Acc: 0.6739659, Train Cov: 4.2032204
Epoch: 003, Train Loss: 4.6148472, Train Acc: 0.7180319, Test Acc: 0.7372263, Train Cov: 4.0825853
Epoch: 004, Train Loss: 4.4911772, Train Acc: 0.6855907, Test Acc: 0.6885645, Train Cov: 3.9721084
Epoch: 005, Train Loss: 4.3701959, Train Acc: 0.7172209, Test Acc: 0.7274939, Train Cov: 3.8667116
Epoch: 006, Train Loss: 4.2498732, Train Acc: 0.7293863, Test Acc: 0.7445255, Train Cov: 3.7661245
Epoch: 007, Train Loss: 4.1508323, Train Acc: 0.7626386, Test Acc: 0.7688564, Train Cov: 3.6776841
Epoch: 008, Train Loss: 4.0622480, Train Acc: 0.7615572, Test Acc: 0.7591241, Train Cov: 3.5943911
Epoch: 009, Train Loss: 3.9669073, Train Acc: 0.7858881, Test Acc: 0.7785888, Train Cov: 3.5191910
Epoch: 010, Train Loss: 3.8920390, Train Acc: 0.7604758, Test Acc: 0.7518248, Train Cov: 3.4533482
Epoch: 011, Train Loss: 3.8229811, Train Acc: 0.8015680, Test Acc: 0.7858881, Train Cov: 3.3928585
Epoch: 012, Train Loss: 3.7568566, Train Acc: 0.7994052, Test Acc: 0.7858881, Train Cov: 3.3374364
Epoch: 013, Train Loss: 3.7073166, Train Acc: 0.7026223, Test Acc: 0.6447689, Train Cov: 3.2884064
Epoch: 014, Train Loss: 3.6531793, Train Acc: 0.7269532, Test Acc: 0.6958637, Train Cov: 3.2467511
Epoch: 015, Train Loss: 3.6041705, Train Acc: 0.8156258, Test Acc: 0.7980535, Train Cov: 3.2025044
Epoch: 016, Train Loss: 3.5530849, Train Acc: 0.7750743, Test Acc: 0.7372263, Train Cov: 3.1597755
Epoch: 017, Train Loss: 3.5073829, Train Acc: 0.8229251, Test Acc: 0.8126521, Train Cov: 3.1266062
Epoch: 018, Train Loss: 3.4672577, Train Acc: 0.8113004, Test Acc: 0.7810219, Train Cov: 3.0908983
Epoch: 019, Train Loss: 3.4196908, Train Acc: 0.7772371, Test Acc: 0.7615572, Train Cov: 3.0586038
Epoch: 020, Train Loss: 3.3955902, Train Acc: 0.8323871, Test Acc: 0.7785888, Train Cov: 3.0314009
Epoch: 021, Train Loss: 3.3769431, Train Acc: 0.8313058, Test Acc: 0.7858881, Train Cov: 3.0048170
Epoch: 022, Train Loss: 3.3281223, Train Acc: 0.8434712, Test Acc: 0.7931873, Train Cov: 2.9781556
Epoch: 023, Train Loss: 3.2936169, Train Acc: 0.8469857, Test Acc: 0.7883212, Train Cov: 2.9541097
Epoch: 024, Train Loss: 3.2685145, Train Acc: 0.8394161, Test Acc: 0.8199513, Train Cov: 2.9305232
Epoch: 025, Train Loss: 3.2462865, Train Acc: 0.8407678, Test Acc: 0.7712895, Train Cov: 2.9113069
Epoch: 026, Train Loss: 3.2166571, Train Acc: 0.8621249, Test Acc: 0.7980535, Train Cov: 2.8927960
Epoch: 027, Train Loss: 3.1879057, Train Acc: 0.8723979, Test Acc: 0.8199513, Train Cov: 2.8729463
Epoch: 028, Train Loss: 3.1853085, Train Acc: 0.8231955, Test Acc: 0.7688564, Train Cov: 2.8552973
Epoch: 029, Train Loss: 3.1344949, Train Acc: 0.8807786, Test Acc: 0.8199513, Train Cov: 2.8330290
Epoch: 030, Train Loss: 3.1177611, Train Acc: 0.8634766, Test Acc: 0.7834550, Train Cov: 2.8191874
Epoch: 031, Train Loss: 3.1104768, Train Acc: 0.8410381, Test Acc: 0.8004866, Train Cov: 2.8075130
Epoch: 032, Train Loss: 3.0773328, Train Acc: 0.8907813, Test Acc: 0.8077859, Train Cov: 2.7904208
Epoch: 033, Train Loss: 3.0472756, Train Acc: 0.8864558, Test Acc: 0.8272506, Train Cov: 2.7733467
Epoch: 034, Train Loss: 3.0340064, Train Acc: 0.8253582, Test Acc: 0.7883212, Train Cov: 2.7625101
Epoch: 035, Train Loss: 3.0364202, Train Acc: 0.8448229, Test Acc: 0.7664234, Train Cov: 2.7494714
Epoch: 036, Train Loss: 3.0038969, Train Acc: 0.9024061, Test Acc: 0.7980535, Train Cov: 2.7356412
Epoch: 037, Train Loss: 3.0039996, Train Acc: 0.8794269, Test Acc: 0.7980535, Train Cov: 2.7254591
Epoch: 038, Train Loss: 2.9689343, Train Acc: 0.8945661, Test Acc: 0.8296837, Train Cov: 2.7126791
Epoch: 039, Train Loss: 2.9526651, Train Acc: 0.8913220, Test Acc: 0.8004866, Train Cov: 2.7042964
Epoch: 040, Train Loss: 2.9338511, Train Acc: 0.9048391, Test Acc: 0.8150852, Train Cov: 2.6919940
Epoch: 041, Train Loss: 2.9265095, Train Acc: 0.9018654, Test Acc: 0.8199513, Train Cov: 2.6829324
Epoch: 042, Train Loss: 2.9127186, Train Acc: 0.8994323, Test Acc: 0.8004866, Train Cov: 2.6742425
Epoch: 043, Train Loss: 2.9215160, Train Acc: 0.8350906, Test Acc: 0.7785888, Train Cov: 2.6680343
Epoch: 044, Train Loss: 2.8906255, Train Acc: 0.9075426, Test Acc: 0.7883212, Train Cov: 2.6569750
Epoch: 045, Train Loss: 2.9008072, Train Acc: 0.8891592, Test Acc: 0.8150852, Train Cov: 2.6506395
Epoch: 046, Train Loss: 2.8725270, Train Acc: 0.9088943, Test Acc: 0.8029197, Train Cov: 2.6442707
Epoch: 047, Train Loss: 2.8436993, Train Acc: 0.8626656, Test Acc: 0.7858881, Train Cov: 2.6318672
Epoch: 048, Train Loss: 2.8612420, Train Acc: 0.9056502, Test Acc: 0.7980535, Train Cov: 2.6264279
Epoch: 049, Train Loss: 2.8359911, Train Acc: 0.9159232, Test Acc: 0.8150852, Train Cov: 2.6191111
Epoch: 050, Train Loss: 2.8236145, Train Acc: 0.9107867, Test Acc: 0.7980535, Train Cov: 2.6117132
Epoch: 051, Train Loss: 2.8132213, Train Acc: 0.9197080, Test Acc: 0.8223844, Train Cov: 2.6051884
Epoch: 052, Train Loss: 2.7970974, Train Acc: 0.9280887, Test Acc: 0.8150852, Train Cov: 2.5982344
Epoch: 053, Train Loss: 2.7984894, Train Acc: 0.9156529, Test Acc: 0.8029197, Train Cov: 2.5933580
Epoch: 054, Train Loss: 2.7906251, Train Acc: 0.9086240, Test Acc: 0.7858881, Train Cov: 2.5886178
Epoch: 055, Train Loss: 2.7713618, Train Acc: 0.9226818, Test Acc: 0.7883212, Train Cov: 2.5802662
Epoch: 056, Train Loss: 2.7535776, Train Acc: 0.9405245, Test Acc: 0.8199513, Train Cov: 2.5736921
Epoch: 057, Train Loss: 2.7345616, Train Acc: 0.9264666, Test Acc: 0.8150852, Train Cov: 2.5661931
Epoch: 058, Train Loss: 2.7435311, Train Acc: 0.9356583, Test Acc: 0.7907543, Train Cov: 2.5614989
Epoch: 059, Train Loss: 2.7383385, Train Acc: 0.9399838, Test Acc: 0.8029197, Train Cov: 2.5562260
Epoch: 060, Train Loss: 2.7421059, Train Acc: 0.8942958, Test Acc: 0.8029197, Train Cov: 2.5534048
Epoch: 061, Train Loss: 2.7392826, Train Acc: 0.9248446, Test Acc: 0.8053528, Train Cov: 2.5492909
Epoch: 062, Train Loss: 2.7314086, Train Acc: 0.9545823, Test Acc: 0.8248175, Train Cov: 2.5463164
Epoch: 063, Train Loss: 2.7137617, Train Acc: 0.9299811, Test Acc: 0.8199513, Train Cov: 2.5392926
Epoch: 064, Train Loss: 2.7009954, Train Acc: 0.9275480, Test Acc: 0.8102190, Train Cov: 2.5332894
Epoch: 065, Train Loss: 2.7037031, Train Acc: 0.9410652, Test Acc: 0.8296837, Train Cov: 2.5299938
Epoch: 066, Train Loss: 2.7002320, Train Acc: 0.9472830, Test Acc: 0.7956204, Train Cov: 2.5282052
Epoch: 067, Train Loss: 2.6729638, Train Acc: 0.9524196, Test Acc: 0.8053528, Train Cov: 2.5224082
Epoch: 068, Train Loss: 2.6630508, Train Acc: 0.9556637, Test Acc: 0.7980535, Train Cov: 2.5162144
Epoch: 069, Train Loss: 2.6518388, Train Acc: 0.9502568, Test Acc: 0.8272506, Train Cov: 2.5137215
