{'dataset_name': 'NCI1', 'seed': 111, 'num_workers': 1, 'cov_weight': -0.1, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': '0bb16684179168ffeda005d30b682e2aa720ba4e', 'time_stamp': '1614669696', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=0bb16684179168ffeda005d30b682e2aa720ba4e
Epoch: 001, Train Loss: 0.1855157, Train Acc: 0.5082455, Test Acc: 0.4793187, Train Cov: 4.4026961
Epoch: 002, Train Loss: 0.1122621, Train Acc: 0.6369289, Test Acc: 0.6788321, Train Cov: 4.4063721
Epoch: 003, Train Loss: 0.0818769, Train Acc: 0.6399027, Test Acc: 0.6593674, Train Cov: 4.4114075
Epoch: 004, Train Loss: 0.0770372, Train Acc: 0.6242228, Test Acc: 0.6569343, Train Cov: 4.4156241
Epoch: 005, Train Loss: 0.0617732, Train Acc: 0.5031089, Test Acc: 0.5328467, Train Cov: 4.4251223
Epoch: 006, Train Loss: 0.0493200, Train Acc: 0.7358746, Test Acc: 0.7980535, Train Cov: 4.4293079
Epoch: 007, Train Loss: 0.0429092, Train Acc: 0.6277372, Test Acc: 0.6593674, Train Cov: 4.4302063
Epoch: 008, Train Loss: 0.0281887, Train Acc: 0.7358746, Test Acc: 0.7347932, Train Cov: 4.4346004
Epoch: 009, Train Loss: 0.0034896, Train Acc: 0.6261152, Test Acc: 0.6545012, Train Cov: 4.4400654
Epoch: 010, Train Loss: -0.0054035, Train Acc: 0.7734523, Test Acc: 0.7664234, Train Cov: 4.4425449
Epoch: 011, Train Loss: -0.0257600, Train Acc: 0.6885645, Test Acc: 0.6836983, Train Cov: 4.4483047
Epoch: 012, Train Loss: -0.0403182, Train Acc: 0.7807516, Test Acc: 0.7664234, Train Cov: 4.4514699
Epoch: 013, Train Loss: -0.0494909, Train Acc: 0.7818329, Test Acc: 0.7639903, Train Cov: 4.4543152
Epoch: 014, Train Loss: -0.0715331, Train Acc: 0.7858881, Test Acc: 0.7566910, Train Cov: 4.4567876
Epoch: 015, Train Loss: -0.0648495, Train Acc: 0.7950798, Test Acc: 0.7956204, Train Cov: 4.4612136
Epoch: 016, Train Loss: -0.0626860, Train Acc: 0.8123817, Test Acc: 0.7858881, Train Cov: 4.4571767
Epoch: 017, Train Loss: -0.0889613, Train Acc: 0.8213031, Test Acc: 0.8004866, Train Cov: 4.4588976
Epoch: 018, Train Loss: -0.1028427, Train Acc: 0.8459043, Test Acc: 0.8223844, Train Cov: 4.4617119
Epoch: 019, Train Loss: -0.0977546, Train Acc: 0.8418491, Test Acc: 0.8053528, Train Cov: 4.4637933
Epoch: 020, Train Loss: -0.1054784, Train Acc: 0.6923493, Test Acc: 0.7080292, Train Cov: 4.4599552
