{'dataset_name': 'NCI1', 'seed': 111, 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'ReLU', 'aggr': 'mean'}, 'commit_id': '0bb16684179168ffeda005d30b682e2aa720ba4e', 'time_stamp': '1614675140', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=0bb16684179168ffeda005d30b682e2aa720ba4e
Epoch: 001, Train Loss: 5.4226790, Train Acc: 0.4971614, Test Acc: 0.5304136, Train Cov: 4.7737408
Epoch: 002, Train Loss: 5.3569313, Train Acc: 0.5104082, Test Acc: 0.5450122, Train Cov: 4.7672515
Epoch: 003, Train Loss: 5.3315847, Train Acc: 0.5944850, Test Acc: 0.6204380, Train Cov: 4.7627869
Epoch: 004, Train Loss: 5.3249178, Train Acc: 0.5755610, Test Acc: 0.5644769, Train Cov: 4.7565217
Epoch: 005, Train Loss: 5.3082723, Train Acc: 0.6893755, Test Acc: 0.7031630, Train Cov: 4.7515898
Epoch: 006, Train Loss: 5.2826531, Train Acc: 0.6623412, Test Acc: 0.6642336, Train Cov: 4.7456656
Epoch: 007, Train Loss: 5.2731395, Train Acc: 0.7185726, Test Acc: 0.7347932, Train Cov: 4.7404456
Epoch: 008, Train Loss: 5.2479968, Train Acc: 0.7569613, Test Acc: 0.7372263, Train Cov: 4.7353754
Epoch: 009, Train Loss: 5.2375199, Train Acc: 0.6358475, Test Acc: 0.6447689, Train Cov: 4.7292008
Epoch: 010, Train Loss: 5.2321662, Train Acc: 0.6774804, Test Acc: 0.7080292, Train Cov: 4.7253699
Epoch: 011, Train Loss: 5.1985853, Train Acc: 0.7285753, Test Acc: 0.6958637, Train Cov: 4.7207966
Epoch: 012, Train Loss: 5.2029074, Train Acc: 0.7239795, Test Acc: 0.7542579, Train Cov: 4.7153058
Epoch: 013, Train Loss: 5.1774484, Train Acc: 0.6899162, Test Acc: 0.6618005, Train Cov: 4.7108521
Epoch: 014, Train Loss: 5.1677469, Train Acc: 0.7612868, Test Acc: 0.7493917, Train Cov: 4.7057185
Epoch: 015, Train Loss: 5.1568544, Train Acc: 0.6731549, Test Acc: 0.6642336, Train Cov: 4.7006965
Epoch: 016, Train Loss: 5.1361846, Train Acc: 0.7350635, Test Acc: 0.7469586, Train Cov: 4.6967149
Epoch: 017, Train Loss: 5.1472682, Train Acc: 0.7793998, Test Acc: 0.7542579, Train Cov: 4.6915498
Epoch: 018, Train Loss: 5.1111980, Train Acc: 0.7650716, Test Acc: 0.7128954, Train Cov: 4.6864777
Epoch: 019, Train Loss: 5.1115411, Train Acc: 0.7028927, Test Acc: 0.7274939, Train Cov: 4.6829348
Epoch: 020, Train Loss: 5.1058217, Train Acc: 0.7691268, Test Acc: 0.7542579, Train Cov: 4.6792111
Epoch: 021, Train Loss: 5.0884292, Train Acc: 0.7912949, Test Acc: 0.7712895, Train Cov: 4.6748648
Epoch: 022, Train Loss: 5.0812617, Train Acc: 0.7612868, Test Acc: 0.7274939, Train Cov: 4.6710024
Epoch: 023, Train Loss: 5.0874209, Train Acc: 0.7761557, Test Acc: 0.7591241, Train Cov: 4.6678929
Epoch: 024, Train Loss: 5.0691179, Train Acc: 0.7523655, Test Acc: 0.7299270, Train Cov: 4.6632042
Epoch: 025, Train Loss: 5.0560163, Train Acc: 0.7780481, Test Acc: 0.7639903, Train Cov: 4.6596794
Epoch: 026, Train Loss: 5.0409194, Train Acc: 0.7839957, Test Acc: 0.7737226, Train Cov: 4.6558361
Epoch: 027, Train Loss: 5.0450891, Train Acc: 0.8012976, Test Acc: 0.7834550, Train Cov: 4.6514416
Epoch: 028, Train Loss: 5.0308318, Train Acc: 0.7734523, Test Acc: 0.7396594, Train Cov: 4.6482973
Epoch: 029, Train Loss: 5.0121677, Train Acc: 0.7899432, Test Acc: 0.7566910, Train Cov: 4.6450343
Epoch: 030, Train Loss: 5.0089789, Train Acc: 0.7988646, Test Acc: 0.7396594, Train Cov: 4.6413970
Epoch: 031, Train Loss: 5.0047924, Train Acc: 0.8148148, Test Acc: 0.7737226, Train Cov: 4.6387844
Epoch: 032, Train Loss: 4.9986510, Train Acc: 0.8237361, Test Acc: 0.7591241, Train Cov: 4.6357260
