{'dataset_name': 'NCI1', 'seed': 111, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0005, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'ReLU', 'aggr': 'mean'}, 'commit_id': '0bb16684179168ffeda005d30b682e2aa720ba4e', 'time_stamp': '1614675184', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=0bb16684179168ffeda005d30b682e2aa720ba4e
Epoch: 001, Train Loss: 0.6453984, Train Acc: 0.4971614, Test Acc: 0.5304136, Train Cov: 4.7748647
Epoch: 002, Train Loss: 0.5964899, Train Acc: 0.5131117, Test Acc: 0.5620438, Train Cov: 4.7730017
Epoch: 003, Train Loss: 0.5786471, Train Acc: 0.6734253, Test Acc: 0.7007299, Train Cov: 4.7720351
Epoch: 004, Train Loss: 0.5624578, Train Acc: 0.5463639, Test Acc: 0.5328467, Train Cov: 4.7721863
Epoch: 005, Train Loss: 0.5462650, Train Acc: 0.6972155, Test Acc: 0.7250608, Train Cov: 4.7709589
Epoch: 006, Train Loss: 0.5269181, Train Acc: 0.6104353, Test Acc: 0.6569343, Train Cov: 4.7697692
Epoch: 007, Train Loss: 0.5287843, Train Acc: 0.5963774, Test Acc: 0.6131387, Train Cov: 4.7711763
Epoch: 008, Train Loss: 0.5184236, Train Acc: 0.6636929, Test Acc: 0.6982968, Train Cov: 4.7709575
Epoch: 009, Train Loss: 0.4960017, Train Acc: 0.7545283, Test Acc: 0.7591241, Train Cov: 4.7695360
Epoch: 010, Train Loss: 0.4929471, Train Acc: 0.6461206, Test Acc: 0.6228710, Train Cov: 4.7690969
Epoch: 011, Train Loss: 0.4809828, Train Acc: 0.6880238, Test Acc: 0.7201946, Train Cov: 4.7681413
Epoch: 012, Train Loss: 0.4861956, Train Acc: 0.6247634, Test Acc: 0.6107056, Train Cov: 4.7679257
Epoch: 013, Train Loss: 0.4707868, Train Acc: 0.6969451, Test Acc: 0.7201946, Train Cov: 4.7671609
Epoch: 014, Train Loss: 0.4721999, Train Acc: 0.6312517, Test Acc: 0.6666667, Train Cov: 4.7667437
Epoch: 015, Train Loss: 0.4661270, Train Acc: 0.7304677, Test Acc: 0.7518248, Train Cov: 4.7668791
Epoch: 016, Train Loss: 0.4490854, Train Acc: 0.5993512, Test Acc: 0.5888078, Train Cov: 4.7658005
Epoch: 017, Train Loss: 0.4478824, Train Acc: 0.6690998, Test Acc: 0.6690998, Train Cov: 4.7645154
Epoch: 018, Train Loss: 0.4426372, Train Acc: 0.6901865, Test Acc: 0.6715328, Train Cov: 4.7633619
Epoch: 019, Train Loss: 0.4372487, Train Acc: 0.7491214, Test Acc: 0.7250608, Train Cov: 4.7630682
Epoch: 020, Train Loss: 0.4311519, Train Acc: 0.5871857, Test Acc: 0.6058394, Train Cov: 4.7622399
Epoch: 021, Train Loss: 0.4166272, Train Acc: 0.7623682, Test Acc: 0.7396594, Train Cov: 4.7622337
Epoch: 022, Train Loss: 0.4146274, Train Acc: 0.7953501, Test Acc: 0.7518248, Train Cov: 4.7623148
Epoch: 023, Train Loss: 0.4239178, Train Acc: 0.6796431, Test Acc: 0.6545012, Train Cov: 4.7608285
Epoch: 024, Train Loss: 0.4056372, Train Acc: 0.8045418, Test Acc: 0.7664234, Train Cov: 4.7606387
Epoch: 025, Train Loss: 0.4003089, Train Acc: 0.8107597, Test Acc: 0.7810219, Train Cov: 4.7594390
Epoch: 026, Train Loss: 0.3912079, Train Acc: 0.7961611, Test Acc: 0.7810219, Train Cov: 4.7595844
Epoch: 027, Train Loss: 0.3909493, Train Acc: 0.7885915, Test Acc: 0.7591241, Train Cov: 4.7583451
Epoch: 028, Train Loss: 0.3853517, Train Acc: 0.8080562, Test Acc: 0.7956204, Train Cov: 4.7569461
Epoch: 029, Train Loss: 0.3714307, Train Acc: 0.8096783, Test Acc: 0.7810219, Train Cov: 4.7564526
Epoch: 030, Train Loss: 0.3733150, Train Acc: 0.8250879, Test Acc: 0.7980535, Train Cov: 4.7563477
Epoch: 031, Train Loss: 0.3694359, Train Acc: 0.8348202, Test Acc: 0.8077859, Train Cov: 4.7555137
Epoch: 032, Train Loss: 0.3536876, Train Acc: 0.7975128, Test Acc: 0.7566910, Train Cov: 4.7554889
Epoch: 033, Train Loss: 0.3489014, Train Acc: 0.7391187, Test Acc: 0.7445255, Train Cov: 4.7558322
Epoch: 034, Train Loss: 0.3498960, Train Acc: 0.7861584, Test Acc: 0.7542579, Train Cov: 4.7542658
Epoch: 035, Train Loss: 0.3477517, Train Acc: 0.8521222, Test Acc: 0.8029197, Train Cov: 4.7541761
Epoch: 036, Train Loss: 0.3347460, Train Acc: 0.7839957, Test Acc: 0.7810219, Train Cov: 4.7545829
Epoch: 037, Train Loss: 0.3308502, Train Acc: 0.7569613, Test Acc: 0.6958637, Train Cov: 4.7536225
Epoch: 038, Train Loss: 0.3294620, Train Acc: 0.7756150, Test Acc: 0.7177616, Train Cov: 4.7532058
Epoch: 039, Train Loss: 0.3189926, Train Acc: 0.8526629, Test Acc: 0.8077859, Train Cov: 4.7524323
Epoch: 040, Train Loss: 0.3094030, Train Acc: 0.8561773, Test Acc: 0.8126521, Train Cov: 4.7515187
Epoch: 041, Train Loss: 0.3196857, Train Acc: 0.8507705, Test Acc: 0.8077859, Train Cov: 4.7518654
