{'dataset_name': 'PROTEINS', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613447077', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 2.3979311, Train Acc: 0.5864136, Test Acc: 0.6785714, Train Cov: 3.9120107
Epoch: 002, Train Loss: 1.9189207, Train Acc: 0.5854146, Test Acc: 0.6964286, Train Cov: 3.8987074
Epoch: 003, Train Loss: 1.6135143, Train Acc: 0.6743257, Test Acc: 0.7500000, Train Cov: 3.9135330
Epoch: 004, Train Loss: 1.5102136, Train Acc: 0.6243756, Test Acc: 0.6875000, Train Cov: 3.9011931
Epoch: 005, Train Loss: 1.4115257, Train Acc: 0.6243756, Test Acc: 0.6875000, Train Cov: 3.9116607
Epoch: 006, Train Loss: 0.9433068, Train Acc: 0.6393606, Test Acc: 0.7232143, Train Cov: 3.9414165
Epoch: 007, Train Loss: 0.8889430, Train Acc: 0.7072927, Test Acc: 0.7321429, Train Cov: 3.9476845
Epoch: 008, Train Loss: 0.7797738, Train Acc: 0.6903097, Test Acc: 0.7500000, Train Cov: 3.9437363
Epoch: 009, Train Loss: 0.7336961, Train Acc: 0.7072927, Test Acc: 0.7321429, Train Cov: 3.9433775
Epoch: 010, Train Loss: 0.7293279, Train Acc: 0.7132867, Test Acc: 0.7142857, Train Cov: 3.9444728
Epoch: 011, Train Loss: 0.6203249, Train Acc: 0.7242757, Test Acc: 0.6964286, Train Cov: 3.9481592
