{'dataset_name': 'PROTEINS', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613447449', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 2.5251396, Train Acc: 0.5864136, Test Acc: 0.6785714, Train Cov: 3.9537563
Epoch: 002, Train Loss: 1.9120563, Train Acc: 0.5834166, Test Acc: 0.6875000, Train Cov: 3.9277213
Epoch: 003, Train Loss: 1.8688186, Train Acc: 0.6753247, Test Acc: 0.7053571, Train Cov: 3.8675809
Epoch: 004, Train Loss: 1.5640225, Train Acc: 0.6513487, Test Acc: 0.7142857, Train Cov: 3.8483129
Epoch: 005, Train Loss: 1.4750636, Train Acc: 0.6893107, Test Acc: 0.7678571, Train Cov: 3.8180339
Epoch: 006, Train Loss: 1.0562641, Train Acc: 0.6803197, Test Acc: 0.7500000, Train Cov: 3.8224468
Epoch: 007, Train Loss: 0.8758688, Train Acc: 0.6583417, Test Acc: 0.6785714, Train Cov: 3.8566208
Epoch: 008, Train Loss: 0.8029840, Train Acc: 0.6683317, Test Acc: 0.7142857, Train Cov: 3.8712263
Epoch: 009, Train Loss: 0.8003502, Train Acc: 0.6893107, Test Acc: 0.7053571, Train Cov: 3.9017160
Epoch: 010, Train Loss: 0.8148152, Train Acc: 0.7372627, Test Acc: 0.6875000, Train Cov: 3.9356225
Epoch: 011, Train Loss: 0.7420247, Train Acc: 0.6933067, Test Acc: 0.6785714, Train Cov: 3.9086962
Epoch: 012, Train Loss: 0.7072085, Train Acc: 0.7432567, Test Acc: 0.7321429, Train Cov: 3.9274602
Epoch: 013, Train Loss: 0.6402067, Train Acc: 0.7052947, Test Acc: 0.7053571, Train Cov: 3.9423094
Epoch: 014, Train Loss: 0.6332082, Train Acc: 0.7382617, Test Acc: 0.6339286, Train Cov: 3.9013066
Epoch: 015, Train Loss: 0.6533887, Train Acc: 0.7522478, Test Acc: 0.7500000, Train Cov: 3.8660886
Epoch: 016, Train Loss: 0.6083519, Train Acc: 0.7512488, Test Acc: 0.6964286, Train Cov: 3.8579340
Epoch: 017, Train Loss: 0.5998021, Train Acc: 0.7382617, Test Acc: 0.7410714, Train Cov: 3.8531742
Epoch: 018, Train Loss: 0.5856679, Train Acc: 0.7642358, Test Acc: 0.6964286, Train Cov: 3.8429854
Epoch: 019, Train Loss: 0.6157450, Train Acc: 0.7742258, Test Acc: 0.7500000, Train Cov: 3.8532262
