{'dataset_name': 'PROTEINS', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.1, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': 'ebc0d1b1b71e7afdb5e219dfa649d9b1aefa8a7f', 'time_stamp': '1613472790', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=ebc0d1b1b71e7afdb5e219dfa649d9b1aefa8a7f
Epoch: 001, Train Loss: 1.3473201, Train Acc: 0.6213786, Test Acc: 0.6875000, Train Cov: 4.5427589
Epoch: 002, Train Loss: 1.0665443, Train Acc: 0.6753247, Test Acc: 0.7142857, Train Cov: 4.4530120
Epoch: 003, Train Loss: 1.0337712, Train Acc: 0.6673327, Test Acc: 0.7410714, Train Cov: 4.3682566
Epoch: 004, Train Loss: 1.0530539, Train Acc: 0.7112887, Test Acc: 0.7589286, Train Cov: 4.2863984
Epoch: 005, Train Loss: 1.0341399, Train Acc: 0.7202797, Test Acc: 0.7589286, Train Cov: 4.1962724
Epoch: 006, Train Loss: 0.9885708, Train Acc: 0.6973027, Test Acc: 0.7410714, Train Cov: 4.0751657
Epoch: 007, Train Loss: 0.9772912, Train Acc: 0.7242757, Test Acc: 0.7232143, Train Cov: 3.9088595
Epoch: 008, Train Loss: 0.9488486, Train Acc: 0.7092907, Test Acc: 0.7232143, Train Cov: 3.7288539
Epoch: 009, Train Loss: 0.9430151, Train Acc: 0.6973027, Test Acc: 0.7232143, Train Cov: 3.5073407
Epoch: 010, Train Loss: 0.9275346, Train Acc: 0.7252747, Test Acc: 0.7589286, Train Cov: 3.2853103
Epoch: 011, Train Loss: 0.8852759, Train Acc: 0.6933067, Test Acc: 0.6517857, Train Cov: 3.0331674
Epoch: 012, Train Loss: 0.8705551, Train Acc: 0.7372627, Test Acc: 0.7321429, Train Cov: 2.7747102
Epoch: 013, Train Loss: 0.8284303, Train Acc: 0.7342657, Test Acc: 0.7500000, Train Cov: 2.5044093
Epoch: 014, Train Loss: 0.8145435, Train Acc: 0.7382617, Test Acc: 0.7053571, Train Cov: 2.2284675
Epoch: 015, Train Loss: 0.8190011, Train Acc: 0.7122877, Test Acc: 0.7500000, Train Cov: 1.9498121
Epoch: 016, Train Loss: 0.7770144, Train Acc: 0.7352647, Test Acc: 0.7410714, Train Cov: 1.7347420
Epoch: 017, Train Loss: 0.7654634, Train Acc: 0.7272727, Test Acc: 0.7410714, Train Cov: 1.5573280
