{'dataset_name': 'PROTEINS', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'mean', 'BN': 'N'}, 'commit_id': 'ebc0d1b1b71e7afdb5e219dfa649d9b1aefa8a7f', 'time_stamp': '1613473090', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=ebc0d1b1b71e7afdb5e219dfa649d9b1aefa8a7f
Epoch: 001, Train Loss: 0.8353677, Train Acc: 0.5874126, Test Acc: 0.6428571, Train Cov: 4.8068714
Epoch: 002, Train Loss: 0.6718798, Train Acc: 0.6303696, Test Acc: 0.6964286, Train Cov: 4.7932329
Epoch: 003, Train Loss: 0.6239178, Train Acc: 0.5984016, Test Acc: 0.6696429, Train Cov: 4.7912583
Epoch: 004, Train Loss: 0.6341274, Train Acc: 0.6683317, Test Acc: 0.7321429, Train Cov: 4.7912207
Epoch: 005, Train Loss: 0.5901333, Train Acc: 0.6783217, Test Acc: 0.7500000, Train Cov: 4.7925282
Epoch: 006, Train Loss: 0.5997016, Train Acc: 0.6463536, Test Acc: 0.7142857, Train Cov: 4.7944517
Epoch: 007, Train Loss: 0.5896076, Train Acc: 0.7092907, Test Acc: 0.7678571, Train Cov: 4.7933121
Epoch: 008, Train Loss: 0.5786698, Train Acc: 0.7172827, Test Acc: 0.7410714, Train Cov: 4.7929544
Epoch: 009, Train Loss: 0.5820234, Train Acc: 0.6883117, Test Acc: 0.7410714, Train Cov: 4.7921295
Epoch: 010, Train Loss: 0.5925933, Train Acc: 0.7092907, Test Acc: 0.7321429, Train Cov: 4.7924623
Epoch: 011, Train Loss: 0.5847010, Train Acc: 0.7322677, Test Acc: 0.7678571, Train Cov: 4.7935143
Epoch: 012, Train Loss: 0.5850719, Train Acc: 0.7082917, Test Acc: 0.7410714, Train Cov: 4.7952299
Epoch: 013, Train Loss: 0.5912742, Train Acc: 0.7222777, Test Acc: 0.7142857, Train Cov: 4.7965527
Epoch: 014, Train Loss: 0.5717523, Train Acc: 0.7222777, Test Acc: 0.7321429, Train Cov: 4.7968211
Epoch: 015, Train Loss: 0.5719535, Train Acc: 0.7132867, Test Acc: 0.7321429, Train Cov: 4.7962418
Epoch: 016, Train Loss: 0.5998943, Train Acc: 0.7292707, Test Acc: 0.6964286, Train Cov: 4.7963548
Epoch: 017, Train Loss: 0.5847300, Train Acc: 0.7252747, Test Acc: 0.7410714, Train Cov: 4.7980347
Epoch: 018, Train Loss: 0.5910278, Train Acc: 0.7042957, Test Acc: 0.6875000, Train Cov: 4.8000779
Epoch: 019, Train Loss: 0.5745708, Train Acc: 0.7252747, Test Acc: 0.7232143, Train Cov: 4.7979021
Epoch: 020, Train Loss: 0.5694640, Train Acc: 0.7352647, Test Acc: 0.7321429, Train Cov: 4.7967210
Epoch: 021, Train Loss: 0.5828858, Train Acc: 0.7432567, Test Acc: 0.7500000, Train Cov: 4.7965426
Epoch: 022, Train Loss: 0.5741400, Train Acc: 0.7322677, Test Acc: 0.7678571, Train Cov: 4.7959380
Epoch: 023, Train Loss: 0.5947170, Train Acc: 0.7342657, Test Acc: 0.6964286, Train Cov: 4.7921524
Epoch: 024, Train Loss: 0.5760636, Train Acc: 0.7372627, Test Acc: 0.7053571, Train Cov: 4.7915277
Epoch: 025, Train Loss: 0.5872880, Train Acc: 0.7142857, Test Acc: 0.6607143, Train Cov: 4.7907882
Epoch: 026, Train Loss: 0.5852010, Train Acc: 0.7162837, Test Acc: 0.7410714, Train Cov: 4.7937484
Epoch: 027, Train Loss: 0.5898038, Train Acc: 0.7392607, Test Acc: 0.6964286, Train Cov: 4.7975535
Epoch: 028, Train Loss: 0.5878719, Train Acc: 0.7422577, Test Acc: 0.7232143, Train Cov: 4.7989354
Epoch: 029, Train Loss: 0.5860291, Train Acc: 0.7512488, Test Acc: 0.7142857, Train Cov: 4.7988024
Epoch: 030, Train Loss: 0.5783101, Train Acc: 0.7382617, Test Acc: 0.7767857, Train Cov: 4.7981911
Epoch: 031, Train Loss: 0.5711289, Train Acc: 0.7482517, Test Acc: 0.7500000, Train Cov: 4.7946963
Epoch: 032, Train Loss: 0.5721441, Train Acc: 0.7482517, Test Acc: 0.7321429, Train Cov: 4.7930861
Epoch: 033, Train Loss: 0.5747204, Train Acc: 0.7582418, Test Acc: 0.6964286, Train Cov: 4.7938895
Epoch: 034, Train Loss: 0.5858199, Train Acc: 0.7492507, Test Acc: 0.7500000, Train Cov: 4.7919188
Epoch: 035, Train Loss: 0.5803030, Train Acc: 0.7422577, Test Acc: 0.7410714, Train Cov: 4.7941465
Epoch: 036, Train Loss: 0.5721124, Train Acc: 0.7532468, Test Acc: 0.7142857, Train Cov: 4.7957511
Epoch: 037, Train Loss: 0.5631846, Train Acc: 0.7512488, Test Acc: 0.7321429, Train Cov: 4.7962632
Epoch: 038, Train Loss: 0.5870651, Train Acc: 0.7492507, Test Acc: 0.6785714, Train Cov: 4.7975974
