{'dataset_name': 'PROTEINS', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.1, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'mean', 'BN': 'N'}, 'commit_id': 'ebc0d1b1b71e7afdb5e219dfa649d9b1aefa8a7f', 'time_stamp': '1613473201', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=ebc0d1b1b71e7afdb5e219dfa649d9b1aefa8a7f
Epoch: 001, Train Loss: 1.2985685, Train Acc: 0.5874126, Test Acc: 0.6696429, Train Cov: 4.8064318
Epoch: 002, Train Loss: 1.1500513, Train Acc: 0.6493506, Test Acc: 0.7232143, Train Cov: 4.7901397
Epoch: 003, Train Loss: 1.0947952, Train Acc: 0.6753247, Test Acc: 0.7410714, Train Cov: 4.7848401
Epoch: 004, Train Loss: 1.1031014, Train Acc: 0.6473526, Test Acc: 0.7232143, Train Cov: 4.7817354
Epoch: 005, Train Loss: 1.0754033, Train Acc: 0.6973027, Test Acc: 0.7857143, Train Cov: 4.7805662
Epoch: 006, Train Loss: 1.0705067, Train Acc: 0.6533467, Test Acc: 0.7232143, Train Cov: 4.7796636
Epoch: 007, Train Loss: 1.0710766, Train Acc: 0.7192807, Test Acc: 0.7500000, Train Cov: 4.7761946
Epoch: 008, Train Loss: 1.0670325, Train Acc: 0.6883117, Test Acc: 0.7321429, Train Cov: 4.7737608
Epoch: 009, Train Loss: 1.0636130, Train Acc: 0.6793207, Test Acc: 0.7232143, Train Cov: 4.7674994
Epoch: 010, Train Loss: 1.0644812, Train Acc: 0.6843157, Test Acc: 0.7410714, Train Cov: 4.7609196
Epoch: 011, Train Loss: 1.0620458, Train Acc: 0.7152847, Test Acc: 0.7053571, Train Cov: 4.7526851
Epoch: 012, Train Loss: 1.0635711, Train Acc: 0.6703297, Test Acc: 0.7142857, Train Cov: 4.7438703
Epoch: 013, Train Loss: 1.0615081, Train Acc: 0.7202797, Test Acc: 0.7857143, Train Cov: 4.7290702
Epoch: 014, Train Loss: 1.0459203, Train Acc: 0.7422577, Test Acc: 0.7232143, Train Cov: 4.7031722
Epoch: 015, Train Loss: 1.0580417, Train Acc: 0.7192807, Test Acc: 0.7321429, Train Cov: 4.6738834
Epoch: 016, Train Loss: 1.0534933, Train Acc: 0.7392607, Test Acc: 0.7321429, Train Cov: 4.6469064
Epoch: 017, Train Loss: 1.0517010, Train Acc: 0.7402597, Test Acc: 0.7142857, Train Cov: 4.6114564
Epoch: 018, Train Loss: 1.0562149, Train Acc: 0.6923077, Test Acc: 0.6964286, Train Cov: 4.5851068
Epoch: 019, Train Loss: 1.0419827, Train Acc: 0.7222777, Test Acc: 0.7678571, Train Cov: 4.5548782
Epoch: 020, Train Loss: 1.0352821, Train Acc: 0.7352647, Test Acc: 0.7767857, Train Cov: 4.5160837
Epoch: 021, Train Loss: 1.0362168, Train Acc: 0.7422577, Test Acc: 0.7232143, Train Cov: 4.4937081
Epoch: 022, Train Loss: 1.0351475, Train Acc: 0.7412587, Test Acc: 0.7142857, Train Cov: 4.4628105
Epoch: 023, Train Loss: 1.0262248, Train Acc: 0.7312687, Test Acc: 0.7142857, Train Cov: 4.4392328
Epoch: 024, Train Loss: 1.0125766, Train Acc: 0.7492507, Test Acc: 0.6875000, Train Cov: 4.4058895
Epoch: 025, Train Loss: 1.0204044, Train Acc: 0.7262737, Test Acc: 0.7053571, Train Cov: 4.3733082
Epoch: 026, Train Loss: 1.0192373, Train Acc: 0.7142857, Test Acc: 0.7321429, Train Cov: 4.3374977
Epoch: 027, Train Loss: 1.0336650, Train Acc: 0.7412587, Test Acc: 0.6964286, Train Cov: 4.3098140
Epoch: 028, Train Loss: 1.0191263, Train Acc: 0.7432567, Test Acc: 0.7500000, Train Cov: 4.2746968
Epoch: 029, Train Loss: 1.0228060, Train Acc: 0.7312687, Test Acc: 0.7410714, Train Cov: 4.2487793
Epoch: 030, Train Loss: 1.0132261, Train Acc: 0.7432567, Test Acc: 0.7589286, Train Cov: 4.2286439
Epoch: 031, Train Loss: 0.9994195, Train Acc: 0.7232767, Test Acc: 0.7232143, Train Cov: 4.1897058
Epoch: 032, Train Loss: 0.9895428, Train Acc: 0.7402597, Test Acc: 0.6964286, Train Cov: 4.1430812
Epoch: 033, Train Loss: 0.9822383, Train Acc: 0.7512488, Test Acc: 0.7142857, Train Cov: 4.0987444
Epoch: 034, Train Loss: 0.9899635, Train Acc: 0.7242757, Test Acc: 0.7142857, Train Cov: 4.0334864
Epoch: 035, Train Loss: 0.9993564, Train Acc: 0.7402597, Test Acc: 0.6964286, Train Cov: 3.9803200
Epoch: 036, Train Loss: 0.9894526, Train Acc: 0.7412587, Test Acc: 0.7232143, Train Cov: 3.9177449
Epoch: 037, Train Loss: 0.9851650, Train Acc: 0.7142857, Test Acc: 0.7500000, Train Cov: 3.8791835
Epoch: 038, Train Loss: 0.9753935, Train Acc: 0.7082917, Test Acc: 0.7053571, Train Cov: 3.8491786
Epoch: 039, Train Loss: 0.9735253, Train Acc: 0.7352647, Test Acc: 0.7232143, Train Cov: 3.7630894
Epoch: 040, Train Loss: 0.9448080, Train Acc: 0.7102897, Test Acc: 0.7142857, Train Cov: 3.6330304
Epoch: 041, Train Loss: 0.9513572, Train Acc: 0.7502498, Test Acc: 0.7053571, Train Cov: 3.5339603
Epoch: 042, Train Loss: 0.9232756, Train Acc: 0.7322677, Test Acc: 0.7410714, Train Cov: 3.3925545
Epoch: 043, Train Loss: 0.9153577, Train Acc: 0.7342657, Test Acc: 0.7142857, Train Cov: 3.2822986
Epoch: 044, Train Loss: 0.9136957, Train Acc: 0.6943057, Test Acc: 0.6875000, Train Cov: 3.1531594
Epoch: 045, Train Loss: 0.8927946, Train Acc: 0.7052947, Test Acc: 0.7053571, Train Cov: 3.0457017
Epoch: 046, Train Loss: 0.8994120, Train Acc: 0.6973027, Test Acc: 0.6875000, Train Cov: 2.9605584
Epoch: 047, Train Loss: 0.8892479, Train Acc: 0.7372627, Test Acc: 0.7053571, Train Cov: 2.8940651
Epoch: 048, Train Loss: 0.8858091, Train Acc: 0.7172827, Test Acc: 0.7500000, Train Cov: 2.7033718
Epoch: 049, Train Loss: 0.8884417, Train Acc: 0.6643357, Test Acc: 0.6339286, Train Cov: 2.6154625
Epoch: 050, Train Loss: 0.8683313, Train Acc: 0.7072927, Test Acc: 0.7232143, Train Cov: 2.5344648
Epoch: 051, Train Loss: 0.8654206, Train Acc: 0.6583417, Test Acc: 0.6517857, Train Cov: 2.4440393
Epoch: 052, Train Loss: 0.8544037, Train Acc: 0.6333666, Test Acc: 0.6160714, Train Cov: 2.3935394
