{'dataset_name': 'PROTEINS', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'Y'}, 'commit_id': 'cf88820ae7a758be0e62837f3e49c045318d84b5', 'time_stamp': '1613561434', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=cf88820ae7a758be0e62837f3e49c045318d84b5
Epoch: 001, Train Loss: 4.0450261, Train Acc: 0.6063936, Test Acc: 0.6964286, Train Cov: 3.8319893
Epoch: 002, Train Loss: 2.9488105, Train Acc: 0.6343656, Test Acc: 0.7142857, Train Cov: 3.7758186
Epoch: 003, Train Loss: 2.3854342, Train Acc: 0.5894106, Test Acc: 0.5267857, Train Cov: 3.8281090
Epoch: 004, Train Loss: 2.3718720, Train Acc: 0.6153846, Test Acc: 0.6428571, Train Cov: 3.9413636
Epoch: 005, Train Loss: 1.8177098, Train Acc: 0.5834166, Test Acc: 0.6875000, Train Cov: 4.1796384
Epoch: 006, Train Loss: 1.5530348, Train Acc: 0.5804196, Test Acc: 0.6607143, Train Cov: 4.3122325
Epoch: 007, Train Loss: 1.3203915, Train Acc: 0.6623377, Test Acc: 0.6696429, Train Cov: 4.4656401
Epoch: 008, Train Loss: 1.0337512, Train Acc: 0.7102897, Test Acc: 0.6071429, Train Cov: 4.5074158
Epoch: 009, Train Loss: 0.9736693, Train Acc: 0.6453546, Test Acc: 0.7232143, Train Cov: 4.4687262
Epoch: 010, Train Loss: 0.8267726, Train Acc: 0.6233766, Test Acc: 0.7053571, Train Cov: 4.5484948
Epoch: 011, Train Loss: 0.8114358, Train Acc: 0.7252747, Test Acc: 0.6160714, Train Cov: 4.6266680
Epoch: 012, Train Loss: 0.7001551, Train Acc: 0.6523477, Test Acc: 0.7142857, Train Cov: 4.6386385
Epoch: 013, Train Loss: 0.6506198, Train Acc: 0.6833167, Test Acc: 0.6785714, Train Cov: 4.6396065
Epoch: 014, Train Loss: 0.6392522, Train Acc: 0.7292707, Test Acc: 0.6696429, Train Cov: 4.6726723
Epoch: 015, Train Loss: 0.6230412, Train Acc: 0.7232767, Test Acc: 0.6875000, Train Cov: 4.6505971
Epoch: 016, Train Loss: 0.6124867, Train Acc: 0.6833167, Test Acc: 0.6875000, Train Cov: 4.6763105
Epoch: 017, Train Loss: 0.6366280, Train Acc: 0.7012987, Test Acc: 0.6250000, Train Cov: 4.6870322
Epoch: 018, Train Loss: 0.6340562, Train Acc: 0.7232767, Test Acc: 0.7053571, Train Cov: 4.6645317
Epoch: 019, Train Loss: 0.6212714, Train Acc: 0.7312687, Test Acc: 0.7053571, Train Cov: 4.6487770
Epoch: 020, Train Loss: 0.5834132, Train Acc: 0.7392607, Test Acc: 0.7053571, Train Cov: 4.6556721
Epoch: 021, Train Loss: 0.5886244, Train Acc: 0.7402597, Test Acc: 0.7232143, Train Cov: 4.6586175
Epoch: 022, Train Loss: 0.5920110, Train Acc: 0.7532468, Test Acc: 0.7142857, Train Cov: 4.6500292
Epoch: 023, Train Loss: 0.5980733, Train Acc: 0.6913087, Test Acc: 0.7500000, Train Cov: 4.6329832
Epoch: 024, Train Loss: 0.5845731, Train Acc: 0.7462537, Test Acc: 0.7232143, Train Cov: 4.6236792
Epoch: 025, Train Loss: 0.5628780, Train Acc: 0.7032967, Test Acc: 0.7142857, Train Cov: 4.5887036
Epoch: 026, Train Loss: 0.5887580, Train Acc: 0.7112887, Test Acc: 0.7321429, Train Cov: 4.6068120
Epoch: 027, Train Loss: 0.5770574, Train Acc: 0.6823177, Test Acc: 0.6964286, Train Cov: 4.5902162
Epoch: 028, Train Loss: 0.5989766, Train Acc: 0.6943057, Test Acc: 0.7767857, Train Cov: 4.5609226
Epoch: 029, Train Loss: 0.6033275, Train Acc: 0.7622378, Test Acc: 0.7142857, Train Cov: 4.5479078
Epoch: 030, Train Loss: 0.5700787, Train Acc: 0.7462537, Test Acc: 0.6785714, Train Cov: 4.5497141
Epoch: 031, Train Loss: 0.5917211, Train Acc: 0.7382617, Test Acc: 0.6875000, Train Cov: 4.5341010
Epoch: 032, Train Loss: 0.5621702, Train Acc: 0.7632368, Test Acc: 0.7053571, Train Cov: 4.5214338
Epoch: 033, Train Loss: 0.5613703, Train Acc: 0.7602398, Test Acc: 0.7053571, Train Cov: 4.5028586
Epoch: 034, Train Loss: 0.5712665, Train Acc: 0.7412587, Test Acc: 0.6875000, Train Cov: 4.4813504
Epoch: 035, Train Loss: 0.5770611, Train Acc: 0.7492507, Test Acc: 0.6696429, Train Cov: 4.5019345
Epoch: 036, Train Loss: 0.5550903, Train Acc: 0.7562438, Test Acc: 0.6964286, Train Cov: 4.5416298
Epoch: 037, Train Loss: 0.5397056, Train Acc: 0.7582418, Test Acc: 0.7232143, Train Cov: 4.5393357
Epoch: 038, Train Loss: 0.5816090, Train Acc: 0.7572428, Test Acc: 0.6875000, Train Cov: 4.5232453
Epoch: 039, Train Loss: 0.5735191, Train Acc: 0.7572428, Test Acc: 0.6785714, Train Cov: 4.4966421
Epoch: 040, Train Loss: 0.5561967, Train Acc: 0.7652348, Test Acc: 0.6875000, Train Cov: 4.5140190
Epoch: 041, Train Loss: 0.5582859, Train Acc: 0.7312687, Test Acc: 0.7410714, Train Cov: 4.5012827
Epoch: 042, Train Loss: 0.5565255, Train Acc: 0.7432567, Test Acc: 0.6785714, Train Cov: 4.5035634
Epoch: 043, Train Loss: 0.5731337, Train Acc: 0.7512488, Test Acc: 0.6339286, Train Cov: 4.4860172
Epoch: 044, Train Loss: 0.5504366, Train Acc: 0.7712288, Test Acc: 0.6875000, Train Cov: 4.4966941
Epoch: 045, Train Loss: 0.5687074, Train Acc: 0.7482517, Test Acc: 0.6696429, Train Cov: 4.4969268
Epoch: 046, Train Loss: 0.5694426, Train Acc: 0.7682318, Test Acc: 0.7678571, Train Cov: 4.5129676
Epoch: 047, Train Loss: 0.5745531, Train Acc: 0.7452547, Test Acc: 0.6875000, Train Cov: 4.5745554
Epoch: 048, Train Loss: 0.5626051, Train Acc: 0.7652348, Test Acc: 0.6964286, Train Cov: 4.6168442
Epoch: 049, Train Loss: 0.5497043, Train Acc: 0.7412587, Test Acc: 0.6785714, Train Cov: 4.6153135
Epoch: 050, Train Loss: 0.5531809, Train Acc: 0.7372627, Test Acc: 0.6696429, Train Cov: 4.5903149
Epoch: 051, Train Loss: 0.5771689, Train Acc: 0.7382617, Test Acc: 0.6875000, Train Cov: 4.5560212
Epoch: 052, Train Loss: 0.5370619, Train Acc: 0.7552448, Test Acc: 0.7321429, Train Cov: 4.5362515
Epoch: 053, Train Loss: 0.5409109, Train Acc: 0.7502498, Test Acc: 0.7589286, Train Cov: 4.5713091
Epoch: 054, Train Loss: 0.5413409, Train Acc: 0.7632368, Test Acc: 0.7053571, Train Cov: 4.5827289
Epoch: 055, Train Loss: 0.5289530, Train Acc: 0.7822178, Test Acc: 0.6964286, Train Cov: 4.5856166
Epoch: 056, Train Loss: 0.5435184, Train Acc: 0.7782218, Test Acc: 0.6875000, Train Cov: 4.5639601
Epoch: 057, Train Loss: 0.5281596, Train Acc: 0.7782218, Test Acc: 0.6964286, Train Cov: 4.5769367
Epoch: 058, Train Loss: 0.5538209, Train Acc: 0.7502498, Test Acc: 0.6875000, Train Cov: 4.5971322
Epoch: 059, Train Loss: 0.5415693, Train Acc: 0.7812188, Test Acc: 0.6964286, Train Cov: 4.5786676
Epoch: 060, Train Loss: 0.5484299, Train Acc: 0.7692308, Test Acc: 0.6875000, Train Cov: 4.5735922
Epoch: 061, Train Loss: 0.5525080, Train Acc: 0.7672328, Test Acc: 0.7142857, Train Cov: 4.5774131
Epoch: 062, Train Loss: 0.5224734, Train Acc: 0.7592408, Test Acc: 0.6696429, Train Cov: 4.5632005
Epoch: 063, Train Loss: 0.5278485, Train Acc: 0.7872128, Test Acc: 0.6964286, Train Cov: 4.5790567
Epoch: 064, Train Loss: 0.5344353, Train Acc: 0.7882118, Test Acc: 0.6607143, Train Cov: 4.5564299
Epoch: 065, Train Loss: 0.5227905, Train Acc: 0.7852148, Test Acc: 0.7053571, Train Cov: 4.5369267
Epoch: 066, Train Loss: 0.5444426, Train Acc: 0.7722278, Test Acc: 0.7142857, Train Cov: 4.5213237
Epoch: 067, Train Loss: 0.5319934, Train Acc: 0.7702298, Test Acc: 0.6964286, Train Cov: 4.5627971
Epoch: 068, Train Loss: 0.5285032, Train Acc: 0.7712288, Test Acc: 0.6875000, Train Cov: 4.6187506
Epoch: 069, Train Loss: 0.5543022, Train Acc: 0.7622378, Test Acc: 0.6964286, Train Cov: 4.6024599
Epoch: 070, Train Loss: 0.5273404, Train Acc: 0.7762238, Test Acc: 0.6875000, Train Cov: 4.5683746
Epoch: 071, Train Loss: 0.5262110, Train Acc: 0.7912088, Test Acc: 0.6875000, Train Cov: 4.5181561
Epoch: 072, Train Loss: 0.5179542, Train Acc: 0.7752248, Test Acc: 0.7053571, Train Cov: 4.5424185
Epoch: 073, Train Loss: 0.5385961, Train Acc: 0.7562438, Test Acc: 0.7500000, Train Cov: 4.5253663
Epoch: 074, Train Loss: 0.5422517, Train Acc: 0.7782218, Test Acc: 0.6875000, Train Cov: 4.4980865
Epoch: 075, Train Loss: 0.5469735, Train Acc: 0.7832168, Test Acc: 0.6607143, Train Cov: 4.4575410
Epoch: 076, Train Loss: 0.5150494, Train Acc: 0.7712288, Test Acc: 0.6785714, Train Cov: 4.4468541
Epoch: 077, Train Loss: 0.5231074, Train Acc: 0.7842158, Test Acc: 0.7053571, Train Cov: 4.4117928
Epoch: 078, Train Loss: 0.5400134, Train Acc: 0.7702298, Test Acc: 0.6875000, Train Cov: 4.4386635
Epoch: 079, Train Loss: 0.5555890, Train Acc: 0.7462537, Test Acc: 0.6607143, Train Cov: 4.4549365
Epoch: 080, Train Loss: 0.5533422, Train Acc: 0.7632368, Test Acc: 0.7767857, Train Cov: 4.4948931
Epoch: 081, Train Loss: 0.5310801, Train Acc: 0.7302697, Test Acc: 0.6964286, Train Cov: 4.4931173
Epoch: 082, Train Loss: 0.5429417, Train Acc: 0.7652348, Test Acc: 0.7410714, Train Cov: 4.5231190
Epoch: 083, Train Loss: 0.5455358, Train Acc: 0.7762238, Test Acc: 0.7142857, Train Cov: 4.5271621
Epoch: 084, Train Loss: 0.5289216, Train Acc: 0.7812188, Test Acc: 0.7232143, Train Cov: 4.4911470
Epoch: 085, Train Loss: 0.5162147, Train Acc: 0.7722278, Test Acc: 0.7321429, Train Cov: 4.5177951
Epoch: 086, Train Loss: 0.5258182, Train Acc: 0.7882118, Test Acc: 0.7142857, Train Cov: 4.5339189
Epoch: 087, Train Loss: 0.5225624, Train Acc: 0.7722278, Test Acc: 0.7410714, Train Cov: 4.4814095
Epoch: 088, Train Loss: 0.5046753, Train Acc: 0.7842158, Test Acc: 0.6696429, Train Cov: 4.5278864
Epoch: 089, Train Loss: 0.5158707, Train Acc: 0.7832168, Test Acc: 0.6785714, Train Cov: 4.5902734
Epoch: 090, Train Loss: 0.5379064, Train Acc: 0.7662338, Test Acc: 0.7053571, Train Cov: 4.5788398
Epoch: 091, Train Loss: 0.5408670, Train Acc: 0.7812188, Test Acc: 0.6875000, Train Cov: 4.5391593
Epoch: 092, Train Loss: 0.5217875, Train Acc: 0.7912088, Test Acc: 0.7142857, Train Cov: 4.5909963
