{'dataset_name': 'PROTEINS', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'Tanh', 'aggr': 'add', 'BN': 'Y'}, 'commit_id': 'cf88820ae7a758be0e62837f3e49c045318d84b5', 'time_stamp': '1613562379', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=cf88820ae7a758be0e62837f3e49c045318d84b5
Epoch: 001, Train Loss: 4.4719140, Train Acc: 0.6203796, Test Acc: 0.7142857, Train Cov: 3.8884048
Epoch: 002, Train Loss: 2.8565823, Train Acc: 0.6173826, Test Acc: 0.6785714, Train Cov: 4.0042744
Epoch: 003, Train Loss: 2.2214848, Train Acc: 0.6353646, Test Acc: 0.6964286, Train Cov: 4.1695161
Epoch: 004, Train Loss: 1.7659466, Train Acc: 0.6133866, Test Acc: 0.7053571, Train Cov: 4.2336950
Epoch: 005, Train Loss: 1.7314840, Train Acc: 0.5594406, Test Acc: 0.6428571, Train Cov: 4.2708225
Epoch: 006, Train Loss: 1.7873526, Train Acc: 0.6143856, Test Acc: 0.6964286, Train Cov: 4.3132992
Epoch: 007, Train Loss: 1.2210256, Train Acc: 0.6583417, Test Acc: 0.5803571, Train Cov: 4.3367472
Epoch: 008, Train Loss: 0.9697802, Train Acc: 0.6773227, Test Acc: 0.5267857, Train Cov: 4.3667459
Epoch: 009, Train Loss: 0.8773327, Train Acc: 0.6023976, Test Acc: 0.6696429, Train Cov: 4.3659716
Epoch: 010, Train Loss: 0.8359854, Train Acc: 0.6253746, Test Acc: 0.7053571, Train Cov: 4.3675666
Epoch: 011, Train Loss: 0.8271773, Train Acc: 0.6873127, Test Acc: 0.6071429, Train Cov: 4.3621178
Epoch: 012, Train Loss: 0.8082341, Train Acc: 0.6013986, Test Acc: 0.6696429, Train Cov: 4.3557467
Epoch: 013, Train Loss: 0.7694700, Train Acc: 0.6943057, Test Acc: 0.6964286, Train Cov: 4.3586745
Epoch: 014, Train Loss: 0.7015794, Train Acc: 0.7092907, Test Acc: 0.6875000, Train Cov: 4.3614378
Epoch: 015, Train Loss: 0.6795844, Train Acc: 0.6843157, Test Acc: 0.6071429, Train Cov: 4.3504739
Epoch: 016, Train Loss: 0.6843568, Train Acc: 0.6953047, Test Acc: 0.6160714, Train Cov: 4.3445849
Epoch: 017, Train Loss: 0.7007494, Train Acc: 0.7172827, Test Acc: 0.6339286, Train Cov: 4.3190293
Epoch: 018, Train Loss: 0.6360329, Train Acc: 0.7202797, Test Acc: 0.6696429, Train Cov: 4.3165712
Epoch: 019, Train Loss: 0.6407642, Train Acc: 0.7152847, Test Acc: 0.6785714, Train Cov: 4.3123622
Epoch: 020, Train Loss: 0.6437509, Train Acc: 0.7302697, Test Acc: 0.6875000, Train Cov: 4.2950931
Epoch: 021, Train Loss: 0.6384539, Train Acc: 0.7432567, Test Acc: 0.7142857, Train Cov: 4.2835650
Epoch: 022, Train Loss: 0.6320554, Train Acc: 0.7302697, Test Acc: 0.6875000, Train Cov: 4.2686491
Epoch: 023, Train Loss: 0.6431900, Train Acc: 0.7262737, Test Acc: 0.7500000, Train Cov: 4.2625556
Epoch: 024, Train Loss: 0.6344098, Train Acc: 0.7532468, Test Acc: 0.6875000, Train Cov: 4.2446923
Epoch: 025, Train Loss: 0.6081867, Train Acc: 0.7302697, Test Acc: 0.6785714, Train Cov: 4.2329054
Epoch: 026, Train Loss: 0.6274444, Train Acc: 0.7502498, Test Acc: 0.7053571, Train Cov: 4.2211819
Epoch: 027, Train Loss: 0.6241377, Train Acc: 0.7072927, Test Acc: 0.6964286, Train Cov: 4.2135458
Epoch: 028, Train Loss: 0.6331792, Train Acc: 0.7502498, Test Acc: 0.7053571, Train Cov: 4.2033329
Epoch: 029, Train Loss: 0.6355340, Train Acc: 0.7372627, Test Acc: 0.7232143, Train Cov: 4.1930389
Epoch: 030, Train Loss: 0.6250138, Train Acc: 0.7072927, Test Acc: 0.5982143, Train Cov: 4.1761737
Epoch: 031, Train Loss: 0.6478033, Train Acc: 0.6883117, Test Acc: 0.6517857, Train Cov: 4.1617393
Epoch: 032, Train Loss: 0.6549939, Train Acc: 0.7522478, Test Acc: 0.7142857, Train Cov: 4.1396284
Epoch: 033, Train Loss: 0.6038806, Train Acc: 0.7382617, Test Acc: 0.6696429, Train Cov: 4.1318870
Epoch: 034, Train Loss: 0.6227471, Train Acc: 0.7342657, Test Acc: 0.6964286, Train Cov: 4.1109548
Epoch: 035, Train Loss: 0.6311693, Train Acc: 0.7562438, Test Acc: 0.6696429, Train Cov: 4.1021910
Epoch: 036, Train Loss: 0.6267566, Train Acc: 0.7462537, Test Acc: 0.6517857, Train Cov: 4.0875440
Epoch: 037, Train Loss: 0.6172441, Train Acc: 0.7482517, Test Acc: 0.6785714, Train Cov: 4.0876894
Epoch: 038, Train Loss: 0.6301599, Train Acc: 0.7342657, Test Acc: 0.6517857, Train Cov: 4.0752864
Epoch: 039, Train Loss: 0.6298819, Train Acc: 0.7622378, Test Acc: 0.7053571, Train Cov: 4.0667157
Epoch: 040, Train Loss: 0.5881013, Train Acc: 0.7652348, Test Acc: 0.7053571, Train Cov: 4.0501289
Epoch: 041, Train Loss: 0.6012819, Train Acc: 0.7682318, Test Acc: 0.7678571, Train Cov: 4.0467300
Epoch: 042, Train Loss: 0.6084085, Train Acc: 0.7322677, Test Acc: 0.6250000, Train Cov: 4.0232530
Epoch: 043, Train Loss: 0.6253164, Train Acc: 0.7222777, Test Acc: 0.6160714, Train Cov: 4.0101848
Epoch: 044, Train Loss: 0.6222785, Train Acc: 0.7492507, Test Acc: 0.6875000, Train Cov: 4.0111480
Epoch: 045, Train Loss: 0.6255972, Train Acc: 0.7582418, Test Acc: 0.6964286, Train Cov: 3.9985921
Epoch: 046, Train Loss: 0.6129245, Train Acc: 0.7492507, Test Acc: 0.6964286, Train Cov: 3.9803429
Epoch: 047, Train Loss: 0.5996019, Train Acc: 0.7552448, Test Acc: 0.6785714, Train Cov: 3.9754863
Epoch: 048, Train Loss: 0.6006096, Train Acc: 0.7582418, Test Acc: 0.6696429, Train Cov: 3.9633751
Epoch: 049, Train Loss: 0.6033910, Train Acc: 0.7332667, Test Acc: 0.6160714, Train Cov: 3.9428625
Epoch: 050, Train Loss: 0.6080021, Train Acc: 0.7262737, Test Acc: 0.6160714, Train Cov: 3.9500804
Epoch: 051, Train Loss: 0.6192218, Train Acc: 0.7492507, Test Acc: 0.6875000, Train Cov: 3.9348631
Epoch: 052, Train Loss: 0.5895780, Train Acc: 0.7682318, Test Acc: 0.7142857, Train Cov: 3.9177802
Epoch: 053, Train Loss: 0.5928195, Train Acc: 0.7502498, Test Acc: 0.7767857, Train Cov: 3.9165380
Epoch: 054, Train Loss: 0.5848387, Train Acc: 0.7592408, Test Acc: 0.7142857, Train Cov: 3.9119713
Epoch: 055, Train Loss: 0.5823764, Train Acc: 0.7712288, Test Acc: 0.7053571, Train Cov: 3.9029307
Epoch: 056, Train Loss: 0.5784854, Train Acc: 0.7712288, Test Acc: 0.6696429, Train Cov: 3.9061317
Epoch: 057, Train Loss: 0.5674208, Train Acc: 0.7692308, Test Acc: 0.7232143, Train Cov: 3.8954248
Epoch: 058, Train Loss: 0.5853762, Train Acc: 0.7502498, Test Acc: 0.6964286, Train Cov: 3.8903413
Epoch: 059, Train Loss: 0.5791977, Train Acc: 0.7692308, Test Acc: 0.6964286, Train Cov: 3.8801997
Epoch: 060, Train Loss: 0.5857106, Train Acc: 0.7672328, Test Acc: 0.6964286, Train Cov: 3.8705230
Epoch: 061, Train Loss: 0.5948596, Train Acc: 0.7662338, Test Acc: 0.7142857, Train Cov: 3.8641176
Epoch: 062, Train Loss: 0.5698749, Train Acc: 0.7562438, Test Acc: 0.7053571, Train Cov: 3.8569152
Epoch: 063, Train Loss: 0.5945319, Train Acc: 0.7712288, Test Acc: 0.6964286, Train Cov: 3.8566198
Epoch: 064, Train Loss: 0.5999431, Train Acc: 0.7532468, Test Acc: 0.6875000, Train Cov: 3.8475225
Epoch: 065, Train Loss: 0.5809267, Train Acc: 0.7672328, Test Acc: 0.7142857, Train Cov: 3.8369448
Epoch: 066, Train Loss: 0.6028866, Train Acc: 0.7722278, Test Acc: 0.6964286, Train Cov: 3.8361120
Epoch: 067, Train Loss: 0.5816078, Train Acc: 0.7792208, Test Acc: 0.6964286, Train Cov: 3.8242729
Epoch: 068, Train Loss: 0.5778236, Train Acc: 0.7722278, Test Acc: 0.6964286, Train Cov: 3.8045337
Epoch: 069, Train Loss: 0.5783568, Train Acc: 0.7592408, Test Acc: 0.6964286, Train Cov: 3.8041172
Epoch: 070, Train Loss: 0.5974941, Train Acc: 0.7732268, Test Acc: 0.6875000, Train Cov: 3.8018267
Epoch: 071, Train Loss: 0.5951537, Train Acc: 0.7372627, Test Acc: 0.6875000, Train Cov: 3.8120620
Epoch: 072, Train Loss: 0.5968828, Train Acc: 0.7672328, Test Acc: 0.6785714, Train Cov: 3.8247423
Epoch: 073, Train Loss: 0.5820323, Train Acc: 0.7752248, Test Acc: 0.6875000, Train Cov: 3.8279886
Epoch: 074, Train Loss: 0.5839127, Train Acc: 0.7822178, Test Acc: 0.6875000, Train Cov: 3.8075542
Epoch: 075, Train Loss: 0.6025122, Train Acc: 0.7842158, Test Acc: 0.6785714, Train Cov: 3.7855108
Epoch: 076, Train Loss: 0.5802504, Train Acc: 0.7612388, Test Acc: 0.7142857, Train Cov: 3.7774687
Epoch: 077, Train Loss: 0.5860483, Train Acc: 0.7772228, Test Acc: 0.7053571, Train Cov: 3.7769454
Epoch: 078, Train Loss: 0.5726978, Train Acc: 0.7662338, Test Acc: 0.7410714, Train Cov: 3.7824469
Epoch: 079, Train Loss: 0.6050941, Train Acc: 0.7602398, Test Acc: 0.6785714, Train Cov: 3.7823634
Epoch: 080, Train Loss: 0.5815436, Train Acc: 0.7622378, Test Acc: 0.7053571, Train Cov: 3.7713580
Epoch: 081, Train Loss: 0.5699527, Train Acc: 0.7642358, Test Acc: 0.7053571, Train Cov: 3.7513123
Epoch: 082, Train Loss: 0.5755375, Train Acc: 0.7632368, Test Acc: 0.7142857, Train Cov: 3.7293518
Epoch: 083, Train Loss: 0.6034997, Train Acc: 0.7882118, Test Acc: 0.6964286, Train Cov: 3.7257390
Epoch: 084, Train Loss: 0.5678714, Train Acc: 0.7822178, Test Acc: 0.6875000, Train Cov: 3.7212591
Epoch: 085, Train Loss: 0.5689816, Train Acc: 0.7512488, Test Acc: 0.7410714, Train Cov: 3.7268786
Epoch: 086, Train Loss: 0.5760279, Train Acc: 0.7732268, Test Acc: 0.7053571, Train Cov: 3.7113464
Epoch: 087, Train Loss: 0.5783147, Train Acc: 0.7652348, Test Acc: 0.7142857, Train Cov: 3.7061951
Epoch: 088, Train Loss: 0.5692191, Train Acc: 0.7802198, Test Acc: 0.6964286, Train Cov: 3.6882508
Epoch: 089, Train Loss: 0.5742859, Train Acc: 0.7542458, Test Acc: 0.6785714, Train Cov: 3.6899636
Epoch: 090, Train Loss: 0.5911748, Train Acc: 0.7642358, Test Acc: 0.7053571, Train Cov: 3.6791341
Epoch: 091, Train Loss: 0.5896054, Train Acc: 0.7702298, Test Acc: 0.6875000, Train Cov: 3.6698463
Epoch: 092, Train Loss: 0.5718258, Train Acc: 0.7832168, Test Acc: 0.7053571, Train Cov: 3.6772869
Epoch: 093, Train Loss: 0.5700211, Train Acc: 0.7862138, Test Acc: 0.6785714, Train Cov: 3.6651158
Epoch: 094, Train Loss: 0.5781616, Train Acc: 0.7632368, Test Acc: 0.7589286, Train Cov: 3.6666417
Epoch: 095, Train Loss: 0.5791936, Train Acc: 0.7762238, Test Acc: 0.7142857, Train Cov: 3.6873364
Epoch: 096, Train Loss: 0.5825769, Train Acc: 0.7482517, Test Acc: 0.6964286, Train Cov: 3.6783934
Epoch: 097, Train Loss: 0.5641239, Train Acc: 0.7752248, Test Acc: 0.7142857, Train Cov: 3.6775162
Epoch: 098, Train Loss: 0.5526483, Train Acc: 0.7752248, Test Acc: 0.7053571, Train Cov: 3.6644785
Epoch: 099, Train Loss: 0.5698286, Train Acc: 0.7612388, Test Acc: 0.6696429, Train Cov: 3.6667757
Epoch: 100, Train Loss: 0.6027878, Train Acc: 0.7742258, Test Acc: 0.6785714, Train Cov: 3.6455097
Epoch: 101, Train Loss: 0.5680007, Train Acc: 0.7632368, Test Acc: 0.6696429, Train Cov: 3.6552017
Epoch: 102, Train Loss: 0.5759703, Train Acc: 0.7762238, Test Acc: 0.6875000, Train Cov: 3.6302187
Epoch: 103, Train Loss: 0.5620399, Train Acc: 0.7742258, Test Acc: 0.7142857, Train Cov: 3.6307569
Epoch: 104, Train Loss: 0.5499992, Train Acc: 0.7632368, Test Acc: 0.6875000, Train Cov: 3.6273541
Epoch: 105, Train Loss: 0.5778641, Train Acc: 0.7802198, Test Acc: 0.6964286, Train Cov: 3.6107299
Epoch: 106, Train Loss: 0.5590608, Train Acc: 0.7802198, Test Acc: 0.6875000, Train Cov: 3.6110487
Epoch: 107, Train Loss: 0.5591397, Train Acc: 0.7762238, Test Acc: 0.6875000, Train Cov: 3.6123517
Epoch: 108, Train Loss: 0.5702418, Train Acc: 0.7872128, Test Acc: 0.6696429, Train Cov: 3.6165955
Epoch: 109, Train Loss: 0.5624905, Train Acc: 0.7542458, Test Acc: 0.6607143, Train Cov: 3.5875032
Epoch: 110, Train Loss: 0.5550833, Train Acc: 0.7832168, Test Acc: 0.6785714, Train Cov: 3.5863898
Epoch: 111, Train Loss: 0.5919033, Train Acc: 0.7832168, Test Acc: 0.6785714, Train Cov: 3.5833097
Epoch: 112, Train Loss: 0.5749433, Train Acc: 0.7732268, Test Acc: 0.7053571, Train Cov: 3.5798326
Epoch: 113, Train Loss: 0.5635900, Train Acc: 0.7802198, Test Acc: 0.6964286, Train Cov: 3.5993581
Epoch: 114, Train Loss: 0.5750224, Train Acc: 0.7492507, Test Acc: 0.6428571, Train Cov: 3.6065841
Epoch: 115, Train Loss: 0.5611760, Train Acc: 0.7752248, Test Acc: 0.7232143, Train Cov: 3.5934575
Epoch: 116, Train Loss: 0.5614269, Train Acc: 0.7912088, Test Acc: 0.6875000, Train Cov: 3.5882080
Epoch: 117, Train Loss: 0.5659892, Train Acc: 0.7782218, Test Acc: 0.7142857, Train Cov: 3.5862467
Epoch: 118, Train Loss: 0.5619297, Train Acc: 0.7752248, Test Acc: 0.7053571, Train Cov: 3.5743687
Epoch: 119, Train Loss: 0.5674720, Train Acc: 0.7892108, Test Acc: 0.7142857, Train Cov: 3.5654852
Epoch: 120, Train Loss: 0.5815906, Train Acc: 0.7762238, Test Acc: 0.6964286, Train Cov: 3.5709834
Epoch: 121, Train Loss: 0.5561490, Train Acc: 0.7902098, Test Acc: 0.7321429, Train Cov: 3.5459402
Epoch: 122, Train Loss: 0.5571206, Train Acc: 0.7862138, Test Acc: 0.6875000, Train Cov: 3.5377302
Epoch: 123, Train Loss: 0.5676835, Train Acc: 0.7782218, Test Acc: 0.7232143, Train Cov: 3.5138478
Epoch: 124, Train Loss: 0.5527638, Train Acc: 0.7832168, Test Acc: 0.6696429, Train Cov: 3.5124099
Epoch: 125, Train Loss: 0.5669456, Train Acc: 0.7722278, Test Acc: 0.7321429, Train Cov: 3.5118620
Epoch: 126, Train Loss: 0.5663528, Train Acc: 0.7792208, Test Acc: 0.7053571, Train Cov: 3.5096419
Epoch: 127, Train Loss: 0.5544057, Train Acc: 0.7852148, Test Acc: 0.7053571, Train Cov: 3.4988282
Epoch: 128, Train Loss: 0.5400216, Train Acc: 0.7772228, Test Acc: 0.6696429, Train Cov: 3.4995127
Epoch: 129, Train Loss: 0.5503313, Train Acc: 0.7802198, Test Acc: 0.6875000, Train Cov: 3.4770594
Epoch: 130, Train Loss: 0.5490253, Train Acc: 0.7882118, Test Acc: 0.6964286, Train Cov: 3.4858725
Epoch: 131, Train Loss: 0.5510449, Train Acc: 0.7672328, Test Acc: 0.7142857, Train Cov: 3.4942596
Epoch: 132, Train Loss: 0.5813332, Train Acc: 0.7632368, Test Acc: 0.6517857, Train Cov: 3.5089092
Epoch: 133, Train Loss: 0.5559422, Train Acc: 0.7712288, Test Acc: 0.6964286, Train Cov: 3.5145171
Epoch: 134, Train Loss: 0.5833129, Train Acc: 0.7762238, Test Acc: 0.6696429, Train Cov: 3.5219829
Epoch: 135, Train Loss: 0.5534483, Train Acc: 0.7832168, Test Acc: 0.7053571, Train Cov: 3.4959731
Epoch: 136, Train Loss: 0.5611248, Train Acc: 0.7712288, Test Acc: 0.6875000, Train Cov: 3.4752643
Epoch: 137, Train Loss: 0.5675926, Train Acc: 0.7822178, Test Acc: 0.6696429, Train Cov: 3.4633155
Epoch: 138, Train Loss: 0.5759095, Train Acc: 0.7862138, Test Acc: 0.6785714, Train Cov: 3.4657013
Epoch: 139, Train Loss: 0.5407815, Train Acc: 0.7792208, Test Acc: 0.6875000, Train Cov: 3.4630308
Epoch: 140, Train Loss: 0.5762338, Train Acc: 0.7642358, Test Acc: 0.7053571, Train Cov: 3.4567921
Epoch: 141, Train Loss: 0.5931575, Train Acc: 0.7632368, Test Acc: 0.6696429, Train Cov: 3.4491601
Epoch: 142, Train Loss: 0.5832633, Train Acc: 0.7612388, Test Acc: 0.6785714, Train Cov: 3.4396515
Epoch: 143, Train Loss: 0.5566810, Train Acc: 0.7862138, Test Acc: 0.6875000, Train Cov: 3.4452455
Epoch: 144, Train Loss: 0.5637371, Train Acc: 0.7912088, Test Acc: 0.6875000, Train Cov: 3.4488080
Epoch: 145, Train Loss: 0.5781982, Train Acc: 0.7752248, Test Acc: 0.7321429, Train Cov: 3.4257405
Epoch: 146, Train Loss: 0.5650966, Train Acc: 0.7862138, Test Acc: 0.6875000, Train Cov: 3.4206359
Epoch: 147, Train Loss: 0.5583648, Train Acc: 0.7792208, Test Acc: 0.7053571, Train Cov: 3.4164436
Epoch: 148, Train Loss: 0.5643315, Train Acc: 0.7712288, Test Acc: 0.6964286, Train Cov: 3.4169242
Epoch: 149, Train Loss: 0.5665237, Train Acc: 0.7762238, Test Acc: 0.6696429, Train Cov: 3.4036372
Epoch: 150, Train Loss: 0.5673524, Train Acc: 0.7832168, Test Acc: 0.7053571, Train Cov: 3.4206648
Epoch: 151, Train Loss: 0.5471870, Train Acc: 0.7822178, Test Acc: 0.6964286, Train Cov: 3.4128685
Epoch: 152, Train Loss: 0.5646051, Train Acc: 0.7702298, Test Acc: 0.7142857, Train Cov: 3.4123094
Epoch: 153, Train Loss: 0.5509675, Train Acc: 0.7812188, Test Acc: 0.7053571, Train Cov: 3.3818107
Epoch: 154, Train Loss: 0.5546720, Train Acc: 0.7862138, Test Acc: 0.6607143, Train Cov: 3.3709638
Epoch: 155, Train Loss: 0.5613976, Train Acc: 0.7902098, Test Acc: 0.7053571, Train Cov: 3.3645315
Epoch: 156, Train Loss: 0.5477607, Train Acc: 0.7932068, Test Acc: 0.6964286, Train Cov: 3.3578858
Epoch: 157, Train Loss: 0.5450421, Train Acc: 0.7772228, Test Acc: 0.6875000, Train Cov: 3.3609507
Epoch: 158, Train Loss: 0.5362530, Train Acc: 0.7932068, Test Acc: 0.6607143, Train Cov: 3.3671732
Epoch: 159, Train Loss: 0.5386967, Train Acc: 0.7932068, Test Acc: 0.6785714, Train Cov: 3.3551128
Epoch: 160, Train Loss: 0.5374339, Train Acc: 0.7752248, Test Acc: 0.6607143, Train Cov: 3.3611934
Epoch: 161, Train Loss: 0.5469666, Train Acc: 0.7862138, Test Acc: 0.7053571, Train Cov: 3.3630848
Epoch: 162, Train Loss: 0.5582264, Train Acc: 0.7922078, Test Acc: 0.7053571, Train Cov: 3.3680236
Epoch: 163, Train Loss: 0.5444266, Train Acc: 0.7922078, Test Acc: 0.6875000, Train Cov: 3.3687880
Epoch: 164, Train Loss: 0.5455752, Train Acc: 0.7992008, Test Acc: 0.6964286, Train Cov: 3.3618598
Epoch: 165, Train Loss: 0.5275978, Train Acc: 0.7902098, Test Acc: 0.6875000, Train Cov: 3.3771336
Epoch: 166, Train Loss: 0.5261319, Train Acc: 0.7812188, Test Acc: 0.6607143, Train Cov: 3.3671236
Epoch: 167, Train Loss: 0.5388789, Train Acc: 0.7922078, Test Acc: 0.6607143, Train Cov: 3.3545747
Epoch: 168, Train Loss: 0.5356592, Train Acc: 0.7852148, Test Acc: 0.6875000, Train Cov: 3.3507595
Epoch: 169, Train Loss: 0.5508976, Train Acc: 0.7912088, Test Acc: 0.7142857, Train Cov: 3.3511782
Epoch: 170, Train Loss: 0.5466169, Train Acc: 0.7932068, Test Acc: 0.6696429, Train Cov: 3.3348234
Epoch: 171, Train Loss: 0.5401794, Train Acc: 0.7962038, Test Acc: 0.6696429, Train Cov: 3.3328393
Epoch: 172, Train Loss: 0.5409632, Train Acc: 0.7752248, Test Acc: 0.6607143, Train Cov: 3.3186121
Epoch: 173, Train Loss: 0.5254926, Train Acc: 0.8001998, Test Acc: 0.6964286, Train Cov: 3.3210471
Epoch: 174, Train Loss: 0.5517771, Train Acc: 0.7872128, Test Acc: 0.6785714, Train Cov: 3.3231680
Epoch: 175, Train Loss: 0.5429696, Train Acc: 0.7992008, Test Acc: 0.6964286, Train Cov: 3.3081079
Epoch: 176, Train Loss: 0.5325786, Train Acc: 0.7802198, Test Acc: 0.6875000, Train Cov: 3.3165550
Epoch: 177, Train Loss: 0.5362273, Train Acc: 0.7732268, Test Acc: 0.6964286, Train Cov: 3.3214741
Epoch: 178, Train Loss: 0.5303949, Train Acc: 0.7712288, Test Acc: 0.6607143, Train Cov: 3.3338411
Epoch: 179, Train Loss: 0.5565921, Train Acc: 0.7882118, Test Acc: 0.6696429, Train Cov: 3.3116264
Epoch: 180, Train Loss: 0.5433954, Train Acc: 0.7982018, Test Acc: 0.6607143, Train Cov: 3.2950604
Epoch: 181, Train Loss: 0.5394572, Train Acc: 0.7942058, Test Acc: 0.6875000, Train Cov: 3.2919602
Epoch: 182, Train Loss: 0.5466666, Train Acc: 0.7982018, Test Acc: 0.6785714, Train Cov: 3.2855108
Epoch: 183, Train Loss: 0.5680598, Train Acc: 0.7932068, Test Acc: 0.7053571, Train Cov: 3.2998753
Epoch: 184, Train Loss: 0.5645032, Train Acc: 0.7842158, Test Acc: 0.6964286, Train Cov: 3.2855806
Epoch: 185, Train Loss: 0.5326785, Train Acc: 0.7982018, Test Acc: 0.6964286, Train Cov: 3.2803047
Epoch: 186, Train Loss: 0.5558309, Train Acc: 0.7912088, Test Acc: 0.6964286, Train Cov: 3.2753620
Epoch: 187, Train Loss: 0.5409311, Train Acc: 0.7892108, Test Acc: 0.7232143, Train Cov: 3.2931035
Epoch: 188, Train Loss: 0.5540346, Train Acc: 0.7742258, Test Acc: 0.6696429, Train Cov: 3.3027661
Epoch: 189, Train Loss: 0.5428994, Train Acc: 0.7872128, Test Acc: 0.7053571, Train Cov: 3.3011367
Epoch: 190, Train Loss: 0.5454224, Train Acc: 0.7482517, Test Acc: 0.6428571, Train Cov: 3.2839792
Epoch: 191, Train Loss: 0.5717294, Train Acc: 0.7872128, Test Acc: 0.7142857, Train Cov: 3.2901897
Epoch: 192, Train Loss: 0.5524644, Train Acc: 0.7782218, Test Acc: 0.7500000, Train Cov: 3.2913146
Epoch: 193, Train Loss: 0.5425844, Train Acc: 0.7902098, Test Acc: 0.7142857, Train Cov: 3.2954924
Epoch: 194, Train Loss: 0.5469058, Train Acc: 0.7752248, Test Acc: 0.7232143, Train Cov: 3.2880273
Epoch: 195, Train Loss: 0.5447762, Train Acc: 0.7882118, Test Acc: 0.6785714, Train Cov: 3.2591543
Epoch: 196, Train Loss: 0.5495117, Train Acc: 0.7772228, Test Acc: 0.6696429, Train Cov: 3.2455809
Epoch: 197, Train Loss: 0.5564947, Train Acc: 0.7872128, Test Acc: 0.6875000, Train Cov: 3.2456791
Epoch: 198, Train Loss: 0.5502765, Train Acc: 0.7842158, Test Acc: 0.6785714, Train Cov: 3.2236218
Epoch: 199, Train Loss: 0.5456091, Train Acc: 0.7912088, Test Acc: 0.6964286, Train Cov: 3.2222676
Epoch: 200, Train Loss: 0.5375536, Train Acc: 0.7942058, Test Acc: 0.6964286, Train Cov: 3.2341697
Epoch: 201, Train Loss: 0.5366381, Train Acc: 0.7952048, Test Acc: 0.6964286, Train Cov: 3.2262790
Epoch: 202, Train Loss: 0.5256849, Train Acc: 0.7862138, Test Acc: 0.6875000, Train Cov: 3.2265308
Epoch: 203, Train Loss: 0.5556398, Train Acc: 0.7702298, Test Acc: 0.6696429, Train Cov: 3.2033269
Epoch: 204, Train Loss: 0.5407801, Train Acc: 0.7842158, Test Acc: 0.7142857, Train Cov: 3.2253859
Epoch: 205, Train Loss: 0.5123386, Train Acc: 0.7752248, Test Acc: 0.6517857, Train Cov: 3.2429173
Epoch: 206, Train Loss: 0.5435472, Train Acc: 0.7982018, Test Acc: 0.6875000, Train Cov: 3.2218678
Epoch: 207, Train Loss: 0.5386527, Train Acc: 0.7712288, Test Acc: 0.6696429, Train Cov: 3.2081349
Epoch: 208, Train Loss: 0.5267576, Train Acc: 0.7982018, Test Acc: 0.7053571, Train Cov: 3.2076633
