{'dataset_name': 'PROTEINS', 'seed': 555, 'num_workers': 1, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 64, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'Tanh', 'aggr': 'add', 'BN': 'Y'}, 'commit_id': 'fe658b2e3cd2ce58e21d252ab15a16540c263406', 'time_stamp': '1613740630', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=fe658b2e3cd2ce58e21d252ab15a16540c263406
Epoch: 001, Train Loss: 3.0361499, Train Acc: 0.6613387, Test Acc: 0.7232143, Train Cov: 3.6391764
Epoch: 002, Train Loss: 2.1625816, Train Acc: 0.5944056, Test Acc: 0.6160714, Train Cov: 3.8934770
Epoch: 003, Train Loss: 1.8369737, Train Acc: 0.5444555, Test Acc: 0.5267857, Train Cov: 4.0533352
Epoch: 004, Train Loss: 1.7750787, Train Acc: 0.6483516, Test Acc: 0.7321429, Train Cov: 4.1328926
Epoch: 005, Train Loss: 1.2411691, Train Acc: 0.6033966, Test Acc: 0.6250000, Train Cov: 4.2108450
Epoch: 006, Train Loss: 0.9646142, Train Acc: 0.6653347, Test Acc: 0.7500000, Train Cov: 4.2253251
Epoch: 007, Train Loss: 0.9605821, Train Acc: 0.6273726, Test Acc: 0.6339286, Train Cov: 4.2225866
Epoch: 008, Train Loss: 0.8754067, Train Acc: 0.7022977, Test Acc: 0.7857143, Train Cov: 4.2143617
Epoch: 009, Train Loss: 0.7590089, Train Acc: 0.6253746, Test Acc: 0.6428571, Train Cov: 4.1891680
Epoch: 010, Train Loss: 0.7307622, Train Acc: 0.7102897, Test Acc: 0.7410714, Train Cov: 4.1623816
Epoch: 011, Train Loss: 0.7337658, Train Acc: 0.6613387, Test Acc: 0.6339286, Train Cov: 4.1251693
Epoch: 012, Train Loss: 0.7379857, Train Acc: 0.6803197, Test Acc: 0.7321429, Train Cov: 4.1109910
Epoch: 013, Train Loss: 0.7168999, Train Acc: 0.7132867, Test Acc: 0.7678571, Train Cov: 4.1132975
Epoch: 014, Train Loss: 0.6693957, Train Acc: 0.7242757, Test Acc: 0.7589286, Train Cov: 4.0656347
Epoch: 015, Train Loss: 0.6783699, Train Acc: 0.7262737, Test Acc: 0.7857143, Train Cov: 4.0175533
Epoch: 016, Train Loss: 0.6375113, Train Acc: 0.6983017, Test Acc: 0.6607143, Train Cov: 3.9805582
Epoch: 017, Train Loss: 0.6564608, Train Acc: 0.7022977, Test Acc: 0.7232143, Train Cov: 3.9404767
Epoch: 018, Train Loss: 0.6472157, Train Acc: 0.7372627, Test Acc: 0.6964286, Train Cov: 3.9086647
Epoch: 019, Train Loss: 0.6348431, Train Acc: 0.7292707, Test Acc: 0.7678571, Train Cov: 3.8851321
Epoch: 020, Train Loss: 0.6313681, Train Acc: 0.7322677, Test Acc: 0.7857143, Train Cov: 3.8543637
Epoch: 021, Train Loss: 0.6202956, Train Acc: 0.7002997, Test Acc: 0.6875000, Train Cov: 3.8226888
