{'dataset_name': 'PROTEINS', 'seed': 9, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'Tanh', 'aggr': 'add', 'BN': 'Y'}, 'commit_id': 'fe658b2e3cd2ce58e21d252ab15a16540c263406', 'time_stamp': '1613741557', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=fe658b2e3cd2ce58e21d252ab15a16540c263406
Epoch: 001, Train Loss: 3.3007539, Train Acc: 0.5984016, Test Acc: 0.5982143, Train Cov: 3.7219877
Epoch: 002, Train Loss: 2.0676244, Train Acc: 0.5954046, Test Acc: 0.6071429, Train Cov: 3.9727881
Epoch: 003, Train Loss: 2.1520115, Train Acc: 0.6823177, Test Acc: 0.6250000, Train Cov: 4.1911392
Epoch: 004, Train Loss: 1.5281858, Train Acc: 0.6523477, Test Acc: 0.6428571, Train Cov: 4.3023219
Epoch: 005, Train Loss: 1.8467502, Train Acc: 0.6343656, Test Acc: 0.6517857, Train Cov: 4.3170524
Epoch: 006, Train Loss: 1.4473291, Train Acc: 0.7162837, Test Acc: 0.6517857, Train Cov: 4.3363400
Epoch: 007, Train Loss: 1.1513886, Train Acc: 0.6343656, Test Acc: 0.6428571, Train Cov: 4.3354793
Epoch: 008, Train Loss: 0.9769730, Train Acc: 0.6533467, Test Acc: 0.6517857, Train Cov: 4.3462081
Epoch: 009, Train Loss: 0.9014887, Train Acc: 0.6373626, Test Acc: 0.6339286, Train Cov: 4.3461151
Epoch: 010, Train Loss: 0.7743138, Train Acc: 0.7162837, Test Acc: 0.6696429, Train Cov: 4.3465605
Epoch: 011, Train Loss: 0.8104781, Train Acc: 0.6823177, Test Acc: 0.6339286, Train Cov: 4.3590107
Epoch: 012, Train Loss: 0.8118420, Train Acc: 0.7242757, Test Acc: 0.7142857, Train Cov: 4.3558927
Epoch: 013, Train Loss: 0.7899083, Train Acc: 0.6803197, Test Acc: 0.6785714, Train Cov: 4.3659077
Epoch: 014, Train Loss: 0.7372664, Train Acc: 0.6583417, Test Acc: 0.6875000, Train Cov: 4.3872328
Epoch: 015, Train Loss: 0.6494295, Train Acc: 0.6913087, Test Acc: 0.6607143, Train Cov: 4.3966374
Epoch: 016, Train Loss: 0.6605589, Train Acc: 0.7032967, Test Acc: 0.6785714, Train Cov: 4.4106164
Epoch: 017, Train Loss: 0.6685971, Train Acc: 0.6853147, Test Acc: 0.6517857, Train Cov: 4.4313025
Epoch: 018, Train Loss: 0.6078788, Train Acc: 0.7372627, Test Acc: 0.7500000, Train Cov: 4.4282498
Epoch: 019, Train Loss: 0.6254534, Train Acc: 0.7322677, Test Acc: 0.6964286, Train Cov: 4.4045982
Epoch: 020, Train Loss: 0.5927849, Train Acc: 0.7452547, Test Acc: 0.7321429, Train Cov: 4.4092059
Epoch: 021, Train Loss: 0.6203561, Train Acc: 0.7322677, Test Acc: 0.7321429, Train Cov: 4.4020691
Epoch: 022, Train Loss: 0.6000427, Train Acc: 0.7272727, Test Acc: 0.6696429, Train Cov: 4.3851380
Epoch: 023, Train Loss: 0.6053083, Train Acc: 0.7452547, Test Acc: 0.7500000, Train Cov: 4.3793855
Epoch: 024, Train Loss: 0.5839072, Train Acc: 0.7532468, Test Acc: 0.7410714, Train Cov: 4.3762927
