{'dataset_name': 'PROTEINS', 'seed': 111, 'num_workers': 1, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': 'a69b7cf1bd2e5f65b8a479db6a1ba9836bd3ec8c', 'time_stamp': '1613904797', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=a69b7cf1bd2e5f65b8a479db6a1ba9836bd3ec8c
Epoch: 001, Train Loss: 0.7444987, Train Acc: 0.5624376, Test Acc: 0.4375000, Train Cov: 4.1966391
Epoch: 002, Train Loss: 0.6643692, Train Acc: 0.5994006, Test Acc: 0.4910714, Train Cov: 4.1253405
Epoch: 003, Train Loss: 0.6494388, Train Acc: 0.6313686, Test Acc: 0.5089286, Train Cov: 4.0470972
Epoch: 004, Train Loss: 0.6343916, Train Acc: 0.6833167, Test Acc: 0.5803571, Train Cov: 4.0097656
Epoch: 005, Train Loss: 0.6217465, Train Acc: 0.7052947, Test Acc: 0.6607143, Train Cov: 3.9836967
Epoch: 006, Train Loss: 0.6085952, Train Acc: 0.7112887, Test Acc: 0.6250000, Train Cov: 3.9602222
Epoch: 007, Train Loss: 0.6135539, Train Acc: 0.6923077, Test Acc: 0.5892857, Train Cov: 3.9658170
Epoch: 008, Train Loss: 0.6164370, Train Acc: 0.6913087, Test Acc: 0.5982143, Train Cov: 3.9576912
Epoch: 009, Train Loss: 0.5983923, Train Acc: 0.6773227, Test Acc: 0.5267857, Train Cov: 3.9334342
Epoch: 010, Train Loss: 0.6013951, Train Acc: 0.7182817, Test Acc: 0.6160714, Train Cov: 3.9313047
Epoch: 011, Train Loss: 0.6108422, Train Acc: 0.7042957, Test Acc: 0.6696429, Train Cov: 3.9172556
Epoch: 012, Train Loss: 0.6100052, Train Acc: 0.7052947, Test Acc: 0.6250000, Train Cov: 3.8870802
Epoch: 013, Train Loss: 0.6125735, Train Acc: 0.6533467, Test Acc: 0.6339286, Train Cov: 3.8594425
Epoch: 014, Train Loss: 0.6072310, Train Acc: 0.7132867, Test Acc: 0.6696429, Train Cov: 3.8329370
Epoch: 015, Train Loss: 0.5958744, Train Acc: 0.7022977, Test Acc: 0.6607143, Train Cov: 3.8095489
Epoch: 016, Train Loss: 0.5906686, Train Acc: 0.7222777, Test Acc: 0.6607143, Train Cov: 3.8004313
Epoch: 017, Train Loss: 0.5853103, Train Acc: 0.6993007, Test Acc: 0.6517857, Train Cov: 3.7610164
Epoch: 018, Train Loss: 0.5739774, Train Acc: 0.6523477, Test Acc: 0.5714286, Train Cov: 3.7547324
Epoch: 019, Train Loss: 0.5798418, Train Acc: 0.7222777, Test Acc: 0.6696429, Train Cov: 3.7304933
Epoch: 020, Train Loss: 0.5782649, Train Acc: 0.7282717, Test Acc: 0.6607143, Train Cov: 3.7128816
Epoch: 021, Train Loss: 0.5777575, Train Acc: 0.6993007, Test Acc: 0.6517857, Train Cov: 3.6981649
Epoch: 022, Train Loss: 0.5658172, Train Acc: 0.7252747, Test Acc: 0.6785714, Train Cov: 3.6769507
Epoch: 023, Train Loss: 0.5683123, Train Acc: 0.7422577, Test Acc: 0.7232143, Train Cov: 3.6579494
Epoch: 024, Train Loss: 0.5662998, Train Acc: 0.6903097, Test Acc: 0.6875000, Train Cov: 3.6480587
Epoch: 025, Train Loss: 0.5490017, Train Acc: 0.7342657, Test Acc: 0.7232143, Train Cov: 3.6683969
Epoch: 026, Train Loss: 0.5482974, Train Acc: 0.7422577, Test Acc: 0.7053571, Train Cov: 3.6414347
Epoch: 027, Train Loss: 0.5489007, Train Acc: 0.7392607, Test Acc: 0.6517857, Train Cov: 3.6199172
Epoch: 028, Train Loss: 0.5443340, Train Acc: 0.7532468, Test Acc: 0.6875000, Train Cov: 3.6251197
Epoch: 029, Train Loss: 0.5460606, Train Acc: 0.6983017, Test Acc: 0.6428571, Train Cov: 3.6262450
Epoch: 030, Train Loss: 0.5500085, Train Acc: 0.7142857, Test Acc: 0.6428571, Train Cov: 3.6143875
Epoch: 031, Train Loss: 0.5671567, Train Acc: 0.6983017, Test Acc: 0.6339286, Train Cov: 3.5893652
Epoch: 032, Train Loss: 0.5513520, Train Acc: 0.7522478, Test Acc: 0.7232143, Train Cov: 3.5784905
Epoch: 033, Train Loss: 0.5523615, Train Acc: 0.7652348, Test Acc: 0.6696429, Train Cov: 3.5640898
Epoch: 034, Train Loss: 0.5508399, Train Acc: 0.7552448, Test Acc: 0.6964286, Train Cov: 3.5587461
Epoch: 035, Train Loss: 0.5495524, Train Acc: 0.7342657, Test Acc: 0.7142857, Train Cov: 3.5463216
Epoch: 036, Train Loss: 0.5423219, Train Acc: 0.7562438, Test Acc: 0.6875000, Train Cov: 3.5137513
Epoch: 037, Train Loss: 0.5514512, Train Acc: 0.7652348, Test Acc: 0.7410714, Train Cov: 3.4998384
Epoch: 038, Train Loss: 0.5541236, Train Acc: 0.7552448, Test Acc: 0.6964286, Train Cov: 3.4941776
Epoch: 039, Train Loss: 0.5441749, Train Acc: 0.7462537, Test Acc: 0.7053571, Train Cov: 3.5286174
Epoch: 040, Train Loss: 0.5501337, Train Acc: 0.7552448, Test Acc: 0.7053571, Train Cov: 3.5405707
Epoch: 041, Train Loss: 0.5439938, Train Acc: 0.7452547, Test Acc: 0.6428571, Train Cov: 3.5356293
Epoch: 042, Train Loss: 0.5445747, Train Acc: 0.7552448, Test Acc: 0.6696429, Train Cov: 3.4957061
Epoch: 043, Train Loss: 0.5481953, Train Acc: 0.6793207, Test Acc: 0.5982143, Train Cov: 3.4823024
Epoch: 044, Train Loss: 0.5716815, Train Acc: 0.7162837, Test Acc: 0.6428571, Train Cov: 3.5037086
Epoch: 045, Train Loss: 0.5626647, Train Acc: 0.7342657, Test Acc: 0.6428571, Train Cov: 3.4819598
Epoch: 046, Train Loss: 0.5521470, Train Acc: 0.7782218, Test Acc: 0.6517857, Train Cov: 3.4540424
Epoch: 047, Train Loss: 0.5512458, Train Acc: 0.7132867, Test Acc: 0.5982143, Train Cov: 3.4363661
Epoch: 048, Train Loss: 0.5379577, Train Acc: 0.7732268, Test Acc: 0.6875000, Train Cov: 3.4189785
Epoch: 049, Train Loss: 0.5380826, Train Acc: 0.7822178, Test Acc: 0.6517857, Train Cov: 3.3617222
Epoch: 050, Train Loss: 0.5275204, Train Acc: 0.7652348, Test Acc: 0.6607143, Train Cov: 3.3488357
Epoch: 051, Train Loss: 0.5189688, Train Acc: 0.7832168, Test Acc: 0.6875000, Train Cov: 3.3469467
Epoch: 052, Train Loss: 0.5168899, Train Acc: 0.7772228, Test Acc: 0.6785714, Train Cov: 3.3222718
Epoch: 053, Train Loss: 0.5148515, Train Acc: 0.7742258, Test Acc: 0.6785714, Train Cov: 3.3190222
Epoch: 054, Train Loss: 0.5150068, Train Acc: 0.7892108, Test Acc: 0.6428571, Train Cov: 3.3143470
Epoch: 055, Train Loss: 0.5026159, Train Acc: 0.7832168, Test Acc: 0.6607143, Train Cov: 3.2907338
Epoch: 056, Train Loss: 0.5049381, Train Acc: 0.7332667, Test Acc: 0.5803571, Train Cov: 3.2931271
Epoch: 057, Train Loss: 0.5042377, Train Acc: 0.7772228, Test Acc: 0.6517857, Train Cov: 3.2939825
Epoch: 058, Train Loss: 0.5008229, Train Acc: 0.7842158, Test Acc: 0.6785714, Train Cov: 3.2836909
Epoch: 059, Train Loss: 0.4781110, Train Acc: 0.7762238, Test Acc: 0.6696429, Train Cov: 3.2881169
Epoch: 060, Train Loss: 0.4859621, Train Acc: 0.7742258, Test Acc: 0.6785714, Train Cov: 3.2786243
Epoch: 061, Train Loss: 0.4882859, Train Acc: 0.7812188, Test Acc: 0.6785714, Train Cov: 3.2550828
Epoch: 062, Train Loss: 0.4794476, Train Acc: 0.7662338, Test Acc: 0.7232143, Train Cov: 3.2342482
Epoch: 063, Train Loss: 0.4783291, Train Acc: 0.7962038, Test Acc: 0.7232143, Train Cov: 3.2229054
Epoch: 064, Train Loss: 0.4871140, Train Acc: 0.7192807, Test Acc: 0.6250000, Train Cov: 3.2376449
Epoch: 065, Train Loss: 0.4808619, Train Acc: 0.7772228, Test Acc: 0.7053571, Train Cov: 3.2471151
Epoch: 066, Train Loss: 0.4737700, Train Acc: 0.7952048, Test Acc: 0.6785714, Train Cov: 3.2123544
Epoch: 067, Train Loss: 0.4581788, Train Acc: 0.7912088, Test Acc: 0.6964286, Train Cov: 3.2041173
Epoch: 068, Train Loss: 0.4710064, Train Acc: 0.7432567, Test Acc: 0.6517857, Train Cov: 3.2085154
Epoch: 069, Train Loss: 0.4857713, Train Acc: 0.8021978, Test Acc: 0.6071429, Train Cov: 3.2032390
Epoch: 070, Train Loss: 0.4592312, Train Acc: 0.7412587, Test Acc: 0.6250000, Train Cov: 3.1906044
Epoch: 071, Train Loss: 0.4591661, Train Acc: 0.8051948, Test Acc: 0.6696429, Train Cov: 3.1888459
Epoch: 072, Train Loss: 0.4504836, Train Acc: 0.7782218, Test Acc: 0.6428571, Train Cov: 3.1654606
Epoch: 073, Train Loss: 0.4573864, Train Acc: 0.8231768, Test Acc: 0.6696429, Train Cov: 3.1257505
