{'dataset_name': 'PROTEINS', 'seed': 111, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'LeakyR0.3', 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': 'dcffe10c107e95ee2851f1f55874ee9e6ce7ad27', 'time_stamp': '1613905288', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=dcffe10c107e95ee2851f1f55874ee9e6ce7ad27
Epoch: 001, Train Loss: 0.7625077, Train Acc: 0.6583417, Test Acc: 0.5535714, Train Cov: 4.9410896
Epoch: 002, Train Loss: 0.6338534, Train Acc: 0.6393606, Test Acc: 0.4910714, Train Cov: 4.9931488
Epoch: 003, Train Loss: 0.6265194, Train Acc: 0.6443556, Test Acc: 0.5357143, Train Cov: 5.0094657
Epoch: 004, Train Loss: 0.6089187, Train Acc: 0.6693307, Test Acc: 0.5982143, Train Cov: 5.0151567
Epoch: 005, Train Loss: 0.6024729, Train Acc: 0.6753247, Test Acc: 0.5535714, Train Cov: 5.0232477
Epoch: 006, Train Loss: 0.5997092, Train Acc: 0.6853147, Test Acc: 0.5625000, Train Cov: 5.0267453
Epoch: 007, Train Loss: 0.6053084, Train Acc: 0.5524476, Test Acc: 0.5625000, Train Cov: 5.0377069
Epoch: 008, Train Loss: 0.6196770, Train Acc: 0.6313686, Test Acc: 0.6250000, Train Cov: 5.0430870
Epoch: 009, Train Loss: 0.5974228, Train Acc: 0.6703297, Test Acc: 0.6785714, Train Cov: 5.0373483
Epoch: 010, Train Loss: 0.5825881, Train Acc: 0.7042957, Test Acc: 0.6517857, Train Cov: 5.0415463
Epoch: 011, Train Loss: 0.5935706, Train Acc: 0.6873127, Test Acc: 0.6160714, Train Cov: 5.0477142
Epoch: 012, Train Loss: 0.5985790, Train Acc: 0.6543457, Test Acc: 0.5982143, Train Cov: 5.0443687
Epoch: 013, Train Loss: 0.5905772, Train Acc: 0.6913087, Test Acc: 0.6160714, Train Cov: 5.0466194
Epoch: 014, Train Loss: 0.5978112, Train Acc: 0.6743257, Test Acc: 0.5982143, Train Cov: 5.0529099
Epoch: 015, Train Loss: 0.5871847, Train Acc: 0.6923077, Test Acc: 0.6160714, Train Cov: 5.0438528
Epoch: 016, Train Loss: 0.5950715, Train Acc: 0.7072927, Test Acc: 0.6339286, Train Cov: 5.0390501
Epoch: 017, Train Loss: 0.5724690, Train Acc: 0.6683317, Test Acc: 0.6160714, Train Cov: 5.0350356
Epoch: 018, Train Loss: 0.6084808, Train Acc: 0.6593407, Test Acc: 0.5892857, Train Cov: 5.0373917
Epoch: 019, Train Loss: 0.6010343, Train Acc: 0.6723277, Test Acc: 0.5982143, Train Cov: 5.0456762
Epoch: 020, Train Loss: 0.5809779, Train Acc: 0.6733267, Test Acc: 0.5892857, Train Cov: 5.0472612
Epoch: 021, Train Loss: 0.5926816, Train Acc: 0.6973027, Test Acc: 0.5803571, Train Cov: 5.0490875
Epoch: 022, Train Loss: 0.5983820, Train Acc: 0.6933067, Test Acc: 0.6250000, Train Cov: 5.0414872
Epoch: 023, Train Loss: 0.5791403, Train Acc: 0.7062937, Test Acc: 0.6517857, Train Cov: 5.0353436
Epoch: 024, Train Loss: 0.5824850, Train Acc: 0.6993007, Test Acc: 0.6071429, Train Cov: 5.0351748
Epoch: 025, Train Loss: 0.5743343, Train Acc: 0.6883117, Test Acc: 0.6160714, Train Cov: 5.0332961
Epoch: 026, Train Loss: 0.5866358, Train Acc: 0.6813187, Test Acc: 0.6428571, Train Cov: 5.0239887
Epoch: 027, Train Loss: 0.6290437, Train Acc: 0.6733267, Test Acc: 0.6071429, Train Cov: 5.0213747
Epoch: 028, Train Loss: 0.5921515, Train Acc: 0.6073926, Test Acc: 0.5803571, Train Cov: 5.0253377
Epoch: 029, Train Loss: 0.6001247, Train Acc: 0.6823177, Test Acc: 0.5535714, Train Cov: 5.0403657
Epoch: 030, Train Loss: 0.6068590, Train Acc: 0.6833167, Test Acc: 0.6339286, Train Cov: 5.0377707
Epoch: 031, Train Loss: 0.5847165, Train Acc: 0.6713287, Test Acc: 0.5892857, Train Cov: 5.0319929
Epoch: 032, Train Loss: 0.5960289, Train Acc: 0.6393606, Test Acc: 0.5625000, Train Cov: 5.0175967
Epoch: 033, Train Loss: 0.6038956, Train Acc: 0.6533467, Test Acc: 0.5892857, Train Cov: 5.0177422
Epoch: 034, Train Loss: 0.5905212, Train Acc: 0.6803197, Test Acc: 0.6428571, Train Cov: 5.0261660
Epoch: 035, Train Loss: 0.5827574, Train Acc: 0.6733267, Test Acc: 0.6250000, Train Cov: 5.0208330
Epoch: 036, Train Loss: 0.5810888, Train Acc: 0.6563437, Test Acc: 0.5803571, Train Cov: 5.0139289
Epoch: 037, Train Loss: 0.5746303, Train Acc: 0.6843157, Test Acc: 0.5803571, Train Cov: 5.0189800
Epoch: 038, Train Loss: 0.5745439, Train Acc: 0.7272727, Test Acc: 0.6696429, Train Cov: 5.0177598
Epoch: 039, Train Loss: 0.5756197, Train Acc: 0.7042957, Test Acc: 0.5803571, Train Cov: 5.0210114
Epoch: 040, Train Loss: 0.5774582, Train Acc: 0.6523477, Test Acc: 0.6339286, Train Cov: 5.0200100
Epoch: 041, Train Loss: 0.5845321, Train Acc: 0.6833167, Test Acc: 0.6071429, Train Cov: 5.0176744
Epoch: 042, Train Loss: 0.5694548, Train Acc: 0.6853147, Test Acc: 0.6428571, Train Cov: 5.0193014
Epoch: 043, Train Loss: 0.5839339, Train Acc: 0.7052947, Test Acc: 0.6071429, Train Cov: 5.0177045
Epoch: 044, Train Loss: 0.5789923, Train Acc: 0.6853147, Test Acc: 0.6339286, Train Cov: 5.0110598
Epoch: 045, Train Loss: 0.5734986, Train Acc: 0.6893107, Test Acc: 0.6339286, Train Cov: 5.0101323
Epoch: 046, Train Loss: 0.5762076, Train Acc: 0.6993007, Test Acc: 0.6339286, Train Cov: 5.0101213
Epoch: 047, Train Loss: 0.5702337, Train Acc: 0.6843157, Test Acc: 0.6250000, Train Cov: 5.0107870
Epoch: 048, Train Loss: 0.5611143, Train Acc: 0.6773227, Test Acc: 0.6250000, Train Cov: 5.0133061
Epoch: 049, Train Loss: 0.5634876, Train Acc: 0.6873127, Test Acc: 0.6250000, Train Cov: 5.0090265
Epoch: 050, Train Loss: 0.5654558, Train Acc: 0.7172827, Test Acc: 0.6607143, Train Cov: 5.0169611
Epoch: 051, Train Loss: 0.5684045, Train Acc: 0.7162837, Test Acc: 0.6875000, Train Cov: 5.0263934
Epoch: 052, Train Loss: 0.5583837, Train Acc: 0.7082917, Test Acc: 0.6160714, Train Cov: 5.0254831
Epoch: 053, Train Loss: 0.5555773, Train Acc: 0.7202797, Test Acc: 0.6607143, Train Cov: 5.0166702
Epoch: 054, Train Loss: 0.5449573, Train Acc: 0.7452547, Test Acc: 0.6875000, Train Cov: 5.0146990
Epoch: 055, Train Loss: 0.5338346, Train Acc: 0.7542458, Test Acc: 0.6964286, Train Cov: 5.0158014
Epoch: 056, Train Loss: 0.5311354, Train Acc: 0.7552448, Test Acc: 0.6785714, Train Cov: 5.0156131
Epoch: 057, Train Loss: 0.5368876, Train Acc: 0.7342657, Test Acc: 0.6696429, Train Cov: 5.0106902
Epoch: 058, Train Loss: 0.5477249, Train Acc: 0.7452547, Test Acc: 0.6696429, Train Cov: 5.0189228
Epoch: 059, Train Loss: 0.5286183, Train Acc: 0.7342657, Test Acc: 0.6696429, Train Cov: 5.0272818
Epoch: 060, Train Loss: 0.5345601, Train Acc: 0.7492507, Test Acc: 0.6785714, Train Cov: 5.0340304
Epoch: 061, Train Loss: 0.5215805, Train Acc: 0.7752248, Test Acc: 0.6964286, Train Cov: 5.0279942
Epoch: 062, Train Loss: 0.5292837, Train Acc: 0.7382617, Test Acc: 0.6964286, Train Cov: 5.0185938
Epoch: 063, Train Loss: 0.5311255, Train Acc: 0.7472527, Test Acc: 0.7053571, Train Cov: 5.0051999
Epoch: 064, Train Loss: 0.5342408, Train Acc: 0.7382617, Test Acc: 0.6696429, Train Cov: 5.0060720
Epoch: 065, Train Loss: 0.5243116, Train Acc: 0.7672328, Test Acc: 0.7053571, Train Cov: 5.0062461
Epoch: 066, Train Loss: 0.5224429, Train Acc: 0.7632368, Test Acc: 0.6785714, Train Cov: 5.0063100
Epoch: 067, Train Loss: 0.5212690, Train Acc: 0.7192807, Test Acc: 0.6339286, Train Cov: 5.0153704
Epoch: 068, Train Loss: 0.5223197, Train Acc: 0.7612388, Test Acc: 0.7142857, Train Cov: 5.0247936
Epoch: 069, Train Loss: 0.5234877, Train Acc: 0.7622378, Test Acc: 0.6785714, Train Cov: 5.0274343
Epoch: 070, Train Loss: 0.5183902, Train Acc: 0.7772228, Test Acc: 0.6875000, Train Cov: 5.0286345
Epoch: 071, Train Loss: 0.5053903, Train Acc: 0.7622378, Test Acc: 0.6785714, Train Cov: 5.0279436
Epoch: 072, Train Loss: 0.5190708, Train Acc: 0.7022977, Test Acc: 0.6071429, Train Cov: 5.0249939
Epoch: 073, Train Loss: 0.5382940, Train Acc: 0.7582418, Test Acc: 0.6160714, Train Cov: 5.0207415
Epoch: 074, Train Loss: 0.5328812, Train Acc: 0.7112887, Test Acc: 0.6875000, Train Cov: 5.0224681
Epoch: 075, Train Loss: 0.5220939, Train Acc: 0.7462537, Test Acc: 0.6250000, Train Cov: 5.0203776
Epoch: 076, Train Loss: 0.5549971, Train Acc: 0.7222777, Test Acc: 0.6607143, Train Cov: 5.0198469
Epoch: 077, Train Loss: 0.5503533, Train Acc: 0.7372627, Test Acc: 0.6964286, Train Cov: 5.0213447
Epoch: 078, Train Loss: 0.5355193, Train Acc: 0.7602398, Test Acc: 0.7142857, Train Cov: 5.0253353
Epoch: 079, Train Loss: 0.5200104, Train Acc: 0.7532468, Test Acc: 0.7053571, Train Cov: 5.0262852
Epoch: 080, Train Loss: 0.5179462, Train Acc: 0.7632368, Test Acc: 0.6964286, Train Cov: 5.0280957
Epoch: 081, Train Loss: 0.5114042, Train Acc: 0.6983017, Test Acc: 0.6160714, Train Cov: 5.0242786
Epoch: 082, Train Loss: 0.5499875, Train Acc: 0.7132867, Test Acc: 0.6339286, Train Cov: 5.0183234
Epoch: 083, Train Loss: 0.5354995, Train Acc: 0.7112887, Test Acc: 0.6607143, Train Cov: 5.0225286
Epoch: 084, Train Loss: 0.5168437, Train Acc: 0.7662338, Test Acc: 0.6785714, Train Cov: 5.0174108
Epoch: 085, Train Loss: 0.5055119, Train Acc: 0.7702298, Test Acc: 0.6785714, Train Cov: 5.0172353
Epoch: 086, Train Loss: 0.5056534, Train Acc: 0.7362637, Test Acc: 0.6517857, Train Cov: 5.0225105
Epoch: 087, Train Loss: 0.5383921, Train Acc: 0.7132867, Test Acc: 0.6339286, Train Cov: 5.0220175
Epoch: 088, Train Loss: 0.5162331, Train Acc: 0.6833167, Test Acc: 0.5892857, Train Cov: 5.0222182
Epoch: 089, Train Loss: 0.5326046, Train Acc: 0.7532468, Test Acc: 0.6250000, Train Cov: 5.0164332
Epoch: 090, Train Loss: 0.5112084, Train Acc: 0.7602398, Test Acc: 0.6875000, Train Cov: 5.0180540
Epoch: 091, Train Loss: 0.5160939, Train Acc: 0.7722278, Test Acc: 0.6964286, Train Cov: 5.0192833
Epoch: 092, Train Loss: 0.5048367, Train Acc: 0.7532468, Test Acc: 0.6428571, Train Cov: 5.0160007
Epoch: 093, Train Loss: 0.5040685, Train Acc: 0.7592408, Test Acc: 0.6785714, Train Cov: 5.0046802
Epoch: 094, Train Loss: 0.4918442, Train Acc: 0.7642358, Test Acc: 0.6607143, Train Cov: 5.0076127
Epoch: 095, Train Loss: 0.4923952, Train Acc: 0.7562438, Test Acc: 0.7142857, Train Cov: 5.0072036
Epoch: 096, Train Loss: 0.4839763, Train Acc: 0.7882118, Test Acc: 0.6875000, Train Cov: 5.0061679
Epoch: 097, Train Loss: 0.5238106, Train Acc: 0.7432567, Test Acc: 0.6339286, Train Cov: 5.0104957
Epoch: 098, Train Loss: 0.4984118, Train Acc: 0.7442557, Test Acc: 0.7232143, Train Cov: 5.0122375
Epoch: 099, Train Loss: 0.5046775, Train Acc: 0.7732268, Test Acc: 0.6160714, Train Cov: 5.0097814
Epoch: 100, Train Loss: 0.5016376, Train Acc: 0.7942058, Test Acc: 0.6875000, Train Cov: 5.0113859
Epoch: 101, Train Loss: 0.4905308, Train Acc: 0.7972028, Test Acc: 0.6696429, Train Cov: 5.0087428
Epoch: 102, Train Loss: 0.4770676, Train Acc: 0.8001998, Test Acc: 0.6428571, Train Cov: 5.0036478
Epoch: 103, Train Loss: 0.4778622, Train Acc: 0.7922078, Test Acc: 0.6696429, Train Cov: 5.0042129
Epoch: 104, Train Loss: 0.4810485, Train Acc: 0.7782218, Test Acc: 0.6785714, Train Cov: 5.0135880
Epoch: 105, Train Loss: 0.4938034, Train Acc: 0.7932068, Test Acc: 0.6785714, Train Cov: 5.0136456
Epoch: 106, Train Loss: 0.4743624, Train Acc: 0.8031968, Test Acc: 0.6607143, Train Cov: 5.0086370
Epoch: 107, Train Loss: 0.4655992, Train Acc: 0.7882118, Test Acc: 0.6875000, Train Cov: 5.0074205
Epoch: 108, Train Loss: 0.4758681, Train Acc: 0.7982018, Test Acc: 0.6339286, Train Cov: 4.9991870
Epoch: 109, Train Loss: 0.4806379, Train Acc: 0.7852148, Test Acc: 0.6696429, Train Cov: 4.9940591
Epoch: 110, Train Loss: 0.4619840, Train Acc: 0.7932068, Test Acc: 0.6875000, Train Cov: 4.9942932
Epoch: 111, Train Loss: 0.4676367, Train Acc: 0.7832168, Test Acc: 0.6964286, Train Cov: 5.0023003
Epoch: 112, Train Loss: 0.4541809, Train Acc: 0.7792208, Test Acc: 0.6428571, Train Cov: 5.0008593
Epoch: 113, Train Loss: 0.4706715, Train Acc: 0.8111888, Test Acc: 0.6607143, Train Cov: 5.0031023
Epoch: 114, Train Loss: 0.4619209, Train Acc: 0.8091908, Test Acc: 0.6607143, Train Cov: 5.0069909
Epoch: 115, Train Loss: 0.4552099, Train Acc: 0.7882118, Test Acc: 0.6250000, Train Cov: 5.0051212
Epoch: 116, Train Loss: 0.4600186, Train Acc: 0.7922078, Test Acc: 0.6339286, Train Cov: 5.0047026
Epoch: 117, Train Loss: 0.4503072, Train Acc: 0.7962038, Test Acc: 0.6785714, Train Cov: 5.0032582
Epoch: 118, Train Loss: 0.4535848, Train Acc: 0.7962038, Test Acc: 0.6607143, Train Cov: 5.0025516
Epoch: 119, Train Loss: 0.4595384, Train Acc: 0.7902098, Test Acc: 0.6875000, Train Cov: 5.0006895
Epoch: 120, Train Loss: 0.4464572, Train Acc: 0.7932068, Test Acc: 0.6785714, Train Cov: 4.9969110
Epoch: 121, Train Loss: 0.4538741, Train Acc: 0.7992008, Test Acc: 0.6517857, Train Cov: 4.9957104
Epoch: 122, Train Loss: 0.4569821, Train Acc: 0.7862138, Test Acc: 0.6517857, Train Cov: 5.0008950
Epoch: 123, Train Loss: 0.4563130, Train Acc: 0.7942058, Test Acc: 0.6607143, Train Cov: 4.9998965
Epoch: 124, Train Loss: 0.4475240, Train Acc: 0.8081918, Test Acc: 0.6607143, Train Cov: 4.9993339
Epoch: 125, Train Loss: 0.4467720, Train Acc: 0.8071928, Test Acc: 0.6607143, Train Cov: 4.9965301
Epoch: 126, Train Loss: 0.4416658, Train Acc: 0.8031968, Test Acc: 0.6607143, Train Cov: 5.0001431
Epoch: 127, Train Loss: 0.4349072, Train Acc: 0.8061938, Test Acc: 0.6339286, Train Cov: 5.0029531
Epoch: 128, Train Loss: 0.4462485, Train Acc: 0.7572428, Test Acc: 0.6071429, Train Cov: 5.0023026
Epoch: 129, Train Loss: 0.5000833, Train Acc: 0.7252747, Test Acc: 0.6250000, Train Cov: 4.9989491
Epoch: 130, Train Loss: 0.4815976, Train Acc: 0.7872128, Test Acc: 0.7053571, Train Cov: 5.0001597
Epoch: 131, Train Loss: 0.4779981, Train Acc: 0.7522478, Test Acc: 0.6428571, Train Cov: 4.9998808
Epoch: 132, Train Loss: 0.4793183, Train Acc: 0.7862138, Test Acc: 0.6160714, Train Cov: 4.9916387
Epoch: 133, Train Loss: 0.4715903, Train Acc: 0.7892108, Test Acc: 0.6964286, Train Cov: 4.9918909
