{'dataset_name': 'PROTEINS', 'seed': 111, 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'LeakyR0.3', 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': 'dcffe10c107e95ee2851f1f55874ee9e6ce7ad27', 'time_stamp': '1613905868', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=dcffe10c107e95ee2851f1f55874ee9e6ce7ad27
Epoch: 001, Train Loss: 5.6914512, Train Acc: 0.6403596, Test Acc: 0.5089286, Train Cov: 4.9302864
Epoch: 002, Train Loss: 5.5826250, Train Acc: 0.5994006, Test Acc: 0.4732143, Train Cov: 4.9386382
Epoch: 003, Train Loss: 5.5477782, Train Acc: 0.6513487, Test Acc: 0.5535714, Train Cov: 4.9231787
Epoch: 004, Train Loss: 5.5220386, Train Acc: 0.6543457, Test Acc: 0.5714286, Train Cov: 4.9087143
Epoch: 005, Train Loss: 5.5056824, Train Acc: 0.6623377, Test Acc: 0.5625000, Train Cov: 4.8978581
Epoch: 006, Train Loss: 5.4964375, Train Acc: 0.6123876, Test Acc: 0.5714286, Train Cov: 4.8820882
Epoch: 007, Train Loss: 5.4778470, Train Acc: 0.6863137, Test Acc: 0.6250000, Train Cov: 4.8760428
Epoch: 008, Train Loss: 5.4592962, Train Acc: 0.7002997, Test Acc: 0.6071429, Train Cov: 4.8623538
Epoch: 009, Train Loss: 5.4436168, Train Acc: 0.6943057, Test Acc: 0.5803571, Train Cov: 4.8537960
Epoch: 010, Train Loss: 5.4147182, Train Acc: 0.6703297, Test Acc: 0.5267857, Train Cov: 4.8411303
Epoch: 011, Train Loss: 5.4292501, Train Acc: 0.7122877, Test Acc: 0.6607143, Train Cov: 4.8349228
Epoch: 012, Train Loss: 5.3975399, Train Acc: 0.6383616, Test Acc: 0.5535714, Train Cov: 4.8190184
Epoch: 013, Train Loss: 5.4159903, Train Acc: 0.6943057, Test Acc: 0.5982143, Train Cov: 4.8127980
Epoch: 014, Train Loss: 5.3803360, Train Acc: 0.6873127, Test Acc: 0.6160714, Train Cov: 4.8027630
Epoch: 015, Train Loss: 5.3546389, Train Acc: 0.7302697, Test Acc: 0.6517857, Train Cov: 4.7910261
Epoch: 016, Train Loss: 5.3358977, Train Acc: 0.6663337, Test Acc: 0.5535714, Train Cov: 4.7799811
Epoch: 017, Train Loss: 5.3335147, Train Acc: 0.7072927, Test Acc: 0.6428571, Train Cov: 4.7692375
Epoch: 018, Train Loss: 5.3364270, Train Acc: 0.7192807, Test Acc: 0.6071429, Train Cov: 4.7652965
Epoch: 019, Train Loss: 5.3075602, Train Acc: 0.7282717, Test Acc: 0.6875000, Train Cov: 4.7505426
Epoch: 020, Train Loss: 5.2911365, Train Acc: 0.7232767, Test Acc: 0.6607143, Train Cov: 4.7353258
Epoch: 021, Train Loss: 5.2656064, Train Acc: 0.7322677, Test Acc: 0.6607143, Train Cov: 4.7255201
Epoch: 022, Train Loss: 5.2532404, Train Acc: 0.7472527, Test Acc: 0.6875000, Train Cov: 4.7151270
Epoch: 023, Train Loss: 5.2428943, Train Acc: 0.7312687, Test Acc: 0.6160714, Train Cov: 4.7047529
Epoch: 024, Train Loss: 5.2485141, Train Acc: 0.7192807, Test Acc: 0.6428571, Train Cov: 4.6958370
Epoch: 025, Train Loss: 5.2167796, Train Acc: 0.7192807, Test Acc: 0.6517857, Train Cov: 4.6822400
Epoch: 026, Train Loss: 5.1929648, Train Acc: 0.7362637, Test Acc: 0.6339286, Train Cov: 4.6663413
