{'dataset_name': 'PROTEINS', 'seed': 111, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'LeakyR0.3', 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': 'dcffe10c107e95ee2851f1f55874ee9e6ce7ad27', 'time_stamp': '1613906303', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=dcffe10c107e95ee2851f1f55874ee9e6ce7ad27
Epoch: 001, Train Loss: 0.7389076, Train Acc: 0.6093906, Test Acc: 0.5178571, Train Cov: 4.8806248
Epoch: 002, Train Loss: 0.6066184, Train Acc: 0.6043956, Test Acc: 0.4910714, Train Cov: 4.9274464
Epoch: 003, Train Loss: 0.5979921, Train Acc: 0.6753247, Test Acc: 0.5625000, Train Cov: 4.9452467
Epoch: 004, Train Loss: 0.5881795, Train Acc: 0.7112887, Test Acc: 0.6785714, Train Cov: 4.9500194
Epoch: 005, Train Loss: 0.5681516, Train Acc: 0.7092907, Test Acc: 0.5982143, Train Cov: 4.9500132
Epoch: 006, Train Loss: 0.5596964, Train Acc: 0.7092907, Test Acc: 0.6607143, Train Cov: 4.9502492
Epoch: 007, Train Loss: 0.5569942, Train Acc: 0.7342657, Test Acc: 0.6785714, Train Cov: 4.9506130
Epoch: 008, Train Loss: 0.5531007, Train Acc: 0.7172827, Test Acc: 0.7053571, Train Cov: 4.9502110
Epoch: 009, Train Loss: 0.5415991, Train Acc: 0.7452547, Test Acc: 0.6428571, Train Cov: 4.9478774
Epoch: 010, Train Loss: 0.5439895, Train Acc: 0.7012987, Test Acc: 0.6160714, Train Cov: 4.9470949
Epoch: 011, Train Loss: 0.5577347, Train Acc: 0.7312687, Test Acc: 0.6696429, Train Cov: 4.9490252
Epoch: 012, Train Loss: 0.5671849, Train Acc: 0.7492507, Test Acc: 0.6607143, Train Cov: 4.9451714
Epoch: 013, Train Loss: 0.5607273, Train Acc: 0.7142857, Test Acc: 0.6875000, Train Cov: 4.9438090
Epoch: 014, Train Loss: 0.5411072, Train Acc: 0.7252747, Test Acc: 0.6875000, Train Cov: 4.9460254
Epoch: 015, Train Loss: 0.5390814, Train Acc: 0.7452547, Test Acc: 0.6339286, Train Cov: 4.9461818
Epoch: 016, Train Loss: 0.5277853, Train Acc: 0.7482517, Test Acc: 0.6696429, Train Cov: 4.9450817
Epoch: 017, Train Loss: 0.5327307, Train Acc: 0.7382617, Test Acc: 0.6607143, Train Cov: 4.9504046
Epoch: 018, Train Loss: 0.5323292, Train Acc: 0.7352647, Test Acc: 0.6339286, Train Cov: 4.9564500
