{'dataset_name': 'PROTEINS', 'seed': 111, 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 32, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'LeakyR0.3', 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': 'dcffe10c107e95ee2851f1f55874ee9e6ce7ad27', 'time_stamp': '1613906698', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=dcffe10c107e95ee2851f1f55874ee9e6ce7ad27
Epoch: 001, Train Loss: 4.1323174, Train Acc: 0.5764236, Test Acc: 0.5625000, Train Cov: 3.4741111
Epoch: 002, Train Loss: 4.0647878, Train Acc: 0.6393606, Test Acc: 0.5446429, Train Cov: 3.4563973
Epoch: 003, Train Loss: 4.0454533, Train Acc: 0.6093906, Test Acc: 0.5089286, Train Cov: 3.4355602
Epoch: 004, Train Loss: 4.0166658, Train Acc: 0.6473526, Test Acc: 0.5357143, Train Cov: 3.4178813
Epoch: 005, Train Loss: 3.9733056, Train Acc: 0.6343656, Test Acc: 0.4821429, Train Cov: 3.3983629
Epoch: 006, Train Loss: 3.9454547, Train Acc: 0.7162837, Test Acc: 0.5982143, Train Cov: 3.3838713
Epoch: 007, Train Loss: 3.9208325, Train Acc: 0.6803197, Test Acc: 0.5892857, Train Cov: 3.3695884
Epoch: 008, Train Loss: 3.9253204, Train Acc: 0.6943057, Test Acc: 0.5982143, Train Cov: 3.3609443
Epoch: 009, Train Loss: 3.9066983, Train Acc: 0.7012987, Test Acc: 0.6250000, Train Cov: 3.3511245
Epoch: 010, Train Loss: 3.8835923, Train Acc: 0.7222777, Test Acc: 0.5892857, Train Cov: 3.3370779
Epoch: 011, Train Loss: 3.8671216, Train Acc: 0.7192807, Test Acc: 0.5714286, Train Cov: 3.3240166
Epoch: 012, Train Loss: 3.8637267, Train Acc: 0.7002997, Test Acc: 0.6428571, Train Cov: 3.3127472
Epoch: 013, Train Loss: 3.8312904, Train Acc: 0.7392607, Test Acc: 0.6607143, Train Cov: 3.2981246
Epoch: 014, Train Loss: 3.8052496, Train Acc: 0.7362637, Test Acc: 0.6339286, Train Cov: 3.2838891
Epoch: 015, Train Loss: 3.7957334, Train Acc: 0.7742258, Test Acc: 0.6250000, Train Cov: 3.2741029
Epoch: 016, Train Loss: 3.7726332, Train Acc: 0.7612388, Test Acc: 0.6607143, Train Cov: 3.2623899
Epoch: 017, Train Loss: 3.7587697, Train Acc: 0.7462537, Test Acc: 0.6250000, Train Cov: 3.2517571
Epoch: 018, Train Loss: 3.7576410, Train Acc: 0.7372627, Test Acc: 0.6607143, Train Cov: 3.2393184
Epoch: 019, Train Loss: 3.7112486, Train Acc: 0.7702298, Test Acc: 0.6250000, Train Cov: 3.2239323
Epoch: 020, Train Loss: 3.6946217, Train Acc: 0.7842158, Test Acc: 0.6517857, Train Cov: 3.2119517
Epoch: 021, Train Loss: 3.6814639, Train Acc: 0.7622378, Test Acc: 0.6250000, Train Cov: 3.1996064
Epoch: 022, Train Loss: 3.6716987, Train Acc: 0.7662338, Test Acc: 0.6428571, Train Cov: 3.1897359
Epoch: 023, Train Loss: 3.6571246, Train Acc: 0.7572428, Test Acc: 0.6785714, Train Cov: 3.1790142
Epoch: 024, Train Loss: 3.6212221, Train Acc: 0.7992008, Test Acc: 0.6875000, Train Cov: 3.1632426
Epoch: 025, Train Loss: 3.6115269, Train Acc: 0.7772228, Test Acc: 0.6964286, Train Cov: 3.1464250
Epoch: 026, Train Loss: 3.5818720, Train Acc: 0.7892108, Test Acc: 0.6696429, Train Cov: 3.1334929
Epoch: 027, Train Loss: 3.5868753, Train Acc: 0.8011988, Test Acc: 0.6607143, Train Cov: 3.1214981
Epoch: 028, Train Loss: 3.5709911, Train Acc: 0.7982018, Test Acc: 0.7232143, Train Cov: 3.1113725
Epoch: 029, Train Loss: 3.5338229, Train Acc: 0.8191808, Test Acc: 0.7321429, Train Cov: 3.0948730
Epoch: 030, Train Loss: 3.5088789, Train Acc: 0.7912088, Test Acc: 0.6785714, Train Cov: 3.0830109
Epoch: 031, Train Loss: 3.4810533, Train Acc: 0.8111888, Test Acc: 0.7053571, Train Cov: 3.0683401
Epoch: 032, Train Loss: 3.4700554, Train Acc: 0.8271728, Test Acc: 0.6964286, Train Cov: 3.0527771
Epoch: 033, Train Loss: 3.4566874, Train Acc: 0.7842158, Test Acc: 0.6964286, Train Cov: 3.0400457
Epoch: 034, Train Loss: 3.4388618, Train Acc: 0.8301698, Test Acc: 0.7053571, Train Cov: 3.0289323
Epoch: 035, Train Loss: 3.4116618, Train Acc: 0.8361638, Test Acc: 0.7321429, Train Cov: 3.0155509
Epoch: 036, Train Loss: 3.3955756, Train Acc: 0.8261738, Test Acc: 0.6607143, Train Cov: 3.0022204
Epoch: 037, Train Loss: 3.3730214, Train Acc: 0.8641359, Test Acc: 0.7321429, Train Cov: 2.9861424
Epoch: 038, Train Loss: 3.3349195, Train Acc: 0.8201798, Test Acc: 0.6875000, Train Cov: 2.9699535
Epoch: 039, Train Loss: 3.3233863, Train Acc: 0.8621379, Test Acc: 0.7232143, Train Cov: 2.9542582
Epoch: 040, Train Loss: 3.2967621, Train Acc: 0.8571429, Test Acc: 0.6875000, Train Cov: 2.9390996
Epoch: 041, Train Loss: 3.2850935, Train Acc: 0.8661339, Test Acc: 0.6875000, Train Cov: 2.9282222
Epoch: 042, Train Loss: 3.2555288, Train Acc: 0.8161838, Test Acc: 0.7142857, Train Cov: 2.9122839
Epoch: 043, Train Loss: 3.2346069, Train Acc: 0.8671329, Test Acc: 0.7410714, Train Cov: 2.8988392
Epoch: 044, Train Loss: 3.2123299, Train Acc: 0.8711289, Test Acc: 0.6696429, Train Cov: 2.8854907
Epoch: 045, Train Loss: 3.1904907, Train Acc: 0.8871129, Test Acc: 0.7053571, Train Cov: 2.8688385
Epoch: 046, Train Loss: 3.1806857, Train Acc: 0.8781219, Test Acc: 0.6785714, Train Cov: 2.8561101
Epoch: 047, Train Loss: 3.1600691, Train Acc: 0.8751249, Test Acc: 0.6696429, Train Cov: 2.8409753
Epoch: 048, Train Loss: 3.1361883, Train Acc: 0.8761239, Test Acc: 0.7589286, Train Cov: 2.8257816
Epoch: 049, Train Loss: 3.1306935, Train Acc: 0.8751249, Test Acc: 0.6607143, Train Cov: 2.8122227
Epoch: 050, Train Loss: 3.1498664, Train Acc: 0.7982018, Test Acc: 0.6875000, Train Cov: 2.7963994
Epoch: 051, Train Loss: 3.1360190, Train Acc: 0.8651349, Test Acc: 0.6339286, Train Cov: 2.7882245
Epoch: 052, Train Loss: 3.0904580, Train Acc: 0.8831169, Test Acc: 0.7410714, Train Cov: 2.7722163
Epoch: 053, Train Loss: 3.0462291, Train Acc: 0.9010989, Test Acc: 0.7232143, Train Cov: 2.7587554
Epoch: 054, Train Loss: 3.0136559, Train Acc: 0.9010989, Test Acc: 0.7232143, Train Cov: 2.7444983
Epoch: 055, Train Loss: 2.9899214, Train Acc: 0.8961039, Test Acc: 0.7142857, Train Cov: 2.7343605
Epoch: 056, Train Loss: 2.9640413, Train Acc: 0.9120879, Test Acc: 0.6964286, Train Cov: 2.7192724
Epoch: 057, Train Loss: 2.9425547, Train Acc: 0.9220779, Test Acc: 0.7232143, Train Cov: 2.7073009
Epoch: 058, Train Loss: 2.9207248, Train Acc: 0.9300699, Test Acc: 0.7142857, Train Cov: 2.6967330
Epoch: 059, Train Loss: 2.9152686, Train Acc: 0.9340659, Test Acc: 0.6964286, Train Cov: 2.6822345
Epoch: 060, Train Loss: 2.9319550, Train Acc: 0.9370629, Test Acc: 0.7142857, Train Cov: 2.6747267
Epoch: 061, Train Loss: 2.8872071, Train Acc: 0.9140859, Test Acc: 0.6964286, Train Cov: 2.6600406
Epoch: 062, Train Loss: 2.8778679, Train Acc: 0.9240759, Test Acc: 0.7410714, Train Cov: 2.6476433
Epoch: 063, Train Loss: 2.8617720, Train Acc: 0.9060939, Test Acc: 0.7232143, Train Cov: 2.6401615
Epoch: 064, Train Loss: 2.8514150, Train Acc: 0.9220779, Test Acc: 0.7500000, Train Cov: 2.6264296
Epoch: 065, Train Loss: 2.8228032, Train Acc: 0.9400599, Test Acc: 0.6785714, Train Cov: 2.6149464
Epoch: 066, Train Loss: 2.7944531, Train Acc: 0.9520480, Test Acc: 0.7232143, Train Cov: 2.6014984
