{'dataset_name': 'PROTEINS', 'seed': 111, 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': 'dcffe10c107e95ee2851f1f55874ee9e6ce7ad27', 'time_stamp': '1613906950', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=dcffe10c107e95ee2851f1f55874ee9e6ce7ad27
Epoch: 001, Train Loss: 4.2940933, Train Acc: 0.6033966, Test Acc: 0.5357143, Train Cov: 3.6391504
Epoch: 002, Train Loss: 3.9511155, Train Acc: 0.6013986, Test Acc: 0.4910714, Train Cov: 3.3270712
Epoch: 003, Train Loss: 3.6000257, Train Acc: 0.6743257, Test Acc: 0.5714286, Train Cov: 3.0157382
Epoch: 004, Train Loss: 3.3232082, Train Acc: 0.6773227, Test Acc: 0.6071429, Train Cov: 2.7323432
Epoch: 005, Train Loss: 3.0359008, Train Acc: 0.7052947, Test Acc: 0.6785714, Train Cov: 2.4636979
Epoch: 006, Train Loss: 2.8138857, Train Acc: 0.6963037, Test Acc: 0.6517857, Train Cov: 2.2459271
Epoch: 007, Train Loss: 2.6145167, Train Acc: 0.7292707, Test Acc: 0.6785714, Train Cov: 2.0560136
Epoch: 008, Train Loss: 2.4408186, Train Acc: 0.7262737, Test Acc: 0.6696429, Train Cov: 1.8887082
Epoch: 009, Train Loss: 2.2979881, Train Acc: 0.7332667, Test Acc: 0.6785714, Train Cov: 1.7403817
Epoch: 010, Train Loss: 2.1588343, Train Acc: 0.7352647, Test Acc: 0.6607143, Train Cov: 1.6248702
Epoch: 011, Train Loss: 2.0749487, Train Acc: 0.7452547, Test Acc: 0.6785714, Train Cov: 1.5305640
Epoch: 012, Train Loss: 1.9563813, Train Acc: 0.7442557, Test Acc: 0.6607143, Train Cov: 1.4205060
Epoch: 013, Train Loss: 1.8682790, Train Acc: 0.7542458, Test Acc: 0.6875000, Train Cov: 1.3312325
Epoch: 014, Train Loss: 1.7969817, Train Acc: 0.7502498, Test Acc: 0.6785714, Train Cov: 1.2696023
Epoch: 015, Train Loss: 1.7012057, Train Acc: 0.7342657, Test Acc: 0.6785714, Train Cov: 1.1886269
Epoch: 016, Train Loss: 1.6558605, Train Acc: 0.7582418, Test Acc: 0.6785714, Train Cov: 1.1436526
Epoch: 017, Train Loss: 1.5914475, Train Acc: 0.7702298, Test Acc: 0.6517857, Train Cov: 1.0834874
Epoch: 018, Train Loss: 1.5540479, Train Acc: 0.7662338, Test Acc: 0.6696429, Train Cov: 1.0424191
Epoch: 019, Train Loss: 1.4982364, Train Acc: 0.7532468, Test Acc: 0.6607143, Train Cov: 0.9956472
Epoch: 020, Train Loss: 1.4428053, Train Acc: 0.7572428, Test Acc: 0.7232143, Train Cov: 0.9494403
Epoch: 021, Train Loss: 1.4119955, Train Acc: 0.7462537, Test Acc: 0.6696429, Train Cov: 0.9053670
Epoch: 022, Train Loss: 1.4153606, Train Acc: 0.7272727, Test Acc: 0.7053571, Train Cov: 0.8919483
Epoch: 023, Train Loss: 1.3610706, Train Acc: 0.7432567, Test Acc: 0.6428571, Train Cov: 0.8558232
Epoch: 024, Train Loss: 1.3871023, Train Acc: 0.7532468, Test Acc: 0.6964286, Train Cov: 0.8737435
Epoch: 025, Train Loss: 1.3055300, Train Acc: 0.7592408, Test Acc: 0.6785714, Train Cov: 0.8114078
Epoch: 026, Train Loss: 1.2882790, Train Acc: 0.7342657, Test Acc: 0.7232143, Train Cov: 0.7868221
Epoch: 027, Train Loss: 1.2179243, Train Acc: 0.7692308, Test Acc: 0.7232143, Train Cov: 0.7359307
Epoch: 028, Train Loss: 1.2033618, Train Acc: 0.7482517, Test Acc: 0.6696429, Train Cov: 0.7235937
Epoch: 029, Train Loss: 1.2202227, Train Acc: 0.7382617, Test Acc: 0.6428571, Train Cov: 0.7067114
Epoch: 030, Train Loss: 1.1886992, Train Acc: 0.7272727, Test Acc: 0.6160714, Train Cov: 0.6823106
Epoch: 031, Train Loss: 1.2094332, Train Acc: 0.7682318, Test Acc: 0.6696429, Train Cov: 0.7061826
Epoch: 032, Train Loss: 1.1593212, Train Acc: 0.7592408, Test Acc: 0.7410714, Train Cov: 0.6754605
Epoch: 033, Train Loss: 1.1444381, Train Acc: 0.7562438, Test Acc: 0.7053571, Train Cov: 0.6520448
Epoch: 034, Train Loss: 1.0952150, Train Acc: 0.7772228, Test Acc: 0.6785714, Train Cov: 0.6156362
Epoch: 035, Train Loss: 1.0842725, Train Acc: 0.7592408, Test Acc: 0.7142857, Train Cov: 0.6046082
Epoch: 036, Train Loss: 1.0602316, Train Acc: 0.7812188, Test Acc: 0.7053571, Train Cov: 0.5895648
Epoch: 037, Train Loss: 1.0572538, Train Acc: 0.7792208, Test Acc: 0.7142857, Train Cov: 0.5789250
Epoch: 038, Train Loss: 1.0318625, Train Acc: 0.7592408, Test Acc: 0.6428571, Train Cov: 0.5635488
Epoch: 039, Train Loss: 1.0165504, Train Acc: 0.7722278, Test Acc: 0.7053571, Train Cov: 0.5480543
Epoch: 040, Train Loss: 0.9989048, Train Acc: 0.7902098, Test Acc: 0.7321429, Train Cov: 0.5332679
Epoch: 041, Train Loss: 0.9913830, Train Acc: 0.7792208, Test Acc: 0.7232143, Train Cov: 0.5307205
Epoch: 042, Train Loss: 0.9958141, Train Acc: 0.7882118, Test Acc: 0.7410714, Train Cov: 0.5217054
Epoch: 043, Train Loss: 0.9548041, Train Acc: 0.7962038, Test Acc: 0.7232143, Train Cov: 0.4942624
Epoch: 044, Train Loss: 0.9351891, Train Acc: 0.7832168, Test Acc: 0.7232143, Train Cov: 0.4897490
Epoch: 045, Train Loss: 0.9278859, Train Acc: 0.7562438, Test Acc: 0.6607143, Train Cov: 0.4756070
Epoch: 046, Train Loss: 0.9203547, Train Acc: 0.7702298, Test Acc: 0.6785714, Train Cov: 0.4693348
Epoch: 047, Train Loss: 0.9211843, Train Acc: 0.7972028, Test Acc: 0.7500000, Train Cov: 0.4670186
Epoch: 048, Train Loss: 0.9240622, Train Acc: 0.7922078, Test Acc: 0.7053571, Train Cov: 0.4592958
Epoch: 049, Train Loss: 0.8924261, Train Acc: 0.7922078, Test Acc: 0.6696429, Train Cov: 0.4577276
Epoch: 050, Train Loss: 0.8737906, Train Acc: 0.7872128, Test Acc: 0.6875000, Train Cov: 0.4383416
Epoch: 051, Train Loss: 0.8972894, Train Acc: 0.8031968, Test Acc: 0.6875000, Train Cov: 0.4499114
Epoch: 052, Train Loss: 0.8559735, Train Acc: 0.8201798, Test Acc: 0.6964286, Train Cov: 0.4256598
Epoch: 053, Train Loss: 0.8303927, Train Acc: 0.8171828, Test Acc: 0.6785714, Train Cov: 0.4127492
Epoch: 054, Train Loss: 0.8263882, Train Acc: 0.8121878, Test Acc: 0.6964286, Train Cov: 0.4189337
Epoch: 055, Train Loss: 0.8207841, Train Acc: 0.8171828, Test Acc: 0.6964286, Train Cov: 0.4122216
Epoch: 056, Train Loss: 0.8048110, Train Acc: 0.8441558, Test Acc: 0.7232143, Train Cov: 0.4072032
Epoch: 057, Train Loss: 0.7921933, Train Acc: 0.8331668, Test Acc: 0.7053571, Train Cov: 0.3999703
Epoch: 058, Train Loss: 0.8061349, Train Acc: 0.8371628, Test Acc: 0.7053571, Train Cov: 0.4048740
Epoch: 059, Train Loss: 0.7969143, Train Acc: 0.8151848, Test Acc: 0.6785714, Train Cov: 0.3986262
Epoch: 060, Train Loss: 0.7812925, Train Acc: 0.8401598, Test Acc: 0.7232143, Train Cov: 0.3828866
Epoch: 061, Train Loss: 0.7738389, Train Acc: 0.8361638, Test Acc: 0.6875000, Train Cov: 0.3785386
Epoch: 062, Train Loss: 0.7628626, Train Acc: 0.8461538, Test Acc: 0.7232143, Train Cov: 0.3794158
Epoch: 063, Train Loss: 0.7475176, Train Acc: 0.8421578, Test Acc: 0.6964286, Train Cov: 0.3684586
Epoch: 064, Train Loss: 0.7795766, Train Acc: 0.8021978, Test Acc: 0.7410714, Train Cov: 0.3803257
Epoch: 065, Train Loss: 0.7511686, Train Acc: 0.8451548, Test Acc: 0.7500000, Train Cov: 0.3672282
Epoch: 066, Train Loss: 0.7506311, Train Acc: 0.8271728, Test Acc: 0.7053571, Train Cov: 0.3699038
Epoch: 067, Train Loss: 0.7304611, Train Acc: 0.8551449, Test Acc: 0.6696429, Train Cov: 0.3554698
Epoch: 068, Train Loss: 0.7197837, Train Acc: 0.8371628, Test Acc: 0.7142857, Train Cov: 0.3544197
Epoch: 069, Train Loss: 0.7213463, Train Acc: 0.8321678, Test Acc: 0.7589286, Train Cov: 0.3523772
Epoch: 070, Train Loss: 0.7289194, Train Acc: 0.8291708, Test Acc: 0.6875000, Train Cov: 0.3611367
Epoch: 071, Train Loss: 0.6974643, Train Acc: 0.8521479, Test Acc: 0.7232143, Train Cov: 0.3466506
Epoch: 072, Train Loss: 0.6914195, Train Acc: 0.8551449, Test Acc: 0.7500000, Train Cov: 0.3414130
Epoch: 073, Train Loss: 0.6984423, Train Acc: 0.8451548, Test Acc: 0.6875000, Train Cov: 0.3342003
Epoch: 074, Train Loss: 0.6969079, Train Acc: 0.8441558, Test Acc: 0.7410714, Train Cov: 0.3363412
Epoch: 075, Train Loss: 0.6892779, Train Acc: 0.8661339, Test Acc: 0.6875000, Train Cov: 0.3327955
Epoch: 076, Train Loss: 0.7006907, Train Acc: 0.8691309, Test Acc: 0.6875000, Train Cov: 0.3358282
Epoch: 077, Train Loss: 0.6766675, Train Acc: 0.8451548, Test Acc: 0.6964286, Train Cov: 0.3279313
Epoch: 078, Train Loss: 0.6609301, Train Acc: 0.8351648, Test Acc: 0.6875000, Train Cov: 0.3263235
Epoch: 079, Train Loss: 0.6525035, Train Acc: 0.8751249, Test Acc: 0.6785714, Train Cov: 0.3272605
Epoch: 080, Train Loss: 0.6601617, Train Acc: 0.8701299, Test Acc: 0.6875000, Train Cov: 0.3246303
Epoch: 081, Train Loss: 0.6599334, Train Acc: 0.8481518, Test Acc: 0.6785714, Train Cov: 0.3167692
Epoch: 082, Train Loss: 0.6655875, Train Acc: 0.8421578, Test Acc: 0.6875000, Train Cov: 0.3175427
Epoch: 083, Train Loss: 0.6579053, Train Acc: 0.8381618, Test Acc: 0.6785714, Train Cov: 0.3155899
Epoch: 084, Train Loss: 0.6655677, Train Acc: 0.8491508, Test Acc: 0.6607143, Train Cov: 0.3103018
Epoch: 085, Train Loss: 0.6566546, Train Acc: 0.8641359, Test Acc: 0.7053571, Train Cov: 0.3130100
Epoch: 086, Train Loss: 0.6292447, Train Acc: 0.8751249, Test Acc: 0.7232143, Train Cov: 0.3063079
Epoch: 087, Train Loss: 0.6445749, Train Acc: 0.8511489, Test Acc: 0.7142857, Train Cov: 0.3160454
Epoch: 088, Train Loss: 0.6327709, Train Acc: 0.8631369, Test Acc: 0.6250000, Train Cov: 0.3095809
Epoch: 089, Train Loss: 0.6368419, Train Acc: 0.8551449, Test Acc: 0.6875000, Train Cov: 0.3163923
Epoch: 090, Train Loss: 0.6139815, Train Acc: 0.8831169, Test Acc: 0.6785714, Train Cov: 0.2962165
Epoch: 091, Train Loss: 0.6125232, Train Acc: 0.8481518, Test Acc: 0.6339286, Train Cov: 0.2975498
Epoch: 092, Train Loss: 0.6202670, Train Acc: 0.8451548, Test Acc: 0.6875000, Train Cov: 0.2953896
Epoch: 093, Train Loss: 0.6097817, Train Acc: 0.8671329, Test Acc: 0.6696429, Train Cov: 0.2988868
Epoch: 094, Train Loss: 0.6235929, Train Acc: 0.8661339, Test Acc: 0.6517857, Train Cov: 0.3032157
Epoch: 095, Train Loss: 0.6114899, Train Acc: 0.8551449, Test Acc: 0.6160714, Train Cov: 0.2994938
Epoch: 096, Train Loss: 0.6214260, Train Acc: 0.8801199, Test Acc: 0.6250000, Train Cov: 0.3007892
Epoch: 097, Train Loss: 0.6088404, Train Acc: 0.8771229, Test Acc: 0.6428571, Train Cov: 0.3108229
Epoch: 098, Train Loss: 0.6088644, Train Acc: 0.8931069, Test Acc: 0.6696429, Train Cov: 0.2861458
Epoch: 099, Train Loss: 0.6061583, Train Acc: 0.8731269, Test Acc: 0.6785714, Train Cov: 0.3059984
Epoch: 100, Train Loss: 0.5971018, Train Acc: 0.8851149, Test Acc: 0.6964286, Train Cov: 0.2938176
Epoch: 101, Train Loss: 0.5655608, Train Acc: 0.8931069, Test Acc: 0.6875000, Train Cov: 0.2865869
Epoch: 102, Train Loss: 0.5523674, Train Acc: 0.9120879, Test Acc: 0.6696429, Train Cov: 0.2820726
Epoch: 103, Train Loss: 0.5518074, Train Acc: 0.8971029, Test Acc: 0.6160714, Train Cov: 0.2852620
Epoch: 104, Train Loss: 0.5492926, Train Acc: 0.9200799, Test Acc: 0.6160714, Train Cov: 0.2870558
Epoch: 105, Train Loss: 0.5423523, Train Acc: 0.9050949, Test Acc: 0.6428571, Train Cov: 0.2844461
Epoch: 106, Train Loss: 0.5495443, Train Acc: 0.8891109, Test Acc: 0.7142857, Train Cov: 0.2852179
Epoch: 107, Train Loss: 0.5148489, Train Acc: 0.9140859, Test Acc: 0.6785714, Train Cov: 0.2712788
Epoch: 108, Train Loss: 0.5022362, Train Acc: 0.9070929, Test Acc: 0.6785714, Train Cov: 0.2713439
Epoch: 109, Train Loss: 0.5110033, Train Acc: 0.8921079, Test Acc: 0.6607143, Train Cov: 0.2754818
Epoch: 110, Train Loss: 0.5082933, Train Acc: 0.9280719, Test Acc: 0.6785714, Train Cov: 0.2741557
Epoch: 111, Train Loss: 0.5018050, Train Acc: 0.9240759, Test Acc: 0.7053571, Train Cov: 0.2844105
Epoch: 112, Train Loss: 0.4959243, Train Acc: 0.9300699, Test Acc: 0.6428571, Train Cov: 0.2751905
Epoch: 113, Train Loss: 0.5088294, Train Acc: 0.8971029, Test Acc: 0.6696429, Train Cov: 0.2694240
Epoch: 114, Train Loss: 0.4944560, Train Acc: 0.9170829, Test Acc: 0.6071429, Train Cov: 0.2644126
Epoch: 115, Train Loss: 0.4833965, Train Acc: 0.9020979, Test Acc: 0.6785714, Train Cov: 0.2701633
Epoch: 116, Train Loss: 0.4853203, Train Acc: 0.9360639, Test Acc: 0.6785714, Train Cov: 0.2644581
Epoch: 117, Train Loss: 0.4650794, Train Acc: 0.9220779, Test Acc: 0.6785714, Train Cov: 0.2624832
Epoch: 118, Train Loss: 0.4870285, Train Acc: 0.9300699, Test Acc: 0.7053571, Train Cov: 0.2699454
Epoch: 119, Train Loss: 0.4806905, Train Acc: 0.8981019, Test Acc: 0.6339286, Train Cov: 0.2660687
Epoch: 120, Train Loss: 0.5258288, Train Acc: 0.8451548, Test Acc: 0.6607143, Train Cov: 0.2691038
Epoch: 121, Train Loss: 0.4917323, Train Acc: 0.9010989, Test Acc: 0.6875000, Train Cov: 0.2649544
Epoch: 122, Train Loss: 0.5030624, Train Acc: 0.9190809, Test Acc: 0.6517857, Train Cov: 0.2690748
Epoch: 123, Train Loss: 0.5091237, Train Acc: 0.9220779, Test Acc: 0.6696429, Train Cov: 0.2710248
Epoch: 124, Train Loss: 0.4939141, Train Acc: 0.9080919, Test Acc: 0.6607143, Train Cov: 0.2674527
Epoch: 125, Train Loss: 0.4927911, Train Acc: 0.9260739, Test Acc: 0.6964286, Train Cov: 0.2593041
Epoch: 126, Train Loss: 0.4739203, Train Acc: 0.9290709, Test Acc: 0.6696429, Train Cov: 0.2588912
Epoch: 127, Train Loss: 0.4759674, Train Acc: 0.9340659, Test Acc: 0.6428571, Train Cov: 0.2646160
Epoch: 128, Train Loss: 0.4635016, Train Acc: 0.9400599, Test Acc: 0.6607143, Train Cov: 0.2641326
Epoch: 129, Train Loss: 0.4512669, Train Acc: 0.9390609, Test Acc: 0.6517857, Train Cov: 0.2568083
Epoch: 130, Train Loss: 0.4361945, Train Acc: 0.9430569, Test Acc: 0.6875000, Train Cov: 0.2526918
Epoch: 131, Train Loss: 0.4535278, Train Acc: 0.9390609, Test Acc: 0.6785714, Train Cov: 0.2553270
Epoch: 132, Train Loss: 0.4704843, Train Acc: 0.9340659, Test Acc: 0.6517857, Train Cov: 0.2619952
Epoch: 133, Train Loss: 0.4591865, Train Acc: 0.9220779, Test Acc: 0.6696429, Train Cov: 0.2503859
Epoch: 134, Train Loss: 0.4809776, Train Acc: 0.9250749, Test Acc: 0.6785714, Train Cov: 0.2534203
Epoch: 135, Train Loss: 0.4730162, Train Acc: 0.9000999, Test Acc: 0.6696429, Train Cov: 0.2540440
Epoch: 136, Train Loss: 0.4594827, Train Acc: 0.9270729, Test Acc: 0.6875000, Train Cov: 0.2470705
Epoch: 137, Train Loss: 0.4731729, Train Acc: 0.9120879, Test Acc: 0.6964286, Train Cov: 0.2542905
Epoch: 138, Train Loss: 0.4819762, Train Acc: 0.9410589, Test Acc: 0.6785714, Train Cov: 0.2529160
Epoch: 139, Train Loss: 0.4635996, Train Acc: 0.9340659, Test Acc: 0.6250000, Train Cov: 0.2465098
Epoch: 140, Train Loss: 0.4409346, Train Acc: 0.9380619, Test Acc: 0.7053571, Train Cov: 0.2427778
Epoch: 141, Train Loss: 0.4745074, Train Acc: 0.9420579, Test Acc: 0.6785714, Train Cov: 0.2580005
Epoch: 142, Train Loss: 0.4355186, Train Acc: 0.9280719, Test Acc: 0.6517857, Train Cov: 0.2445932
Epoch: 143, Train Loss: 0.4249879, Train Acc: 0.9440559, Test Acc: 0.6964286, Train Cov: 0.2430246
Epoch: 144, Train Loss: 0.4358939, Train Acc: 0.9460539, Test Acc: 0.6696429, Train Cov: 0.2502900
Epoch: 145, Train Loss: 0.4171860, Train Acc: 0.9540460, Test Acc: 0.6428571, Train Cov: 0.2467172
Epoch: 146, Train Loss: 0.4191136, Train Acc: 0.9360639, Test Acc: 0.6875000, Train Cov: 0.2447194
Epoch: 147, Train Loss: 0.4190889, Train Acc: 0.9470529, Test Acc: 0.6785714, Train Cov: 0.2436220
Epoch: 148, Train Loss: 0.4274962, Train Acc: 0.9520480, Test Acc: 0.6250000, Train Cov: 0.2446831
Epoch: 149, Train Loss: 0.4084845, Train Acc: 0.9470529, Test Acc: 0.6339286, Train Cov: 0.2414340
Epoch: 150, Train Loss: 0.4156805, Train Acc: 0.9520480, Test Acc: 0.6250000, Train Cov: 0.2440153
Epoch: 151, Train Loss: 0.3929238, Train Acc: 0.9480519, Test Acc: 0.6339286, Train Cov: 0.2376299
Epoch: 152, Train Loss: 0.4078742, Train Acc: 0.9420579, Test Acc: 0.6607143, Train Cov: 0.2355225
Epoch: 153, Train Loss: 0.3918953, Train Acc: 0.9590410, Test Acc: 0.6339286, Train Cov: 0.2389914
Epoch: 154, Train Loss: 0.3954597, Train Acc: 0.9470529, Test Acc: 0.6428571, Train Cov: 0.2416650
Epoch: 155, Train Loss: 0.3911183, Train Acc: 0.9600400, Test Acc: 0.6607143, Train Cov: 0.2427075
Epoch: 156, Train Loss: 0.3962242, Train Acc: 0.9440559, Test Acc: 0.6607143, Train Cov: 0.2356332
Epoch: 157, Train Loss: 0.3826490, Train Acc: 0.9540460, Test Acc: 0.6339286, Train Cov: 0.2327716
Epoch: 158, Train Loss: 0.4020288, Train Acc: 0.9510490, Test Acc: 0.6250000, Train Cov: 0.2417174
Epoch: 159, Train Loss: 0.3763977, Train Acc: 0.9630370, Test Acc: 0.6785714, Train Cov: 0.2308318
Epoch: 160, Train Loss: 0.3616899, Train Acc: 0.9620380, Test Acc: 0.6517857, Train Cov: 0.2267161
Epoch: 161, Train Loss: 0.3809204, Train Acc: 0.9550450, Test Acc: 0.6517857, Train Cov: 0.2299576
Epoch: 162, Train Loss: 0.3496613, Train Acc: 0.9610390, Test Acc: 0.6785714, Train Cov: 0.2262824
Epoch: 163, Train Loss: 0.3738434, Train Acc: 0.9560440, Test Acc: 0.6339286, Train Cov: 0.2306507
Epoch: 164, Train Loss: 0.3549200, Train Acc: 0.9640360, Test Acc: 0.6250000, Train Cov: 0.2280855
Epoch: 165, Train Loss: 0.3572626, Train Acc: 0.9690310, Test Acc: 0.6428571, Train Cov: 0.2278265
Epoch: 166, Train Loss: 0.3488637, Train Acc: 0.9610390, Test Acc: 0.6339286, Train Cov: 0.2276233
Epoch: 167, Train Loss: 0.3377046, Train Acc: 0.9610390, Test Acc: 0.6517857, Train Cov: 0.2285286
Epoch: 168, Train Loss: 0.3351045, Train Acc: 0.9620380, Test Acc: 0.6696429, Train Cov: 0.2270903
Epoch: 169, Train Loss: 0.3355687, Train Acc: 0.9690310, Test Acc: 0.6607143, Train Cov: 0.2202933
Epoch: 170, Train Loss: 0.3586933, Train Acc: 0.9690310, Test Acc: 0.6517857, Train Cov: 0.2268177
Epoch: 171, Train Loss: 0.3364987, Train Acc: 0.9620380, Test Acc: 0.6607143, Train Cov: 0.2210843
Epoch: 172, Train Loss: 0.3571125, Train Acc: 0.9660340, Test Acc: 0.6517857, Train Cov: 0.2255611
Epoch: 173, Train Loss: 0.3438262, Train Acc: 0.9580420, Test Acc: 0.6339286, Train Cov: 0.2193653
