{'dataset_name': 'PROTEINS', 'seed': 999, 'num_workers': 1, 'cov_weight': 100.0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0001, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'Y', 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': '9eeca9a405b0582243e9e19bd65a785a163a481b', 'time_stamp': '1613919038', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=9eeca9a405b0582243e9e19bd65a785a163a481b
Epoch: 001, Train Loss: 420.2217713, Train Acc: 0.5934066, Test Acc: 0.5625000, Train Cov: 4.1950741
Epoch: 002, Train Loss: 417.1974020, Train Acc: 0.5924076, Test Acc: 0.5446429, Train Cov: 4.1653376
Epoch: 003, Train Loss: 415.5966515, Train Acc: 0.6173826, Test Acc: 0.5982143, Train Cov: 4.1495705
Epoch: 004, Train Loss: 414.1028796, Train Acc: 0.6563437, Test Acc: 0.5803571, Train Cov: 4.1348476
Epoch: 005, Train Loss: 413.1105700, Train Acc: 0.6673327, Test Acc: 0.5803571, Train Cov: 4.1249900
Epoch: 006, Train Loss: 412.4476012, Train Acc: 0.6053946, Test Acc: 0.5178571, Train Cov: 4.1184835
Epoch: 007, Train Loss: 411.4803531, Train Acc: 0.5904096, Test Acc: 0.5267857, Train Cov: 4.1089420
Epoch: 008, Train Loss: 410.8832283, Train Acc: 0.6233766, Test Acc: 0.5625000, Train Cov: 4.1029177
Epoch: 009, Train Loss: 410.2774233, Train Acc: 0.6553447, Test Acc: 0.6071429, Train Cov: 4.0969725
Epoch: 010, Train Loss: 409.8001618, Train Acc: 0.6113886, Test Acc: 0.5535714, Train Cov: 4.0922275
Epoch: 011, Train Loss: 409.3628460, Train Acc: 0.6203796, Test Acc: 0.5892857, Train Cov: 4.0878801
Epoch: 012, Train Loss: 408.6393745, Train Acc: 0.6393606, Test Acc: 0.5357143, Train Cov: 4.0806880
Epoch: 013, Train Loss: 408.3052933, Train Acc: 0.6533467, Test Acc: 0.6071429, Train Cov: 4.0773787
Epoch: 014, Train Loss: 407.8986942, Train Acc: 0.6403596, Test Acc: 0.5803571, Train Cov: 4.0733356
Epoch: 015, Train Loss: 407.5091133, Train Acc: 0.6813187, Test Acc: 0.5625000, Train Cov: 4.0694566
Epoch: 016, Train Loss: 407.1749848, Train Acc: 0.7052947, Test Acc: 0.5714286, Train Cov: 4.0662198
Epoch: 017, Train Loss: 406.6794354, Train Acc: 0.7062937, Test Acc: 0.5982143, Train Cov: 4.0612645
Epoch: 018, Train Loss: 406.4262283, Train Acc: 0.7022977, Test Acc: 0.6250000, Train Cov: 4.0587792
Epoch: 019, Train Loss: 406.0877330, Train Acc: 0.7102897, Test Acc: 0.6071429, Train Cov: 4.0554814
Epoch: 020, Train Loss: 405.8920592, Train Acc: 0.7212787, Test Acc: 0.6071429, Train Cov: 4.0534368
Epoch: 021, Train Loss: 405.2680139, Train Acc: 0.7432567, Test Acc: 0.6428571, Train Cov: 4.0472856
Epoch: 022, Train Loss: 404.7858428, Train Acc: 0.7392607, Test Acc: 0.6160714, Train Cov: 4.0425982
Epoch: 023, Train Loss: 404.9542529, Train Acc: 0.7402597, Test Acc: 0.5982143, Train Cov: 4.0442123
Epoch: 024, Train Loss: 404.3624793, Train Acc: 0.7512488, Test Acc: 0.5982143, Train Cov: 4.0383620
Epoch: 025, Train Loss: 404.0470296, Train Acc: 0.7412587, Test Acc: 0.6160714, Train Cov: 4.0352392
Epoch: 026, Train Loss: 403.8248379, Train Acc: 0.7512488, Test Acc: 0.6071429, Train Cov: 4.0330729
Epoch: 027, Train Loss: 403.3952095, Train Acc: 0.7542458, Test Acc: 0.5982143, Train Cov: 4.0288515
Epoch: 028, Train Loss: 403.0171159, Train Acc: 0.7632368, Test Acc: 0.5982143, Train Cov: 4.0250874
Epoch: 029, Train Loss: 402.7203048, Train Acc: 0.7442557, Test Acc: 0.6250000, Train Cov: 4.0221848
Epoch: 030, Train Loss: 402.4042497, Train Acc: 0.7292707, Test Acc: 0.6071429, Train Cov: 4.0190024
Epoch: 031, Train Loss: 402.1469087, Train Acc: 0.7832168, Test Acc: 0.6071429, Train Cov: 4.0165458
Epoch: 032, Train Loss: 401.9717807, Train Acc: 0.7562438, Test Acc: 0.6071429, Train Cov: 4.0147438
Epoch: 033, Train Loss: 401.5913408, Train Acc: 0.7852148, Test Acc: 0.6160714, Train Cov: 4.0110288
Epoch: 034, Train Loss: 401.3614086, Train Acc: 0.7522478, Test Acc: 0.6160714, Train Cov: 4.0087457
Epoch: 035, Train Loss: 401.2027271, Train Acc: 0.7862138, Test Acc: 0.5982143, Train Cov: 4.0071645
Epoch: 036, Train Loss: 400.8774196, Train Acc: 0.7862138, Test Acc: 0.6250000, Train Cov: 4.0039387
Epoch: 037, Train Loss: 400.6566006, Train Acc: 0.8001998, Test Acc: 0.6160714, Train Cov: 4.0017734
Epoch: 038, Train Loss: 400.3612087, Train Acc: 0.7962038, Test Acc: 0.6160714, Train Cov: 3.9988570
Epoch: 039, Train Loss: 400.1762222, Train Acc: 0.8011988, Test Acc: 0.6428571, Train Cov: 3.9970365
Epoch: 040, Train Loss: 399.7241535, Train Acc: 0.7892108, Test Acc: 0.6160714, Train Cov: 3.9926128
Epoch: 041, Train Loss: 399.8816708, Train Acc: 0.8101898, Test Acc: 0.6339286, Train Cov: 3.9941018
Epoch: 042, Train Loss: 399.4132304, Train Acc: 0.7962038, Test Acc: 0.6339286, Train Cov: 3.9895072
Epoch: 043, Train Loss: 399.4021843, Train Acc: 0.8031968, Test Acc: 0.6428571, Train Cov: 3.9893456
Epoch: 044, Train Loss: 399.0621996, Train Acc: 0.8091908, Test Acc: 0.6517857, Train Cov: 3.9859743
Epoch: 045, Train Loss: 398.8519054, Train Acc: 0.7922078, Test Acc: 0.6250000, Train Cov: 3.9838598
Epoch: 046, Train Loss: 398.7088213, Train Acc: 0.7932068, Test Acc: 0.6160714, Train Cov: 3.9824481
Epoch: 047, Train Loss: 398.5743644, Train Acc: 0.7982018, Test Acc: 0.6339286, Train Cov: 3.9811437
Epoch: 048, Train Loss: 398.2150011, Train Acc: 0.8081918, Test Acc: 0.6250000, Train Cov: 3.9776416
Epoch: 049, Train Loss: 398.0522755, Train Acc: 0.7962038, Test Acc: 0.6160714, Train Cov: 3.9760227
