{'dataset_name': 'PROTEINS', 'seed': 999, 'num_workers': 1, 'cov_weight': 100.0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0001, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': '9eeca9a405b0582243e9e19bd65a785a163a481b', 'time_stamp': '1613919130', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=9eeca9a405b0582243e9e19bd65a785a163a481b
Epoch: 001, Train Loss: 365.7886019, Train Acc: 0.6113886, Test Acc: 0.5625000, Train Cov: 3.6511455
Epoch: 002, Train Loss: 352.1927892, Train Acc: 0.6273726, Test Acc: 0.5982143, Train Cov: 3.5153167
Epoch: 003, Train Loss: 341.8052277, Train Acc: 0.6513487, Test Acc: 0.5803571, Train Cov: 3.4115167
Epoch: 004, Train Loss: 332.7807259, Train Acc: 0.6523477, Test Acc: 0.5803571, Train Cov: 3.3214347
Epoch: 005, Train Loss: 324.4553481, Train Acc: 0.6433566, Test Acc: 0.5803571, Train Cov: 3.2383680
Epoch: 006, Train Loss: 317.0990848, Train Acc: 0.6633367, Test Acc: 0.6160714, Train Cov: 3.1647873
Epoch: 007, Train Loss: 309.7636707, Train Acc: 0.6663337, Test Acc: 0.5803571, Train Cov: 3.0915730
Epoch: 008, Train Loss: 303.0048829, Train Acc: 0.6853147, Test Acc: 0.5803571, Train Cov: 3.0240247
Epoch: 009, Train Loss: 296.0664459, Train Acc: 0.6943057, Test Acc: 0.5803571, Train Cov: 2.9547668
Epoch: 010, Train Loss: 289.4479222, Train Acc: 0.6973027, Test Acc: 0.5892857, Train Cov: 2.8886330
Epoch: 011, Train Loss: 283.1079850, Train Acc: 0.6933067, Test Acc: 0.5535714, Train Cov: 2.8252633
Epoch: 012, Train Loss: 276.7421343, Train Acc: 0.6653347, Test Acc: 0.5267857, Train Cov: 2.7616193
Epoch: 013, Train Loss: 270.4665177, Train Acc: 0.6723277, Test Acc: 0.5535714, Train Cov: 2.6989169
Epoch: 014, Train Loss: 264.3269862, Train Acc: 0.7092907, Test Acc: 0.5625000, Train Cov: 2.6374962
Epoch: 015, Train Loss: 259.3188915, Train Acc: 0.7122877, Test Acc: 0.5892857, Train Cov: 2.5873802
Epoch: 016, Train Loss: 253.8129098, Train Acc: 0.6993007, Test Acc: 0.5535714, Train Cov: 2.5324302
Epoch: 017, Train Loss: 248.1991702, Train Acc: 0.7182817, Test Acc: 0.6071429, Train Cov: 2.4763274
Epoch: 018, Train Loss: 243.2761205, Train Acc: 0.7202797, Test Acc: 0.6160714, Train Cov: 2.4271436
Epoch: 019, Train Loss: 238.9090657, Train Acc: 0.7172827, Test Acc: 0.5892857, Train Cov: 2.3833830
Epoch: 020, Train Loss: 233.9138519, Train Acc: 0.7032967, Test Acc: 0.5625000, Train Cov: 2.3334913
Epoch: 021, Train Loss: 227.4634115, Train Acc: 0.7312687, Test Acc: 0.6250000, Train Cov: 2.2689776
Epoch: 022, Train Loss: 223.3005355, Train Acc: 0.7322677, Test Acc: 0.5982143, Train Cov: 2.2274005
Epoch: 023, Train Loss: 221.2770203, Train Acc: 0.7252747, Test Acc: 0.6071429, Train Cov: 2.2071462
Epoch: 024, Train Loss: 215.4023095, Train Acc: 0.7342657, Test Acc: 0.6071429, Train Cov: 2.1484652
Epoch: 025, Train Loss: 211.2001248, Train Acc: 0.7352647, Test Acc: 0.6250000, Train Cov: 2.1064355
Epoch: 026, Train Loss: 208.4516042, Train Acc: 0.7272727, Test Acc: 0.6071429, Train Cov: 2.0789022
Epoch: 027, Train Loss: 204.0127324, Train Acc: 0.7302697, Test Acc: 0.5892857, Train Cov: 2.0346353
Epoch: 028, Train Loss: 199.3126235, Train Acc: 0.7092907, Test Acc: 0.5446429, Train Cov: 1.9876198
Epoch: 029, Train Loss: 195.6498670, Train Acc: 0.7432567, Test Acc: 0.6071429, Train Cov: 1.9510862
Epoch: 030, Train Loss: 191.7867193, Train Acc: 0.7322677, Test Acc: 0.6071429, Train Cov: 1.9124390
Epoch: 031, Train Loss: 188.9783693, Train Acc: 0.7482517, Test Acc: 0.5982143, Train Cov: 1.8843578
Epoch: 032, Train Loss: 186.9308597, Train Acc: 0.7412587, Test Acc: 0.5982143, Train Cov: 1.8638542
Epoch: 033, Train Loss: 182.2384035, Train Acc: 0.7462537, Test Acc: 0.5892857, Train Cov: 1.8170424
Epoch: 034, Train Loss: 179.2367609, Train Acc: 0.7512488, Test Acc: 0.6071429, Train Cov: 1.7870055
Epoch: 035, Train Loss: 177.8136345, Train Acc: 0.7362637, Test Acc: 0.5892857, Train Cov: 1.7727453
Epoch: 036, Train Loss: 174.3766150, Train Acc: 0.7532468, Test Acc: 0.6160714, Train Cov: 1.7383863
Epoch: 037, Train Loss: 171.4690985, Train Acc: 0.7432567, Test Acc: 0.6071429, Train Cov: 1.7093457
Epoch: 038, Train Loss: 168.7666719, Train Acc: 0.7362637, Test Acc: 0.6071429, Train Cov: 1.6823493
Epoch: 039, Train Loss: 166.7833627, Train Acc: 0.7522478, Test Acc: 0.6160714, Train Cov: 1.6624919
Epoch: 040, Train Loss: 162.5372775, Train Acc: 0.7512488, Test Acc: 0.6160714, Train Cov: 1.6200789
Epoch: 041, Train Loss: 162.9006021, Train Acc: 0.7492507, Test Acc: 0.6250000, Train Cov: 1.6236955
Epoch: 042, Train Loss: 158.8109926, Train Acc: 0.7382617, Test Acc: 0.5982143, Train Cov: 1.5828892
Epoch: 043, Train Loss: 157.8938359, Train Acc: 0.7552448, Test Acc: 0.6428571, Train Cov: 1.5736734
Epoch: 044, Train Loss: 154.8434351, Train Acc: 0.7452547, Test Acc: 0.6160714, Train Cov: 1.5431330
Epoch: 045, Train Loss: 153.7343651, Train Acc: 0.7502498, Test Acc: 0.6160714, Train Cov: 1.5320896
Epoch: 046, Train Loss: 150.7823178, Train Acc: 0.7572428, Test Acc: 0.6160714, Train Cov: 1.5025879
Epoch: 047, Train Loss: 150.9900251, Train Acc: 0.7562438, Test Acc: 0.6071429, Train Cov: 1.5046782
Epoch: 048, Train Loss: 145.2614836, Train Acc: 0.7602398, Test Acc: 0.6160714, Train Cov: 1.4474918
Epoch: 049, Train Loss: 144.4994567, Train Acc: 0.7662338, Test Acc: 0.6339286, Train Cov: 1.4397485
Epoch: 050, Train Loss: 142.9042847, Train Acc: 0.7592408, Test Acc: 0.6339286, Train Cov: 1.4238741
Epoch: 051, Train Loss: 141.7540982, Train Acc: 0.7452547, Test Acc: 0.6250000, Train Cov: 1.4122696
Epoch: 052, Train Loss: 139.1605010, Train Acc: 0.7382617, Test Acc: 0.6071429, Train Cov: 1.3865021
Epoch: 053, Train Loss: 136.4846954, Train Acc: 0.7462537, Test Acc: 0.6250000, Train Cov: 1.3597431
Epoch: 054, Train Loss: 135.1483731, Train Acc: 0.7642358, Test Acc: 0.6250000, Train Cov: 1.3464003
Epoch: 055, Train Loss: 132.9283406, Train Acc: 0.7652348, Test Acc: 0.6250000, Train Cov: 1.3242282
Epoch: 056, Train Loss: 130.8661024, Train Acc: 0.7752248, Test Acc: 0.6339286, Train Cov: 1.3035436
Epoch: 057, Train Loss: 129.4757439, Train Acc: 0.7692308, Test Acc: 0.6160714, Train Cov: 1.2897254
Epoch: 058, Train Loss: 129.2890020, Train Acc: 0.7642358, Test Acc: 0.6250000, Train Cov: 1.2878786
Epoch: 059, Train Loss: 127.8408038, Train Acc: 0.7672328, Test Acc: 0.6071429, Train Cov: 1.2734009
Epoch: 060, Train Loss: 126.8061323, Train Acc: 0.7722278, Test Acc: 0.6339286, Train Cov: 1.2629439
Epoch: 061, Train Loss: 125.7322636, Train Acc: 0.7652348, Test Acc: 0.6250000, Train Cov: 1.2522554
Epoch: 062, Train Loss: 124.1003580, Train Acc: 0.7702298, Test Acc: 0.6250000, Train Cov: 1.2359742
Epoch: 063, Train Loss: 120.5376815, Train Acc: 0.7642358, Test Acc: 0.6428571, Train Cov: 1.2004448
Epoch: 064, Train Loss: 120.5793110, Train Acc: 0.7722278, Test Acc: 0.6250000, Train Cov: 1.2008811
Epoch: 065, Train Loss: 120.3029968, Train Acc: 0.7722278, Test Acc: 0.6339286, Train Cov: 1.1980180
Epoch: 066, Train Loss: 118.8606016, Train Acc: 0.7742258, Test Acc: 0.6160714, Train Cov: 1.1836475
Epoch: 067, Train Loss: 115.6455579, Train Acc: 0.7672328, Test Acc: 0.6339286, Train Cov: 1.1515445
Epoch: 068, Train Loss: 114.1223656, Train Acc: 0.7682318, Test Acc: 0.6250000, Train Cov: 1.1362826
Epoch: 069, Train Loss: 115.0394303, Train Acc: 0.7672328, Test Acc: 0.6428571, Train Cov: 1.1453556
Epoch: 070, Train Loss: 114.4559034, Train Acc: 0.7762238, Test Acc: 0.6250000, Train Cov: 1.1396464
Epoch: 071, Train Loss: 112.1122082, Train Acc: 0.7762238, Test Acc: 0.6250000, Train Cov: 1.1161933
Epoch: 072, Train Loss: 111.0918494, Train Acc: 0.7842158, Test Acc: 0.6428571, Train Cov: 1.1059519
Epoch: 073, Train Loss: 109.1826900, Train Acc: 0.7662338, Test Acc: 0.6071429, Train Cov: 1.0869358
Epoch: 074, Train Loss: 110.3221332, Train Acc: 0.7742258, Test Acc: 0.6250000, Train Cov: 1.0982479
Epoch: 075, Train Loss: 107.3228393, Train Acc: 0.7842158, Test Acc: 0.6160714, Train Cov: 1.0683386
Epoch: 076, Train Loss: 106.6748137, Train Acc: 0.7822178, Test Acc: 0.6339286, Train Cov: 1.0619109
Epoch: 077, Train Loss: 106.9964980, Train Acc: 0.7832168, Test Acc: 0.6517857, Train Cov: 1.0651162
Epoch: 078, Train Loss: 105.1239938, Train Acc: 0.7732268, Test Acc: 0.6339286, Train Cov: 1.0463941
Epoch: 079, Train Loss: 103.3638268, Train Acc: 0.7802198, Test Acc: 0.6339286, Train Cov: 1.0288219
Epoch: 080, Train Loss: 102.9012875, Train Acc: 0.7912088, Test Acc: 0.6339286, Train Cov: 1.0242310
Epoch: 081, Train Loss: 100.8264225, Train Acc: 0.7712288, Test Acc: 0.6428571, Train Cov: 1.0034842
Epoch: 082, Train Loss: 100.3909672, Train Acc: 0.7712288, Test Acc: 0.6428571, Train Cov: 0.9991456
Epoch: 083, Train Loss: 100.6269124, Train Acc: 0.7752248, Test Acc: 0.6339286, Train Cov: 1.0014298
Epoch: 084, Train Loss: 99.0278260, Train Acc: 0.7742258, Test Acc: 0.6160714, Train Cov: 0.9855145
