{'dataset_name': 'PROTEINS', 'seed': 999, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0001, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'Y', 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': '9eeca9a405b0582243e9e19bd65a785a163a481b', 'time_stamp': '1613919162', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=9eeca9a405b0582243e9e19bd65a785a163a481b
Epoch: 001, Train Loss: 0.6777080, Train Acc: 0.5934066, Test Acc: 0.5446429, Train Cov: 4.2217703
Epoch: 002, Train Loss: 0.6173302, Train Acc: 0.6113886, Test Acc: 0.5714286, Train Cov: 4.2261400
Epoch: 003, Train Loss: 0.6021346, Train Acc: 0.6343656, Test Acc: 0.6071429, Train Cov: 4.2297406
Epoch: 004, Train Loss: 0.5886789, Train Acc: 0.6683317, Test Acc: 0.5982143, Train Cov: 4.2290702
Epoch: 005, Train Loss: 0.5797088, Train Acc: 0.6873127, Test Acc: 0.6339286, Train Cov: 4.2296410
Epoch: 006, Train Loss: 0.5771804, Train Acc: 0.7012987, Test Acc: 0.5892857, Train Cov: 4.2317204
Epoch: 007, Train Loss: 0.5666507, Train Acc: 0.7062937, Test Acc: 0.6071429, Train Cov: 4.2306204
Epoch: 008, Train Loss: 0.5572352, Train Acc: 0.7322677, Test Acc: 0.5982143, Train Cov: 4.2304244
Epoch: 009, Train Loss: 0.5488957, Train Acc: 0.7462537, Test Acc: 0.6250000, Train Cov: 4.2302017
Epoch: 010, Train Loss: 0.5400097, Train Acc: 0.7372627, Test Acc: 0.6250000, Train Cov: 4.2314558
Epoch: 011, Train Loss: 0.5358669, Train Acc: 0.7452547, Test Acc: 0.6160714, Train Cov: 4.2324061
Epoch: 012, Train Loss: 0.5322278, Train Acc: 0.7492507, Test Acc: 0.6785714, Train Cov: 4.2297692
Epoch: 013, Train Loss: 0.5299894, Train Acc: 0.7512488, Test Acc: 0.6339286, Train Cov: 4.2308178
Epoch: 014, Train Loss: 0.5195049, Train Acc: 0.7542458, Test Acc: 0.6517857, Train Cov: 4.2316914
Epoch: 015, Train Loss: 0.5283402, Train Acc: 0.7602398, Test Acc: 0.6517857, Train Cov: 4.2321219
Epoch: 016, Train Loss: 0.5182601, Train Acc: 0.7572428, Test Acc: 0.6339286, Train Cov: 4.2316051
Epoch: 017, Train Loss: 0.5144474, Train Acc: 0.7652348, Test Acc: 0.6696429, Train Cov: 4.2305112
Epoch: 018, Train Loss: 0.5110004, Train Acc: 0.7682318, Test Acc: 0.7142857, Train Cov: 4.2301402
Epoch: 019, Train Loss: 0.5089975, Train Acc: 0.7712288, Test Acc: 0.6875000, Train Cov: 4.2306476
Epoch: 020, Train Loss: 0.5025039, Train Acc: 0.7732268, Test Acc: 0.6428571, Train Cov: 4.2306743
Epoch: 021, Train Loss: 0.4992069, Train Acc: 0.7702298, Test Acc: 0.6696429, Train Cov: 4.2284255
Epoch: 022, Train Loss: 0.4900330, Train Acc: 0.7762238, Test Acc: 0.6607143, Train Cov: 4.2273107
Epoch: 023, Train Loss: 0.4971373, Train Acc: 0.7822178, Test Acc: 0.6250000, Train Cov: 4.2308798
Epoch: 024, Train Loss: 0.4867511, Train Acc: 0.7822178, Test Acc: 0.6517857, Train Cov: 4.2289596
Epoch: 025, Train Loss: 0.4781509, Train Acc: 0.7702298, Test Acc: 0.6428571, Train Cov: 4.2285829
Epoch: 026, Train Loss: 0.4815845, Train Acc: 0.7932068, Test Acc: 0.6785714, Train Cov: 4.2269411
Epoch: 027, Train Loss: 0.4806067, Train Acc: 0.8121878, Test Acc: 0.6964286, Train Cov: 4.2270017
Epoch: 028, Train Loss: 0.4812136, Train Acc: 0.7952048, Test Acc: 0.6517857, Train Cov: 4.2261310
Epoch: 029, Train Loss: 0.4667966, Train Acc: 0.7962038, Test Acc: 0.6339286, Train Cov: 4.2270350
Epoch: 030, Train Loss: 0.4680722, Train Acc: 0.7982018, Test Acc: 0.6785714, Train Cov: 4.2269711
Epoch: 031, Train Loss: 0.4599950, Train Acc: 0.8091908, Test Acc: 0.6696429, Train Cov: 4.2267890
Epoch: 032, Train Loss: 0.4581399, Train Acc: 0.8031968, Test Acc: 0.6785714, Train Cov: 4.2270842
Epoch: 033, Train Loss: 0.4492016, Train Acc: 0.8101898, Test Acc: 0.6607143, Train Cov: 4.2254367
Epoch: 034, Train Loss: 0.4545345, Train Acc: 0.8001998, Test Acc: 0.6428571, Train Cov: 4.2262945
Epoch: 035, Train Loss: 0.4494276, Train Acc: 0.8271728, Test Acc: 0.6428571, Train Cov: 4.2278008
Epoch: 036, Train Loss: 0.4516387, Train Acc: 0.8011988, Test Acc: 0.6250000, Train Cov: 4.2276583
Epoch: 037, Train Loss: 0.4435854, Train Acc: 0.8201798, Test Acc: 0.6875000, Train Cov: 4.2266912
Epoch: 038, Train Loss: 0.4355444, Train Acc: 0.8251748, Test Acc: 0.6696429, Train Cov: 4.2256966
Epoch: 039, Train Loss: 0.4432204, Train Acc: 0.8241758, Test Acc: 0.6696429, Train Cov: 4.2248387
Epoch: 040, Train Loss: 0.4480023, Train Acc: 0.8131868, Test Acc: 0.6428571, Train Cov: 4.2233448
Epoch: 041, Train Loss: 0.4480095, Train Acc: 0.8141858, Test Acc: 0.6250000, Train Cov: 4.2270622
Epoch: 042, Train Loss: 0.4333838, Train Acc: 0.8301698, Test Acc: 0.6964286, Train Cov: 4.2265887
Epoch: 043, Train Loss: 0.4283569, Train Acc: 0.8371628, Test Acc: 0.6428571, Train Cov: 4.2251639
Epoch: 044, Train Loss: 0.4300687, Train Acc: 0.8421578, Test Acc: 0.6607143, Train Cov: 4.2266097
Epoch: 045, Train Loss: 0.4366321, Train Acc: 0.8491508, Test Acc: 0.6785714, Train Cov: 4.2295074
Epoch: 046, Train Loss: 0.4273504, Train Acc: 0.8241758, Test Acc: 0.6875000, Train Cov: 4.2279520
Epoch: 047, Train Loss: 0.4243630, Train Acc: 0.8171828, Test Acc: 0.6428571, Train Cov: 4.2295947
Epoch: 048, Train Loss: 0.4206626, Train Acc: 0.8071928, Test Acc: 0.6250000, Train Cov: 4.2264447
Epoch: 049, Train Loss: 0.4270211, Train Acc: 0.8331668, Test Acc: 0.6517857, Train Cov: 4.2253976
Epoch: 050, Train Loss: 0.4207659, Train Acc: 0.8281718, Test Acc: 0.6607143, Train Cov: 4.2253222
Epoch: 051, Train Loss: 0.4259947, Train Acc: 0.8531469, Test Acc: 0.6875000, Train Cov: 4.2272792
Epoch: 052, Train Loss: 0.4039578, Train Acc: 0.8481518, Test Acc: 0.6339286, Train Cov: 4.2258739
Epoch: 053, Train Loss: 0.3924423, Train Acc: 0.8551449, Test Acc: 0.6607143, Train Cov: 4.2251487
