{'dataset_name': 'PROTEINS', 'seed': 999, 'num_workers': 1, 'cov_weight': 100.0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0001, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'Y', 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': '9eeca9a405b0582243e9e19bd65a785a163a481b', 'time_stamp': '1613919369', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=9eeca9a405b0582243e9e19bd65a785a163a481b
Epoch: 001, Train Loss: 425.9944374, Train Acc: 0.5604396, Test Acc: 0.5267857, Train Cov: 4.2530251
Epoch: 002, Train Loss: 422.7343939, Train Acc: 0.6443556, Test Acc: 0.5892857, Train Cov: 4.2206836
Epoch: 003, Train Loss: 421.1042564, Train Acc: 0.6323676, Test Acc: 0.5714286, Train Cov: 4.2046418
Epoch: 004, Train Loss: 419.4065886, Train Acc: 0.5064935, Test Acc: 0.4375000, Train Cov: 4.1877737
Epoch: 005, Train Loss: 418.3052758, Train Acc: 0.5724276, Test Acc: 0.4910714, Train Cov: 4.1768312
Epoch: 006, Train Loss: 417.6135654, Train Acc: 0.6513487, Test Acc: 0.5625000, Train Cov: 4.1699076
Epoch: 007, Train Loss: 416.6596169, Train Acc: 0.5324675, Test Acc: 0.5089286, Train Cov: 4.1605091
Epoch: 008, Train Loss: 415.9656310, Train Acc: 0.4655345, Test Acc: 0.5089286, Train Cov: 4.1535730
Epoch: 009, Train Loss: 415.3997808, Train Acc: 0.5934066, Test Acc: 0.5446429, Train Cov: 4.1480193
Epoch: 010, Train Loss: 415.0201955, Train Acc: 0.6103896, Test Acc: 0.5000000, Train Cov: 4.1442719
Epoch: 011, Train Loss: 414.6207472, Train Acc: 0.5274725, Test Acc: 0.5000000, Train Cov: 4.1402822
Epoch: 012, Train Loss: 413.7579847, Train Acc: 0.6763237, Test Acc: 0.5714286, Train Cov: 4.1317630
Epoch: 013, Train Loss: 413.5141152, Train Acc: 0.6933067, Test Acc: 0.5982143, Train Cov: 4.1292095
Epoch: 014, Train Loss: 413.0546551, Train Acc: 0.5524476, Test Acc: 0.5714286, Train Cov: 4.1247721
Epoch: 015, Train Loss: 412.7359479, Train Acc: 0.6023976, Test Acc: 0.5535714, Train Cov: 4.1214843
Epoch: 016, Train Loss: 412.3711388, Train Acc: 0.5564436, Test Acc: 0.4910714, Train Cov: 4.1179838
Epoch: 017, Train Loss: 411.7807342, Train Acc: 0.5434565, Test Acc: 0.5000000, Train Cov: 4.1120639
Epoch: 018, Train Loss: 411.4507107, Train Acc: 0.5484515, Test Acc: 0.5178571, Train Cov: 4.1087270
Epoch: 019, Train Loss: 411.1632106, Train Acc: 0.7052947, Test Acc: 0.6160714, Train Cov: 4.1058993
Epoch: 020, Train Loss: 410.9478802, Train Acc: 0.4535465, Test Acc: 0.4821429, Train Cov: 4.1037097
Epoch: 021, Train Loss: 410.1214483, Train Acc: 0.6583417, Test Acc: 0.5982143, Train Cov: 4.0955167
Epoch: 022, Train Loss: 409.5762073, Train Acc: 0.7052947, Test Acc: 0.5982143, Train Cov: 4.0901041
Epoch: 023, Train Loss: 410.2136299, Train Acc: 0.6993007, Test Acc: 0.6250000, Train Cov: 4.0964332
Epoch: 024, Train Loss: 409.3308286, Train Acc: 0.7132867, Test Acc: 0.6339286, Train Cov: 4.0876555
Epoch: 025, Train Loss: 408.9628424, Train Acc: 0.6833167, Test Acc: 0.6250000, Train Cov: 4.0839763
Epoch: 026, Train Loss: 408.8777329, Train Acc: 0.7262737, Test Acc: 0.6071429, Train Cov: 4.0830774
Epoch: 027, Train Loss: 408.2593385, Train Acc: 0.5684316, Test Acc: 0.6071429, Train Cov: 4.0770388
Epoch: 028, Train Loss: 407.8883093, Train Acc: 0.7402597, Test Acc: 0.6428571, Train Cov: 4.0733814
Epoch: 029, Train Loss: 407.4388178, Train Acc: 0.7202797, Test Acc: 0.6160714, Train Cov: 4.0689363
Epoch: 030, Train Loss: 407.1880826, Train Acc: 0.7102897, Test Acc: 0.6160714, Train Cov: 4.0664086
Epoch: 031, Train Loss: 406.8934025, Train Acc: 0.6433566, Test Acc: 0.5267857, Train Cov: 4.0634665
Epoch: 032, Train Loss: 406.7967773, Train Acc: 0.7182817, Test Acc: 0.6071429, Train Cov: 4.0624905
Epoch: 033, Train Loss: 406.2965571, Train Acc: 0.6833167, Test Acc: 0.6160714, Train Cov: 4.0575495
Epoch: 034, Train Loss: 405.9468581, Train Acc: 0.7222777, Test Acc: 0.6339286, Train Cov: 4.0540719
Epoch: 035, Train Loss: 405.9846033, Train Acc: 0.7152847, Test Acc: 0.6160714, Train Cov: 4.0544119
Epoch: 036, Train Loss: 405.5606412, Train Acc: 0.5564436, Test Acc: 0.5625000, Train Cov: 4.0502510
Epoch: 037, Train Loss: 405.2382563, Train Acc: 0.7002997, Test Acc: 0.6339286, Train Cov: 4.0469904
Epoch: 038, Train Loss: 404.9774737, Train Acc: 0.7342657, Test Acc: 0.6339286, Train Cov: 4.0443988
Epoch: 039, Train Loss: 404.6146710, Train Acc: 0.6963037, Test Acc: 0.6250000, Train Cov: 4.0407677
Epoch: 040, Train Loss: 404.1418110, Train Acc: 0.7422577, Test Acc: 0.6428571, Train Cov: 4.0361328
Epoch: 041, Train Loss: 404.4053303, Train Acc: 0.7392607, Test Acc: 0.6428571, Train Cov: 4.0387311
Epoch: 042, Train Loss: 403.8577623, Train Acc: 0.7312687, Test Acc: 0.6339286, Train Cov: 4.0332589
