{'dataset_name': 'PROTEINS', 'seed': 999, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 1501, 'learning_rate': 0.0001, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'Y', 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': '9eeca9a405b0582243e9e19bd65a785a163a481b', 'time_stamp': '1613919387', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=9eeca9a405b0582243e9e19bd65a785a163a481b
Epoch: 001, Train Loss: 0.6836179, Train Acc: 0.6323676, Test Acc: 0.6250000, Train Cov: 4.2773619
Epoch: 002, Train Loss: 0.6281104, Train Acc: 0.5604396, Test Acc: 0.5357143, Train Cov: 4.2782550
Epoch: 003, Train Loss: 0.6201454, Train Acc: 0.6423576, Test Acc: 0.5892857, Train Cov: 4.2832136
Epoch: 004, Train Loss: 0.6008635, Train Acc: 0.6703297, Test Acc: 0.5714286, Train Cov: 4.2812405
Epoch: 005, Train Loss: 0.5900038, Train Acc: 0.6743257, Test Acc: 0.5714286, Train Cov: 4.2806902
Epoch: 006, Train Loss: 0.5980783, Train Acc: 0.6733267, Test Acc: 0.6160714, Train Cov: 4.2798367
Epoch: 007, Train Loss: 0.5808045, Train Acc: 0.7042957, Test Acc: 0.6339286, Train Cov: 4.2758589
Epoch: 008, Train Loss: 0.5784167, Train Acc: 0.6283716, Test Acc: 0.5535714, Train Cov: 4.2756686
Epoch: 009, Train Loss: 0.5786354, Train Acc: 0.7292707, Test Acc: 0.6071429, Train Cov: 4.2763872
Epoch: 010, Train Loss: 0.5768204, Train Acc: 0.6963037, Test Acc: 0.6250000, Train Cov: 4.2768273
Epoch: 011, Train Loss: 0.5666337, Train Acc: 0.7132867, Test Acc: 0.5892857, Train Cov: 4.2750487
Epoch: 012, Train Loss: 0.5662329, Train Acc: 0.7272727, Test Acc: 0.5892857, Train Cov: 4.2716908
Epoch: 013, Train Loss: 0.5680642, Train Acc: 0.6973027, Test Acc: 0.5803571, Train Cov: 4.2721934
Epoch: 014, Train Loss: 0.5685280, Train Acc: 0.7182817, Test Acc: 0.6428571, Train Cov: 4.2712936
Epoch: 015, Train Loss: 0.5753554, Train Acc: 0.7302697, Test Acc: 0.5982143, Train Cov: 4.2725201
Epoch: 016, Train Loss: 0.5627329, Train Acc: 0.7162837, Test Acc: 0.5982143, Train Cov: 4.2728024
Epoch: 017, Train Loss: 0.5627705, Train Acc: 0.7162837, Test Acc: 0.6160714, Train Cov: 4.2718730
Epoch: 018, Train Loss: 0.5541736, Train Acc: 0.7312687, Test Acc: 0.6071429, Train Cov: 4.2724619
Epoch: 019, Train Loss: 0.5607770, Train Acc: 0.7422577, Test Acc: 0.6339286, Train Cov: 4.2743063
Epoch: 020, Train Loss: 0.5579829, Train Acc: 0.6963037, Test Acc: 0.5714286, Train Cov: 4.2747564
Epoch: 021, Train Loss: 0.5487882, Train Acc: 0.7512488, Test Acc: 0.6071429, Train Cov: 4.2736359
Epoch: 022, Train Loss: 0.5483351, Train Acc: 0.7162837, Test Acc: 0.6071429, Train Cov: 4.2747612
Epoch: 023, Train Loss: 0.5613175, Train Acc: 0.7422577, Test Acc: 0.6250000, Train Cov: 4.2794881
Epoch: 024, Train Loss: 0.5508094, Train Acc: 0.7392607, Test Acc: 0.5892857, Train Cov: 4.2769494
Epoch: 025, Train Loss: 0.5462961, Train Acc: 0.7112887, Test Acc: 0.5892857, Train Cov: 4.2769499
Epoch: 026, Train Loss: 0.5463707, Train Acc: 0.7342657, Test Acc: 0.5892857, Train Cov: 4.2773833
Epoch: 027, Train Loss: 0.5411265, Train Acc: 0.7022977, Test Acc: 0.5892857, Train Cov: 4.2768135
Epoch: 028, Train Loss: 0.5519099, Train Acc: 0.7272727, Test Acc: 0.5892857, Train Cov: 4.2742763
Epoch: 029, Train Loss: 0.5452162, Train Acc: 0.7352647, Test Acc: 0.6071429, Train Cov: 4.2749000
Epoch: 030, Train Loss: 0.5356857, Train Acc: 0.7432567, Test Acc: 0.6071429, Train Cov: 4.2753363
Epoch: 031, Train Loss: 0.5290259, Train Acc: 0.7462537, Test Acc: 0.6160714, Train Cov: 4.2756801
Epoch: 032, Train Loss: 0.5374818, Train Acc: 0.7342657, Test Acc: 0.6250000, Train Cov: 4.2769156
Epoch: 033, Train Loss: 0.5307257, Train Acc: 0.7382617, Test Acc: 0.6071429, Train Cov: 4.2748775
Epoch: 034, Train Loss: 0.5393586, Train Acc: 0.7512488, Test Acc: 0.6071429, Train Cov: 4.2754049
Epoch: 035, Train Loss: 0.5373851, Train Acc: 0.7432567, Test Acc: 0.6160714, Train Cov: 4.2766185
Epoch: 036, Train Loss: 0.5304817, Train Acc: 0.7522478, Test Acc: 0.6071429, Train Cov: 4.2741771
Epoch: 037, Train Loss: 0.5306934, Train Acc: 0.7532468, Test Acc: 0.6071429, Train Cov: 4.2732706
Epoch: 038, Train Loss: 0.5261053, Train Acc: 0.7462537, Test Acc: 0.6071429, Train Cov: 4.2749329
Epoch: 039, Train Loss: 0.5364633, Train Acc: 0.7332667, Test Acc: 0.6160714, Train Cov: 4.2745404
Epoch: 040, Train Loss: 0.5235386, Train Acc: 0.7442557, Test Acc: 0.6428571, Train Cov: 4.2734628
Epoch: 041, Train Loss: 0.5377057, Train Acc: 0.7572428, Test Acc: 0.6250000, Train Cov: 4.2767978
Epoch: 042, Train Loss: 0.5361842, Train Acc: 0.7442557, Test Acc: 0.6250000, Train Cov: 4.2751551
Epoch: 043, Train Loss: 0.5281060, Train Acc: 0.7352647, Test Acc: 0.5892857, Train Cov: 4.2747927
Epoch: 044, Train Loss: 0.5230945, Train Acc: 0.7512488, Test Acc: 0.6517857, Train Cov: 4.2763691
Epoch: 045, Train Loss: 0.5333655, Train Acc: 0.7562438, Test Acc: 0.6250000, Train Cov: 4.2781620
Epoch: 046, Train Loss: 0.5240945, Train Acc: 0.7412587, Test Acc: 0.6250000, Train Cov: 4.2768273
