{'dataset_name': 'PROTEINS', 'seed': 999, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 2, 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': 'd31103d6042fcfe0c20783c1dd8565372223d04a', 'time_stamp': '1614138032', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=d31103d6042fcfe0c20783c1dd8565372223d04a
Epoch: 001, Train Loss: 0.6852805, Train Acc: 0.6033966, Test Acc: 0.5625000, Train Cov: 4.4678102
Epoch: 002, Train Loss: 0.6289239, Train Acc: 0.6063936, Test Acc: 0.5714286, Train Cov: 4.4075379
Epoch: 003, Train Loss: 0.6119238, Train Acc: 0.6323676, Test Acc: 0.6250000, Train Cov: 4.3719659
Epoch: 004, Train Loss: 0.5931014, Train Acc: 0.6563437, Test Acc: 0.6607143, Train Cov: 4.3536916
Epoch: 005, Train Loss: 0.5668873, Train Acc: 0.6933067, Test Acc: 0.6250000, Train Cov: 4.3411717
Epoch: 006, Train Loss: 0.5534815, Train Acc: 0.7232767, Test Acc: 0.6160714, Train Cov: 4.3205028
Epoch: 007, Train Loss: 0.5550440, Train Acc: 0.7102897, Test Acc: 0.6339286, Train Cov: 4.3264713
Epoch: 008, Train Loss: 0.5621403, Train Acc: 0.7042957, Test Acc: 0.6339286, Train Cov: 4.3321052
Epoch: 009, Train Loss: 0.5507146, Train Acc: 0.7312687, Test Acc: 0.6339286, Train Cov: 4.3334785
Epoch: 010, Train Loss: 0.5279688, Train Acc: 0.7182817, Test Acc: 0.6785714, Train Cov: 4.3259368
Epoch: 011, Train Loss: 0.5351265, Train Acc: 0.7502498, Test Acc: 0.6160714, Train Cov: 4.3111196
