{'dataset_name': 'PROTEINS', 'seed': 999, 'num_workers': 1, 'cov_weight': 100.0, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 2, 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': 'd31103d6042fcfe0c20783c1dd8565372223d04a', 'time_stamp': '1614138052', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=d31103d6042fcfe0c20783c1dd8565372223d04a
Epoch: 001, Train Loss: 404.2321380, Train Acc: 0.6153846, Test Acc: 0.5803571, Train Cov: 4.0355964
Epoch: 002, Train Loss: 313.3942713, Train Acc: 0.6203796, Test Acc: 0.5892857, Train Cov: 3.1279218
Epoch: 003, Train Loss: 244.5795903, Train Acc: 0.6023976, Test Acc: 0.5535714, Train Cov: 2.4399085
Epoch: 004, Train Loss: 197.6528335, Train Acc: 0.7012987, Test Acc: 0.6250000, Train Cov: 1.9707203
Epoch: 005, Train Loss: 166.7958490, Train Acc: 0.7112887, Test Acc: 0.6428571, Train Cov: 1.6624075
Epoch: 006, Train Loss: 142.1703217, Train Acc: 0.7102897, Test Acc: 0.6250000, Train Cov: 1.4162546
Epoch: 007, Train Loss: 124.8328839, Train Acc: 0.6933067, Test Acc: 0.5982143, Train Cov: 1.2428507
Epoch: 008, Train Loss: 112.9059128, Train Acc: 0.7122877, Test Acc: 0.6428571, Train Cov: 1.1235253
Epoch: 009, Train Loss: 101.9540006, Train Acc: 0.6893107, Test Acc: 0.6517857, Train Cov: 1.0141850
Epoch: 010, Train Loss: 93.9608999, Train Acc: 0.7142857, Test Acc: 0.6517857, Train Cov: 0.9342550
Epoch: 011, Train Loss: 85.0227135, Train Acc: 0.7442557, Test Acc: 0.6875000, Train Cov: 0.8449211
Epoch: 012, Train Loss: 77.3653915, Train Acc: 0.7372627, Test Acc: 0.6964286, Train Cov: 0.7684222
Epoch: 013, Train Loss: 72.6666150, Train Acc: 0.7492507, Test Acc: 0.6250000, Train Cov: 0.7214993
Epoch: 014, Train Loss: 67.6036509, Train Acc: 0.7462537, Test Acc: 0.6160714, Train Cov: 0.6709719
Epoch: 015, Train Loss: 64.7669981, Train Acc: 0.7342657, Test Acc: 0.6160714, Train Cov: 0.6425849
Epoch: 016, Train Loss: 59.7110843, Train Acc: 0.7562438, Test Acc: 0.6607143, Train Cov: 0.5919693
Epoch: 017, Train Loss: 57.6568309, Train Acc: 0.7422577, Test Acc: 0.6428571, Train Cov: 0.5715572
Epoch: 018, Train Loss: 53.9158182, Train Acc: 0.7592408, Test Acc: 0.6250000, Train Cov: 0.5342420
Epoch: 019, Train Loss: 50.3336415, Train Acc: 0.7392607, Test Acc: 0.6339286, Train Cov: 0.4984343
Epoch: 020, Train Loss: 48.8206964, Train Acc: 0.7692308, Test Acc: 0.6785714, Train Cov: 0.4833577
Epoch: 021, Train Loss: 47.9537433, Train Acc: 0.7162837, Test Acc: 0.6160714, Train Cov: 0.4746065
Epoch: 022, Train Loss: 45.7417458, Train Acc: 0.7672328, Test Acc: 0.6785714, Train Cov: 0.4525256
Epoch: 023, Train Loss: 41.7858105, Train Acc: 0.7682318, Test Acc: 0.6696429, Train Cov: 0.4131341
Epoch: 024, Train Loss: 40.4506885, Train Acc: 0.7842158, Test Acc: 0.6160714, Train Cov: 0.3997687
Epoch: 025, Train Loss: 39.2406862, Train Acc: 0.7702298, Test Acc: 0.6250000, Train Cov: 0.3877293
Epoch: 026, Train Loss: 37.4454396, Train Acc: 0.7922078, Test Acc: 0.6517857, Train Cov: 0.3698674
Epoch: 027, Train Loss: 37.0523118, Train Acc: 0.7992008, Test Acc: 0.6696429, Train Cov: 0.3658398
Epoch: 028, Train Loss: 36.5273724, Train Acc: 0.7882118, Test Acc: 0.6160714, Train Cov: 0.3606267
Epoch: 029, Train Loss: 34.8327057, Train Acc: 0.8031968, Test Acc: 0.6339286, Train Cov: 0.3437788
Epoch: 030, Train Loss: 32.5029816, Train Acc: 0.7882118, Test Acc: 0.6250000, Train Cov: 0.3206246
Epoch: 031, Train Loss: 31.6660788, Train Acc: 0.8221778, Test Acc: 0.6696429, Train Cov: 0.3122543
Epoch: 032, Train Loss: 31.4830822, Train Acc: 0.7842158, Test Acc: 0.6517857, Train Cov: 0.3103960
Epoch: 033, Train Loss: 31.6449636, Train Acc: 0.7922078, Test Acc: 0.6785714, Train Cov: 0.3120383
Epoch: 034, Train Loss: 29.6306519, Train Acc: 0.8041958, Test Acc: 0.6428571, Train Cov: 0.2917942
Epoch: 035, Train Loss: 29.1371950, Train Acc: 0.7982018, Test Acc: 0.6517857, Train Cov: 0.2869504
Epoch: 036, Train Loss: 28.8307211, Train Acc: 0.7912088, Test Acc: 0.6607143, Train Cov: 0.2838877
Epoch: 037, Train Loss: 28.1007596, Train Acc: 0.7982018, Test Acc: 0.6160714, Train Cov: 0.2766005
Epoch: 038, Train Loss: 26.5541553, Train Acc: 0.7932068, Test Acc: 0.6160714, Train Cov: 0.2612107
Epoch: 039, Train Loss: 27.4949159, Train Acc: 0.7842158, Test Acc: 0.6517857, Train Cov: 0.2706383
Epoch: 040, Train Loss: 27.0355091, Train Acc: 0.8161838, Test Acc: 0.6964286, Train Cov: 0.2659175
Epoch: 041, Train Loss: 26.0976277, Train Acc: 0.8081918, Test Acc: 0.6785714, Train Cov: 0.2566886
Epoch: 042, Train Loss: 24.9978365, Train Acc: 0.8011988, Test Acc: 0.6517857, Train Cov: 0.2456299
Epoch: 043, Train Loss: 24.9020908, Train Acc: 0.8181818, Test Acc: 0.6517857, Train Cov: 0.2448048
Epoch: 044, Train Loss: 25.3332170, Train Acc: 0.8051948, Test Acc: 0.6517857, Train Cov: 0.2491246
Epoch: 045, Train Loss: 23.5413848, Train Acc: 0.8211788, Test Acc: 0.6339286, Train Cov: 0.2312373
Epoch: 046, Train Loss: 23.4912555, Train Acc: 0.8091908, Test Acc: 0.6785714, Train Cov: 0.2306795
