{'dataset_name': 'PROTEINS', 'seed': 999, 'num_workers': 1, 'cov_weight': 100.0, 'hyperparams': {'batch_size': 128, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 2, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 2, 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': 'd31103d6042fcfe0c20783c1dd8565372223d04a', 'time_stamp': '1614139536', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=d31103d6042fcfe0c20783c1dd8565372223d04a
Epoch: 001, Train Loss: 401.1192881, Train Acc: 0.6473526, Test Acc: 0.5892857, Train Cov: 4.0040774
Epoch: 002, Train Loss: 304.1005704, Train Acc: 0.6573427, Test Acc: 0.5714286, Train Cov: 3.0348058
Epoch: 003, Train Loss: 235.2235594, Train Acc: 0.4415584, Test Acc: 0.5000000, Train Cov: 2.3462567
Epoch: 004, Train Loss: 188.8772297, Train Acc: 0.6663337, Test Acc: 0.5714286, Train Cov: 1.8828989
Epoch: 005, Train Loss: 158.7814719, Train Acc: 0.6893107, Test Acc: 0.5892857, Train Cov: 1.5820898
Epoch: 006, Train Loss: 134.8532081, Train Acc: 0.4125874, Test Acc: 0.4375000, Train Cov: 1.3427577
Epoch: 007, Train Loss: 118.3660292, Train Acc: 0.5814186, Test Acc: 0.5803571, Train Cov: 1.1779583
Epoch: 008, Train Loss: 107.9467694, Train Acc: 0.7052947, Test Acc: 0.5982143, Train Cov: 1.0737799
Epoch: 009, Train Loss: 97.4179626, Train Acc: 0.7192807, Test Acc: 0.6250000, Train Cov: 0.9686515
Epoch: 010, Train Loss: 90.8298388, Train Acc: 0.6073926, Test Acc: 0.5982143, Train Cov: 0.9026853
Epoch: 011, Train Loss: 82.8640081, Train Acc: 0.7072927, Test Acc: 0.5803571, Train Cov: 0.8230925
Epoch: 012, Train Loss: 75.7647801, Train Acc: 0.7182817, Test Acc: 0.5982143, Train Cov: 0.7521642
Epoch: 013, Train Loss: 71.7350086, Train Acc: 0.7272727, Test Acc: 0.6250000, Train Cov: 0.7118725
Epoch: 014, Train Loss: 67.1518022, Train Acc: 0.7242757, Test Acc: 0.6160714, Train Cov: 0.6661994
Epoch: 015, Train Loss: 65.6680301, Train Acc: 0.7272727, Test Acc: 0.6250000, Train Cov: 0.6512654
Epoch: 016, Train Loss: 60.4778370, Train Acc: 0.7432567, Test Acc: 0.6607143, Train Cov: 0.5993243
Epoch: 017, Train Loss: 58.9443767, Train Acc: 0.7352647, Test Acc: 0.6339286, Train Cov: 0.5840178
Epoch: 018, Train Loss: 55.7968148, Train Acc: 0.7322677, Test Acc: 0.6696429, Train Cov: 0.5526335
Epoch: 019, Train Loss: 51.9009037, Train Acc: 0.7262737, Test Acc: 0.6160714, Train Cov: 0.5136611
Epoch: 020, Train Loss: 50.6182097, Train Acc: 0.7532468, Test Acc: 0.6517857, Train Cov: 0.5009615
Epoch: 021, Train Loss: 49.8437942, Train Acc: 0.7402597, Test Acc: 0.6250000, Train Cov: 0.4931224
Epoch: 022, Train Loss: 47.6668612, Train Acc: 0.7482517, Test Acc: 0.6339286, Train Cov: 0.4714756
Epoch: 023, Train Loss: 43.8928539, Train Acc: 0.7462537, Test Acc: 0.6339286, Train Cov: 0.4337415
Epoch: 024, Train Loss: 42.8437916, Train Acc: 0.7462537, Test Acc: 0.6339286, Train Cov: 0.4232277
Epoch: 025, Train Loss: 41.9643038, Train Acc: 0.7452547, Test Acc: 0.6339286, Train Cov: 0.4144438
Epoch: 026, Train Loss: 40.1937278, Train Acc: 0.7532468, Test Acc: 0.6428571, Train Cov: 0.3968408
Epoch: 027, Train Loss: 40.4981296, Train Acc: 0.7432567, Test Acc: 0.6339286, Train Cov: 0.3998851
Epoch: 028, Train Loss: 40.1717010, Train Acc: 0.7522478, Test Acc: 0.6250000, Train Cov: 0.3966260
Epoch: 029, Train Loss: 38.6179897, Train Acc: 0.7662338, Test Acc: 0.6339286, Train Cov: 0.3809903
Epoch: 030, Train Loss: 36.1518481, Train Acc: 0.7652348, Test Acc: 0.6607143, Train Cov: 0.3564767
Epoch: 031, Train Loss: 35.4679384, Train Acc: 0.7702298, Test Acc: 0.6428571, Train Cov: 0.3496250
Epoch: 032, Train Loss: 35.2012072, Train Acc: 0.7882118, Test Acc: 0.6785714, Train Cov: 0.3470424
Epoch: 033, Train Loss: 35.9869675, Train Acc: 0.7772228, Test Acc: 0.6428571, Train Cov: 0.3547982
Epoch: 034, Train Loss: 33.7011371, Train Acc: 0.7732268, Test Acc: 0.6250000, Train Cov: 0.3321346
Epoch: 035, Train Loss: 33.3385745, Train Acc: 0.7682318, Test Acc: 0.6339286, Train Cov: 0.3283718
Epoch: 036, Train Loss: 33.0353611, Train Acc: 0.7702298, Test Acc: 0.6428571, Train Cov: 0.3254165
