{'dataset_name': 'PROTEINS', 'seed': 999, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'exp_nonlinear': 'LeakyR0', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'ReLU', 'aggr': 'add'}, 'commit_id': 'd31103d6042fcfe0c20783c1dd8565372223d04a', 'time_stamp': '1614143637', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=d31103d6042fcfe0c20783c1dd8565372223d04a
Epoch: 001, Train Loss: 0.6456145, Train Acc: 0.5974026, Test Acc: 0.5625000, Train Cov: 3.8845921
Epoch: 002, Train Loss: 0.6100862, Train Acc: 0.6373626, Test Acc: 0.5714286, Train Cov: 3.6809692
Epoch: 003, Train Loss: 0.6039144, Train Acc: 0.6943057, Test Acc: 0.5892857, Train Cov: 3.5338800
Epoch: 004, Train Loss: 0.5922531, Train Acc: 0.7132867, Test Acc: 0.6250000, Train Cov: 3.4688816
Epoch: 005, Train Loss: 0.5692659, Train Acc: 0.7342657, Test Acc: 0.6160714, Train Cov: 3.4534128
Epoch: 006, Train Loss: 0.5673334, Train Acc: 0.7422577, Test Acc: 0.6071429, Train Cov: 3.4930573
Epoch: 007, Train Loss: 0.5603467, Train Acc: 0.7062937, Test Acc: 0.6339286, Train Cov: 3.5583727
Epoch: 008, Train Loss: 0.5525230, Train Acc: 0.6923077, Test Acc: 0.6428571, Train Cov: 3.5867362
Epoch: 009, Train Loss: 0.5452862, Train Acc: 0.6573427, Test Acc: 0.5803571, Train Cov: 3.5621271
Epoch: 010, Train Loss: 0.5619987, Train Acc: 0.7032967, Test Acc: 0.6250000, Train Cov: 3.5158103
Epoch: 011, Train Loss: 0.5435537, Train Acc: 0.7322677, Test Acc: 0.6071429, Train Cov: 3.5355203
Epoch: 012, Train Loss: 0.5503199, Train Acc: 0.7262737, Test Acc: 0.6607143, Train Cov: 3.5037072
Epoch: 013, Train Loss: 0.5406327, Train Acc: 0.6813187, Test Acc: 0.6517857, Train Cov: 3.4455369
Epoch: 014, Train Loss: 0.5420049, Train Acc: 0.6913087, Test Acc: 0.5982143, Train Cov: 3.4199567
Epoch: 015, Train Loss: 0.5472170, Train Acc: 0.7232767, Test Acc: 0.6517857, Train Cov: 3.4009078
