{'dataset_name': 'PROTEINS', 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 1501, 'learning_rate': 0.0001, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': 'd31103d6042fcfe0c20783c1dd8565372223d04a', 'time_stamp': '1614145081', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=d31103d6042fcfe0c20783c1dd8565372223d04a
Epoch: 001, Train Loss: 0.6449156, Train Acc: 0.5944056, Test Acc: 0.6250000, Train Cov: 3.8394010
Epoch: 002, Train Loss: 0.6275945, Train Acc: 0.6123876, Test Acc: 0.6160714, Train Cov: 3.8454695
Epoch: 003, Train Loss: 0.6169053, Train Acc: 0.6793207, Test Acc: 0.6785714, Train Cov: 3.8434768
Epoch: 004, Train Loss: 0.6085589, Train Acc: 0.6503497, Test Acc: 0.6250000, Train Cov: 3.8411791
Epoch: 005, Train Loss: 0.6039839, Train Acc: 0.6943057, Test Acc: 0.7053571, Train Cov: 3.8492815
Epoch: 006, Train Loss: 0.5934554, Train Acc: 0.6733267, Test Acc: 0.6964286, Train Cov: 3.8522902
Epoch: 007, Train Loss: 0.5889242, Train Acc: 0.6183816, Test Acc: 0.6160714, Train Cov: 3.8540928
Epoch: 008, Train Loss: 0.5799617, Train Acc: 0.6873127, Test Acc: 0.6517857, Train Cov: 3.8476052
Epoch: 009, Train Loss: 0.5897344, Train Acc: 0.6643357, Test Acc: 0.6875000, Train Cov: 3.8440025
Epoch: 010, Train Loss: 0.5876656, Train Acc: 0.6713287, Test Acc: 0.6428571, Train Cov: 3.8395357
Epoch: 011, Train Loss: 0.5861509, Train Acc: 0.6623377, Test Acc: 0.6875000, Train Cov: 3.8448262
Epoch: 012, Train Loss: 0.5894947, Train Acc: 0.7122877, Test Acc: 0.7232143, Train Cov: 3.8103621
Epoch: 013, Train Loss: 0.5809273, Train Acc: 0.7172827, Test Acc: 0.6785714, Train Cov: 3.8008015
Epoch: 014, Train Loss: 0.5851246, Train Acc: 0.7142857, Test Acc: 0.6339286, Train Cov: 3.8062084
Epoch: 015, Train Loss: 0.5783147, Train Acc: 0.7102897, Test Acc: 0.6696429, Train Cov: 3.7954116
Epoch: 016, Train Loss: 0.5759740, Train Acc: 0.6883117, Test Acc: 0.6339286, Train Cov: 3.7875319
Epoch: 017, Train Loss: 0.5793255, Train Acc: 0.7332667, Test Acc: 0.7142857, Train Cov: 3.7886178
Epoch: 018, Train Loss: 0.5711313, Train Acc: 0.6763237, Test Acc: 0.7053571, Train Cov: 3.7858915
Epoch: 019, Train Loss: 0.5724103, Train Acc: 0.7092907, Test Acc: 0.7321429, Train Cov: 3.7621655
Epoch: 020, Train Loss: 0.5545491, Train Acc: 0.6863137, Test Acc: 0.6696429, Train Cov: 3.7679183
Epoch: 021, Train Loss: 0.5732957, Train Acc: 0.7152847, Test Acc: 0.7142857, Train Cov: 3.7690437
Epoch: 022, Train Loss: 0.5592431, Train Acc: 0.6833167, Test Acc: 0.6785714, Train Cov: 3.7571800
Epoch: 023, Train Loss: 0.5679314, Train Acc: 0.7302697, Test Acc: 0.6964286, Train Cov: 3.7537856
Epoch: 024, Train Loss: 0.5666125, Train Acc: 0.7372627, Test Acc: 0.6875000, Train Cov: 3.7562687
Epoch: 025, Train Loss: 0.5658007, Train Acc: 0.7362637, Test Acc: 0.6964286, Train Cov: 3.7604482
Epoch: 026, Train Loss: 0.5702714, Train Acc: 0.7102897, Test Acc: 0.6785714, Train Cov: 3.7537723
Epoch: 027, Train Loss: 0.5610059, Train Acc: 0.7322677, Test Acc: 0.7589286, Train Cov: 3.7502711
Epoch: 028, Train Loss: 0.5577152, Train Acc: 0.7172827, Test Acc: 0.7142857, Train Cov: 3.7424924
Epoch: 029, Train Loss: 0.5644425, Train Acc: 0.6803197, Test Acc: 0.6696429, Train Cov: 3.7410400
Epoch: 030, Train Loss: 0.5594747, Train Acc: 0.7212787, Test Acc: 0.6696429, Train Cov: 3.7325132
Epoch: 031, Train Loss: 0.5595040, Train Acc: 0.7292707, Test Acc: 0.7232143, Train Cov: 3.7427151
Epoch: 032, Train Loss: 0.5692900, Train Acc: 0.7012987, Test Acc: 0.6964286, Train Cov: 3.7370315
Epoch: 033, Train Loss: 0.5682291, Train Acc: 0.7322677, Test Acc: 0.6964286, Train Cov: 3.7153862
Epoch: 034, Train Loss: 0.5551832, Train Acc: 0.7202797, Test Acc: 0.6964286, Train Cov: 3.7133439
Epoch: 035, Train Loss: 0.5537569, Train Acc: 0.7262737, Test Acc: 0.6875000, Train Cov: 3.7117164
Epoch: 036, Train Loss: 0.5474278, Train Acc: 0.6663337, Test Acc: 0.5714286, Train Cov: 3.7193978
Epoch: 037, Train Loss: 0.5508808, Train Acc: 0.7232767, Test Acc: 0.7321429, Train Cov: 3.7157140
Epoch: 038, Train Loss: 0.5541892, Train Acc: 0.7212787, Test Acc: 0.7321429, Train Cov: 3.7073672
Epoch: 039, Train Loss: 0.5633153, Train Acc: 0.7082917, Test Acc: 0.6785714, Train Cov: 3.7085240
Epoch: 040, Train Loss: 0.5630862, Train Acc: 0.6823177, Test Acc: 0.6607143, Train Cov: 3.7092280
Epoch: 041, Train Loss: 0.5530857, Train Acc: 0.7312687, Test Acc: 0.6785714, Train Cov: 3.6926820
Epoch: 042, Train Loss: 0.5412685, Train Acc: 0.7242757, Test Acc: 0.7232143, Train Cov: 3.6869686
Epoch: 043, Train Loss: 0.5623572, Train Acc: 0.6933067, Test Acc: 0.6696429, Train Cov: 3.6847262
Epoch: 044, Train Loss: 0.5580563, Train Acc: 0.7342657, Test Acc: 0.6428571, Train Cov: 3.6871223
Epoch: 045, Train Loss: 0.5510492, Train Acc: 0.7252747, Test Acc: 0.7321429, Train Cov: 3.6807983
Epoch: 046, Train Loss: 0.5391671, Train Acc: 0.7362637, Test Acc: 0.7410714, Train Cov: 3.6699038
Epoch: 047, Train Loss: 0.5422053, Train Acc: 0.7352647, Test Acc: 0.7142857, Train Cov: 3.6821334
Epoch: 048, Train Loss: 0.5450728, Train Acc: 0.7282717, Test Acc: 0.7232143, Train Cov: 3.6751568
