{'dataset_name': 'PROTEINS', 'num_workers': 1, 'cov_weight': 100.0, 'hyperparams': {'batch_size': 64, 'epochs': 1501, 'learning_rate': 0.0001, 'step_size': 100, 'decay_rate': 0.8}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'exp_nonlinear': 'Tanh', 'exp_bn': 'N', 'mlp_n': 1, 'mlp_nonlinear': 'Tanh', 'aggr': 'add'}, 'commit_id': 'd31103d6042fcfe0c20783c1dd8565372223d04a', 'time_stamp': '1614145100', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=d31103d6042fcfe0c20783c1dd8565372223d04a
Epoch: 001, Train Loss: 358.8228733, Train Acc: 0.6073926, Test Acc: 0.5892857, Train Cov: 3.5808487
Epoch: 002, Train Loss: 321.6295060, Train Acc: 0.6583417, Test Acc: 0.5625000, Train Cov: 3.2096436
Epoch: 003, Train Loss: 294.4503404, Train Acc: 0.6623377, Test Acc: 0.5625000, Train Cov: 2.9382024
Epoch: 004, Train Loss: 273.8464743, Train Acc: 0.6843157, Test Acc: 0.5982143, Train Cov: 2.7324214
Epoch: 005, Train Loss: 255.4588214, Train Acc: 0.6873127, Test Acc: 0.5892857, Train Cov: 2.5486019
Epoch: 006, Train Loss: 240.3270652, Train Acc: 0.6843157, Test Acc: 0.5892857, Train Cov: 2.3974001
Epoch: 007, Train Loss: 225.9680009, Train Acc: 0.7022977, Test Acc: 0.5803571, Train Cov: 2.2539647
Epoch: 008, Train Loss: 216.1632212, Train Acc: 0.7252747, Test Acc: 0.6160714, Train Cov: 2.1559410
Epoch: 009, Train Loss: 203.0132232, Train Acc: 0.7252747, Test Acc: 0.6428571, Train Cov: 2.0244937
Epoch: 010, Train Loss: 197.0507347, Train Acc: 0.7002997, Test Acc: 0.5803571, Train Cov: 1.9648333
Epoch: 011, Train Loss: 186.3652580, Train Acc: 0.6943057, Test Acc: 0.5892857, Train Cov: 1.8582041
Epoch: 012, Train Loss: 180.0148489, Train Acc: 0.7332667, Test Acc: 0.5803571, Train Cov: 1.7946506
Epoch: 013, Train Loss: 173.6808875, Train Acc: 0.7542458, Test Acc: 0.6071429, Train Cov: 1.7312628
Epoch: 014, Train Loss: 166.1533091, Train Acc: 0.7422577, Test Acc: 0.6339286, Train Cov: 1.6560864
Epoch: 015, Train Loss: 159.9713973, Train Acc: 0.7512488, Test Acc: 0.6339286, Train Cov: 1.5943621
Epoch: 016, Train Loss: 153.1859255, Train Acc: 0.7452547, Test Acc: 0.6250000, Train Cov: 1.5265478
Epoch: 017, Train Loss: 149.3846495, Train Acc: 0.7452547, Test Acc: 0.6250000, Train Cov: 1.4885199
Epoch: 018, Train Loss: 142.1143598, Train Acc: 0.7542458, Test Acc: 0.6517857, Train Cov: 1.4158168
Epoch: 019, Train Loss: 139.5188288, Train Acc: 0.7412587, Test Acc: 0.6785714, Train Cov: 1.3899381
Epoch: 020, Train Loss: 135.2733602, Train Acc: 0.7582418, Test Acc: 0.6696429, Train Cov: 1.3475215
Epoch: 021, Train Loss: 131.2876814, Train Acc: 0.7532468, Test Acc: 0.6785714, Train Cov: 1.3075480
Epoch: 022, Train Loss: 127.2434270, Train Acc: 0.7732268, Test Acc: 0.6875000, Train Cov: 1.2672426
Epoch: 023, Train Loss: 124.2004634, Train Acc: 0.7552448, Test Acc: 0.6250000, Train Cov: 1.2367452
Epoch: 024, Train Loss: 118.1898599, Train Acc: 0.7702298, Test Acc: 0.6517857, Train Cov: 1.1768354
Epoch: 025, Train Loss: 116.5308866, Train Acc: 0.7722278, Test Acc: 0.6517857, Train Cov: 1.1601701
Epoch: 026, Train Loss: 114.3172004, Train Acc: 0.7672328, Test Acc: 0.6428571, Train Cov: 1.1380212
Epoch: 027, Train Loss: 109.2317723, Train Acc: 0.7732268, Test Acc: 0.6607143, Train Cov: 1.0872841
Epoch: 028, Train Loss: 109.6206618, Train Acc: 0.7462537, Test Acc: 0.6607143, Train Cov: 1.0911595
Epoch: 029, Train Loss: 105.3385190, Train Acc: 0.7852148, Test Acc: 0.6250000, Train Cov: 1.0483273
Epoch: 030, Train Loss: 101.0746345, Train Acc: 0.7672328, Test Acc: 0.6875000, Train Cov: 1.0057354
Epoch: 031, Train Loss: 99.4844516, Train Acc: 0.7882118, Test Acc: 0.6517857, Train Cov: 0.9898641
Epoch: 032, Train Loss: 96.1924824, Train Acc: 0.7712288, Test Acc: 0.6428571, Train Cov: 0.9570228
Epoch: 033, Train Loss: 95.7247685, Train Acc: 0.7772228, Test Acc: 0.6785714, Train Cov: 0.9522885
Epoch: 034, Train Loss: 94.0889019, Train Acc: 0.7722278, Test Acc: 0.6160714, Train Cov: 0.9358881
Epoch: 035, Train Loss: 91.5945143, Train Acc: 0.7862138, Test Acc: 0.6071429, Train Cov: 0.9109605
Epoch: 036, Train Loss: 89.3101554, Train Acc: 0.7822178, Test Acc: 0.6607143, Train Cov: 0.8881956
Epoch: 037, Train Loss: 88.0127672, Train Acc: 0.7932068, Test Acc: 0.6428571, Train Cov: 0.8753374
Epoch: 038, Train Loss: 86.6331428, Train Acc: 0.7832168, Test Acc: 0.6607143, Train Cov: 0.8615599
Epoch: 039, Train Loss: 84.9996264, Train Acc: 0.7802198, Test Acc: 0.6160714, Train Cov: 0.8452368
Epoch: 040, Train Loss: 81.5006549, Train Acc: 0.7712288, Test Acc: 0.6607143, Train Cov: 0.8102822
