{'dataset_name': 'MCF-7', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613450499', 'directory': '../../nlg_results/pca/board/'}
Downloading https://www.chrsmrrs.com/graphkerneldatasets/MCF-7.zip
Extracting /space/github_private/gnnzoo/tu/data/MCF-7/MCF-7/MCF-7.zip
Processing...
Done!
-------- FOLD0 DATASET=MCF-7, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 0.4645161, Train Acc: 0.9178970, Test Acc: 0.9164566, Train Cov: 4.3670220
Epoch: 002, Train Loss: 0.3002991, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 4.3643270
Epoch: 003, Train Loss: 0.2874220, Train Acc: 0.9174569, Test Acc: 0.9171768, Train Cov: 4.3742342
Epoch: 004, Train Loss: 0.2738465, Train Acc: 0.9178570, Test Acc: 0.9171768, Train Cov: 4.3608165
Epoch: 005, Train Loss: 0.2668249, Train Acc: 0.9180170, Test Acc: 0.9168167, Train Cov: 4.3290496
Epoch: 006, Train Loss: 0.2657033, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 4.3023152
Epoch: 007, Train Loss: 0.2639041, Train Acc: 0.9187773, Test Acc: 0.9178970, Train Cov: 4.2843299
Epoch: 008, Train Loss: 0.2573249, Train Acc: 0.9184572, Test Acc: 0.9168167, Train Cov: 4.2584257
Epoch: 009, Train Loss: 0.2532016, Train Acc: 0.9214980, Test Acc: 0.9218581, Train Cov: 4.2516160
Epoch: 010, Train Loss: 0.2508569, Train Acc: 0.9181771, Test Acc: 0.9150162, Train Cov: 4.2272472
Epoch: 011, Train Loss: 0.2514165, Train Acc: 0.9170568, Test Acc: 0.9178970, Train Cov: 4.2194448
Epoch: 012, Train Loss: 0.2535933, Train Acc: 0.9177770, Test Acc: 0.9171768, Train Cov: 4.1875548
Epoch: 013, Train Loss: 0.2481396, Train Acc: 0.9185372, Test Acc: 0.9171768, Train Cov: 4.1741443
Epoch: 014, Train Loss: 0.2469132, Train Acc: 0.9171368, Test Acc: 0.9168167, Train Cov: 4.1380310
Epoch: 015, Train Loss: 0.2480840, Train Acc: 0.9180571, Test Acc: 0.9171768, Train Cov: 4.0833330
Epoch: 016, Train Loss: 0.2453493, Train Acc: 0.9197375, Test Acc: 0.9182571, Train Cov: 4.0620933
Epoch: 017, Train Loss: 0.2449867, Train Acc: 0.9177370, Test Acc: 0.9178970, Train Cov: 4.0624561
Epoch: 018, Train Loss: 0.2418865, Train Acc: 0.9188173, Test Acc: 0.9157364, Train Cov: 4.0462465
Epoch: 019, Train Loss: 0.2449888, Train Acc: 0.9221382, Test Acc: 0.9218581, Train Cov: 3.9969146
Epoch: 020, Train Loss: 0.2494848, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.9829235
Epoch: 021, Train Loss: 0.2422996, Train Acc: 0.9176970, Test Acc: 0.9164566, Train Cov: 3.9351900
Epoch: 022, Train Loss: 0.2410085, Train Acc: 0.9208178, Test Acc: 0.9189773, Train Cov: 3.9001217
Epoch: 023, Train Loss: 0.2407557, Train Acc: 0.9177770, Test Acc: 0.9168167, Train Cov: 3.8644211
Epoch: 024, Train Loss: 0.2393860, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 3.8281951
Epoch: 025, Train Loss: 0.2350751, Train Acc: 0.9189373, Test Acc: 0.9182571, Train Cov: 3.7904758
Epoch: 026, Train Loss: 0.2400382, Train Acc: 0.9176169, Test Acc: 0.9164566, Train Cov: 3.7380984
Epoch: 027, Train Loss: 0.2394495, Train Acc: 0.9216181, Test Acc: 0.9168167, Train Cov: 3.6924181
Epoch: 028, Train Loss: 0.2402365, Train Acc: 0.9074141, Test Acc: 0.9088945, Train Cov: 3.6818073
Epoch: 029, Train Loss: 0.2374895, Train Acc: 0.9201776, Test Acc: 0.9178970, Train Cov: 3.6603482
Epoch: 030, Train Loss: 0.2347760, Train Acc: 0.9176169, Test Acc: 0.9175369, Train Cov: 3.6420670
Epoch: 031, Train Loss: 0.2326847, Train Acc: 0.9088945, Test Acc: 0.9070940, Train Cov: 3.5926423
Epoch: 032, Train Loss: 0.2387166, Train Acc: 0.9176569, Test Acc: 0.9168167, Train Cov: 3.5677285
Epoch: 033, Train Loss: 0.2370220, Train Acc: 0.9204577, Test Acc: 0.9186172, Train Cov: 3.5147266
Epoch: 034, Train Loss: 0.2341751, Train Acc: 0.9212980, Test Acc: 0.9178970, Train Cov: 3.4707246
Epoch: 035, Train Loss: 0.2344530, Train Acc: 0.9263394, Test Acc: 0.9268995, Train Cov: 3.4673307
Epoch: 036, Train Loss: 0.2301097, Train Acc: 0.9184172, Test Acc: 0.9157364, Train Cov: 3.4290521
Epoch: 037, Train Loss: 0.2301880, Train Acc: 0.9066139, Test Acc: 0.9067339, Train Cov: 3.3939397
Epoch: 038, Train Loss: 0.2278025, Train Acc: 0.9160965, Test Acc: 0.9157364, Train Cov: 3.3555524
Epoch: 039, Train Loss: 0.2282550, Train Acc: 0.9156964, Test Acc: 0.9142960, Train Cov: 3.3610671
Epoch: 040, Train Loss: 0.2234616, Train Acc: 0.9228184, Test Acc: 0.9207778, Train Cov: 3.3510575
Epoch: 041, Train Loss: 0.2239010, Train Acc: 0.9192574, Test Acc: 0.9168167, Train Cov: 3.3003438
Epoch: 042, Train Loss: 0.2253607, Train Acc: 0.9228184, Test Acc: 0.9229384, Train Cov: 3.2871852
Epoch: 043, Train Loss: 0.2221914, Train Acc: 0.9203777, Test Acc: 0.9196975, Train Cov: 3.2948418
Epoch: 044, Train Loss: 0.2219367, Train Acc: 0.9259393, Test Acc: 0.9207778, Train Cov: 3.2425251
Epoch: 045, Train Loss: 0.2237228, Train Acc: 0.9200576, Test Acc: 0.9196975, Train Cov: 3.2215464
Epoch: 046, Train Loss: 0.2218192, Train Acc: 0.9196575, Test Acc: 0.9178970, Train Cov: 3.1977639
Epoch: 047, Train Loss: 0.2198606, Train Acc: 0.9249790, Test Acc: 0.9218581, Train Cov: 3.1385529
Epoch: 048, Train Loss: 0.2182665, Train Acc: 0.9311007, Test Acc: 0.9254591, Train Cov: 3.1187229
Epoch: 049, Train Loss: 0.2192596, Train Acc: 0.9251791, Test Acc: 0.9240187, Train Cov: 3.0867398
Epoch: 050, Train Loss: 0.2143412, Train Acc: 0.9222182, Test Acc: 0.9207778, Train Cov: 3.0330262
Epoch: 051, Train Loss: 0.2068335, Train Acc: 0.9306206, Test Acc: 0.9265394, Train Cov: 3.0276966
Epoch: 052, Train Loss: 0.2093754, Train Acc: 0.9134558, Test Acc: 0.9099748, Train Cov: 2.9871452
Epoch: 053, Train Loss: 0.2063388, Train Acc: 0.9230585, Test Acc: 0.9175369, Train Cov: 3.0472791
Epoch: 054, Train Loss: 0.2051698, Train Acc: 0.9328212, Test Acc: 0.9290601, Train Cov: 3.0005624
Epoch: 055, Train Loss: 0.2034397, Train Acc: 0.9224583, Test Acc: 0.9186172, Train Cov: 2.9724004
Epoch: 056, Train Loss: 0.2020251, Train Acc: 0.9392630, Test Acc: 0.9297803, Train Cov: 2.9337065
Epoch: 057, Train Loss: 0.1998734, Train Acc: 0.9163366, Test Acc: 0.9110551, Train Cov: 2.9479804
Epoch: 058, Train Loss: 0.2027756, Train Acc: 0.9350618, Test Acc: 0.9319409, Train Cov: 2.9098146
Epoch: 059, Train Loss: 0.2005577, Train Acc: 0.9228584, Test Acc: 0.9196975, Train Cov: 2.9169018
Epoch: 060, Train Loss: 0.1972402, Train Acc: 0.9295403, Test Acc: 0.9250990, Train Cov: 2.8851345
Epoch: 061, Train Loss: 0.1982438, Train Acc: 0.9183771, Test Acc: 0.9182571, Train Cov: 2.8721917
Epoch: 062, Train Loss: 0.1967101, Train Acc: 0.9341816, Test Acc: 0.9268995, Train Cov: 2.8611846
Epoch: 063, Train Loss: 0.1936228, Train Acc: 0.9314208, Test Acc: 0.9247389, Train Cov: 2.8430598
Epoch: 064, Train Loss: 0.1911465, Train Acc: 0.9344216, Test Acc: 0.9268995, Train Cov: 2.8469365
Epoch: 065, Train Loss: 0.1903999, Train Acc: 0.9240187, Test Acc: 0.9236586, Train Cov: 2.8506169
Epoch: 066, Train Loss: 0.1878139, Train Acc: 0.9328212, Test Acc: 0.9261793, Train Cov: 2.8606040
Epoch: 067, Train Loss: 0.1902203, Train Acc: 0.9309407, Test Acc: 0.9240187, Train Cov: 2.8485727
Epoch: 068, Train Loss: 0.1876127, Train Acc: 0.9004921, Test Acc: 0.8973713, Train Cov: 2.8246553
Epoch: 069, Train Loss: 0.1874084, Train Acc: 0.9341416, Test Acc: 0.9276197, Train Cov: 2.8182852
Epoch: 070, Train Loss: 0.1890620, Train Acc: 0.9323411, Test Acc: 0.9272596, Train Cov: 2.8306794
Epoch: 071, Train Loss: 0.1859903, Train Acc: 0.9224183, Test Acc: 0.9193374, Train Cov: 2.8079872
Epoch: 072, Train Loss: 0.1853278, Train Acc: 0.9065738, Test Acc: 0.9027728, Train Cov: 2.7994733
Epoch: 073, Train Loss: 0.1815547, Train Acc: 0.9370224, Test Acc: 0.9294202, Train Cov: 2.7825518
Epoch: 074, Train Loss: 0.1846613, Train Acc: 0.9352219, Test Acc: 0.9268995, Train Cov: 2.7474585
Epoch: 075, Train Loss: 0.1812305, Train Acc: 0.9297403, Test Acc: 0.9276197, Train Cov: 2.7057815
Epoch: 076, Train Loss: 0.1793809, Train Acc: 0.9399432, Test Acc: 0.9290601, Train Cov: 2.6875226
Epoch: 077, Train Loss: 0.1759936, Train Acc: 0.9389029, Test Acc: 0.9326611, Train Cov: 2.7021782
Epoch: 078, Train Loss: 0.1817320, Train Acc: 0.9304205, Test Acc: 0.9272596, Train Cov: 2.7278473
Epoch: 079, Train Loss: 0.1782006, Train Acc: 0.9421038, Test Acc: 0.9297803, Train Cov: 2.6861937
Epoch: 080, Train Loss: 0.1721198, Train Acc: 0.9271396, Test Acc: 0.9247389, Train Cov: 2.6855593
