{'dataset_name': 'MCF-7', 'seed': 666, 'num_workers': 2, 'cov_weight': 0, 'hyperparams': {'batch_size': 128, 'epochs': 1001, 'learning_rate': 0.005, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613451521', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=MCF-7, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 0.4715635, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 4.0665035
Epoch: 002, Train Loss: 0.2945456, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 4.0874271
Epoch: 003, Train Loss: 0.2854474, Train Acc: 0.9077742, Test Acc: 0.9092546, Train Cov: 4.0933571
Epoch: 004, Train Loss: 0.2837554, Train Acc: 0.9174169, Test Acc: 0.9168167, Train Cov: 4.0571470
Epoch: 005, Train Loss: 0.2851037, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 4.0778313
Epoch: 006, Train Loss: 0.2844925, Train Acc: 0.9168167, Test Acc: 0.9160965, Train Cov: 4.0962243
Epoch: 007, Train Loss: 0.2851208, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 4.0630984
Epoch: 008, Train Loss: 0.2848312, Train Acc: 0.9170968, Test Acc: 0.9164566, Train Cov: 4.0607672
Epoch: 009, Train Loss: 0.2850374, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 4.0338001
Epoch: 010, Train Loss: 0.2862579, Train Acc: 0.9173369, Test Acc: 0.9171768, Train Cov: 4.2070990
Epoch: 011, Train Loss: 0.2853673, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 4.3311572
Epoch: 012, Train Loss: 0.2862872, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 4.0751047
Epoch: 013, Train Loss: 0.2869027, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 4.0583897
Epoch: 014, Train Loss: 0.2849445, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 4.0052505
Epoch: 015, Train Loss: 0.2855071, Train Acc: 0.9173369, Test Acc: 0.9171768, Train Cov: 3.9827230
Epoch: 016, Train Loss: 0.2852189, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.9723046
Epoch: 017, Train Loss: 0.2850716, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.9842982
Epoch: 018, Train Loss: 0.2850471, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 4.0049911
Epoch: 019, Train Loss: 0.2849622, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.9741735
Epoch: 020, Train Loss: 0.2863633, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.9126275
Epoch: 021, Train Loss: 0.2850811, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.9010568
Epoch: 022, Train Loss: 0.2851047, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 3.8975141
Epoch: 023, Train Loss: 0.2850108, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8939886
Epoch: 024, Train Loss: 0.2851654, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8997076
Epoch: 025, Train Loss: 0.2851487, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.9035344
Epoch: 026, Train Loss: 0.2850800, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8983576
Epoch: 027, Train Loss: 0.2851165, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8981237
Epoch: 028, Train Loss: 0.2850557, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.9034023
Epoch: 029, Train Loss: 0.2850988, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.9000850
Epoch: 030, Train Loss: 0.2850963, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8969288
Epoch: 031, Train Loss: 0.2851193, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8984556
Epoch: 032, Train Loss: 0.2851680, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8914206
Epoch: 033, Train Loss: 0.2851108, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8625212
Epoch: 034, Train Loss: 0.2851074, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8617799
Epoch: 035, Train Loss: 0.2851109, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8608887
Epoch: 036, Train Loss: 0.2851081, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 3.8616347
Epoch: 037, Train Loss: 0.2851079, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8610902
Epoch: 038, Train Loss: 0.2851247, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8642664
Epoch: 039, Train Loss: 0.2850948, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8718839
Epoch: 040, Train Loss: 0.2850727, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8757193
Epoch: 041, Train Loss: 0.2851266, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8714380
Epoch: 042, Train Loss: 0.2850983, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8745990
Epoch: 043, Train Loss: 0.2849684, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8746603
Epoch: 044, Train Loss: 0.2851114, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8720670
Epoch: 045, Train Loss: 0.2851017, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8703742
Epoch: 046, Train Loss: 0.2850957, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 3.8702619
Epoch: 047, Train Loss: 0.2851271, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8717139
Epoch: 048, Train Loss: 0.2850749, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8753593
Epoch: 049, Train Loss: 0.2851272, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8710992
Epoch: 050, Train Loss: 0.2850789, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8696690
Epoch: 051, Train Loss: 0.2851027, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8731470
Epoch: 052, Train Loss: 0.2851178, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8688359
Epoch: 053, Train Loss: 0.2851013, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8718288
Epoch: 054, Train Loss: 0.2850686, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 3.8736804
Epoch: 055, Train Loss: 0.2850880, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8704627
Epoch: 056, Train Loss: 0.2851220, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8735545
Epoch: 057, Train Loss: 0.2850967, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8672361
Epoch: 058, Train Loss: 0.2850578, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 3.8691504
