{'dataset_name': 'MCF-7', 'seed': 666, 'num_workers': 2, 'cov_weight': 0.1, 'hyperparams': {'batch_size': 128, 'epochs': 1001, 'learning_rate': 0.005, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'add', 'BN': 'N'}, 'commit_id': '09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449', 'time_stamp': '1613451546', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=MCF-7, COMMIT_ID=09c7fdcf9e91bfcc0fcf535ce1b0d71f54b30449
Epoch: 001, Train Loss: 0.7503322, Train Acc: 0.8687232, Test Acc: 0.8599208, Train Cov: 2.7697086
Epoch: 002, Train Loss: 0.3318451, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.2962949
Epoch: 003, Train Loss: 0.2901480, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0562171
Epoch: 004, Train Loss: 0.2826514, Train Acc: 0.1780899, Test Acc: 0.1814908, Train Cov: 0.0111582
Epoch: 005, Train Loss: 0.2847091, Train Acc: 0.9173769, Test Acc: 0.9171768, Train Cov: 0.0072246
Epoch: 006, Train Loss: 0.2829854, Train Acc: 0.9173369, Test Acc: 0.9171768, Train Cov: 0.0052716
Epoch: 007, Train Loss: 0.2855535, Train Acc: 0.9170968, Test Acc: 0.9164566, Train Cov: 0.0067558
Epoch: 008, Train Loss: 0.2842863, Train Acc: 0.9172968, Test Acc: 0.9171768, Train Cov: 0.0049869
Epoch: 009, Train Loss: 0.2983686, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0256980
Epoch: 010, Train Loss: 0.2850602, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0020077
Epoch: 011, Train Loss: 0.2861670, Train Acc: 0.9161765, Test Acc: 0.9164566, Train Cov: 0.0012761
Epoch: 012, Train Loss: 0.2853946, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0009959
Epoch: 013, Train Loss: 0.2855248, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0038616
Epoch: 014, Train Loss: 0.2866143, Train Acc: 0.9172968, Test Acc: 0.9171768, Train Cov: 0.0019514
Epoch: 015, Train Loss: 0.2852076, Train Acc: 0.9172968, Test Acc: 0.9168167, Train Cov: 0.0006065
Epoch: 016, Train Loss: 0.2851354, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0002389
Epoch: 017, Train Loss: 0.2850888, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0001684
Epoch: 018, Train Loss: 0.2866748, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0007207
Epoch: 019, Train Loss: 0.2851501, Train Acc: 0.9169367, Test Acc: 0.9171768, Train Cov: 0.0001904
Epoch: 020, Train Loss: 0.2851651, Train Acc: 0.9170968, Test Acc: 0.9171768, Train Cov: 0.0001290
Epoch: 021, Train Loss: 0.2850904, Train Acc: 0.9168967, Test Acc: 0.9171768, Train Cov: 0.0000937
Epoch: 022, Train Loss: 0.2851118, Train Acc: 0.9170568, Test Acc: 0.9171768, Train Cov: 0.0000728
Epoch: 023, Train Loss: 0.2850168, Train Acc: 0.9170968, Test Acc: 0.9171768, Train Cov: 0.0000603
Epoch: 024, Train Loss: 0.2851704, Train Acc: 0.9169367, Test Acc: 0.9171768, Train Cov: 0.0000508
Epoch: 025, Train Loss: 0.2851529, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0000427
Epoch: 026, Train Loss: 0.2850836, Train Acc: 0.9173369, Test Acc: 0.9171768, Train Cov: 0.0000370
Epoch: 027, Train Loss: 0.2851195, Train Acc: 0.9169768, Test Acc: 0.9171768, Train Cov: 0.0000306
Epoch: 028, Train Loss: 0.2850583, Train Acc: 0.9168967, Test Acc: 0.9171768, Train Cov: 0.0000257
Epoch: 029, Train Loss: 0.2851010, Train Acc: 0.9169367, Test Acc: 0.9171768, Train Cov: 0.0000219
Epoch: 030, Train Loss: 0.2850981, Train Acc: 0.9171768, Test Acc: 0.9171768, Train Cov: 0.0000186
Epoch: 031, Train Loss: 0.2851209, Train Acc: 0.9169367, Test Acc: 0.9171768, Train Cov: 0.0000163
Epoch: 032, Train Loss: 0.2851285, Train Acc: 0.9170568, Test Acc: 0.9171768, Train Cov: 0.0000144
Epoch: 033, Train Loss: 0.2851121, Train Acc: 0.9172968, Test Acc: 0.9171768, Train Cov: 0.0000126
Epoch: 034, Train Loss: 0.2851085, Train Acc: 0.9169367, Test Acc: 0.9171768, Train Cov: 0.0000112
Epoch: 035, Train Loss: 0.2851118, Train Acc: 0.9168167, Test Acc: 0.9171768, Train Cov: 0.0000097
Epoch: 036, Train Loss: 0.2851089, Train Acc: 0.9173369, Test Acc: 0.9171768, Train Cov: 0.0000086
Epoch: 037, Train Loss: 0.2851087, Train Acc: 0.9170968, Test Acc: 0.9171768, Train Cov: 0.0000083
Epoch: 038, Train Loss: 0.2851245, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0000065
Epoch: 039, Train Loss: 0.2850953, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0000054
Epoch: 040, Train Loss: 0.2850731, Train Acc: 0.9173369, Test Acc: 0.9171768, Train Cov: 0.0000050
Epoch: 041, Train Loss: 0.2856379, Train Acc: 0.9168167, Test Acc: 0.9171768, Train Cov: 0.0014252
Epoch: 042, Train Loss: 0.2865782, Train Acc: 0.9173369, Test Acc: 0.9171768, Train Cov: 0.0078495
Epoch: 043, Train Loss: 0.2858070, Train Acc: 0.9174169, Test Acc: 0.9171768, Train Cov: 0.0053376
Epoch: 044, Train Loss: 0.2851135, Train Acc: 0.9165766, Test Acc: 0.9164566, Train Cov: 0.0000206
Epoch: 045, Train Loss: 0.2851027, Train Acc: 0.9165766, Test Acc: 0.9164566, Train Cov: 0.0000107
Epoch: 046, Train Loss: 0.2850964, Train Acc: 0.9159765, Test Acc: 0.9160965, Train Cov: 0.0000077
Epoch: 047, Train Loss: 0.2851276, Train Acc: 0.9171768, Test Acc: 0.9168167, Train Cov: 0.0000057
Epoch: 048, Train Loss: 0.2850753, Train Acc: 0.9161765, Test Acc: 0.9157364, Train Cov: 0.0000045
Epoch: 049, Train Loss: 0.2851276, Train Acc: 0.9158164, Test Acc: 0.9153763, Train Cov: 0.0000037
