{'dataset_name': 'UACC257', 'seed': 666, 'num_workers': 2, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 128, 'epochs': 1001, 'learning_rate': 0.005, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'LeakyR0.2', 'aggr': 'mean', 'BN': 'N'}, 'commit_id': 'ebc0d1b1b71e7afdb5e219dfa649d9b1aefa8a7f', 'time_stamp': '1613474532', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=UACC257, COMMIT_ID=ebc0d1b1b71e7afdb5e219dfa649d9b1aefa8a7f
Epoch: 001, Train Loss: 0.3071997, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 4.5014873
Epoch: 002, Train Loss: 0.2264391, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 4.0167193
Epoch: 003, Train Loss: 0.1948979, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 2.0276911
Epoch: 004, Train Loss: 0.1804995, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.6884669
Epoch: 005, Train Loss: 0.1739489, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.2115299
Epoch: 006, Train Loss: 0.1725258, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0802236
Epoch: 007, Train Loss: 0.1721196, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0412685
Epoch: 008, Train Loss: 0.1720986, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0378825
Epoch: 009, Train Loss: 0.1717530, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0022164
Epoch: 010, Train Loss: 0.1717201, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0007637
Epoch: 011, Train Loss: 0.1717298, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0007719
Epoch: 012, Train Loss: 0.1717469, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0008829
Epoch: 013, Train Loss: 0.1717127, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0004444
Epoch: 014, Train Loss: 0.1717232, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0003023
Epoch: 015, Train Loss: 0.1717048, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0001613
Epoch: 016, Train Loss: 0.1717449, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0003325
Epoch: 017, Train Loss: 0.1717504, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0009565
Epoch: 018, Train Loss: 0.1717710, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0000941
Epoch: 019, Train Loss: 0.1717400, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0006436
Epoch: 020, Train Loss: 0.1717143, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0023800
Epoch: 021, Train Loss: 0.1717528, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0000765
Epoch: 022, Train Loss: 0.1716831, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0000453
Epoch: 023, Train Loss: 0.1717293, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0000408
Epoch: 024, Train Loss: 0.1717251, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0000233
Epoch: 025, Train Loss: 0.1717323, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0000214
Epoch: 026, Train Loss: 0.1717282, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0000174
Epoch: 027, Train Loss: 0.1717697, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0001026
Epoch: 028, Train Loss: 0.1716900, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0016389
Epoch: 029, Train Loss: 0.1717178, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0000161
Epoch: 030, Train Loss: 0.1717734, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0047563
Epoch: 031, Train Loss: 0.1764240, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.3092178
Epoch: 032, Train Loss: 0.1719629, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0212446
Epoch: 033, Train Loss: 0.1718446, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0107788
Epoch: 034, Train Loss: 0.1721791, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0440024
Epoch: 035, Train Loss: 0.1724820, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.0745018
Epoch: 036, Train Loss: 0.2013434, Train Acc: 0.9588208, Test Acc: 0.9597399, Train Cov: 0.2426849
