{'dataset_name': 'QM9', 'target': 4, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'EB8', 'variants': {'BN': 'N', 'aggr_mlp': 1, 'fea_activation': 'ReLU'}}, 'commit_id': '4be31d67403d061af877d0ffc1a1e7960d55f83e', 'time_stamp': '1593789969', 'directory': '../nlg_results/titanv/QM9/board/'}
--------
QM9_4, 1593789969_4be31d6_EB8_1_ReLU_4_256_N_0.0001_30_0.85_B64, ID=4be31d67403d061af877d0ffc1a1e7960d55f83e
Epoch: 001, LR: 0.000100, Loss: 0.1794716, Validation MAE: 0.0118778, Test MAE: 0.0115951
Epoch: 002, LR: 0.000100, Loss: 0.0974714, Validation MAE: 0.0096859, Test MAE: 0.0095666
Epoch: 003, LR: 0.000100, Loss: 0.0798844, Validation MAE: 0.0090263, Test MAE: 0.0087934
Epoch: 004, LR: 0.000100, Loss: 0.0698231, Validation MAE: 0.0085429, Test MAE: 0.0084282
Epoch: 005, LR: 0.000100, Loss: 0.0628880, Validation MAE: 0.0081776, Test MAE: 0.0081271
Epoch: 006, LR: 0.000100, Loss: 0.0587020, Validation MAE: 0.0078186, Test MAE: 0.0077676
Epoch: 007, 0.000100,0.0530795,0.0083201,0.0083057
Epoch: 008, LR: 0.000100, Loss: 0.0487176, Validation MAE: 0.0074392, Test MAE: 0.0073779
Epoch: 009, LR: 0.000100, Loss: 0.0442705, Validation MAE: 0.0067284, Test MAE: 0.0067150
Epoch: 010, 0.000100,0.0429100,0.0068734,0.0068271
Epoch: 011, 0.000100,0.0400969,0.0071185,0.0070839
Epoch: 012, LR: 0.000100, Loss: 0.0365455, Validation MAE: 0.0066569, Test MAE: 0.0066348
Epoch: 013, LR: 0.000100, Loss: 0.0346119, Validation MAE: 0.0061818, Test MAE: 0.0061962
Epoch: 014, 0.000100,0.0318365,0.0064186,0.0063987
Epoch: 015, 0.000100,0.0318996,0.0065541,0.0064324
Epoch: 016, 0.000100,0.0290599,0.0062387,0.0061567
Epoch: 017, LR: 0.000100, Loss: 0.0276502, Validation MAE: 0.0059152, Test MAE: 0.0058531
Epoch: 018, LR: 0.000100, Loss: 0.0263996, Validation MAE: 0.0058802, Test MAE: 0.0058849
Epoch: 019, LR: 0.000100, Loss: 0.0250955, Validation MAE: 0.0055658, Test MAE: 0.0054936
Epoch: 020, 0.000100,0.0243602,0.0055712,0.0055840
Epoch: 021, 0.000100,0.0225593,0.0056966,0.0056540
Epoch: 022, LR: 0.000100, Loss: 0.0222755, Validation MAE: 0.0053892, Test MAE: 0.0053344
Epoch: 023, LR: 0.000100, Loss: 0.0212355, Validation MAE: 0.0053703, Test MAE: 0.0053578
Epoch: 024, 0.000100,0.0200313,0.0053878,0.0053206
Epoch: 025, LR: 0.000100, Loss: 0.0190170, Validation MAE: 0.0051671, Test MAE: 0.0051043
Epoch: 026, 0.000100,0.0190937,0.0058002,0.0057444
Epoch: 027, LR: 0.000100, Loss: 0.0196626, Validation MAE: 0.0049742, Test MAE: 0.0049273
Epoch: 028, 0.000100,0.0174297,0.0052180,0.0052358
Epoch: 029, 0.000100,0.0163463,0.0050257,0.0049880
Epoch: 030, 0.000100,0.0165013,0.0050303,0.0050094
Epoch: 031, LR: 0.000085, Loss: 0.0144268, Validation MAE: 0.0048366, Test MAE: 0.0047844
Epoch: 032, 0.000085,0.0137105,0.0048516,0.0048146
Epoch: 033, 0.000085,0.0132683,0.0050647,0.0050903
Epoch: 034, LR: 0.000085, Loss: 0.0127257, Validation MAE: 0.0047150, Test MAE: 0.0046676
Epoch: 035, 0.000085,0.0123305,0.0048209,0.0048486
Epoch: 036, 0.000085,0.0119420,0.0047783,0.0048310
Epoch: 037, 0.000085,0.0113757,0.0051182,0.0051118
Epoch: 038, 0.000085,0.0116377,0.0048876,0.0048853
Epoch: 039, LR: 0.000085, Loss: 0.0105418, Validation MAE: 0.0046089, Test MAE: 0.0046185
Epoch: 040, LR: 0.000085, Loss: 0.0106174, Validation MAE: 0.0044880, Test MAE: 0.0045183
Epoch: 041, 0.000085,0.0099322,0.0045343,0.0045264
Epoch: 042, 0.000085,0.0096689,0.0045325,0.0045414
Epoch: 043, 0.000085,0.0092621,0.0046138,0.0046760
Epoch: 044, LR: 0.000085, Loss: 0.0091951, Validation MAE: 0.0044544, Test MAE: 0.0045001
Epoch: 045, LR: 0.000085, Loss: 0.0087563, Validation MAE: 0.0044400, Test MAE: 0.0045197
Epoch: 046, 0.000085,0.0085162,0.0044467,0.0045045
Epoch: 047, LR: 0.000085, Loss: 0.0081014, Validation MAE: 0.0044342, Test MAE: 0.0044829
Epoch: 048, 0.000085,0.0079287,0.0044382,0.0044713
Epoch: 049, LR: 0.000085, Loss: 0.0075839, Validation MAE: 0.0043381, Test MAE: 0.0043826
Epoch: 050, 0.000085,0.0075132,0.0044571,0.0044978
Epoch: 051, 0.000085,0.0070480,0.0044260,0.0044489
Epoch: 052, 0.000085,0.0069536,0.0046378,0.0047102
Epoch: 053, 0.000085,0.0067534,0.0044422,0.0044534
Epoch: 054, 0.000085,0.0064100,0.0044383,0.0045042
Epoch: 055, 0.000085,0.0063122,0.0043572,0.0043922
Epoch: 056, 0.000085,0.0059758,0.0044285,0.0044439
Epoch: 057, 0.000085,0.0058497,0.0045515,0.0046030
Epoch: 058, LR: 0.000085, Loss: 0.0064681, Validation MAE: 0.0042283, Test MAE: 0.0043077
Epoch: 059, 0.000085,0.0053631,0.0043029,0.0043633
Epoch: 060, 0.000085,0.0053674,0.0042917,0.0043442
Epoch: 061, 0.000072,0.0045728,0.0043879,0.0044459
Epoch: 062, 0.000072,0.0044944,0.0042619,0.0043396
Epoch: 063, LR: 0.000072, Loss: 0.0044653, Validation MAE: 0.0041985, Test MAE: 0.0042796
Epoch: 064, 0.000072,0.0041781,0.0042005,0.0042817
