{'dataset_name': 'QM9', 'target': 4, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'CB', 'variants': {'BN': 'N', 'aggr_mlp': 1, 'fea_activation': 'ReLU'}}, 'commit_id': '4be31d67403d061af877d0ffc1a1e7960d55f83e', 'time_stamp': '1594135096', 'directory': '../nlg_results/titanv/QM9/board/'}
--------
QM9_4, 1594135096_4be31d6_CB_1_ReLU_4_256_N_0.0001_30_0.85_B64, ID=4be31d67403d061af877d0ffc1a1e7960d55f83e
Epoch: 001, LR: 0.000100, Loss: 0.1873568, Validation MAE: 0.0112992, Test MAE: 0.0112255
Epoch: 002, 0.000100,0.1077864,0.0114261,0.0114173
Epoch: 003, LR: 0.000100, Loss: 0.0902896, Validation MAE: 0.0099515, Test MAE: 0.0098521
Epoch: 004, LR: 0.000100, Loss: 0.0804358, Validation MAE: 0.0090599, Test MAE: 0.0089413
Epoch: 005, 0.000100,0.0732121,0.0099384,0.0096997
Epoch: 006, LR: 0.000100, Loss: 0.0675928, Validation MAE: 0.0083473, Test MAE: 0.0082556
Epoch: 007, 0.000100,0.0622665,0.0084135,0.0083089
Epoch: 008, LR: 0.000100, Loss: 0.0576321, Validation MAE: 0.0079007, Test MAE: 0.0078843
Epoch: 009, 0.000100,0.0536076,0.0080669,0.0080393
Epoch: 010, 0.000100,0.0497839,0.0084477,0.0083155
Epoch: 011, 0.000100,0.0466203,0.0082773,0.0082355
Epoch: 012, LR: 0.000100, Loss: 0.0438646, Validation MAE: 0.0072927, Test MAE: 0.0071830
Epoch: 013, LR: 0.000100, Loss: 0.0411644, Validation MAE: 0.0071619, Test MAE: 0.0071038
Epoch: 014, LR: 0.000100, Loss: 0.0393462, Validation MAE: 0.0069142, Test MAE: 0.0068958
Epoch: 015, 0.000100,0.0376722,0.0070721,0.0069775
Epoch: 016, LR: 0.000100, Loss: 0.0359542, Validation MAE: 0.0066906, Test MAE: 0.0066356
Epoch: 017, LR: 0.000100, Loss: 0.0345628, Validation MAE: 0.0065405, Test MAE: 0.0064711
Epoch: 018, LR: 0.000100, Loss: 0.0334767, Validation MAE: 0.0065135, Test MAE: 0.0064699
Epoch: 019, LR: 0.000100, Loss: 0.0322386, Validation MAE: 0.0065056, Test MAE: 0.0065161
Epoch: 020, 0.000100,0.0314416,0.0065824,0.0065138
Epoch: 021, 0.000100,0.0301421,0.0065277,0.0064880
Epoch: 022, LR: 0.000100, Loss: 0.0287262, Validation MAE: 0.0060569, Test MAE: 0.0059391
Epoch: 023, LR: 0.000100, Loss: 0.0281556, Validation MAE: 0.0060115, Test MAE: 0.0059583
Epoch: 024, LR: 0.000100, Loss: 0.0269693, Validation MAE: 0.0059870, Test MAE: 0.0059245
Epoch: 025, LR: 0.000100, Loss: 0.0267393, Validation MAE: 0.0058273, Test MAE: 0.0057783
Epoch: 026, 0.000100,0.0251990,0.0060814,0.0060748
Epoch: 027, LR: 0.000100, Loss: 0.0246533, Validation MAE: 0.0056501, Test MAE: 0.0055558
