{'dataset_name': 'QM9', 'target': 0, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 5, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'EB16', 'variants': {'BN': 'N', 'aggr_mlp': 1, 'fea_activation': 'ReLU'}}, 'commit_id': 'cab672852d2d21166fbfeaf0dfe3cd4182c48c31', 'time_stamp': '1595128581', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_0, 1595128581_cab6728_EB16_1_ReLU_5_256_N_0.0001_30_0.85_B64, ID=cab672852d2d21166fbfeaf0dfe3cd4182c48c31
Epoch: 001, LR: 0.000100, Loss: 0.5568008, Validation MAE: 0.7214000, Test MAE: 0.7304805
Epoch: 002, LR: 0.000100, Loss: 0.4254113, Validation MAE: 0.6931690, Test MAE: 0.6982176
Epoch: 003, LR: 0.000100, Loss: 0.3578283, Validation MAE: 0.6423016, Test MAE: 0.6526764
Epoch: 004, LR: 0.000100, Loss: 0.3205504, Validation MAE: 0.6060546, Test MAE: 0.6162686
Epoch: 005, LR: 0.000100, Loss: 0.2956745, Validation MAE: 0.5814960, Test MAE: 0.5898170
Epoch: 006, LR: 0.000100, Loss: 0.2749346, Validation MAE: 0.5647931, Test MAE: 0.5748492
Epoch: 007, 0.000100,0.2566959,0.6098267,0.6150701
Epoch: 008, LR: 0.000100, Loss: 0.2382333, Validation MAE: 0.5505413, Test MAE: 0.5607322
Epoch: 009, LR: 0.000100, Loss: 0.2326306, Validation MAE: 0.5207667, Test MAE: 0.5260092
Epoch: 010, LR: 0.000100, Loss: 0.2121282, Validation MAE: 0.5156796, Test MAE: 0.5233023
Epoch: 011, LR: 0.000100, Loss: 0.2043366, Validation MAE: 0.5002290, Test MAE: 0.5070073
Epoch: 012, LR: 0.000100, Loss: 0.1930968, Validation MAE: 0.4907586, Test MAE: 0.4983726
Epoch: 013, LR: 0.000100, Loss: 0.1843273, Validation MAE: 0.4831086, Test MAE: 0.4989789
Epoch: 014, LR: 0.000100, Loss: 0.1736631, Validation MAE: 0.4675290, Test MAE: 0.4773789
Epoch: 015, LR: 0.000100, Loss: 0.1671779, Validation MAE: 0.4630754, Test MAE: 0.4749201
Epoch: 016, LR: 0.000100, Loss: 0.1562409, Validation MAE: 0.4598243, Test MAE: 0.4711806
Epoch: 017, LR: 0.000100, Loss: 0.1497479, Validation MAE: 0.4535560, Test MAE: 0.4602385
Epoch: 018, LR: 0.000100, Loss: 0.1414683, Validation MAE: 0.4479356, Test MAE: 0.4553675
Epoch: 019, 0.000100,0.1350764,0.4677975,0.4756243
Epoch: 020, LR: 0.000100, Loss: 0.1277068, Validation MAE: 0.4349688, Test MAE: 0.4468567
Epoch: 021, LR: 0.000100, Loss: 0.1212925, Validation MAE: 0.4307392, Test MAE: 0.4387266
Epoch: 022, LR: 0.000100, Loss: 0.1135000, Validation MAE: 0.4255142, Test MAE: 0.4365088
Epoch: 023, 0.000100,0.1076259,0.4342661,0.4431987
Epoch: 024, 0.000100,0.1019837,0.4303473,0.4437855
Epoch: 025, LR: 0.000100, Loss: 0.0959596, Validation MAE: 0.4224022, Test MAE: 0.4355492
Epoch: 026, 0.000100,0.0898164,0.4249894,0.4399467
Epoch: 027, 0.000100,0.0845893,0.4291300,0.4359632
Epoch: 028, LR: 0.000100, Loss: 0.0792928, Validation MAE: 0.4207170, Test MAE: 0.4321660
Epoch: 029, 0.000100,0.0749847,0.4238977,0.4379854
Epoch: 030, LR: 0.000100, Loss: 0.0703148, Validation MAE: 0.4167199, Test MAE: 0.4303157
Epoch: 031, LR: 0.000085, Loss: 0.0621283, Validation MAE: 0.4126997, Test MAE: 0.4228024
Epoch: 032, LR: 0.000085, Loss: 0.0545209, Validation MAE: 0.4077040, Test MAE: 0.4195050
Epoch: 033, LR: 0.000085, Loss: 0.0511772, Validation MAE: 0.4052571, Test MAE: 0.4222304
Epoch: 034, 0.000085,0.0484993,0.4138622,0.4233757
Epoch: 035, 0.000085,0.0443246,0.4080028,0.4204926
Epoch: 036, 0.000085,0.0416034,0.4141616,0.4253781
Epoch: 037, 0.000085,0.0387438,0.4058201,0.4162197
Epoch: 038, 0.000085,0.0361743,0.4081162,0.4212298
Epoch: 039, 0.000085,0.0338503,0.4062381,0.4210518
Epoch: 040, 0.000085,0.0333534,0.4081599,0.4203146
Epoch: 041, 0.000085,0.0295062,0.4065839,0.4222207
Epoch: 042, 0.000085,0.0283185,0.4059467,0.4197302
Epoch: 043, LR: 0.000085, Loss: 0.0270673, Validation MAE: 0.4028046, Test MAE: 0.4144000
Epoch: 044, 0.000085,0.0253117,0.4054325,0.4189346
Epoch: 045, 0.000085,0.0238051,0.4035848,0.4184594
Epoch: 046, 0.000085,0.0227059,0.4055159,0.4202484
Epoch: 047, 0.000085,0.0223279,0.4033756,0.4132977
Epoch: 048, LR: 0.000085, Loss: 0.0202431, Validation MAE: 0.4023293, Test MAE: 0.4156465
Epoch: 049, 0.000085,0.0196741,0.4033929,0.4149914
Epoch: 050, LR: 0.000085, Loss: 0.0192235, Validation MAE: 0.4009218, Test MAE: 0.4157945
Epoch: 051, 0.000085,0.0186772,0.4045136,0.4131441
Epoch: 052, LR: 0.000085, Loss: 0.0222522, Validation MAE: 0.3996593, Test MAE: 0.4131205
Epoch: 053, LR: 0.000085, Loss: 0.0150478, Validation MAE: 0.3968776, Test MAE: 0.4109454
Epoch: 054, LR: 0.000085, Loss: 0.0155046, Validation MAE: 0.3965563, Test MAE: 0.4099412
Epoch: 055, LR: 0.000085, Loss: 0.0162821, Validation MAE: 0.3950865, Test MAE: 0.4104412
Epoch: 056, 0.000085,0.0156388,0.4053457,0.4203915
Epoch: 057, LR: 0.000085, Loss: 0.0150006, Validation MAE: 0.3946142, Test MAE: 0.4081930
Epoch: 058, 0.000085,0.0146953,0.3972546,0.4133564
Epoch: 059, 0.000085,0.0142275,0.3961504,0.4109568
Epoch: 060, 0.000085,0.0135331,0.4024703,0.4164177
Epoch: 061, LR: 0.000072, Loss: 0.0108665, Validation MAE: 0.3895044, Test MAE: 0.4042842
Epoch: 062, 0.000072,0.0102181,0.3913074,0.4035750
Epoch: 063, 0.000072,0.0101721,0.3899088,0.4012309
Epoch: 064, LR: 0.000072, Loss: 0.0096067, Validation MAE: 0.3883146, Test MAE: 0.4023946
Epoch: 065, LR: 0.000072, Loss: 0.0095407, Validation MAE: 0.3874882, Test MAE: 0.4023932
Epoch: 066, LR: 0.000072, Loss: 0.0094520, Validation MAE: 0.3873239, Test MAE: 0.3998150
Epoch: 067, 0.000072,0.0091710,0.3891764,0.4035581
Epoch: 068, 0.000072,0.0086309,0.3892131,0.4011812
Epoch: 069, 0.000072,0.0085736,0.3875737,0.3998463
Epoch: 070, 0.000072,0.0086784,0.3922407,0.4058242
Epoch: 071, 0.000072,0.0082201,0.3888175,0.3997065
Epoch: 072, LR: 0.000072, Loss: 0.0079975, Validation MAE: 0.3860005, Test MAE: 0.4002413
Epoch: 073, 0.000072,0.0077924,0.3865739,0.4004572
Epoch: 074, LR: 0.000072, Loss: 0.0079826, Validation MAE: 0.3849668, Test MAE: 0.3993467
Epoch: 075, 0.000072,0.0077769,0.3868388,0.4014250
Epoch: 076, 0.000072,0.0076509,0.3864182,0.3995894
Epoch: 077, 0.000072,0.0072414,0.3862982,0.4020533
Epoch: 078, LR: 0.000072, Loss: 0.0072826, Validation MAE: 0.3848978, Test MAE: 0.3995940
Epoch: 079, LR: 0.000072, Loss: 0.0070749, Validation MAE: 0.3843187, Test MAE: 0.3994562
Epoch: 080, 0.000072,0.0069011,0.3848909,0.3991861
Epoch: 081, 0.000072,0.0073365,0.3843504,0.3987685
Epoch: 082, 0.000072,0.0064414,0.3861152,0.3999097
Epoch: 083, LR: 0.000072, Loss: 0.0067161, Validation MAE: 0.3816636, Test MAE: 0.3976465
Epoch: 084, 0.000072,0.0064670,0.3844970,0.3977954
Epoch: 085, 0.000072,0.0064588,0.3822286,0.3966539
Epoch: 086, 0.000072,0.0062353,0.3835988,0.3989179
Epoch: 087, 0.000072,0.0063691,0.3831489,0.3959373
Epoch: 088, 0.000072,0.0063013,0.3866716,0.4004023
Epoch: 089, LR: 0.000072, Loss: 0.0060871, Validation MAE: 0.3807340, Test MAE: 0.3984462
Epoch: 090, 0.000072,0.0059057,0.3835259,0.3992848
Epoch: 091, LR: 0.000061, Loss: 0.0051035, Validation MAE: 0.3800905, Test MAE: 0.3949523
Epoch: 092, LR: 0.000061, Loss: 0.0043648, Validation MAE: 0.3795149, Test MAE: 0.3920834
Epoch: 093, 0.000061,0.0044537,0.3826540,0.3959494
Epoch: 094, 0.000061,0.0045094,0.3795163,0.3922830
