{'dataset_name': 'QM9', 'target': 2, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 5, 'hidden': 512, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'CB', 'variants': {'BN': 'N', 'aggr_mlp': 1, 'fea_activation': 'ELU'}}, 'commit_id': 'cab672852d2d21166fbfeaf0dfe3cd4182c48c31', 'time_stamp': '1599017388', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_2, 1599017388_cab6728_CB_1_ELU_5_512_N_0.0001_30_0.85_B64, ID=cab672852d2d21166fbfeaf0dfe3cd4182c48c31
Epoch: 001, LR: 0.000100, Loss: 0.3805359, Validation MAE: 0.0084855, Test MAE: 0.0084740
Epoch: 002, LR: 0.000100, Loss: 0.2032722, Validation MAE: 0.0067535, Test MAE: 0.0067422
Epoch: 003, 0.000100,0.1594222,0.0068942,0.0069045
Epoch: 004, LR: 0.000100, Loss: 0.1377376, Validation MAE: 0.0056595, Test MAE: 0.0056627
Epoch: 005, LR: 0.000100, Loss: 0.1194654, Validation MAE: 0.0052338, Test MAE: 0.0052735
Epoch: 006, 0.000100,0.1046689,0.0052686,0.0052901
Epoch: 007, LR: 0.000100, Loss: 0.0969584, Validation MAE: 0.0049450, Test MAE: 0.0049629
Epoch: 008, LR: 0.000100, Loss: 0.0855641, Validation MAE: 0.0046598, Test MAE: 0.0047037
Epoch: 009, LR: 0.000100, Loss: 0.0783344, Validation MAE: 0.0045562, Test MAE: 0.0045245
Epoch: 010, LR: 0.000100, Loss: 0.0729067, Validation MAE: 0.0043057, Test MAE: 0.0043262
Epoch: 011, LR: 0.000100, Loss: 0.0664315, Validation MAE: 0.0040863, Test MAE: 0.0040934
Epoch: 012, LR: 0.000100, Loss: 0.0611097, Validation MAE: 0.0040849, Test MAE: 0.0040905
Epoch: 013, 0.000100,0.0604292,0.0043893,0.0044117
Epoch: 014, LR: 0.000100, Loss: 0.0523551, Validation MAE: 0.0037863, Test MAE: 0.0037852
Epoch: 015, 0.000100,0.0497641,0.0038438,0.0038339
Epoch: 016, LR: 0.000100, Loss: 0.0474584, Validation MAE: 0.0036898, Test MAE: 0.0036933
Epoch: 017, 0.000100,0.0436083,0.0037788,0.0037394
Epoch: 018, LR: 0.000100, Loss: 0.0413343, Validation MAE: 0.0035622, Test MAE: 0.0035374
Epoch: 019, 0.000100,0.0384712,0.0039110,0.0039368
Epoch: 020, LR: 0.000100, Loss: 0.0362386, Validation MAE: 0.0034233, Test MAE: 0.0034383
Epoch: 021, LR: 0.000100, Loss: 0.0352232, Validation MAE: 0.0032653, Test MAE: 0.0033100
Epoch: 022, 0.000100,0.0327193,0.0033865,0.0034256
Epoch: 023, 0.000100,0.0308370,0.0033973,0.0033734
Epoch: 024, 0.000100,0.0302718,0.0032932,0.0033193
Epoch: 025, LR: 0.000100, Loss: 0.0299521, Validation MAE: 0.0031611, Test MAE: 0.0031660
Epoch: 026, 0.000100,0.0259652,0.0031769,0.0032017
Epoch: 027, 0.000100,0.0248966,0.0033288,0.0033852
Epoch: 028, 0.000100,0.0239948,0.0032736,0.0032991
Epoch: 029, 0.000100,0.0224958,0.0031659,0.0031876
Epoch: 030, LR: 0.000100, Loss: 0.0220677, Validation MAE: 0.0031331, Test MAE: 0.0031966
Epoch: 031, LR: 0.000085, Loss: 0.0186398, Validation MAE: 0.0030116, Test MAE: 0.0030913
Epoch: 032, 0.000085,0.0179544,0.0031514,0.0031668
Epoch: 033, LR: 0.000085, Loss: 0.0166216, Validation MAE: 0.0029798, Test MAE: 0.0030405
Epoch: 034, 0.000085,0.0156918,0.0029858,0.0030379
Epoch: 035, LR: 0.000085, Loss: 0.0147998, Validation MAE: 0.0029614, Test MAE: 0.0030171
Epoch: 036, 0.000085,0.0141818,0.0030632,0.0030768
Epoch: 037, LR: 0.000085, Loss: 0.0135384, Validation MAE: 0.0029559, Test MAE: 0.0029880
Epoch: 038, 0.000085,0.0129014,0.0029940,0.0030289
Epoch: 039, LR: 0.000085, Loss: 0.0119458, Validation MAE: 0.0029471, Test MAE: 0.0029860
Epoch: 040, 0.000085,0.0117682,0.0029793,0.0029979
Epoch: 041, LR: 0.000085, Loss: 0.0112411, Validation MAE: 0.0028888, Test MAE: 0.0029538
Epoch: 042, 0.000085,0.0107701,0.0029170,0.0029771
Epoch: 043, 0.000085,0.0105734,0.0029106,0.0029485
Epoch: 044, 0.000085,0.0095159,0.0029492,0.0030045
Epoch: 045, 0.000085,0.0093722,0.0029254,0.0029792
Epoch: 046, 0.000085,0.0091249,0.0029200,0.0029677
Epoch: 047, LR: 0.000085, Loss: 0.0091113, Validation MAE: 0.0028761, Test MAE: 0.0029071
Epoch: 048, 0.000085,0.0083954,0.0029071,0.0029558
Epoch: 049, 0.000085,0.0084287,0.0028777,0.0029365
Epoch: 050, LR: 0.000085, Loss: 0.0084359, Validation MAE: 0.0028347, Test MAE: 0.0028904
Epoch: 051, 0.000085,0.0084887,0.0030257,0.0030646
Epoch: 052, LR: 0.000085, Loss: 0.0074618, Validation MAE: 0.0028287, Test MAE: 0.0028607
Epoch: 053, 0.000085,0.0071581,0.0029057,0.0029682
Epoch: 054, 0.000085,0.0071218,0.0028617,0.0029099
Epoch: 055, LR: 0.000085, Loss: 0.0069907, Validation MAE: 0.0028185, Test MAE: 0.0028817
Epoch: 056, 0.000085,0.0070521,0.0028647,0.0029203
Epoch: 057, LR: 0.000085, Loss: 0.0064874, Validation MAE: 0.0027865, Test MAE: 0.0028711
Epoch: 058, 0.000085,0.0065066,0.0028717,0.0029648
Epoch: 059, LR: 0.000085, Loss: 0.0071293, Validation MAE: 0.0027739, Test MAE: 0.0028469
Epoch: 060, 0.000085,0.0048968,0.0027751,0.0028237
Epoch: 061, LR: 0.000072, Loss: 0.0042869, Validation MAE: 0.0027623, Test MAE: 0.0028036
Epoch: 062, 0.000072,0.0046496,0.0028102,0.0028502
Epoch: 063, 0.000072,0.0051114,0.0028510,0.0029112
Epoch: 064, 0.000072,0.0049360,0.0027788,0.0028270
Epoch: 065, 0.000072,0.0042908,0.0027626,0.0028178
Epoch: 066, 0.000072,0.0043697,0.0028297,0.0028859
Epoch: 067, 0.000072,0.0045152,0.0027950,0.0028522
Epoch: 068, 0.000072,0.0041164,0.0028253,0.0028878
Epoch: 069, LR: 0.000072, Loss: 0.0043415, Validation MAE: 0.0027389, Test MAE: 0.0027969
Epoch: 070, 0.000072,0.0042911,0.0027967,0.0028502
Epoch: 071, 0.000072,0.0040640,0.0027664,0.0028287
Epoch: 072, 0.000072,0.0040129,0.0027910,0.0028427
Epoch: 073, LR: 0.000072, Loss: 0.0040473, Validation MAE: 0.0027387, Test MAE: 0.0027948
Epoch: 074, 0.000072,0.0041362,0.0027728,0.0028257
Epoch: 075, 0.000072,0.0040642,0.0028260,0.0028782
Epoch: 076, LR: 0.000072, Loss: 0.0036789, Validation MAE: 0.0027171, Test MAE: 0.0027769
Epoch: 077, 0.000072,0.0036681,0.0027259,0.0027815
Epoch: 078, 0.000072,0.0036581,0.0027214,0.0028066
Epoch: 079, 0.000072,0.0048936,0.0027708,0.0027998
Epoch: 080, LR: 0.000072, Loss: 0.0034387, Validation MAE: 0.0027046, Test MAE: 0.0027494
Epoch: 081, 0.000072,0.0031686,0.0027415,0.0028059
Epoch: 082, 0.000072,0.0030773,0.0027701,0.0028133
Epoch: 083, 0.000072,0.0035467,0.0028284,0.0028772
Epoch: 084, 0.000072,0.0036590,0.0027657,0.0028308
Epoch: 085, LR: 0.000072, Loss: 0.0032294, Validation MAE: 0.0026955, Test MAE: 0.0027488
Epoch: 086, 0.000072,0.0034958,0.0027115,0.0027677
Epoch: 087, LR: 0.000072, Loss: 0.0033538, Validation MAE: 0.0026916, Test MAE: 0.0027624
Epoch: 088, 0.000072,0.0032596,0.0027191,0.0027735
Epoch: 089, 0.000072,0.0033077,0.0027118,0.0027787
Epoch: 090, 0.000072,0.0030929,0.0027135,0.0027838
Epoch: 091, LR: 0.000061, Loss: 0.0028406, Validation MAE: 0.0026503, Test MAE: 0.0027146
Epoch: 092, 0.000061,0.0024948,0.0026969,0.0027566
Epoch: 093, 0.000061,0.0026066,0.0026806,0.0027288
Epoch: 094, 0.000061,0.0024508,0.0026708,0.0027353
Epoch: 095, 0.000061,0.0025928,0.0026509,0.0027170
Epoch: 096, 0.000061,0.0024577,0.0026650,0.0027469
Epoch: 097, 0.000061,0.0025256,0.0026514,0.0027288
Epoch: 098, 0.000061,0.0025307,0.0027408,0.0028251
Epoch: 099, LR: 0.000061, Loss: 0.0024472, Validation MAE: 0.0026316, Test MAE: 0.0027237
Epoch: 100, 0.000061,0.0022390,0.0026596,0.0027390
Epoch: 101, 0.000061,0.0023241,0.0026558,0.0027370
